"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"
"g1"	-12.9408737013552	5.03092630557702	8.04404174660132	-6.01327282446704	0.431893155957937	4.26921630179853	-16.8289194515681	1.66590380644205	15.3604231498743	9.71892025766738	-4.71232013809414	3.5987324551833	-18.670557195765	-20.9772188548649	7.29066861709678	-4.81509306181744	-9.5703315970861	-0.289904005682872	4.79589752639285	3.25026304444418	-1.97775314798812	6.30853979717123	-1.72832197341803	-2.87555320121265	15.3245500974242	-2.71613318602166	-4.05238786302996	-2.66062653966814	10.3214121790006	-13.280870852389	-5.2304735204815	3.59479576614264	1.53948823316233	-17.7741778744254	-9.95657136179415	13.6093909635609	-14.7122787175118	6.59347699671373	-10.5918927436101	19.1266142862207	-6.9493354878152	11.8375288047695	13.3703158437851	-0.533899201507214	-11.7925015465148	11.0064001681025	8.84935219043766	-18.3951594802639	-13.1639620666221	7.22470024943032
"g2"	-13.8842548059243	-2.58979762003259	-1.70055397790769	1.1047313373048	10.2183203659309	14.3509211863309	-0.934268313830114	15.2969132537469	0.974254792003913	18.1462709156127	1.57893559279437	-2.68543730953604	1.96535596615132	19.9057268333704	13.1196010143744	-8.44424560052334	-6.0431598407067	2.79966427310752	14.6996606760019	21.6908021542349	-9.94715589467902	19.2083969748433	6.4023736702397	-1.34197229540315	-12.2952857005778	0.434074881605214	6.04232879843717	8.16139171096821	-0.0553233207681483	-2.14517545968615	7.01534746442059	2.7923462448733	8.33667681720503	1.22809481512801	-20.9431024326051	3.93817062780207	6.45304960173092	-1.92133248722447	-8.01629738217023	-10.2185418506725	15.3894367793556	6.4637740341971	-1.48417002723028	-8.47509893559669	-13.6067001762156	11.4321896132457	12.1853770222271	-1.81200414197954	-9.72826874605235	9.86470628439874
"g3"	-10.1777335431206	6.94471334527578	-4.38438325269171	21.3953104416352	5.2795127471902	-3.06769164260379	-11.5616028758319	-4.54977910763164	-19.3175184227448	-13.3255185406709	-13.0847172866293	12.6712491813711	2.39090997420562	-6.15201376099564	-1.40372913018653	13.8252543656055	1.24961036941965	-10.3089478687295	-1.01052840939873	8.35839302668411	10.5719112051953	6.83611678811421	-6.2733548146448	-6.22496340952593	6.23850432000606	3.16055498282735	0.209134118926293	1.75711612505604	8.3317592795621	-15.6915814779415	2.90874837806795	7.20833591774305	-1.98063888307845	9.12419947886683	-11.6043675756636	13.2189850858001	-6.25827877971873	5.50441799036437	6.3688931643999	1.55310026567931	2.48855861476346	14.4146776148633	2.2976506188773	-1.03106694345151	-10.0744429168524	0.499921935663676	-7.43705047119907	3.38197756284789	-2.56198417973025	-8.41647210861251
"g4"	-0.697968641551716	1.28928099245665	-8.25893088052127	-1.57640518352739	-16.2845861427718	-6.08019764742146	3.03060401411098	-13.6641209284879	19.1690992500029	3.41601096488053	11.4553804161657	-1.50038847760452	-0.177100210003466	-4.35281011397404	2.15984859395418	2.63047268075733	-4.19639712907065	-20.798681371116	6.10546939276402	-6.32652256922467	15.5742843072924	5.10662726833926	-5.66969210234901	-11.9630527078051	21.0749808702068	-6.83546654309916	7.34428263402669	-3.44455354941234	3.77935263230504	26.4223118156366	3.71269798046694	-2.53187183981088	-7.92122168719808	7.5366531967776	-15.6316306785277	11.6912893811858	4.8240715052216	-14.4041892070576	-11.0431452766902	-18.882235543965	-1.10574020597984	-3.56485162416527	1.91485356291129	-12.0895429370228	16.9003187152366	2.24117377958966	-9.82200606365892	-10.0819313780036	-4.51693663471802	-0.792923512033795
"g5"	5.42730307533474	-10.3794271061892	-11.3355954764903	0.818379417855997	-8.13720556639839	6.89434617353142	-24.8716305175875	6.31909877718816	16.6757683531899	2.24137077467236	9.26434672114901	-3.9249522244145	-0.831144373090118	-14.0565391564944	2.81078770127565	0.990081775689077	-20.6981015766555	-11.5908475431209	-4.80370283827336	-1.12104114049143	7.25853441063175	4.56297838416535	1.41859020682978	8.07465916159638	-18.4542991984758	-4.52758967087942	0.114503858978902	10.9809386051359	6.27049254417373	9.39632123558703	0.417007598454483	-10.2109823726791	14.2610442378713	-18.7948748180497	17.8256820334506	4.9656537012847	1.54469764578518	9.45107413733819	-13.64948625961	-6.21149812003778	3.11501202148561	11.8090374794026	-0.819160639174102	15.4301869538962	-5.77993513691551	18.2695662487776	-3.32458317113641	-9.8901056373749	6.59916920192471	-2.64306738976608
"g6"	-2.37422093159368	0.714643460735646	7.70703929134059	11.2766722096869	11.4109885385535	1.5801286319697	-11.9518574277915	-0.0838364224952307	-10.477038726785	7.13273354238995	-10.9277499964852	-9.67907738727708	-4.72058667896361	3.43077698336323	-4.0885371652916	-11.4430576539195	-0.12495950863733	3.56354523142492	-7.31567313109949	-6.28274670542319	-18.2366336472399	6.32945429291696	20.0997571648831	9.02279611067414	2.79178650375933	7.69251398139613	1.87593547318305	2.59627652559714	-7.12321028030453	-14.1573132642111	-11.0064135547849	-0.413818446692487	-5.69807504643173	-10.41769013815	5.00859611157408	1.85820994774005	1.21605109065632	4.63404113319577	-21.3714182609183	10.7558358040261	-7.75497966099298	9.06807539958806	-5.11759362651701	-26.4066279594135	-0.210785260311073	-13.1412383381633	-2.80816391234099	4.94969946519415	-4.65500969609233	-7.78012450135571
"g7"	-5.60992161300402	0.138773346834663	-12.3650927048259	-4.97044337299181	0.844178970470623	15.4138410521686	-8.61528065921054	6.70931243021947	24.1614454118646	6.19861663098106	1.83109419583705	16.3876741135279	-9.53415243601367	4.3690966642044	-6.33074511242384	-17.692394057867	-12.0880126562511	3.80881573157149	4.9587930687135	1.24081216792877	-8.2119909390016	-6.16557980020278	-3.29972026640697	2.15420686633492	-17.4211261055053	-5.26989286726231	13.8138020872716	-6.58494766806677	23.4275195727875	-5.55375734779037	-9.35412950809841	-3.15620409201172	-4.80942514208068	9.41348145315571	-10.0384060561526	4.11020165860617	-1.45960951385075	-3.80421431492005	-8.11172674993698	-24.6124554766619	8.43388806657005	-7.60199637239226	-2.00906865304868	-2.35024938971887	-2.27859437001431	13.6908192282132	10.4663109421513	1.07250557249181	15.4807156824575	17.4071966452095
"g8"	-2.40903031809264	8.74987588813055	6.13111070844985	-7.09000146304215	-21.9329768215302	-17.5553895774693	-9.91489512539974	-1.78992820688533	-0.290895447112194	-4.51656547715213	17.3507566614747	8.23841616335828	-14.611262009502	-10.3489862144426	9.12701572912462	-6.26395616214586	-18.112143480572	6.3236717538576	17.4368033819124	1.12456461191281	-11.3883079628155	12.5321439467222	5.71726357751945	12.6734073682405	8.71861331844815	10.8074508248904	-9.84338438827243	-24.1025188907735	-11.8276358255996	-2.13979155504176	10.1610191284947	16.8021499787977	2.09909049294182	-2.00696426187573	-6.40245882070577	-4.61295426685892	-2.4759018946588	8.14233766013767	-5.01040831665437	9.18426797389197	-3.86613429042227	9.37791441550575	4.92627563670714	-0.963519352984957	-5.86419300792965	-12.6179201220826	-13.5243013994506	20.1701938560004	3.78886198215591	-14.712291313976
"g9"	-3.61582664917322	-3.47213595447764	9.4237624600974	-3.59307577452048	5.35891647402699	6.35048007539395	1.96449387122425	7.78748378279249	-5.92563719191432	-3.92824785454509	-4.0221816883988	6.49613567303145	-12.7912600423417	-4.37888432585951	11.3471154713968	-4.62213241808628	-8.77594170583725	8.25169903060919	-14.2120990693313	0.80900307925627	-1.82213262686363	-1.81510974885233	-0.698374032006269	-12.7062908156106	23.4061071068529	-8.78188495411908	-1.40308338369643	9.17769201771686	-1.13950180761413	4.69785867599634	-2.28768168741588	-6.2568980483961	2.89571600231005	-10.4502496885698	-5.98033674998097	11.1828840845787	12.2435470791619	1.18721207216774	14.1494751012467	-10.9644898663222	-6.8265272481425	-19.3328047134138	2.8968104060835	-17.4939863897893	20.2529329742632	-6.54174019370724	3.10485124179276	-4.90455466039473	31.5490279023302	-4.95296275057822
"g10"	6.00284040351026	-15.5949977283145	9.57479791940463	-4.60684876145823	-10.765800193543	7.78382139845228	5.2703217236133	9.60892486863871	-15.2620602344797	-4.67132209049663	11.477790145814	-7.8277285668639	3.65588823146328	0.216320868131869	-5.62417045654909	-10.8581770754918	0.551644804712872	-1.49828912320554	-8.45576065979943	6.821993094079	-3.06192334932096	-11.689523516939	17.0297797633752	12.1299754263282	3.15762032446807	5.83318155650241	6.11397492383851	-5.42467281876758	7.19181656030412	-1.11249450387775	3.09942100004098	12.6003878847688	14.6588373449464	-8.3862002320011	16.7272584868414	7.70719820543811	8.18527068044018	3.08450666961792	11.3532323696	2.44250347652374	4.49792075987676	-10.3766298246572	-8.22325821178493	-12.3553793307275	-7.17585038193281	-4.44290202725023	8.59391048902205	-3.24635567578837	-1.86985942944014	-2.82115427802525
