"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"ctrl 41"	"ctrl 42"	"ctrl 43"	"ctrl 44"	"ctrl 45"	"ctrl 46"	"ctrl 47"	"ctrl 48"	"ctrl 49"	"ctrl 50"	"ctrl 51"	"ctrl 52"	"ctrl 53"	"ctrl 54"	"ctrl 55"	"ctrl 56"	"ctrl 57"	"ctrl 58"	"ctrl 59"	"ctrl 60"	"ctrl 61"	"ctrl 62"	"ctrl 63"	"ctrl 64"	"ctrl 65"	"ctrl 66"	"ctrl 67"	"ctrl 68"	"ctrl 69"	"ctrl 70"	"ctrl 71"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"	"case 41"	"case 42"	"case 43"	"case 44"	"case 45"	"case 46"	"case 47"	"case 48"	"case 49"	"case 50"	"case 51"	"case 52"	"case 53"	"case 54"	"case 55"	"case 56"	"case 57"	"case 58"	"case 59"	"case 60"	"case 61"	"case 62"	"case 63"	"case 64"	"case 65"	"case 66"	"case 67"	"case 68"	"case 69"	"case 70"	"case 71"
"g1"	0.979850424000464	0.591694996103563	30.7293044101536	-8.0502700729017	18.0876250697734	-1.67156081826179	-9.52657056474577	4.00387546803169	1.59320990909233	-4.41744579260375	31.3997642003941	-7.01063442864572	28.2987293253886	-8.96596207986898	18.7341295422169	0.536727674975424	18.4885601262676	5.16129833878696	19.5205999627338	2.06738329687837	-8.6646206312666	12.2297103030058	-9.17486360092312	7.45370514545559	3.33033065014028	-13.9286292240588	-15.8167699159222	6.01417635042837	-6.5449913734658	-8.37103603262175	11.5578958646533	-8.64845926614578	-1.21827073250524	7.31958780685297	6.25352228040081	-3.23804822010816	-8.07011755116951	-5.06461620262296	15.2438410528971	-22.3796547786667	-7.84610700517853	2.81335501869345	-12.2205585134165	22.3733032945551	1.05162947771921	17.6374228532689	4.85570852428323	-15.102965195158	-19.6653022132729	24.5592101372608	-15.2381725484908	10.2537324865179	-1.14488289844671	-10.1971664953778	-5.14264196600542	-13.586315707876	12.4617722809936	-1.27517246836854	1.89568238509309	9.58808526617652	-13.7731881527859	-8.55092535795793	-5.9343643587856	1.71490135559147	-1.56821814393557	9.11941070650772	2.64488244445322	12.3202593519346	17.5669611325831	-4.30264833201379	4.88452863190799	-14.2969685265694	22.0002516131974	2.45498855980421	-13.9914528426105	-13.4950394116056	5.85934485720429	-11.7215666939207	-3.43343359380602	0.881685073466776	-3.56261557963486	1.39866167493879	8.99562082578009	2.63209411780331	5.57063544748201	-15.1877705206914	11.5636092034666	10.9853589971247	3.61116104878024	0.376721966785515	-1.75413771925396	4.92359139661204	5.04876775624044	7.81020287968597	2.26310552984557	-3.32502875100604	-3.47313511969565	-7.53905690866877	11.2336316334808	-4.5776394163672	0.457218096912217	-6.09635850346925	-0.89151602316515	13.0055696969695	0.594757300236193	-3.08924183904012	0.994451025511968	-1.14245409062597	6.32743362703756	0.411442231279502	3.32335202712854	-2.7010099388853	-17.6815105057664	-11.6390430658	-11.3935141492929	2.72685968478815	-6.63866601550273	3.12219420960738	-25.7310435670229	-5.19924049214065	-1.56941758108054	5.50986100634127	-17.0745574476169	3.82814569474847	12.5393505156155	0.994525844974095	-0.00559212318377153	22.3395120467209	-5.72636186960824	-11.6132100394539	3.72822988372637	-2.3010676497399	-3.48781117882825	-4.46392229918236	-11.9983049605227	-5.31557903051356	-23.5651230008889	-6.25095355091806	0.723335165952827	-32.0258790442603	3.35821623824624	-4.71813249650963
"g2"	-1.71423170562459	-5.75116751137034	0.964509889090344	-13.9346323990325	-7.04449765903994	4.37505488392028	-4.07552092535801	12.6153747649226	-5.2215911882531	-0.936508313031063	-10.4023908233861	10.5868861696752	-1.20933816880003	-7.78942771540069	-10.4075100034564	11.2064200405215	-4.72493337267326	-5.94691948847434	-10.1092501204847	-0.708596726929232	-23.1389375162694	2.99050973185256	-4.48310577247854	4.71487976383825	-8.1305083717453	11.9800739757022	9.3504622746381	-9.70843940045803	-14.9716403089211	15.4067614414258	11.9362172684828	-18.6516624740013	-15.62210166377	-6.70634300843804	2.20910002389145	2.5904211214462	-7.91600141566975	3.23666079024257	3.77248521761211	4.15764432099875	-7.46019281303384	13.3822821865178	-0.962072311058342	-5.34125570388148	-18.6614864792432	7.19707501055934	11.6636103681287	8.3102950540328	4.69293740860276	-6.20282821486797	0.172552538520964	-18.1757753372381	0.258141880697607	-3.71087511358115	-1.61675260313861	1.56687205664731	24.799527064091	-2.56722348263932	-11.6074436266369	-2.4625580774594	2.31567368001718	-4.89918630727039	12.1133342699879	-2.3537185567622	-7.53751370249673	9.86238409776799	1.33140142006517	10.8627937178112	13.985541436694	17.5519067580956	-7.78375953525291	-1.45359958130094	8.45400153629968	-15.7665647045793	-9.34561260869559	-7.66950226816258	-6.61140564930159	12.1113145865144	-1.01579735449438	-2.17744501600236	-9.0662430607724	8.28472043336215	-7.23869837753774	-5.03421927170735	25.6875530062258	1.41768032951466	-0.790094899647885	0.419822090551461	3.48259224782498	-3.16039321892524	-0.708868411550546	4.50914113617177	5.45475918105483	-10.5581136826943	5.15649377314142	-23.4848057762583	3.29366012584661	6.54925934657831	-15.5032433235533	-4.37095996481113	-7.49515046039485	-2.1816090699066	2.41940134896086	-2.63121509800245	11.2442855745627	-0.309099004578114	7.2943344555288	19.7514533332715	-7.83129064613868	3.96893590629886	-13.9043935331244	-6.96753409755658	-3.32571671955878	-2.41416936830492	16.0756096512373	12.9199909398696	-11.1148108564452	-3.33852204186279	-6.7633990746676	-5.7559286126902	5.15186692284932	6.27219483831072	-23.3828943549301	-8.49326499624334	-6.35866823143575	11.1281143836106	-12.1123194226408	-14.4871756106163	-13.1093748161416	7.90330443530991	7.87914134943912	-6.06815638629112	9.28083204542029	5.99921586599662	-2.56623020431724	-8.60240607354031	-1.18631224666643	17.9442308835414	-14.1625501885268	-8.53459414928997	-4.08869498884456	-3.7811021580731
"g3"	5.77379570949963	7.27018716654248	5.12023662262185	-1.3633001637789	10.3998011486516	0.160344352532067	1.236597876966	-17.5035791930635	1.69674556993048	0.43240092176316	-6.00989186118709	-4.29858476048867	-0.544527026568645	-10.3873344453897	1.01153554828974	-0.69738429706293	3.63803746403889	-16.272537464439	-3.95077547743799	16.5357342741377	22.8596377158674	17.0696231838911	3.02926666350073	10.1190008227186	-0.594265378224901	-10.3358917372552	1.69580645101352	-10.3059885162566	-4.59612345701461	-0.369955205827897	4.22660573211643	0.36887102715556	-0.531661374322305	-11.8632378217204	-20.1491866515648	3.75998321534244	21.5862969153246	-5.22327901843376	-4.95517766313128	10.7693109412962	-16.9819163112094	-13.8355996656174	-10.7732307083925	-6.61920195041148	15.7976631553881	16.1230715609546	-2.77300412982104	8.3252839104364	9.64604722069025	18.0292779487087	1.91196523499011	-9.16265448297655	7.77641355878111	1.07926597098245	7.25233544972788	-3.85488648937496	-19.7731337028863	-2.93322724645504	-8.97222119316185	-1.8106196699292	19.1891126351292	7.18434644726392	14.1067285235252	8.34095168362739	-13.1259815363401	-13.4189820408952	-1.95351361935791	-7.97187660909719	6.57672984427067	-6.798833532809	-2.81891365514292	-10.652045458973	6.64887312075047	-11.2853068508432	3.5492093489557	3.67162549781414	0.436770537092947	-3.0540853424996	2.63233837955423	-5.23445658488941	7.04226404529921	6.66705005113864	3.20607398589731	5.20497810704588	-3.84316250369288	4.76166833422478	0.557384765983023	14.9999714396045	5.00254384186415	2.55173222810759	22.8292493085705	3.47040952695254	4.32384628960331	2.41332705474342	19.3259926956284	0.634086704807692	4.72916174763738	4.69919308525129	-0.359750906547282	-5.71948922427786	1.26305536514874	1.216397447637	2.61640919784618	12.2551121107959	4.30072302013759	-11.1259927585747	-3.21933744151241	0.126031435479952	10.8262042022018	16.057383658	-13.3075589615695	15.5635836534918	25.5780184941101	-6.34678661390085	-10.5883409374705	13.7008089932667	6.68407140898435	12.204694599077	11.1980783731194	7.88795374463696	-0.88271440388983	-8.71377036136891	1.83076916198121	-2.80030107731709	-2.74828698818184	-0.82623581205197	-1.43054560068765	-11.9582703654194	-17.5793693245019	5.08970398706794	-4.58504883960543	-5.02468653072241	-0.0342731938524694	21.3689433189057	5.82565812330013	-4.50372805692153	12.0551175679152	11.1595365933484	3.68051626568991	-14.5757265507948	1.29309048560157	-3.80666645712911
"g4"	-12.4317205264312	-9.88174506706516	-0.163277530800612	-2.85211458458967	15.8279701491736	0.600227201869201	13.7956299222999	-4.57546652577505	3.73981357660178	0.32833864498003	-15.3130613229553	-1.25573773618014	-3.99848297164011	-6.37937731330236	-3.39804828191369	-6.54902896694725	-8.85379487176961	0.137203690637043	-2.69384178535846	-5.21320405482872	-12.379689698095	5.88340157262273	-6.74328506882597	3.47817733908189	14.3890729117533	-3.44933296753868	3.25122973819671	7.84392813757858	-2.39207478926385	7.38791241704035	-22.5421130010237	6.16224799761633	-6.61068600652518	-6.75917790073495	5.05465481971061	-9.08308722948048	-0.511190375521881	-1.76160165847938	14.0619378107869	14.8453722199622	-10.8881278787407	0.911016101890009	15.1394317392143	-10.5391389770489	-6.97578075528888	-16.2270918524218	4.48856792575032	-0.96856600468328	-3.25177696391959	-3.46096031686377	-4.18830186712993	-2.1149231194297	21.237013277012	17.6859649650633	0.267440686798335	6.64834385790489	-12.4115068734183	1.81683460466968	-8.39135703758695	2.5926178506323	3.79427491830931	-11.4023503238696	17.5963404308635	-5.35264424645523	8.76716397938045	12.9871660605059	0.556565239684631	18.374062029117	-12.8685624550041	3.62635371526782	-8.54470744985837	-0.790645464736148	3.27401317438141	20.9392770724938	8.77638462227434	-4.06474756893654	-8.87661328146203	-6.40336621171997	1.03865419583368	-6.89053035129858	-1.47212910857482	7.07689450579666	11.1459182143582	14.4204357721394	1.301014906408	-1.09715732395113	-0.918896441669067	-6.04067529275443	-0.786222022360398	-3.22962840626104	21.9969939243855	-2.78581776900985	-1.62704679746815	7.83436253138152	1.61331522537829	10.2563266425634	13.7055580306703	1.5500362237501	2.99102451264591	8.00131243449605	15.8639447236436	-17.359050095225	3.66549140470135	5.38812669498922	1.49321384067475	10.8598173194342	-13.1271695631997	-17.0640767582188	15.0081061539257	-3.25951539152522	-2.07449203783101	3.91676752821088	-6.80857704469173	0.387949893116402	10.3995218868272	-4.31712623793926	3.24231883319137	4.92627319409843	6.93641675193135	4.71395469168183	10.1222433262193	17.0102032732301	-12.8137361841592	3.18745532492903	10.4729645323158	-8.95989025250305	8.22118882000342	-23.1453717217634	2.44483857811397	-0.190710676659616	-1.49569207328125	-10.8995715135438	9.90512078055264	12.4656353833052	10.1959724343418	7.53424713701479	-8.27129319303122	-3.50295948811065	-1.38118275511757	-8.93893144148874	12.1849511077246	7.61932808969113
"g5"	7.0057523866644	-0.570010994277497	21.5288870422223	-8.93187719856972	5.183100027182	1.542165458675	8.60684412578141	9.4501141384222	7.5594144797314	1.32906298081858	19.5284291576466	-1.16068995957694	7.48491746665321	2.99410490667503	3.19026081669662	18.2726572630572	-13.0302664438221	0.127955451791096	3.23735216144452	-11.6024342565176	6.46393740187079	9.96773898444361	2.98581889865225	1.78246040092152	10.6884612761355	5.41479840512304	6.89349158545701	10.4959905320644	1.45804446166475	-16.5843360770468	-3.6667839046106	11.459864484211	-3.44792142502182	-3.34743704183278	-9.15844439827067	1.56322612460669	-6.70349235783303	-4.23406697484636	6.51738575896997	-15.7161236588778	1.56195624523016	-1.50755494733276	-8.93577644469075	-3.24252838056755	3.74692599565025	-15.9987544006799	7.7725386872476	-9.25950670264103	-1.93749194508156	-6.97185748686106	12.3909868085901	9.71402184639678	14.0043734155248	-7.07038825501794	-22.9697410943862	4.98387076147979	18.0523562592205	17.683906414541	-4.27131421831169	-2.31247101934326	-12.3389604145072	1.42715913876389	19.4501315264513	2.95991468943086	3.40150323274228	-12.8952087063239	-2.56719303637502	-6.04327013716081	22.499135546343	4.20570233722338	11.7169690788606	10.8069580819332	11.0182149649136	5.625772966614	2.91959317068852	-8.38586091616332	-25.8487006991235	-13.3221373754135	-0.320500001126486	-15.2913018772758	0.181489945034767	-14.0403986903432	24.4921324852467	-19.9094807697668	-7.54191334835727	-1.36300032157255	15.3615729528812	-3.37374951559656	6.4487094557693	-3.65430265902851	3.40836701454302	16.1192739800382	-1.46223083510699	3.76338368182731	-12.2386655378052	17.9256913988012	-0.132971940727811	14.267211791837	7.78370453981012	15.349199666528	-2.33847370630489	10.179523331982	0.76504422836172	-6.68768644371209	11.2266504283223	5.97992887703837	-1.96509948441254	-5.90771696998152	17.8581201792664	-0.584778559591447	10.4000307290275	-10.7829359343921	-14.7848402094859	-3.58002648843975	0.0839381864934083	2.67763114543028	-3.61750138167381	-1.03606355409817	6.43270558624552	2.99747525089126	3.29956197933286	13.1174225297487	-5.24694324215542	-8.4819072621896	-9.50000908718165	-4.38046690255307	10.459524661355	5.91189576831538	2.82881568358138	1.2537738483049	3.57487306330227	4.12909519769301	-8.63958100962229	-6.35816251341767	2.23793204204139	9.73377547371133	-4.4141396235477	-6.86391315971614	12.9074680702635	-22.6435505959939	3.59161878886696	3.90282463813631
"g6"	17.2744450768952	-7.59955863253006	3.67642399433272	-2.53547688100031	-5.27071688017099	-11.0396390943591	-0.259608422942816	15.7447282145117	12.6491188629454	-0.102131443661608	-9.69555915664441	13.9785398027038	3.87621051182157	11.2003839694974	15.678332137058	5.74951397992365	0.622637709358454	6.48385061911288	8.67193249036917	2.43043724628002	7.84976245866292	-4.01729853410395	5.70585047609539	-3.90230803012153	5.20513181842892	3.60782797746528	-3.4060541347605	-9.7172655494811	-12.0313244218053	4.96096508071642	-9.03355687855594	4.23824047912075	4.3668189204688	7.11483916688251	-1.99470898175245	16.6293610225548	0.434606907635291	3.73131005357733	7.70198065546028	21.6203351454118	-3.2771667438048	-28.5033986477785	3.43160236991621	10.2227810495753	7.18141897799476	0.835919813975391	5.59851374538535	-11.7560351624634	-20.5923311938756	-0.421523089298259	-6.65886589264045	-3.91064778645962	24.5142725647039	-14.8508668448319	-8.35046136264414	1.60649983607017	0.268040577551877	-21.9596159662219	1.13044101534663	-8.91693454297198	5.06988111727011	11.2859771335056	3.93329721221375	12.5320177816266	-7.89068820474061	-12.4745307561509	3.81623554302005	-5.71653791530781	-6.24588095734	-11.1223056146667	4.90822670771717	11.6486653228565	16.5091432527401	10.0147324779888	6.39695394170333	-9.51188977293207	1.36965114368919	-14.0672229748584	-1.11478496678267	17.6777514142881	0.397909063460406	1.87865223285065	-5.73481163271031	-6.6697495287091	-1.36462063134055	8.3317137101255	8.20671204748338	-6.08133111758277	-1.89783666775219	17.9426732181898	-1.74741059621614	5.93373420249987	-1.5639148539913	-14.4097539584219	16.4683268430148	-0.378888348279487	8.49775402852462	-3.8784383860333	-2.66561335026122	-13.0974025840594	9.01651962776295	24.8046097977571	-9.24545167143003	-4.16281410804566	13.5852849659163	3.05155128561076	14.4468441977885	3.06243559156148	-20.5449007113444	3.01557902940886	7.64658711731	1.13504084540058	-9.35837533216649	-18.0557381853934	-7.38369661753469	25.8025653802513	-3.39263698433435	7.9643972564653	-10.2490382918448	-13.7854237186285	-11.6591513025252	-17.0602219369523	8.14405547017893	-11.243535790038	-4.57748157106686	-1.55477525342975	-13.2991218532927	15.6902023000099	14.940910070815	0.206353301004882	14.3693138907932	2.04699917548011	-13.0303464206348	-10.9308529284809	-9.86348986127899	-14.9874717058401	-1.41237378291987	-14.4229475852491	2.46235275986439	-2.8048301772654	-14.1612051392526	-7.91694069633591
"g7"	-17.250079586949	-8.06731726856131	5.37282059936426	-5.17095035396899	4.02948123406968	-10.7337979944169	5.94486218625911	16.7788372523869	6.57575010795556	10.4867396293537	-3.88190710125673	5.05782167520757	10.1136999051686	3.19187449087208	8.35636905026806	-6.11019732776331	-20.2129504010912	1.26688315105318	6.62410770751226	-13.6644315590118	11.4162478857616	-2.22833274963914	5.51138298123491	-5.46086249753531	-2.22941701896534	13.9309486206588	-12.3581706930156	-0.821266607222604	3.89227265972225	-12.5644374492581	5.07518920566052	13.8898065407377	-3.32901832175043	8.35965419871957	-5.03899409762829	-5.86728214660582	6.20779971621519	-8.54994121857141	13.3513000551641	-9.10573498522514	-6.76277781758477	14.0531835759572	-11.3587449721106	5.7543429033575	1.14795290580556	-0.954176009880009	19.9197227609962	2.67273421164122	22.683268422949	6.99334216367874	-0.481136689187301	-4.49071963482813	-6.99862728950109	19.7514503842227	10.8895122171107	-0.308774908642962	16.4320769925533	-7.02458569596762	-8.12812330857901	12.4161695635157	-11.3702758850499	-8.22447937374453	-0.73367134972448	-8.56969542748248	-12.2089518135151	-6.41074886297342	-11.8139204660062	5.28297926557173	1.59519573135627	3.61222953607263	-9.398815458368	-11.2448268371422	1.51686236715654	-1.71942353384193	4.24802638840163	-4.63660400124396	8.43306869591703	-8.214577488211	12.9093941142959	-15.385074214474	-3.27795360683969	9.47197077954727	-0.339729194321579	19.3661421429926	-0.393690587420057	-9.92255047361504	3.36310347103409	2.68606859726591	-3.25542629254331	3.63852592239611	-16.3198547530558	20.0837400154455	8.69488366745849	4.27076121338221	-12.5430917517094	-12.3413608884354	6.42540005590488	-3.69760135437452	-5.71044137252551	-1.7299822113312	0.460378014619476	5.91963728630136	-1.78864537637483	-17.8046863950052	-16.693504407921	9.09103695919	-2.49720362790335	-9.57154333971086	-2.05333056975484	-7.16100891374535	-10.2367078854248	4.37665150068115	-3.29053235830778	2.13486311102306	6.2486089897727	2.46928601237979	7.54715385855142	10.1870006836022	0.328795284021217	-7.17998871297608	3.25632187072952	-5.27291083334677	-14.5541793064054	-6.64475820975683	13.0532769077471	3.01183787693435	6.15813146181634	-16.1462389239308	-1.86654390043512	-4.08792029228547	-7.88051265793739	-3.75557710883083	-5.71273020333719	8.86488601311481	-1.62290735204474	-2.24388632394291	7.61971784158179	-7.3639133070937	-4.8694306448735	-4.54457032011337	-8.77397219110163	16.8382046208338
"g8"	7.31571987454861	-1.57338041797044	-15.577366125299	-10.4787124669731	4.18776551363721	1.97957929025593	6.24696624224808	19.2924470253562	-15.7005202576653	0.108108876244818	1.96086754844382	-4.50959265942697	-6.03661596721065	-1.88451239033085	-9.92806768123756	-3.67604662845731	15.2869510075633	-16.3760739066302	1.30369616417865	-6.79361761991044	-1.33617548395302	-2.39379973421125	-2.52917926614054	-0.157783924234311	22.0509349869252	7.93646834441385	-3.38666426067683	12.6232260297313	17.1610880975981	12.4855323508233	-2.40270091521182	-2.54290555325823	-0.0368629648201883	-19.9010114892734	-6.50180254701841	-1.32608771056985	-5.03828433328454	-11.7115250976558	3.08297764799603	11.6979231994169	-0.663464230223054	-7.7611149248108	7.0164303181514	-18.2590002834541	5.18315391041739	4.06750534351882	-8.27867833347204	-6.14603709763858	-10.2842281062855	3.23786866888723	10.3335101941032	-3.81312741174354	3.12899658337648	4.05294992882923	7.51869179654033	10.7432342114436	-1.20301157975023	3.05192900502488	1.1321112107723	2.59307490607739	20.4658440233249	12.5458373192174	0.478675441564717	6.07844828203033	-4.60589057580921	11.845029121084	6.8015957161394	2.81936858223021	-6.24568350074288	-3.44346596429846	3.31368407256286	11.0463542163586	4.743379800343	-15.4490258172849	18.976429924084	-8.44454785811424	5.2939593216559	11.5082616285931	-2.89662467142445	12.3283464754205	26.3696407910665	0.642429767166187	13.1392200334211	3.85426047015786	17.4741296319261	-1.37265066018484	2.32497647522036	-4.13465071459413	0.753806188359512	-0.672025053889041	-10.4639343876781	2.25363057161627	-5.50200929953018	19.2963594362549	-2.70674246208156	-0.824577505148261	5.18040371565028	5.51400475598318	-11.9365237700516	-12.5527219714949	-1.13474348107391	15.8660079608759	8.09580876815644	16.7055683186477	7.50129678121206	7.29200667853324	-4.90346432743986	-2.01014534884713	-4.24875403780334	-4.22465478140356	-0.123332574935616	9.82122285339973	2.30638815416576	3.41788737163773	-2.04997680520879	-6.83766663976918	0.122792489299625	-14.8594739692692	-3.68698920937841	-17.8932914824054	-1.29687857549191	5.16004146871208	7.32612066698982	0.914068073466301	-2.68515327798853	-19.5521006254417	0.0279541616221495	-5.06267901907661	2.00318596606837	0.852813811261614	-13.1524764867486	-10.7422754804869	5.86365150794968	9.29147736389324	9.67283967638043	11.1606077529106	-1.17611262716809	3.26515007842828	8.64359307637303	4.10272728444732	5.16059002166099	5.14541764755081
"g9"	-9.00684305503462	3.24952828229052	8.06249852043852	-3.43717151372532	10.7487919799909	-10.5537901644183	0.23144132086808	-2.19076104697701	2.00714522588587	17.7485350895196	-17.6806103503274	8.66459824413548	-16.7926517776487	6.99126759342235	1.53055728872201	-0.432017741514714	-2.45813734862768	1.37396616750378	10.4096583726385	-1.62052146606771	-10.4695186970835	1.58939530697168	9.02195167183077	2.46529468302873	3.24564397426652	-10.160917600089	-0.516985453784441	11.5018638776286	-2.95041727214469	-6.79242564444431	10.0590228180165	2.56004302877352	-1.22553352756412	-4.36218330311611	-4.36435828932575	5.17873925963518	-5.96932315335138	-16.4207677446083	-14.0080765584904	19.1979629879741	22.6280785095511	-1.81007036385026	-16.2834233775755	6.16853344263085	7.81586167584619	-1.44756968313887	-4.66944499575484	1.12070463490803	24.9703472060379	-2.01615469778933	1.71088088207003	16.8605830518297	-9.53254141065844	-12.1595616055146	1.00750446352189	3.66996521887297	-13.3060250706027	13.2349554525295	20.6387540352769	0.416449047794828	-1.49962325538195	-12.9414826016756	-4.80781854457239	-25.0872256864041	18.6163309406129	-13.0521632572043	2.63188235054347	5.02293759998849	-6.61362973683783	-18.8952370549918	-18.4191677611125	5.17658166657426	4.74992719595218	-0.957771985300527	-1.89516461190004	0.540238332944249	1.76175281222587	-7.18595501078815	5.64298049074579	8.14607458569672	5.11833977743133	3.08337235608161	9.49278625787391	4.5860886922438	-9.8357874107182	-0.84350703390088	8.55877348285919	2.36799316066843	-1.9032598370447	4.80270360422685	-15.2630204781879	-5.809703290303	-8.97314597896548	-18.7575220505061	-6.67409183260327	0.904668754881393	-17.4123175839574	-9.58133138432854	2.92608530970624	-9.63759813506437	-4.81096890073671	4.19316716910857	9.40983876596348	13.4672189163546	10.3763518579096	0.657948343476409	-7.31558960621181	8.96932419880931	4.26033537558463	-4.27462699354867	7.48869193714102	6.71208124405618	-5.82428416978744	7.54277706485236	10.1425809020353	-16.0787279582494	14.9807089858534	-6.07095401685231	-3.87228016458495	-6.93721437504061	0.035755995698718	-16.635096101822	-9.2146333741665	-1.08184381860842	-7.39982164068234	-5.14556116529234	4.27928332071682	-25.6656177086061	-6.99390733769928	3.13234697774365	-3.7218607236552	-18.4206231827473	-2.04220612264647	-19.5355869130954	-3.11315266437598	14.4251036678956	-7.97586303659803	-18.6578648961308	-11.3660693773776	13.4557995934745	-13.7913079970427	5.38032647118606
"g10"	-15.3471228191092	11.5083980741257	3.22652996803877	5.0019234028686	-9.10936872503142	-11.1205127826856	2.21868892813443	12.4442694567296	-9.91093695979363	6.25393507679822	5.75471798554794	-13.4387527331375	-6.79718721997229	-4.46286981730537	-0.682727089384611	13.182649442119	1.41515981640007	-0.988205304570699	9.33808432440167	2.57877874824531	-11.6566597737548	13.2307297916663	2.42418738313855	-5.82357749063696	6.48795402381692	-3.06308248900513	14.3417344105054	-4.94023990969324	20.7968320591363	-0.356688289458565	-0.360513891223032	-11.8966025999383	12.3130566185141	1.239536976277	2.08716075396087	0.0934679152662389	-2.92601438272288	-0.344517309864913	-6.46125769720578	9.430176198691	2.99169597612596	-8.53734043794976	-0.574055106767428	4.09120862061846	-2.77566387514403	-4.18292427935928	-20.9859973236947	-12.6706560883867	0.523999916893129	6.43397214803101	-17.8349322663871	0.797613667708513	-12.8541950448322	9.49941596431545	1.42811252117143	-0.991574187644729	2.86413114651699	-2.79014073232664	-17.9067655542477	0.468576544261075	-5.39197394412717	-6.32028633812021	5.00480962545191	5.35618730780151	9.59220541870928	-8.57043566174547	4.14706074782629	12.0118747796487	-1.3514494490227	-7.62633323186084	2.62103155757298	23.1983178633819	1.5370497806942	-1.91479508030635	1.36617109856968	-2.33602997981526	1.19271440644347	11.2658135024452	-12.8033755675856	-10.457864978728	0.657603264564705	-10.3330458921305	-8.61874991428039	3.63823721618524	-5.86160247141312	-5.26239621930148	-0.331888550852972	-4.77790141245045	-5.34029662370752	17.213145797123	3.67964665567997	0.610682643795996	-25.1929276926793	5.55462347505509	-17.8944214046746	-5.69053759428817	8.94003174706182	4.68185356918086	-10.6751789734717	2.22718032094596	-0.0156967443218977	0.770880611330489	14.6159043237577	-8.43580781454722	4.8890386823885	-8.69014173760958	-9.01972767730496	-21.2157899727157	-7.70907418623766	4.5672228138003	-5.50573007878161	-18.3835121618129	-0.187408777815687	-6.12072188175225	0.402439515358955	-2.07640068712852	-10.5142642255141	12.7175771631747	18.1634556903441	1.85265865445526	21.854463099183	-10.3679114044675	4.97591941640792	-3.86700343690219	11.9830092568776	-13.2185072400754	5.86391704429401	-3.4655760800374	6.16521997188172	5.66750017593992	7.0175889093638	-21.1025350447803	-4.43843334302986	-18.4289762684068	1.31076226467779	-0.0276078522836661	5.5525262659441	-4.90170601145636	9.79024836145961	14.587518991008	-5.18479057149275	-7.14377302605107
