"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"
"g1"	-17.7808998403062	-14.2534648842535	11.0948208211491	15.3137751385843	-3.00618402045259	-2.5432795686948	-5.18501543636282	-0.555612514863078	2.2236510885012	-3.11297736463817	-12.0050906388501	12.0573114494169	20.7579442293839	4.44620524987139	9.15085765767411	-21.3131036928673	3.55771155922379	-2.99057027601418	-7.55566253060464	16.0098732166074	-3.60248941816747	0.474348874578768	10.8078027698953	-19.3104085066454	-8.00635204711407	16.0586371228737	2.60566699122219	-18.2411042340708	-9.98393535326221	5.72485387602941	-4.0268075395735	0.208277646264951	4.46591649156148	-3.33123651172206	-10.9946138377187	17.5291698712417	-1.37622056403477	16.0267587873972	-6.58062513890654	-6.61804083175693	3.17371732947134	-0.510198233275345	-10.0439591674408	-7.89737758516135	19.0104831382393	8.3352659169804	-9.01635255310606	-0.858024604026286	12.4248855661857	-11.7564332583959	4.37869047602315	6.61412000952831	8.82968876214454	4.61563330126748	-3.12066584880891	6.18577312852068
"g2"	-0.0842532260921065	14.6420535704602	-14.932268563907	-4.95632349946371	-7.887894668857	13.9671048818365	-1.2762581317788	-21.130810653391	-9.94158646050126	-0.379553827419719	13.9161153437701	1.06397010528558	-6.1283847556354	5.81193185809795	0.251388100896978	4.35426558017526	-9.3551184643447	0.299639262220545	6.9891534890748	7.6024913687286	16.6491376276015	8.94325958284124	5.10942105507145	22.6377454417422	-6.51107846813392	-13.0681106195566	-5.44659038058644	2.48359924283145	10.2654123289676	3.47811686203661	15.5340692962484	8.22742208000601	6.17605785138396	9.49908418782216	24.2331133786582	-7.55010371196304	-0.566519726812638	0.867426733506404	-12.4356710793071	-5.23289066855385	1.54800107938555	2.71404643062376	-8.98523842460961	-7.91045440555006	8.2951270436959	-8.10589484697369	2.53312937784645	6.34292035135408	20.0617201416947	6.79628176349572	20.7029061512629	22.6465035930736	-2.35525766857693	-7.67816196503659	-1.41751835660299	5.01395381607064
"g3"	2.3890710344533	-11.2221452008748	15.0642220196886	0.484976780743978	-3.52387326389132	-6.45365778058814	7.978356901496	18.1589206104566	-11.1922356153317	-6.91553310355607	-10.960578793261	-4.34304237660386	-9.54683709856261	4.46346828618873	16.1648182640895	5.26267615153919	23.3563807430179	20.3881414664294	0.013955847345956	-5.58510464321392	-19.1836708319011	-14.5412116431807	15.7297810034256	0.310176311312178	1.99228323956125	-6.47513382752383	-11.1546425526244	-0.808000615762745	-8.77971102055992	0.367537852501288	-18.5212117457749	4.90645545112455	6.79430579711303	17.5675456430629	-19.3460648920881	-6.81154123023518	7.86692712184998	-18.4550935432533	-8.5128925354725	-7.54561958455844	-4.25257411291411	-11.799615640261	1.48968162814062	3.49433413454717	6.13263275670935	-16.7445390908924	6.19475626000118	5.65439421118921	2.42972902806318	-3.33575723077323	-5.43429388538252	3.13078700618104	-0.573586383565139	18.287883342185	-5.07526008156251	5.19463752097096
"g4"	-11.5055050456269	7.63223545496912	-9.12872514068638	-3.11197677072839	-0.627065402368674	-1.24413931754848	-0.551927363092019	-1.9308537898297	5.81423557632268	7.57319418075116	-15.9962281240302	6.99732206281081	-11.1270139398054	-0.0273276897031703	-14.9345092974603	-1.42327497182105	18.9984441306123	0.828098426386008	8.04368080465365	6.89353336541678	13.4112063586081	27.8066493942894	4.59316028010853	9.34465272730492	-5.41482895231475	1.56789424829903	7.43248411348884	-4.78398849366048	15.4582835002387	-3.7219372040856	-3.76379111720915	-4.5228715485639	-0.00503541010026719	-6.59034181241378	7.70539218394865	-8.33768595698359	-8.1381223379708	-7.65242974064045	23.7913017744898	15.9591151444954	-6.31388037821768	-22.658017575635	6.02021059428845	10.4095367654695	15.2314048062495	6.09363221519121	-15.7224238376679	-1.11812876062109	-6.39484135763623	9.90605573906757	-3.88251872481163	15.4940995473522	8.11560575484509	-11.0235958866748	-6.8884760317104	5.51767511453721
"g5"	3.69060267525641	3.130491923675	-7.39050212743789	10.304124294562	18.9677733331921	-15.2282003359493	6.48152324932042	-3.51961097921973	-2.7748594287352	-2.99908832518905	-12.2202398977351	8.89759838055798	2.02534963245149	11.1177929112534	-14.1041838137969	13.0814008828133	-10.0987771931289	-13.4640616763411	7.79136531653775	0.632467324401368	-11.3460214823255	-0.857267286351454	-2.90518893877428	10.8586653941169	4.54837986145141	17.7274963198315	-14.8402261507954	-10.2509438293839	28.7773799764355	-3.24911802200808	-13.7330388472454	-2.06358215147545	-7.19485750754669	11.3597902573919	12.5853256312233	-5.61628878008663	7.29614553706163	11.2769741406361	7.02832721970445	-8.56026772585166	22.4304854329893	7.99748627034823	17.7261512628762	0.0824822322998354	3.73953263050836	-10.6047215273619	-1.91593195048539	-0.726007445257558	-2.02468794200306	-8.15136762950169	-24.6324607965344	-4.30816239130752	9.59047356932662	5.50364527410349	-2.16792223254012	-4.09655297422431
"g6"	-11.6561158878519	4.88312516794482	8.71604235116818	-15.0887684234693	3.92260569892111	5.14364979880463	-2.31723818927519	11.0020896387357	-10.4470199308083	5.35349781746309	6.59993236605992	8.31967490567139	9.48363030111864	-0.426800622894025	1.48856180438435	-4.4776805555179	10.7876491799755	13.3820416338386	6.1396213651261	-16.5719680468815	14.5681790479001	21.0210906613275	1.49259709209656	-4.92240427646853	-1.30320301385302	-24.2304702623679	-4.07906335843621	-4.76171797167474	9.89509163674264	-1.62370309709285	0.504601059128843	3.25884980711916	20.6441907348118	2.21095849729679	-6.75285924474264	-9.00989549801076	-1.59642247887156	5.82654448349924	0.578077412332974	-10.4702965899899	1.9525009778722	7.39152466838234	14.4044072806231	9.31588849738967	-26.9392451872835	-12.7669456307123	12.2069654856894	10.7469459397265	4.20228342295909	8.83850692310415	0.0295450975844732	26.7966804055757	14.2289214877503	-7.82841675798023	-0.0331586939123621	-17.3194902807403
"g7"	-10.9680197519542	-7.32980644539848	-6.87038528950517	1.05750677824987	5.35930016769896	-9.14201412260658	9.67116141359211	12.8167855005923	16.3550974551016	-13.76243197612	13.3677514609806	1.82188476535629	-28.19371886676	5.9952224953584	0.36941439718922	-16.32560678759	5.11587736444246	3.48035572935766	-10.0758076692567	-0.196329987763187	9.18347925077157	-5.5429803686338	0.760245706100004	-6.56683614214444	5.52258199310509	20.8884490342056	4.59329496734646	-2.26548869244253	15.054430616606	-24.614695032134	-2.44175111109524	0.813290021365359	-0.671810000565371	4.83012491115138	-6.32336087067685	-5.3960807371854	6.76854149668758	8.4870866962117	2.95573379150941	-10.7409043425399	-8.80942445081249	-11.0538491214878	-8.69044363612562	3.16202749820677	-5.61542735212044	-5.1006986237118	-6.65335790342385	9.83293136702736	5.56410663454241	-3.82578700652473	2.88765130853932	1.4400291152925	2.32668496556708	6.00971743656528	2.78770965218442	-20.0147755734825
"g8"	3.41196654496627	-4.03061310481757	7.13877708266811	9.15228778357011	-14.7987674876936	3.85197763230612	6.44200843624917	-5.45908066899475	-6.04322837739324	-7.46592765951148	-0.598275909949123	-12.9455038428492	-14.260206502833	4.34479696963822	-1.1770676452803	4.27773527982483	-3.66213479078238	-11.8081639080876	12.2892134520756	-5.02484859652212	12.0918392603636	-0.918169594737684	11.7675021100437	4.21091785938015	7.89673459277548	-6.93863709332823	3.81278753145092	3.57303332810041	-16.6509966212641	-1.16459367885435	5.48180334443937	3.70800373836347	13.5483912700595	10.0357889707312	-12.6870167297716	-6.1891409104683	-0.439249194575634	-7.89860466826492	11.7323939473907	1.20005248353137	-4.17526525784487	8.25359049528041	-1.68551734468845	-14.3114846201089	-0.660397391209817	1.94460280366466	5.70716560251085	-3.90234353344504	6.98128591861168	11.6371650030972	18.1122728337669	13.4877047234683	-6.04550797606433	-2.21720008168975	-2.9112704642025	-20.4746351881551
"g9"	0.383974173326464	1.53964233982648	2.75496286910908	-5.94837498980592	-8.13776489673108	5.64997853828126	5.08167664045923	1.98399075640254	10.8313967128428	24.3050999153053	10.7418258791247	3.68855153773391	8.11980108032872	-5.96416013573657	-20.8273453744579	0.116524023394226	10.2660572725989	-9.48150383589746	6.29547928844681	9.48618075474653	10.6705199478568	12.400883991764	0.236616869105064	-15.2490893171032	25.2370777140137	-6.08008307277701	-3.58803636129008	9.30504222089539	-5.89815025607283	-1.97286502067947	-3.74253791385567	-4.56390752159408	9.20068480702164	-19.6108559130138	-4.27148799135766	4.96819772175924	21.9811108245908	21.7331290054685	21.2436272060224	14.3006960798867	-1.48568777536982	8.31406173394667	9.51055534655131	0.955731399241109	2.052534381368	-1.74944121160472	-4.09322773549788	3.71711979895479	3.36497290183797	20.4317752012984	-30.6116292281688	-2.78480697454447	17.904394749506	-4.94349674759995	-7.23362573397842	1.63921472327372
"g10"	-1.3975810992025	19.3097755748699	10.2563498412826	-11.0673313931351	10.1390364357246	-8.01708258712121	-3.56655258083443	-6.03100095173662	-22.2428067352282	6.61079402514626	3.76150963947533	12.9875033878547	0.760954208394011	5.36594506492881	1.25672168611975	8.28115523022642	-8.36741609934374	21.0936358879687	-2.29882424304312	-1.9956546573498	-6.88149642444229	0.35129411790251	-1.04307847704248	5.25114772530474	-6.8920523041348	-0.0351061702863027	-3.55732025222827	-0.368621147449129	13.9186522856181	3.81905143828886	0.10379010152114	3.86012340945847	2.30835401216568	1.11191832368764	-9.76982496516499	-5.51916410456101	-10.4507363679905	0.504646561977513	3.11210439597012	-2.80764583966237	8.58200532229083	-0.514994682216335	-2.5627922092542	-3.48409282932389	1.95017467119738	9.00104576099587	-19.4912182672052	-7.28038522323814	10.819062392287	-4.48773934093955	9.15874658331426	0.726501049573404	-5.92433973272611	5.03659941196771	1.76764636775844	-15.4134036759396
