"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"ctrl 41"	"ctrl 42"	"ctrl 43"	"ctrl 44"	"ctrl 45"	"ctrl 46"	"ctrl 47"	"ctrl 48"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"	"case 41"	"case 42"	"case 43"	"case 44"	"case 45"	"case 46"	"case 47"	"case 48"
"g1"	-2.62459000427839	-6.27403763136254	-1.78501546709941	-1.27161167817571	5.88044297470666	-0.484281930294936	-13.4278314676349	14.429203315834	-16.4181727648124	-3.73002613594926	-6.35449885083499	-8.48967524935343	5.21745740406365	-27.9913065412548	12.4608073104899	-12.5114975996638	10.288974278651	7.20662765762522	4.89135074715457	-2.73409478465156	8.4116397754998	-10.1585231856279	8.34785499262028	5.4881174861515	-17.205168290934	1.87496048732073	7.20896339962076	-6.82280074978955	13.1031201107829	11.5011865915459	9.83360384379283	-6.64810630011862	-18.0823970353566	4.39281032579874	-17.6482609366361	-2.35892272352233	-21.9593515664788	-17.3807703358055	-5.68292773007496	-6.9433706911884	4.41189110503592	-7.45406759892915	4.9862492322211	-11.3596623176484	-3.26864633319342	-3.18188357608296	-9.05205745397135	-6.46808161752602	-0.645280217097247	2.67967409973951	-1.75032507553067	2.85399247390091	10.804476283978	-5.92270087453258	-4.99031270243869	8.46597697875724	1.42930729192567	5.94066542508589	-13.9117775980155	-5.93103809974376	-1.28633039885977	-0.430219650173768	20.9333704018646	22.9553941919917	-0.608095752471976	15.9165490416379	2.32324837788692	4.99600718141568	4.57459980920219	2.94821355647074	-9.11841389059358	-0.0840631264565102	18.9871867242954	3.95688072019947	20.6030246121445	-4.23497015155398	8.45555071769506	0.894585313114477	4.19623942823108	7.61556629700068	9.82881916720961	-11.5940388419592	5.40437140617087	10.078431535839	10.6527726867923	14.8314932278525	-6.55597898827513	-4.52832656831496	-9.03962107576359	19.7743821936677	2.87238867774803	6.88379652179751	34.8134033021947	5.05283080664356	-10.9151633010284	-14.7736072081062
"g2"	-0.90858726677955	-2.06704442763515	15.1275575731345	1.10851267359909	8.78523867756037	6.84664372922029	-18.2722906811285	-6.5461484326775	12.581589011376	2.13513864206822	-11.4489968160018	-9.43804957261629	-8.25817268030924	-0.290003019890523	-8.29483134938055	18.7011760260184	-10.6153517900637	-1.53393251124175	2.72780814674723	12.8060754949014	-1.08274289898303	11.6758229008935	4.71127399177538	3.55865668916315	15.5523080383359	-8.92461514389121	7.12648965819113	14.7774550181824	0.711255541513977	10.6966768285012	10.3694767026347	10.7227523707284	-4.82599065273107	3.22879141707121	4.675205372624	-3.10814219886017	5.6761714309324	15.7410120280093	-4.7228369332302	-1.69515806838803	19.3339940293174	9.03425460783907	-3.7430606091585	-12.7969301689555	5.86818268714016	4.98210528315186	5.45696750775368	20.2616611188279	-12.4792932471703	-18.5683621785354	-16.2173098114157	-9.77345267857151	-20.1128298822696	8.46133945024508	5.85371145810887	4.91937397009495	-10.4975333847804	2.78312060900357	-14.6653421826994	5.49999054541199	-15.8863566641692	-9.2454355698253	-3.55997717664548	4.51305992502085	7.90490471867798	4.3478613324967	8.39161901183448	1.99714650181361	23.1687695810888	8.28986022109251	-17.9735232757984	11.9506319310805	6.32556624128422	-16.6441027122583	5.79324997013876	-1.73319289402259	-8.02277830839352	-8.01762536036469	11.2172749040239	-0.122297800480247	-8.52949535265135	-5.24731655587825	-7.646963427865	10.7044919301735	1.7374785424671	11.9579354718355	-6.77677303529922	9.97279056632185	1.38022762487711	-10.9733145605431	-1.61419762734945	5.37331891385902	9.1447077137317	-5.44923098463276	3.66933905918345	-6.63737932620003
"g3"	6.86160235292231	7.08806471038394	-7.31815351829717	-7.43206608288756	-13.5864405548898	10.0292548884232	-2.19925979198615	9.02877140134899	6.98709508589367	-3.11487630483464	-11.6196894852804	8.14073773312633	-2.04419681503185	-12.8544972629323	13.3688150951587	12.0121131250716	-1.64258344541083	20.5132673469149	-7.31883789132944	-7.68228924879247	-10.4281725440268	-5.8251413142069	10.5653326563686	16.2156459043003	14.191269313203	-1.58906140515821	8.10322558339176	7.01114405740588	-12.7037765598471	0.335010563461582	-9.11790388577843	-14.3990303373223	-8.11723252106387	2.05892007708206	3.5686940321727	2.793673739249	-1.26553000792119	-21.3018332125808	1.61280513088341	-12.5185886169097	17.3027062042014	-13.1536927918891	0.434231309216831	2.31697510825736	13.2979924317026	-1.39342246353423	-12.6742700721275	4.53055394605647	-2.90690950152919	-1.00159823729315	1.5361628722182	8.51775692653877	-3.13045495392374	-3.55971652917381	26.8395779941606	-7.73865350316167	4.02588981039059	11.657174097619	-3.79963433969467	-11.0114478702239	1.00184791140523	-13.5441578746202	-0.83509980981609	6.75102704967865	7.16224716190379	-2.9993620680337	-2.01564338045918	-6.02417210770662	0.760402740841367	-0.842521327390036	0.577795845475095	-7.18212280802159	0.730895287726032	-3.64972648579039	0.998575959123047	12.5572776535271	5.60832283638415	-2.46095068010405	-12.4846442828498	-6.16276087317021	-10.5767732059223	-12.7654466434804	4.69644067692368	-6.01941051289822	7.29521592703359	-2.62585383798922	-16.8780440071725	27.838515155269	11.0356898216003	26.500452594617	14.2901489496997	1.1022720020412	-7.21858157252815	11.4726890548489	-14.4478352712182	15.9473294384807
"g4"	2.71811760105548	-6.81693131781284	-7.71072238727184	-33.3610045335517	-6.34196797030715	5.69271486153198	0.801705670052378	-1.0039151752095	-17.7404432725056	2.02989870763585	10.3523882917937	-3.37245451839042	5.44794911442982	-9.84426849278961	19.753484085694	-0.736547830468765	0.951471033617584	-13.1300140785703	-10.2702543590249	1.84140905990271	6.66967770648571	-2.76910574029189	-5.80435273892993	-0.162758966114675	-3.92886704994412	-3.27291015279235	1.36892510714282	5.22056405653042	9.74657615811626	-8.73896993185356	-6.33558255292431	-15.7855229616335	10.0447763037706	2.18539031134428	-7.91239380532079	9.38347845297175	-0.623794462479931	-7.74117111329594	5.35152266725032	5.81368371281116	7.35597164298065	-1.72088163732226	13.2927792412048	-2.9683311775813	11.0361799621251	-10.4167524636475	-3.92653386624003	-10.4288554970016	-17.5299139313148	-10.8282647938368	-13.9568917936376	-4.32644125823393	4.56608467104881	21.5549815047701	7.26325944714502	-1.13786313497191	16.1982906248197	0.586117006658423	-7.0112685939366	12.348525825176	26.7874557758137	5.67882824487189	4.11755715478282	0.391567196718884	5.263577592219	7.74581471306792	2.20679819054639	-1.3835522228835	8.07276079965374	-16.8962645762159	7.29171419081621	8.35523790760066	-15.8597246775546	7.79670912708169	3.18586200487022	3.37314136716526	-8.9018605934328	0.705195814993547	7.15727695530073	-6.47519952426056	-17.4822145921894	-3.96432432544363	-15.2296636365602	-9.77931813567887	-27.0702290284607	-10.3195668030655	11.7585428087801	8.05320794654231	10.7957102631454	2.52647276401018	12.4111396877169	-8.4784394331616	2.35123867511182	-3.74458109893702	-0.897543426569967	-1.45023492675082
"g5"	-2.5112116398599	-30.3016881431656	0.737981205511831	-9.72846849138298	8.57511253217307	6.09561224409071	12.3885023357806	-11.5297858961379	1.67204047655922	-6.43360804197494	-3.08005541627485	2.90999656386134	-3.78066675399972	-1.14542746070428	-4.49617663979673	-9.33865291843743	12.721795052496	9.10300065465376	9.35667966967471	4.05047280260861	11.3164969794217	14.6693856799718	-19.8270172026138	-36.0476092087698	-3.18727101746795	-0.507866594559979	4.0642974612749	-12.1415811712081	20.6556037848028	18.686063675212	-0.297646562110643	-11.4925753449525	-11.2691576032414	10.9582996083085	-18.822057522758	0.853885823394566	0.901489940639111	1.83374414968777	4.04853751148292	-2.13216216195773	4.22138776560888	2.86129527467493	17.4976784520126	-6.8582727780532	27.8289526254644	10.1558526018177	-11.5282901970231	6.91844051577946	-7.2423246915892	20.4538990732771	-17.350609075923	-1.92262056694745	1.27105600786836	-11.6361225207271	10.6876809682954	6.71383856924011	0.558625874076638	7.84409764249193	-11.4188172730131	-1.90296478413021	0.467645604220033	-13.325443548531	-4.73417988411272	6.90484314128598	7.15370855374539	6.154076600262	-6.33487715589837	-0.63680898728595	-4.0541503223191	-6.30652207667737	-22.2552400927711	-5.4620291767552	3.90446047684841	-6.96692871332668	-11.0878514474694	-9.18956907062895	-0.99383503573101	-9.10898798316011	-3.24739200861417	12.0189078297617	-4.57643140464242	11.7276943008006	-14.2777908354885	2.18066270504348	-9.81757042457076	5.24641163716931	3.25602171164473	-9.71666471516037	-8.42743702938237	-5.3342220274869	1.55037338787258	-17.645623287148	6.63275039299391	1.56630603400291	5.8433778929191	-3.70089456357871
"g6"	15.1057472935402	1.65409061177525	1.46941468011014	-5.78318393323744	7.13159085529455	-16.0696668904419	9.4296505795551	-4.73811591422819	-4.11612659726686	10.0491151446121	5.70320630033417	-2.42398414117698	-4.04419188256776	-4.12931833286189	-11.5320333325752	-12.3080911307657	6.66011862317423	6.22498348304836	-14.0424790858642	15.6086265596605	2.20642698629183	2.0193044767929	-13.2906388872189	-0.00382568178121299	8.86348090162339	11.7756532192631	-22.2981782629583	-12.9654722414829	1.54184864907212	-4.57827273707264	10.936746416099	7.07762898898251	11.1946580113698	0.182853379065594	1.68737649712174	-19.9263916565362	-2.87871247975858	18.5730858643454	5.35756400602779	-10.5102738235114	0.0846255057051145	-9.32825124204324	-18.670996005057	-20.1637585256214	1.08053166144482	-0.227053800793793	6.90729173170011	10.4664535576382	2.14430449786693	8.83383492170858	-7.24599917536657	-7.48263283371689	22.6505424639385	7.06732863039632	3.36565273517491	12.8002655438249	1.44746739565724	6.11997383717114	-7.57084426897734	4.63744030731543	9.74516638903565	5.27944688956693	-10.8437100361458	6.13247976048391	0.100082194774949	-7.5420638533743	14.6956833627593	5.29347403234085	3.62562959970196	-8.4485223650566	-4.72906756017559	22.8522547313039	1.17130226491749	-0.922818667755139	-9.06184137753431	-1.48383472416804	-0.0928673286345363	-1.84739399955642	3.29123508638338	-19.4754390852043	-17.5232105253539	-27.5103639462081	14.7326026658734	-11.9940379979885	-8.6621094570822	2.62585806297552	14.7459525884733	0.647085117573609	4.35731326716142	2.12374541626552	-21.3983717825709	-3.56583294114198	9.8320747718126	-0.680821424963037	-1.3099875664264	-13.9781923380416
"g7"	-7.75712348223923	5.61656935531823	-1.16664365675658	14.8615587721863	-19.1919010176231	-9.17331579161434	-9.97061989042334	-5.56055232313523	-18.7359236472677	1.87279512050036	-1.41843950076578	27.7337113477598	5.44332535348043	5.59995798959697	-8.01932001264525	-4.38641747269207	-0.749983642278341	-0.424249508236614	-10.5721520680311	3.86427524747904	2.71455775429475	2.46087290014126	7.69798913533789	5.62781614149425	-7.65145280886204	3.18534011458628	-21.3401180359853	-16.7823218946737	-10.046862025601	-10.3584292469459	-13.7056790080826	-5.19083644257488	-1.6485271189761	12.7590167181315	3.10245217354737	-8.71766488847523	-7.16031193153939	-8.60334024592202	2.35207190066863	-13.8208402492915	10.9068238751893	22.3448203674027	-8.48319587025264	22.0303992094481	8.79847477138581	0.0500672085851356	7.2688540384465	-14.2789780828656	-6.78412650357506	-5.66729977136819	-9.6761069384436	11.0346492244784	6.57285703534747	2.16130634985029	-1.52072111418115	4.65964840953705	-5.15002319612479	-16.5593925654338	16.4465836182021	1.03601109290872	3.43485222872933	3.69316710404052	-7.86774038311913	-10.7555021400348	-13.7196150984526	1.60790511200563	-4.50698501263779	-4.6120723489905	20.5172671423811	0.262477904082672	-2.00647095044867	5.9883278605141	-0.437585487128216	-6.73965772759599	4.39354548467755	1.10519641187832	1.25963106230906	7.95289847272829	-23.9033765239426	-0.846196165762402	-6.75896966725435	-0.471329588329752	-4.83710706985087	7.06640433408669	-12.5315409261836	0.740682810311702	5.51495924830027	14.559278666068	9.3984509973651	-3.17975580169803	-0.710405661508853	14.6644603910898	-0.18334012673233	-2.45741487718292	-10.8421200326195	-16.6482566338281
"g8"	-0.262583302047425	3.19769327499066	5.50693734387188	0.6166167123249	-3.89541237667321	-3.23120519056215	5.38870224978122	-10.9743413726089	7.79206570719412	5.1037715475461	-1.43535789901707	-10.5229344464708	-22.7149631237224	-26.1067861400403	4.99247245573976	-8.67092180819535	12.8145123861333	-5.6610196704771	14.160019855352	1.43632673473539	-8.59922505795154	-4.28972692501147	-2.12532475389663	4.91766320284921	5.80198399855062	3.15266658043463	5.46868105099909	4.08128606085052	8.0137700017976	10.621804224946	12.6247602785893	-19.4946969683136	3.97855036997581	-2.01965069836678	0.981586750545365	-0.517126650027096	-3.73315722475185	5.59473789999698	13.4056705802357	13.3181866124372	-3.32624949812986	-2.91183796973274	-7.38328393544325	-9.74231637281815	-2.71020871247494	-1.32085431409353	-7.19198271979899	-11.5249342727796	6.13570246715035	12.2125496829584	7.12185308385505	16.3237149857927	14.0112875238679	-7.32923530931578	11.0696837673036	10.7656616772845	-4.38434298357258	-5.86867612629827	-12.2671904437998	15.9497285059758	-25.6288297010395	-24.0066147908348	2.52258743866033	4.1098121733578	1.77514206443679	-8.08576477251152	2.21629462689498	-23.5919392708601	-2.06071640649689	-1.21831521407986	0.448346210502076	1.63461161154963	9.85810313315386	9.74994964457495	3.44484777030859	8.12331327160292	7.11656644584007	-14.7205864882221	11.767295039194	2.79336606634834	11.0412580451481	3.70754304338863	-5.70173703467716	0.100336150507746	-0.508379662638574	-17.8117027810073	-4.90465711200306	-1.36351732434038	13.6127293437333	-6.8681117624074	1.71929538986418	-1.36870479752455	10.7494722195735	-1.35583996813665	-4.4691133422284	7.56829841084373
"g9"	13.7462921428019	2.99630935962307	16.7222159166602	3.2401210189378	8.64910139979456	-4.50838363968067	5.60164406415847	13.2968708428466	0.624419006450211	2.02790134999636	5.83241214110057	3.84779395733985	-6.23105071399583	-3.59342996463828	-0.716967215811563	-6.34238715753268	3.94967687381403	14.0384166296856	-4.7130291692068	3.84619932639094	-4.47362471124995	0.589155911281549	14.3834964474705	7.12000155670457	9.25256080560778	4.40728267740314	23.7099733818767	-6.3431890798099	-5.55676744116344	4.60919497955463	7.53379933174952	6.96456652723228	-9.31058547810549	6.29082763637629	-12.5938425650112	3.50392078162822	14.2095438140931	6.89036947141105	21.8577933039365	4.16318826356629	12.107546396752	-4.4861561244308	-11.8765676228895	-4.63992238382044	6.34641781582958	9.38605838054018	11.8628404625315	31.2072998304384	-2.16971357763461	1.70124139308425	0.246362440304159	1.72792762540995	-11.792895311237	-20.3845025313605	-5.74917932333503	4.18647279200287	12.3025903405287	1.82096761915098	-0.757619880586436	-6.10344054145082	2.33930554708801	2.67472819652475	12.5092497390882	1.66618937956965	-9.75825964049026	1.54694023237117	7.9278686781335	-14.5958848170094	-6.85961774562001	2.7177804489205	-14.2348335973989	5.44767568651823	-10.946787496027	-9.47386177537204	2.54066568035242	-1.83907103215613	13.0463266053933	17.8635736482714	-5.53846051722623	4.30760244080486	-5.8455234194107	6.41269383715725	9.26834286212523	-6.23010742125717	18.1285659839014	-2.57794703031894	9.32279354364469	7.00414323603694	-0.665261826385556	6.74924673943161	-9.33229763524024	7.19804268446996	3.02684971630669	-12.9418842331048	10.9673661075598	-1.50029776710492
"g10"	9.67405947336898	-15.0845759720841	9.35315274169343	8.97221475483882	-1.3059226379179	-0.162508183438107	6.25321245892153	-0.97084005243628	-2.2834808338051	3.16099719138511	7.91476662735909	-4.69611210749087	0.368437244773016	16.6874464612576	3.19306815197241	1.41119533243976	2.39713959305434	12.5868601892126	-16.0865066328923	-6.66039220980078	-4.48190199059134	-4.79657130023098	-4.34234021984326	7.15890727618653	7.24914585996966	-12.0549525997281	-21.1636653564556	-4.18248205823748	-14.2310149282057	-6.23707902547082	-6.0275905704498	36.9378350683034	-15.0213053682043	-8.23017244831324	5.61306873749868	9.88556843198273	-0.624987151434993	-11.1970394122946	11.0428541671621	20.4861306989288	6.14405397891219	-2.4699515776587	10.1864848676785	-13.6008556355476	-3.03752420809037	-2.54609899066546	-8.58258999283191	10.2672404504246	5.4468629502059	-14.7988537290129	-9.37965941596397	-8.30022301445802	6.66724979631259	13.8213187474977	4.86540180920344	-10.7476372157149	-1.71983735977291	4.80055047674267	-12.0212107640023	10.5603358633658	9.78611344358244	7.84147160576691	-2.59797006897672	2.46945028606706	22.4555717033665	4.30718710279616	5.75320506319627	-8.30268262218171	12.2045023859325	13.9832424661763	-8.61109067664721	-1.87391294807573	18.8859392585941	6.28902380011219	8.88434535733539	2.25692312771149	-3.66268510150436	-1.48844178624862	-4.75855112439322	-2.22203588777831	3.66684899380648	3.72266499990865	-5.13380356651462	-16.9076554095328	-1.94852736698405	-5.83804176715779	-11.2663019772994	-9.03992924994801	-2.58695075661827	-6.99734208217507	3.2751360107461	-0.895307347484189	-2.16318847705223	-20.345147952073	-10.7929133928692	-1.19042852099205
