"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"ctrl 41"	"ctrl 42"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"	"case 41"	"case 42"
"g1"	2.9110629957115	18.5128088367034	-4.03934033548674	2.34031803916422	20.8554113318249	-14.344803468474	-1.66723879551579	5.46670689673743	19.2470363487782	9.13973718102593	-10.829195066058	-1.16776143460609	2.85462716298385	-4.28644241005063	-7.70373265646285	8.59584218784492	-1.12560051378144	-11.515483335812	-7.67830920841951	-7.94883208870217	0.0108352472166399	-1.23465478406055	3.06807764474973	5.48393135412875	-5.57773982896432	-6.39804759008428	-25.9109819911708	-11.3693596478178	11.0052911852387	6.3334067123798	2.43220240886551	0.0153760049659761	-0.82002531870257	-1.93658887164727	-11.0290786925472	-10.9506099588861	-4.63157936331327	-5.08015474781886	8.44028731685122	-5.47907516941382	1.0103687035478	11.2495088344097	-3.82935998514275	1.57481825142094	12.0014057392692	-3.19527788332647	-1.53592326840047	-4.06936752421674	-3.49851558879331	-4.8387221478819	-12.3060864676553	-3.99558823722506	-2.12662303180486	8.74484865722392	-10.9717962066013	1.96341638541457	-9.46471145802379	-0.324300273529486	-11.3214567269622	20.3912421724538	-0.61809745545972	-5.27843725395899	1.87268326121448	12.0823573860791	-13.8109804192173	12.7812801102105	-1.18400759000197	10.3677359087914	-5.43566433645725	2.02352845872482	-15.2070196330021	-4.95253387886083	7.03324022284832	-7.74867874436572	-16.9912801778438	-8.23771788829648	-1.13558970983084	-16.9000823082123	6.09361447322183	8.8095693497152	22.692199270277	-5.28216426761133	-0.999354865990123	2.61130152157347
"g2"	-5.46082883374913	19.29902897174	8.82324666499864	-3.37682821379047	12.1925341620976	-2.9675084983291	-1.29530508097945	7.53487559274591	-7.2931777181091	3.26751007675263	4.11310507895983	1.0758066581129	13.2700849280594	8.88323272145887	13.1294689686605	11.0839430481806	-2.90742198361974	-0.5567186031668	-0.942028963973112	-3.42923517329689	19.626111997963	-8.03630100393783	6.85306460940295	-7.86337968575951	-7.19578498307578	-2.21440450985467	2.64258578277039	8.24914490645405	19.3529532404464	0.360041308436858	4.50858526804879	2.03911713766972	-8.71853980312785	9.95007996284631	-17.0891794577213	-1.77324421031995	3.45979319274194	10.494423408433	11.4555518357597	-10.5081528079927	-5.77632637488146	-1.81159056343946	-6.77741361492946	-2.93245752570586	-7.24616055584596	-0.0904358158964832	-11.9774963421667	-6.6785187907088	-6.23601276837408	7.96907648107219	-0.621094899403022	-6.05701773363194	-16.3592403692207	11.9624054692894	5.18568665765028	-2.78088307849543	-10.0509006377099	9.70138870631632	-4.92286194256202	5.10656896469593	0.404499568585981	2.27976088689188	3.07879344056269	10.5842546279416	-22.970380312269	-14.2643968398809	-6.86878710667709	23.8521883607913	1.13496975331609	5.88220429678713	-5.58122833249834	-7.84540394701212	-9.0432358886646	12.282435870402	2.61525066489276	-12.8365928722623	-18.2621035841984	-9.5764200882289	-1.97824678453163	3.96824912823648	-4.12238285193148	2.45462977479992	-7.42049100822898	2.04146106603547
"g3"	-5.02171986534479	-4.02637352463779	5.96468417084851	-4.63198722207369	9.9465344594847	5.03545805581817	1.33346590271438	-2.71077359813336	-10.9997715953719	-13.0502255567471	14.1066030447542	2.37151955225076	19.3134631904938	4.61660610717267	-9.62543872837869	8.63734251986939	4.25433937894277	11.0042816251642	-9.27251066882298	3.99292142448187	-1.28975453966909	13.4391868942	6.97938574963855	19.4321957039882	0.561621200592688	-1.32185928323437	-24.7330871312931	-4.08181414897133	9.29144215046088	-5.11256670694011	5.58075644225313	8.65580180240275	-3.13783919511496	-1.14242145406526	0.117775003503421	3.36358932098019	21.1783668340508	9.59652565728961	2.33855439898675	-4.73774139826314	-5.11820106541922	9.45603858046164	-4.28175462080917	14.842070384308	2.47378912203488	-17.0482218071502	-4.25035229776951	4.20925772949063	5.20346557531184	20.5284424126567	-15.9073028056057	-2.53795900002462	6.68864607894358	1.06096373213061	-4.76142989849089	2.55629786170912	13.1080021067372	-19.0350273479057	-25.0698954497549	-24.8196883990504	-2.82710840816732	2.23633517609462	-1.68298443657623	-27.6761380943268	-11.7983989725275	4.50171098159865	-4.74572544216451	9.14172577890591	1.20434514078721	3.56943378165348	-8.83182666948456	-11.7959317952378	7.10498368794517	-1.82237632090676	-2.53884384367934	3.0135506746408	2.25473672592443	7.40695106688103	0.380117267498195	8.15576608065683	-1.9565146070157	-10.7171145093962	13.6078894961446	-10.3514714910183
"g4"	1.42957464768534	3.95113690981041	26.7548244218093	-12.3410117214226	-17.3614597273745	-4.72750377746456	-3.31276070944894	4.1333687751424	-24.085859005571	-4.45974721078979	-7.18460910929353	-2.48115769479027	-7.39366839322138	-9.6223347703165	2.26588232531567	1.66360782340855	-3.41355282500996	13.3695637318379	3.08899368426728	-4.91157611285223	-17.902491680805	-4.60323131887771	2.91289732911687	11.6072645440196	15.7257843447663	-6.79598750353548	13.7045388866699	-11.6836053655339	1.78507343283548	5.90012704385224	-8.92480541121128	0.628197948524057	5.29370246773344	-8.06341265745959	-17.6513349189053	18.6667502509897	12.6774224851733	2.6997290083027	13.019886751451	0.68831323003218	7.00214300515518	-4.66107163325556	12.472244410778	-11.7200659167292	10.975112096013	0.206844813965001	-7.79654732932572	-15.5311022500721	-6.05862518984757	-11.3710946547228	14.1380051183669	-14.6195661666766	-3.22078395302622	-11.5896123022854	-0.966820925559387	14.6163193852129	-11.5957663136005	4.29600258044611	-5.74960638162176	7.05050979860042	-9.96982563382457	-18.6840076279422	-5.52865219053913	8.92062324447113	-3.49217809191282	17.0130839826265	0.964159475630465	9.12793950834963	-2.35577598491335	7.9216493818307	5.52980683781583	7.57195276526962	4.38941994740509	-9.60650392970992	-5.06312256860213	2.76990236843676	-10.187019290885	-9.73787529252553	-7.61901841106295	-4.76261166223559	-10.7042101396952	16.2121308840502	8.28565942240948	4.00105200749227
"g5"	6.21902013894096	2.08538830290125	6.1858843878119	-3.05918290243882	-5.12513019010226	-0.0627141263725643	-0.325489972772879	-1.14635999679475	-7.89535612218187	12.7654188675519	-29.0078396433459	-10.0613080828562	7.88359573703731	3.39522962598274	11.8727968511718	-1.94142923511307	8.87110674771892	12.2791985110744	-2.84299033103323	-12.7125233439145	3.96305244409542	-2.84713687687761	15.2592179877837	-7.71398274216984	1.12273263622764	4.71316882562351	10.2944788843928	12.3176590640508	6.34720940097277	9.70325239786578	11.1377966864908	-9.42409821324608	12.2805261530472	0.901464438637899	13.0810896904565	-11.2324588653562	-1.74710334223722	16.2194429486742	-3.79401865449869	-2.13386890457536	11.9574323430947	6.27598637132358	-7.40291563994494	-7.53505119016815	1.21260848624929	-11.5589548385287	3.8043819908754	14.678001982082	-8.30075885979084	13.6740963617508	13.6843044736823	-2.74074338793824	-4.76264891052292	7.12766355625319	6.71450782514783	8.85351202568325	-0.222116039831707	-2.18858421144756	4.7786129476591	10.3855668414116	-8.92844312623046	-5.96802690129894	-5.53898112108468	3.17662977350502	-9.61750595146897	-8.21953877146868	-7.12649626660899	9.03926624821371	12.3618952638295	-1.99379111522123	9.92487649526199	9.737316997561	-15.5249280634391	-15.3995270315026	-0.856352781706386	17.9489890295155	-11.9129296175599	-15.4772432224014	-5.75360494568564	-0.23504451562799	-4.31260673349789	-8.50347735518594	-21.1181757171581	-2.52675963218938
"g6"	-15.5436331700975	-0.443900630711025	-0.128398779016673	-14.7279876921152	-9.2088819494383	12.3575161571164	7.92066658087032	-8.79879365057503	6.68347456469975	0.606247231145515	-9.22889813248645	-4.18749247617828	6.86966354611303	-7.51955991760043	-0.711875662737203	-6.82869229977684	4.76836669769447	-8.98445969604449	4.70367939065237	6.83278036067402	-1.7226459039217	1.79693187974613	12.848002420631	-8.36472102384563	1.45015605751532	-23.576216595382	13.5477583791145	3.62683090080458	14.6936194042752	8.63370838240813	0.233718793560787	-6.67483992807291	25.4250638098754	-8.90549097175352	18.9441104746645	4.88444313863681	-15.4793204776501	-18.6061070530664	-6.18844035366697	3.60595395744448	16.690192309117	9.50458802730301	-14.8486148270344	2.12053952474518	-0.798149720549512	9.49887869561932	-7.32521778058435	4.74183910117483	-2.70158902457953	9.01243607337678	-8.92150853929195	0.800867562257169	6.68302088710252	1.53539946540554	11.7351616998682	-2.30280538096177	0.498206922328266	-1.68309611909175	-2.31075612638614	-1.31528079591849	4.49279668572858	-21.4773949198821	9.93290410805006	3.29206412823413	-6.74855816037652	-7.88538196723413	-6.2274106794774	-7.47930807881974	21.1144012974022	-0.616404136913134	8.3764859257863	-3.74570346913578	20.0423190402294	8.71491560339778	-2.0161482631759	-5.75443215482722	6.13942883142443	-10.7788928351289	-1.26915729783399	0.505810500539931	7.03798066103198	-11.4252237135266	9.68066849891324	-9.23366161825231
"g7"	-1.59356875342951	-23.9053053231791	2.08232109149139	4.72322414713988	10.2165747938702	11.3622110639854	2.29882452833433	-13.8049386447025	-11.5573117343116	9.28522237135075	7.91881214480298	-12.0301110743529	5.3647082981343	-7.09360530202231	-13.9020459549684	-2.56278841583363	0.784989508559462	22.0886432537908	-11.7452842470249	15.7110980240168	2.46590449918392	-16.3166646545923	5.31943931137498	0.798671199296343	5.49241687190443	-9.87207893525498	9.71549640884758	6.52732795617397	-6.59808150834726	-16.176366751392	19.7676726029118	6.88922630787687	3.04533796853135	-24.6352180573426	3.57946363759667	4.29281965627667	-17.7177876919653	1.50780506145643	-1.24235160096807	-14.1496381720864	3.05674447241143	-19.2589566815043	4.38923216506191	-12.5140283136489	7.28584474367287	-3.69898307297793	16.8145257342823	3.18958241804163	-9.85222945182543	16.9373910619346	-3.03191978294898	-1.62016179267375	9.05888450638116	-2.22653488774237	5.93190745551111	-10.3594826677717	6.99674263277254	-9.30626823669905	11.5609396587318	8.36370269170566	22.0793874436742	-9.4614492267722	-13.3832799303663	3.67059743264264	7.35718459864142	12.6914795338981	7.5327957364453	-5.43621640583437	-10.6319068098941	2.42982713289107	10.2537923527845	-3.6292863864034	6.28923941298008	12.1416942563894	-17.0202442441032	9.63226906741347	11.0713115573537	0.731311036115149	-1.42147881007364	1.45829146308755	20.6662622014935	-8.79633107935805	-2.87955275336942	-20.1364277158531
"g8"	12.9145371586409	-6.88357975797845	11.655858046901	7.74299505037707	-10.7495627368786	22.6328927746444	-9.83551361764835	1.26746598178452	0.181997807949942	10.5453126734147	0.380421516829572	-0.439951699071352	-2.58148938004933	-6.16799871006419	9.53891642046331	-1.06087216787033	2.31700941922022	-14.1672299817753	-9.05292255433804	7.71179862116671	12.0916792760809	-2.29033761733456	4.99544518835095	6.96765286904773	-3.46092794393746	-6.85335037778	9.51347064754344	-0.97243496352204	7.11585823028161	17.2310687609198	-12.7026064056434	-7.3446855501955	11.2437051473333	-4.44028625171034	12.9066127173969	8.16056821487654	1.87126963725	-11.9956480216358	16.7972775457575	0.306243818960394	21.5425570572812	-19.7630736971842	3.08512170268535	9.01711069467848	-9.23466547834244	33.5371665212387	14.312358348056	2.20322748781712	17.5291957543104	10.5902006696334	9.94865617338921	-7.52468932879871	6.99586340087982	19.0765368849818	-13.9296868417212	2.24653828140574	-12.1708561894052	4.57960916543988	2.2356801951312	-3.50300674258104	-0.791252695008509	-3.26453347512753	7.03336095821006	3.6446885109015	9.03124486010051	28.4779083504212	-6.20126270259502	-5.08127091810362	-6.46756958677532	2.34155755255953	0.406191439459741	-1.53371654844005	-12.3878260508511	-2.68411748905267	23.3485749746881	-22.3584350867345	15.3534379354762	-0.81723189538744	2.11535913273589	5.00755408233172	-3.87757182669942	-24.1907867278307	-7.62962245600234	7.13267461455421
"g9"	9.67807510004619	13.029779112867	-1.88194316295725	-7.0387372745805	-3.86610171797658	1.60701047978301	1.58536567137896	0.549247530762853	-3.55122868793753	11.0620761444238	-0.945220105334188	-20.4529061199116	19.0108910884188	-6.57900765688254	8.22098922242654	-2.54154209205363	-12.7947594773264	-0.555814349574669	-12.6628314960713	-7.13346784224878	-5.92772765951413	0.662578843078226	15.7385044196135	-1.09395432618069	4.37793731048838	-0.289110281451525	-6.58640142254457	-6.61010254564347	5.22501956877624	-3.8252003002556	-18.1006417731191	-17.2427981729904	4.80580388839228	-5.81072348398274	-23.8191507816332	-1.86972993541337	-0.498364143498509	10.0159713913988	10.9711566722214	8.17172928946872	-20.6241874460014	12.0608221369478	-9.83557510666071	-1.31172032088109	4.29055697466336	14.2719142877671	9.12850313971196	-12.4016706548427	7.32048117717332	-1.824631402713	3.98864114945545	-16.3089645624205	-5.29211611447828	-1.40985763608795	-0.917240256945462	-8.13268324857359	-12.2866858695976	9.93595459572335	-3.75894590953524	-6.03769208224118	-13.6992167464423	1.03192865325971	8.11991616841592	-0.56270227223918	-9.70296913231802	6.50132767491193	10.5915495343021	-4.60556486940252	6.34468521687421	4.87737582801661	-2.47927225243619	5.48731957157564	17.7579978902602	-0.477830474790344	-6.60225575246198	-5.72959898177265	4.17903187873706	-8.07084763457106	-7.05090262667902	5.81320175009099	-1.99720540321817	7.09885219441433	-5.89730460595958	8.1156710883518
"g10"	1.37887898912964	-0.715569597140746	5.30602984479534	-11.4809811007386	-0.455566160353828	-4.46616892607923	-7.11089250738626	2.45990687424861	9.28311812238156	10.1173207699543	0.667100983781839	5.61553091148927	-11.1953130704283	2.22898340087185	2.28061938036968	6.76649176621186	-7.05979087404918	6.43789271881228	-0.985567115429774	-8.01997468147196	-1.15687552608826	28.0423569403999	11.113281484925	9.94338829084348	-7.75247303156327	3.19050944944584	-7.22769052505409	14.4840270659119	25.9573191583544	19.7257701956927	-12.2134094309009	-13.0183766129905	-3.74144907747723	-20.7900534774773	-13.398397983124	0.338492980847907	-12.7137937825162	-15.2692289521345	7.39678442559967	1.68791510579305	-12.8703767236115	0.585415436319211	-4.3479876495843	-9.83995043086854	-1.39374380533969	7.24895124874448	-8.59683332750589	-3.3775600499692	2.88964487762048	9.81091248935705	-2.99698590698416	4.3150508073239	1.06697503006882	3.27493079065017	-2.67532348910705	8.90895268469033	-9.75760705474504	9.75128635511286	-0.425421607479282	27.711055544288	-5.1139672314548	-2.07276979232034	-13.0627039592057	0.152119144994834	6.30096472525194	4.67637398709832	-6.62489624047378	14.4357576470846	6.30220571114972	18.8279091321147	2.85207947629192	0.659554989463996	-3.93411269610561	11.0243719220332	-19.6941723634097	6.02611683171104	-11.1920030870161	-8.29420215416614	8.51342762521515	2.59095442800492	11.097693244518	14.1578128950031	-3.59889763471583	8.3796547777663
