"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"ctrl 41"	"ctrl 42"	"ctrl 43"	"ctrl 44"	"ctrl 45"	"ctrl 46"	"ctrl 47"	"ctrl 48"	"ctrl 49"	"ctrl 50"	"ctrl 51"	"ctrl 52"	"ctrl 53"	"ctrl 54"	"ctrl 55"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"	"case 41"	"case 42"	"case 43"	"case 44"	"case 45"	"case 46"	"case 47"	"case 48"	"case 49"	"case 50"	"case 51"	"case 52"	"case 53"	"case 54"	"case 55"
"g1"	1.90796743453214	11.2571869817823	-3.03769699888701	-3.43479530599692	2.03029273011415	-17.1249612381604	-4.08008133923709	-26.4337574222443	-2.55134729054978	-7.27905392715306	-0.451321002558658	-8.65077136606986	-4.9783056304402	-14.4302883614289	3.22948833541277	1.93482283991806	8.25297596846807	-1.11084637113612	-3.06996521817496	-1.78781395774421	6.58836683089284	2.65833976558718	2.52286137966051	2.42538776727652	-19.9048338113392	-1.08811914367204	13.3491357327297	1.85628448279231	-14.7527309575483	1.47035535150619	0.0576052861930895	-0.210837306847122	14.8967672786056	-9.85102354003855	-14.1102735273866	0.444894857050179	9.34563352797814	6.16542249819263	7.71542251943841	-22.232364294147	15.0042668810375	-13.6906889865344	-1.22326600910951	6.18432408364051	-3.39142895396415	-3.36592378047523	3.61931871633018	-4.73223501869106	2.6919000650408	-1.40548379339863	-0.449509875973554	-5.59689473577602	-9.71365883607172	1.13386615707671	12.9268193051437	16.2218447952808	-8.78556289608192	2.88707309231534	5.91620443905748	8.14338679706068	-1.12755828232954	-3.53623406424676	16.2315851925316	-10.951185906733	-2.34169628646259	-12.9996048663076	4.9289883276375	-4.57882898132887	-10.2880572692058	7.50033516204342	3.28182403196397	5.76804715992468	-6.33768246798472	-8.33619232346937	8.71656627742202	0.788667623834177	-7.68764598358101	-0.532703122042811	-6.52480676137549	-7.22337498343558	-7.66420133552107	4.40763701336808	-8.33224180469725	-2.63922872371331	-15.866787935928	9.25802050907806	5.76652070009415	-1.1839213979807	-6.04103974862766	-5.18939729947369	-4.14617516346606	12.3462333763863	-8.12423117670051	-4.4525380735612	-2.1205629217289	16.5900877347639	-0.197516166676165	-10.9569965297765	14.8019896170812	-10.5570158188455	3.0681526611764	2.12747294725198	-18.9288955054096	3.03597712932195	-8.25373282579894	-16.8875435906514	-22.0076482309467	-14.8007640711282	-6.11561225925952	-5.8685042969743
"g2"	-4.77239736288235	-7.70837198279877	1.92226718095262	-11.9356837657418	11.1791416594948	-22.3006144003137	-8.4380400180522	-0.241363110060819	-0.209300812314161	-4.59688250473963	1.69983551490478	-6.83877003063474	22.386329094291	18.6608114861591	-1.59223308586806	11.3694973434143	3.90184405253504	1.91015201589257	-6.69775306378099	-5.78501368827099	-20.2280814522287	3.26495140732176	12.9271442261942	-13.842599160515	-21.4600071896966	-1.35069911482381	3.88533869888817	6.34134837331154	-7.34226100460631	-10.5583634112078	-3.47099334216078	6.13751693992157	11.7888321149459	3.42769625200553	11.2663082905876	3.23486229418885	-10.8162107053113	3.40071925434353	2.39483637708475	-19.8709641942825	-4.83226328986756	7.39042038438359	-8.59287974361325	-0.778762672976163	-8.74814725956697	-0.772897843550858	5.27147361636402	-3.54766668653523	-5.15771677333148	-3.04863219063038	-2.85188339443693	-1.90232835745437	21.9089850952283	-8.69004306852905	-11.4681526881685	31.6942222215025	15.1642575650003	-17.1667861956654	-4.06847916122534	6.88863932974728	-0.455472282982492	-2.91336736675243	0.349447389678593	-13.5239719509637	7.63094520690295	0.914272250008712	0.391295980677894	1.88672799204277	1.57079074261622	-21.0109050969602	5.88358204685999	6.56962669209981	9.5740182026403	-6.14709182518788	11.6296670031485	2.08723775583967	-0.28194269605087	0.141891279747801	8.75495436816422	3.14820740848517	-9.13862282859541	3.41273374955512	-7.52287794106936	6.15792404347534	-3.00502369853436	-12.2801796063173	-2.02363598273092	7.19789143736929	-5.13555241459359	3.33365545524949	11.3657704500082	0.49104176583627	-12.8342878644305	4.24748778611222	-6.72970518520933	-6.30875765674395	-9.87052913827028	9.08512223468208	0.783170108608704	-1.44324166507758	-5.85598808319809	-16.1959873587265	-3.4420970442555	-16.1773286101754	-10.9951269688736	9.19371117139512	-0.954666025933181	-7.83707180203914	11.7401333056594	-8.49432590516774
"g3"	-12.3641878995003	6.00619502444455	-4.66008709836302	-5.15072237102987	21.3980350459677	-24.3895932643001	6.20888606614608	25.8321387040471	-7.90603553137279	-7.47119273532216	-10.5989109592884	6.50990801992499	16.7574802792999	-20.1367218481668	3.10824238227227	-28.5666596715231	15.6762670177749	-7.3329510472383	-13.8404124914779	3.44490215634786	15.5844966267867	-3.60835390547403	6.27438774527769	13.7917727900044	-10.7093228187412	-1.7368797699145	-2.26070640567794	-6.39619655658801	-5.37312241203482	5.44823776142157	-7.8543901998708	-28.9352581368394	14.0433996781223	-3.55723311187253	4.70885236756671	3.6457683166734	2.14922018594337	9.1275355234565	-7.57624952990466	13.0771146014245	1.49632310546328	-6.37968534054087	-0.732475774151078	8.69541161286498	-3.41399034351987	-2.7043042967187	17.1708381134252	-20.1797772808811	-2.90540651890731	-4.70794427098114	-21.1394658137086	-6.6427146462754	-4.67853985516295	1.82784690382124	0.23297783566802	-0.896293125383741	-22.4522034380882	-6.42589874316199	16.0996796529435	-3.47053541692469	-15.9773166990003	9.18395241739551	10.7691393985789	-4.89946495342952	-7.21072789158983	5.90310274310171	11.4720905673776	-16.6943526432538	4.60314788565188	11.1810891422498	-3.2301901284032	-14.6635013800533	3.95707480801818	-7.07341498812	-4.47934909275748	10.7939052422149	-3.91779893221645	4.59090595262359	7.81457625335198	-23.1638459808592	2.35481536241474	-1.11630419993673	-15.8548968287415	-12.4827818349096	12.1729654760605	-1.56431117714547	-10.2822597919019	-1.95928913942923	-5.46451639343095	-6.21916763162004	22.2472834105964	-9.77853046448764	-0.985880842789911	-4.85666866471912	-11.6785943046945	-6.58697778817412	9.39269171708633	-3.88796944939518	13.3504667082157	1.94799757494558	-14.6769475593533	10.7879251816764	-4.69322892047956	-7.83867542105881	-2.77231956355871	0.406884280272645	4.54335179726569	2.83094413037723	-7.51131851447507	17.7226663260368
"g4"	-8.09867774080133	3.29353061987594	-8.27571002201084	-1.76576259503502	2.48091419621801	13.5186659026491	7.01860542955022	-5.26806549181788	-24.9118539466153	3.20668814214588	-15.4755038951758	-13.9340170674664	6.6088297549334	-5.94836433134094	2.23791699382263	-7.47224873632011	-8.39883743807368	-2.09676790682362	8.62161631595844	-7.88822964485385	17.7287957186648	5.24061343760502	-1.60003177835851	8.83217307052804	0.1218787266925	8.09413782684991	1.97069148944027	-6.40953886745976	0.836114776382574	-17.0565335610848	7.96182164122371	-2.18934518171248	4.08398973078905	-2.32203712513001	6.5002289816223	-5.40783313239509	-15.4361516341878	-15.1789995298562	8.5324822460706	-7.79839148495128	-6.55521815336755	-16.1426960005151	-10.6244364310257	-18.3150267905679	23.4279822613292	-3.57119738230093	3.49667973082987	15.5396569618103	0.723900413820576	8.10655503561614	9.99799087834642	-15.0403738159468	-4.98390209104994	-11.8666291882788	4.1541143551815	3.43190410201973	2.2464512415379	-1.66344220218044	8.38345389372893	2.31695705750405	-4.24702484952492	-24.336327884281	1.16905324095156	6.39907794479555	2.82457622630949	6.70644864840559	-10.171896929288	-13.1685593712457	20.623210788869	0.418363123223615	8.49403854104813	-3.05071541122775	16.9574070764257	6.52637308747162	21.3078951345294	-24.1412771222052	4.59718498338228	9.47828619452768	-13.9772115696271	-9.46944914456859	1.74712472925673	-8.26052439212689	-2.12445418488035	-6.25727554998221	-5.80857509856925	-9.39214654504815	4.92670836973682	-7.09100977793087	3.16318525841191	0.463264306336919	-3.4910082295202	17.0582366173896	-0.118455732121159	0.263304947959803	1.78398013244349	12.8191304246784	3.75084719731861	-14.2830412312055	-9.31028710968194	1.01631117659811	13.3402385715647	-2.11904553646981	5.42080374529492	-11.4147441860487	-4.05719852583457	-5.67648668782277	-0.987797528036158	-10.7258726452409	5.79142735728419	-2.86042250370338
"g5"	-6.26315000134743	-11.2258735101737	-10.4734175185492	11.5155325554721	2.76210715894914	0.102828050199162	11.8995673341706	7.35311908935348	-16.4963932802868	-7.07823907935972	1.17877166235008	-13.9641539197983	-16.1591550540605	5.65585296348736	0.927199265487783	8.26656396375927	-10.5689578967209	1.03190697673672	-0.706870722838535	-3.93154414831742	-1.83676045564517	-0.210664994575165	17.1726096891814	-5.28951230282044	-12.4740820855594	4.02460105228445	-0.996863430202706	-12.7505396741525	-6.50247491875544	-2.95081672447376	0.60439028520039	4.38020569401014	13.7065853045869	-9.14706037162591	-0.15931588170898	0.716112111076849	-2.38813235972126	-3.38975798251618	-5.93262065609987	4.69143121866753	-9.9561177159954	-0.902614360499132	12.7955386553383	8.80037193618797	22.3113736358222	9.03306154474953	4.39003245446897	-4.06203593600619	0.536282905748839	-11.1306156871827	1.87932608993361	-21.8836093112761	2.84739114073465	-0.786270579681497	22.7300946821271	-0.920922430709896	5.45216908329106	1.89407726779432	3.27908949773478	4.35547487457432	15.4401783271556	12.3232654618572	-3.76231250979191	5.42511303570471	-7.34772585532049	13.6561669515055	6.81062142730121	-9.54269975588624	4.19234323604718	8.93488632420724	6.32663396654847	26.2111159829261	-9.44946042689479	9.70031209351666	7.41681247881225	1.72066198828072	24.3833385794797	17.6731413121691	-1.09058715570646	-13.8631089871277	-5.45508766752423	0.0800378429764484	-1.32357290388958	11.6166101380801	-9.64257905538872	10.2354293920253	-1.44257776286135	-15.1068332374814	-2.60547039150949	4.22254096678846	-11.9520273606	13.9436290370502	-8.29897899460482	5.03835333880552	-0.333224546171418	12.1710887225898	-8.18283185078089	-13.2538071192795	-19.9839402289116	2.93858472206484	10.843130546071	11.2644875746648	10.7612028102809	29.8804337702926	-0.979656796907435	11.8493247627084	-5.26090462351949	6.86871786611929	11.7252433291414	2.68192111104471
"g6"	-9.71029093313936	3.92197092969464	-5.8010927903561	-18.1836997838006	6.05334912346312	15.0027007447704	6.9984555799289	6.82989278981604	-5.61241877466962	-4.70975749874073	11.7744113762775	-3.16005592962446	-9.30069360575407	-6.60111961225844	7.90895218138882	-0.223719596515605	-16.294823607654	14.2537320361834	3.46560196696492	-3.12094385944932	-12.2640093524753	11.0695140118056	14.530885551485	-12.8800885523356	-7.07294682094514	-9.35722246972188	0.0413250423848748	-2.7294918125418	-9.71403125339454	6.07774271671011	13.7217633471648	3.09723583308967	2.40856676732261	-11.0499523470716	-10.0302605941228	12.295654927523	-7.50098005956336	-10.4627631321871	-2.49962175174625	-29.4563323024757	-7.16981835026562	12.502256711978	-6.29191050400008	-23.662475873631	7.80488894259739	8.02270844780657	-5.36712370949761	1.00272812908198	3.94465888565894	12.3120428312748	-14.5928452969401	11.5837026654025	-1.43500180618735	-2.85613622938248	3.97597075505285	-7.6088596795014	7.78882062019678	-9.92793273236577	7.08116850246869	11.0700667895223	9.45459414503205	1.15014022170577	7.04687867470227	2.20690822436604	-2.37494620782485	24.8457800373738	6.05738203864692	2.17337995892119	-6.55485792719486	-7.52425830270265	-1.24876803968234	19.0467925777531	2.79159973216126	-10.2204138317611	-9.87716179177477	2.85568914320719	-5.81653602868698	-16.9222966605917	-3.97684213110345	12.3930444882556	-21.646985793844	7.75163086870817	-6.42870968286838	-2.95815286318977	4.88386763016022	12.4386516299029	-1.55785185256533	12.5587490436253	-9.67988424845027	9.394553580323	0.26706766751072	-8.35168382007772	6.51628940885318	-8.98573079708197	9.3938324233902	10.4828801080976	2.78971419121027	1.68223863813922	-21.2822617409521	-11.9026206159784	8.31008098744762	9.36473427909153	-14.8036408219966	3.15605714909773	9.80596251013853	-8.81205515656757	2.98399403679092	-15.1183405437106	-0.0475914493174491	-15.6299360157093
"g7"	3.77324411730427	13.4625284563047	7.28234726008611	1.0820244599534	14.3389143109917	-14.1957922739874	-9.83752954844719	13.2765864957768	-3.68659768890795	3.74360107893979	7.80363924591306	17.5671934349652	-2.30533247496087	6.35582554735602	6.85116670883181	11.9470731786763	7.3477227327033	5.54795219038369	-18.924414763473	5.86929587324247	-10.6967058617051	-6.17208979879556	4.04583048776222	9.82809255692137	15.5707818280857	5.83252317443053	18.4716586979442	-8.01844722167258	6.42359198602889	9.48676531285847	-5.3455033664892	-9.94810166940062	-7.22168746352894	16.8198470523432	-7.34492573577351	1.98131031493027	0.253932502580491	-3.41217338620199	6.8554273201799	-12.9251564189058	-1.58484497533571	4.06949617561121	8.88058093530643	1.95956515408045	-10.7221614259619	11.2740848137958	0.550947553488151	-1.23278558747094	1.64050271109251	3.27187000877061	-10.0876966370223	0.842820332440869	4.12121284198344	1.56309835362638	2.6014669970208	2.42138173827724	-0.83062699364187	-3.66850613979999	-0.768312136974319	-18.7263824820248	3.66736588629397	2.81105973142595	-4.56631555284191	4.23032463343916	10.6245063261869	-15.6832037948426	9.72310415113793	-2.48661829048667	25.8440835636627	-2.93695561309727	-0.714425957452723	11.7059036861351	6.09184731765558	-0.236346497992547	10.7909141935113	-10.7946393066461	-8.13144279624727	6.20737083920021	0.217999169622535	13.638321381425	8.32567852703006	6.24246727652856	8.66416192875433	-15.8943088835469	12.6485545106483	4.65614715095348	-0.323792091902596	2.95017012316045	2.54021170452693	-0.511399987612051	0.500959446437453	-6.91764395360982	-8.52689146615807	-13.4912835656801	8.70965188285428	10.1377641857783	-3.3908285790788	6.10557183291377	4.20101365380552	12.4208238888493	-3.13033911087496	3.71349916517341	-0.461511377087982	-5.32391367162907	-4.29147632679994	-0.806655761216544	18.8639444706975	-10.1825738550594	-13.6400445960112	-4.3511076715337
"g8"	8.79266634975282	-17.184955998006	-3.69403826474531	2.6398561458866	-6.48034029926891	11.8814253227654	-5.70269468207964	1.75224154230085	15.0773803776688	14.9644832772866	24.576502874704	-13.6296558903576	5.66165710253951	-9.12387128884403	-8.10829693541584	-10.2013411887448	21.9136744820643	12.892890058664	-3.32700269407108	7.33915938316483	2.1014446037415	-15.1346041011298	-6.0923403187137	1.17137209876732	-6.15409876310544	-19.736715726269	8.14613195162098	-8.15368511522266	17.8952877971432	2.99957923331343	-4.8373671365314	5.55361078418086	-13.294645287078	-3.97738944942887	14.9918397302817	-7.84911077738129	-7.99775192829506	8.2383569761182	2.41283813811232	-16.6538193798792	1.0422944642247	13.3630811422338	-2.10342912986187	-2.40483754854808	-7.29792659053507	-10.253982250315	-13.2099015143276	7.09544966018997	6.03077410911724	6.31422383794313	-7.87957134597582	11.387467680066	2.59430032263702	12.356834577988	-4.33996194914149	-3.32030037065416	2.95230962668675	14.4651507157944	1.52180369833276	-1.59611851547877	-0.509227955657613	-6.62134315616513	-4.19033735365267	6.48690992775848	-4.04499878905767	-4.94076045893606	0.983881649379722	11.5256484438642	-2.89954352701798	3.87637521128314	10.833391241755	-3.58102704899386	1.09625609554231	0.645326010337243	1.4141171192671	-9.72444320763952	2.76056776414274	8.10104355874052	2.72157636480179	0.112397962959289	9.36579961227981	-11.948366084069	-2.6697126036246	-0.452411663188262	-3.3279893123428	-4.41003322143111	-11.0735422690238	14.6596270024705	0.087650089426848	-8.02449362519685	12.8781548263957	3.79813503645644	4.96616443537295	-7.19600352561674	-3.86159999056324	0.244888508298947	20.3745019620582	13.3467641697527	-2.4881240139958	0.112180016362981	-7.42291530555887	4.00040395382668	-14.9465369320385	16.9872282493376	5.28552635165287	7.69282671885125	14.8683573400948	-15.5896848537102	2.69823514553212	1.33231725752982
"g9"	-0.188355277338428	0.497130420775407	12.218861070881	12.1401195601792	-1.9398936820169	12.9875473473198	-4.98672203366223	-5.19473341030129	18.3297441715669	-12.3714060124689	-22.4227532545284	1.40082999456477	1.53162012223675	3.62505438884037	19.7889951417684	-7.6923489616944	8.83737616455626	-2.97169911659599	-1.95572025775008	7.01718564524857	3.04615692182482	3.2424551832751	-14.8057487381981	-17.7025975433958	-11.2180459619453	20.9554056005702	-0.117461335667946	1.38555148993657	8.98738496829634	-3.06510315865686	2.64796566636327	-1.70125358510429	-9.3244092945847	-13.1215251613417	-4.24163130292238	10.4119197666905	-1.42295391374875	-0.239409163847591	-15.8873845318789	-1.03305174020918	8.7347010461744	-3.53716710157198	-1.27848031844439	4.28018207451429	-13.9855600023651	3.78518280196627	2.60651141959433	-5.83077942021174	13.3406610477316	23.8595540662656	-10.5645792793994	-1.86034628632702	-2.05565407679894	14.3064126269901	4.472348478379	12.1674823426364	5.56890444065096	4.34167166443995	7.05918467491115	6.08345225266385	15.6148100618641	8.98842509196911	-2.98799348884734	-5.83161749329121	1.24844271159478	7.6474054334731	-0.115929540558013	9.03180279351834	11.9202751798021	-2.30418070804992	4.74815299014223	10.9012212510801	-0.766339216032268	-4.9817795059704	5.50932656920886	-15.3504022578005	-4.42910762374939	-1.31311950951196	-0.14252958310918	8.1622505752016	-4.1252630559647	1.52182919097046	-11.5915335087423	18.5790615908553	11.6134795962601	19.5060390175023	16.0440941324434	0.847983793855572	-8.90778753911703	6.10896517379792	-9.14609700393005	-8.05750930230096	9.00641669913142	-7.03533921242944	-4.80627303584256	1.32059841099692	4.91505973768096	10.4128706402963	-5.72586612365665	4.32437349229395	3.17807629055781	10.8228190304886	12.2004930224684	-7.01901861836777	-0.996126426065649	-17.930128443004	1.97320665030976	11.6878331285796	4.24927286855651	1.44116889156854
"g10"	-8.75933052062711	-1.267619498917	4.01638519789795	21.7963086540537	14.8173544618537	-3.34304693302477	4.78612294496951	-0.0332675726548144	23.5313547064837	14.2594842610277	-8.77730475996625	-6.58766769007663	-3.80555390319959	-3.87426732392266	-4.27059919455423	-4.68523668209958	-16.6115939151871	-7.41413929321572	-29.9567531548313	1.32448028734471	-0.457438406694501	-3.79037521802957	11.7501651210253	1.16262011628778	2.13293524782577	9.23497319421011	3.54978236578662	7.04026954920803	2.09183710308318	7.28791367407754	-2.68099274805058	14.4567994021965	9.25551729436228	6.60256648462556	-11.7542271209719	-10.2218488121342	11.5076479752202	4.54465968069355	-0.0915723838479323	-3.41671274365489	-10.9834353164485	15.0572890850374	-1.58903737481664	8.09521632390302	-9.07987084288731	-14.516217716698	-3.11324631198954	-14.9307084480633	17.6919887937149	0.368669873497559	-4.00729082149126	3.00268707522082	-8.2462060849422	6.53519223228533	-4.57091971879687	11.1057850877403	16.2040894851726	-15.2450209300577	-0.640750311717728	8.19103000983432	4.26055667159608	-0.157030200908879	8.24672887187032	1.64740622010626	11.1916012024218	6.87921247934884	15.1293162700698	-2.38621660268494	-1.89729725247269	-28.9352024181766	-17.7468968845136	11.2346479462317	15.0947515925967	5.03320892603272	22.2924159341002	12.4470213023561	8.89280490885644	2.00962052405821	-6.9950013186568	3.46425860367102	17.0586459635513	-4.33170419218261	-6.12932658435488	-10.0640320198436	21.9357932220936	13.5356070086323	1.04477814126317	11.6350971778289	2.02280446466446	16.4156634047837	-3.62239226569318	5.23602721077195	-19.1170247489543	7.90649417283366	-8.36346461520093	13.1905518829012	15.2062577521546	22.0055502047971	12.943872156773	8.7575724351318	-3.19441077133021	-1.09502239530589	15.5008432698381	-2.15557902149546	8.00093307763905	6.71182699114135	1.4520772285812	-1.32611295251722	-1.62331973643122	16.3563956606932
