"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"ctrl 41"	"ctrl 42"	"ctrl 43"	"ctrl 44"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"	"case 41"	"case 42"	"case 43"	"case 44"
"g1"	-7.46296346973433	5.0854860615771	-5.67190285123546	-0.885403445879967	5.52518410399315	-10.4358661276521	-3.0962546173512	-3.29833607969239	-3.82073497905507	-6.51234241888934	-12.9308075663758	2.05489754411568	8.12956098979354	-9.90175911298455	-5.09915629278093	-8.94483558968029	4.80491494897904	-11.8629605642031	6.46410812720251	-1.76468715070316	3.66593925172541	9.89828794466676	3.56315754073692	-11.6903181367288	1.53328261098689	-0.320926191415899	19.4926839087707	11.1006328797917	11.7467005931346	-12.6963282456437	-4.06624247048179	9.84329277116416	6.46760657328623	-13.7791657554918	-0.118126512095944	-8.61783882738881	-8.0535173905197	-3.16856738788598	16.9013778237955	0.489441642947087	-9.05256658267741	2.35627713974974	-19.3160350985657	16.5040484152296	1.54226978033506	7.57814432025607	-1.59479204180881	9.67846789830605	-13.6901367793143	2.42660448539171	1.84266206381984	10.1495989526798	11.1191229219201	8.99973132432316	-6.54546249061648	-1.1493204159463	-6.10930586071408	1.35237440493788	-2.99261633624267	-9.12223028446912	5.49198044282613	-15.1972538462804	10.624695266108	-4.86019871434095	17.5649273100678	-10.8290879032894	0.470457764108531	-3.26723007778632	11.5347997606285	-4.13650441279689	25.2775438229356	1.35245017633074	3.53199280282902	12.2556791368199	2.71528484694996	-22.8701954046902	-9.47889696603072	-10.6447806875078	-11.2731659319643	11.3809897876296	9.54190424155863	-4.12378842528028	10.3888621821756	13.2304128595049	-9.95840944659876	-1.82897568111103	1.40552380276952	-0.435515650733585
"g2"	-13.7446016387279	5.68941774387589	-17.5680793391373	-6.88425856633615	-0.452794039903957	1.22722282339451	-3.55508658869629	-3.58536679656174	-3.38581286193679	-11.5050232005846	3.3397975071627	9.3264200808615	-1.14981791436807	-11.5387407723597	-7.94233877462289	-1.75100878295778	-6.68068341162075	8.01942336170949	3.28251643319236	-14.1234180767484	12.1230260438688	-5.31480288488606	-2.34441168403614	25.6307818193917	-9.40708573683824	10.5391425854075	-8.78786448803201	-1.06251560042271	-16.7813633521647	7.52949406229447	-10.9169503730079	-7.39236794164542	-2.63465096279531	-10.7350681861491	2.75365808762947	3.27896392748026	-9.01982100409312	8.80511141200154	-16.103207973319	-0.803025901203186	-8.20079109629513	4.20037863825234	-4.50383454224178	9.05069627068873	15.1142991726194	2.95311359661389	16.4919076948616	-1.81740399556446	-11.5403789081877	2.83257560299182	0.304395329873016	9.82461187895681	-2.68875797288549	-5.71903779937651	-15.9620751291322	-9.11437488387649	-6.42682363055199	3.41214161316674	-4.9834420403258	12.6443679203742	-12.214752138505	-1.06554746981508	12.3764749596494	-1.95016243777827	-20.1119749207247	-11.5913279368688	-7.35455257183768	-11.1422974751247	8.54880443383104	5.25125178620655	5.48311313604797	8.70936636707031	2.52649934585956	12.2130341788116	4.457370057154	3.39250346263286	0.90625598709148	7.79615941347579	-9.75835381937866	17.3734547012668	-1.1551962747568	-8.83105981577971	-8.54246806593955	-13.1257222385381	-7.44309265840671	6.40689721495244	13.9112699416868	-0.117824816364941
"g3"	10.3535858181586	9.9666575726913	-2.89627213881761	4.22712046809262	10.8631405447514	-4.7234175823901	11.7239134016834	17.720733005591	1.47648413067197	7.43528015741969	-1.61722569685544	-7.74423932114872	9.86648463294249	-9.36199274907227	6.91177873193783	0.20111688493697	6.81824466212784	-13.6086233935758	0.948182917854527	11.5549544229481	-0.398401856997085	17.0452579152489	16.8311080042036	2.9348353923088	-7.92621695692865	-1.32655078965434	-5.62956634053928	-6.08218915796989	-2.96168963717056	10.3114150076493	-9.86042795821793	20.9958053936505	-5.12052699151104	-5.51505511618503	8.08051900627399	-3.35491107141783	1.24873351110002	10.1489650667383	1.03518581929195	-15.698875509393	-19.5389816266488	15.1526223323227	12.7914039086724	12.5021408378183	-11.7193708368587	-1.47404773002815	-7.75203460965859	-12.6429364809058	4.52068610051634	8.92421566056051	12.5861128334749	10.9100978858803	-7.98512239240427	0.523714412688955	14.6095125967843	4.39869040533707	-4.37598838806815	0.500403925021152	7.55073460153676	-5.66259921456729	-0.251780295728054	4.9027572855972	8.89563638473649	10.5007105192964	3.62647687399509	-3.86415838740482	-8.88655873400349	-7.76568455765027	-14.3517457190735	8.17424040204285	13.9679493475792	14.2989188036475	7.68194492077201	-7.13140745174937	-10.5207633156149	0.105219379119317	-5.19424353137014	-3.82105177078687	-5.50734096246037	18.0724048278979	3.03888158358415	-5.53578982985916	13.6312462812122	-4.09223322725772	-0.855886598311231	12.300779001292	-7.00652820665041	5.43791371308424
"g4"	11.0960932303705	0.650575410741018	0.71589684107696	18.6469400181031	-0.638111722339926	9.55015524479555	-6.27643581428567	13.3327664537673	-4.22942091938295	-3.36845843473542	7.38993737364976	12.5169294544988	9.89464164500066	-2.58483026850238	8.1909186267055	-7.02319439738031	20.776383545333	-17.4804147372167	-4.23093890263014	-18.629460840864	16.3492432080832	0.416849239223136	6.39207481746777	-6.59396347677477	6.72019883345837	2.75347503998542	2.43322298341699	5.13250892781318	9.99021829265829	-3.21953909935077	-10.15643703345	-14.3638396178757	1.94508167381848	4.48400274142563	24.6802091302782	8.67108984130523	-0.609970277228997	7.11290463422288	-2.88931783166924	9.6135667867387	2.0413475135554	-4.74974474452876	-9.83466070913998	-4.0886099809517	-15.3618199189298	-7.6260619205784	-6.53931401963871	-4.12323703110511	-0.280366067462197	5.23134200899062	-5.94734352273696	-17.8349909362187	8.69014484192232	-24.3469925737998	4.94964578443873	0.0958957607462946	9.30520597879147	-10.5437235857377	3.28453977814649	18.3167963217235	6.31917283440423	-14.0443768880364	-4.53900174117944	-7.21016593082201	0.00125765462044435	6.51278992060286	2.80313908751687	6.87877169098526	5.86743823914771	0.37806529459004	7.64144512685082	1.16727052035287	-2.46331627066109	-2.29197278586539	-11.0635937665268	-6.45737642188324	-2.67882900226533	-11.5552863768536	-3.51374572546955	2.23798925609325	9.119284406479	7.85007820551319	8.16261587077405	-9.36049062178469	-5.25677821813219	-9.92457776811125	5.83670610490876	-8.91437595951495
"g5"	3.16587022379461	9.72112263723918	-3.82240188066086	29.2855829713581	-7.09486118846249	-3.42530224656774	-17.7920067932957	10.0648260592671	3.85364725837315	-5.08484224676297	-14.1544696873072	2.75453450693227	4.62610503687185	-19.6011702698831	-10.0382119146809	6.10596249228559	1.2673768065022	-4.18981320289681	0.266749200003228	-12.1371453179345	4.90004921675493	-0.311616716168686	2.42484881532388	18.6382595686842	-6.87525343944818	-7.00326273159482	6.01600487405481	3.07616063190504	-10.1262582578883	-6.63739425762624	-20.2542119185185	23.2488223567498	3.68140616571798	7.39992066906854	-5.44284006961685	9.29761023122105	15.2507130878432	-7.81524211331674	-14.1408744703968	14.8265855738822	-9.71250254072588	3.68331913467285	-15.8829708436938	7.63565877117481	-17.8810301761116	-9.6949414528486	9.57105811224982	-4.97594662304206	2.62482220586142	-5.01336348417252	4.17936345229099	0.456902790431375	12.0998219018247	0.793813179564843	-4.70413897008329	-14.7639318024136	30.4313273879876	10.0892123915844	4.87991189935207	6.28860737436029	-2.53484729488893	-11.2870251727719	-15.815951115804	14.3907337912872	-19.8526895881976	-1.79749891909169	-1.74810423425095	-16.400867293861	4.20628102212608	2.7004667894392	-13.9541881827893	-19.7254795053842	7.05647008168095	-10.9927012272985	1.24492252375525	14.65253066978	-8.88160889943192	-8.11879131859832	2.58484894731444	-7.64226944184863	10.2743426361455	-5.3666609118984	-16.5050728318408	-0.77836142742836	-21.0073087023025	-0.201142732893614	-1.04386426027679	7.77063967263768
"g6"	-2.12196756910683	11.8684304315239	3.85958338827844	17.4268534418897	6.78457168035056	-12.9434223332183	-7.51902541141108	-13.8617746360484	-6.57515260172186	4.19136039905838	5.12442599721829	14.793666258739	11.7891392055971	-9.64992032215574	11.962609993468	2.37610224286004	-17.6750923830824	-10.5221276598403	-2.07326415539091	7.32693125303665	-4.15752602602795	-7.19938244003926	-10.4005583413706	12.6815081873713	-2.86402574285185	9.24263295595115	-4.98821239698572	20.7250195525261	6.97006833679893	-4.53065835589993	1.14280289598586	12.5800859477821	9.10730469699569	7.71873063649845	12.0558409781256	9.20628045113259	-5.70639919425049	-2.00621051652118	6.3538816705266	-15.7789005930542	24.0209524623282	6.18357400279034	7.11455477405543	-5.53610100772385	3.40471221979633	-14.7251692930174	4.95229954553188	3.68163401372795	23.110842915392	-3.41003513634641	1.49912098784149	-4.72633024965319	14.6076497316614	-8.62959785388211	0.900033693093751	-21.9204540086358	-2.31340740642942	-22.3031554553101	-7.9802496774744	6.96320658787679	2.00090761882801	6.0348672544492	-9.00831412327747	4.82219750726987	-2.85915091743838	-20.9442649586388	0.480080913122382	9.43955812329722	3.8826457583802	-5.93378396792893	2.47474073547858	12.533177265831	-14.9697443225004	18.0734929510023	-5.7022356568443	9.33635022933233	-25.7984468748007	-5.26847438748683	2.93078571954508	1.70390448307408	2.70972770714787	4.23656771644999	12.1156745090621	-4.56822067136231	-0.840580448295371	-9.62045135654184	16.0350256682635	19.8300424568553
"g7"	-5.57556615327654	4.46478233575287	-2.19654268587649	-9.60668652003353	-14.4801087657861	-11.3435861870464	1.79815580871619	28.8031388023293	10.0351687825183	3.00984124258921	8.79947134703264	10.8442313959603	-5.75898459341068	12.4996600235138	-15.5320665222263	8.85908743338325	-9.59968263134074	-3.8043154227334	-13.7048878520167	-5.24644498623892	-8.87091897453121	-1.94273227741791	-16.4829756528065	9.25704903038219	11.3274150589823	-4.00788209745359	1.88039705672113	3.94580229594815	3.95078117234166	1.90171164898204	-4.74413281718033	-5.06945146422916	-2.19168741999151	-4.09083001703727	0.82378665308237	-3.6059162829401	-10.7991535811737	-10.3393853892954	-3.75637969767244	-10.0940434625708	0.442147183934864	-15.2257931476475	9.57243371084114	-5.4743311368257	-6.73504973876002	-0.54196589566391	11.6102633795279	0.564897653936996	7.6232984854452	-23.4904181176286	-1.8385864377375	-5.1861933989458	12.3163434510591	-2.46459630906163	10.6347390457931	-9.65798776590076	2.44248706290766	7.02320680671538	1.74859657557517	-3.18720511148142	-14.5079706649384	7.40525292204977	11.4783107724612	-5.53127603814921	0.795926626341654	-6.93563124900009	-1.36254722553566	3.0190682828123	2.75546140250654	6.64689128755259	5.78169883459606	13.0006173033297	-25.1848151015406	-3.6729643237714	5.59818530431245	-20.2855900124355	-1.99831449286504	-7.16247258004541	-14.7920750723957	19.1299969488175	-9.26578250252097	-4.9633283383794	-10.3355886834086	-8.81864524107554	-3.42619246200985	-9.3001768605175	12.9007110512041	-3.55055222365793
"g8"	-7.83413301028458	2.91618326224379	14.9688186210384	13.297715559823	3.51071894621306	17.156555483191	10.1020034694358	-3.24520913119297	-3.85479757559127	-10.3843561547935	8.2937093227583	-21.729527410819	19.4817992236525	2.70641435537631	-14.7343638720992	-1.54786991429629	-14.6112743861383	-2.83895254584457	20.522308380735	-15.4774498654048	-17.5013847729262	-11.0947082703013	-7.9536237652285	-1.28079106600497	16.0638607152081	5.83333757879983	-14.0319278100325	21.0812411948922	-10.6178904047384	7.19567968870209	-3.34945517037349	7.92759775121732	-0.634795820845402	3.50075531895218	12.0630974785964	-1.6349877620139	13.2376884751887	6.33994023458257	9.24190047515414	-1.33506976011308	-10.123752571582	-6.57861494157491	3.34768592654689	-5.93204525105197	1.9805497647418	3.65784543436993	11.9059131368901	-0.4794533141696	-3.99904355145775	0.182141659602103	-5.39096128935535	-0.818484124109559	-7.5088117771112	15.3556874830517	-4.91299732293832	-1.89364695708521	4.52516475314279	8.05773778954068	-1.08026836056061	0.0661958992519219	5.6922043271825	5.26830214080044	-10.9333499483166	-15.781756771834	-3.95947553295431	3.05678720087591	-12.2271510240059	2.11785017315962	19.9019064254124	-20.11406474461	6.60392605643606	6.21251892535043	4.73971609906589	12.7607998349326	-5.42067355657105	8.41372213999067	4.51527675414991	3.90151797088309	4.20656969718113	-1.00519332200469	-15.8245285313098	-1.88205986337253	5.16272945146005	4.00208643152941	3.20775185485797	1.89888385861004	-9.62754397111146	0.689878639240606
"g9"	33.3246422647225	2.44822586274311	-5.16605730201959	-5.46858512640911	-2.15633597143472	1.35276770763396	-1.86978626805617	14.7712332037801	5.0936605652674	-4.17232845262283	4.00646393899166	9.42774117990105	-9.51121037618831	3.44444865475112	-12.4214654171742	-14.7762036590442	6.00442256661567	0.0615556900461594	-12.7348950005472	7.62645898047315	-5.36666864337197	-9.54107841498698	-5.62592574256921	3.18930010941583	8.1799204083444	3.12400444176695	6.31313829424565	-2.66959565606118	3.81761452557676	2.60237092743338	-4.44789045272069	-3.0899456931284	-2.43360900861076	3.26599936278652	-0.319252136733453	-11.9341058832337	-3.6870294915721	-0.892080223684038	-13.6950988144154	2.74160786651972	4.14621697242806	-1.19143380019966	-15.4256303367766	5.36224224370435	-20.0057233927178	12.0130181734446	9.42679347606945	3.91276358775345	-16.1908052647542	-3.81904237394497	10.2278109255274	3.60016506597289	-14.1246028855022	-5.85169962164497	2.57864169771499	-1.15167897026133	2.31970428627475	0.569314550338146	1.94787574188209	-1.38636906328818	-22.2124489329812	1.81596692894129	4.65286222600285	14.2908573853184	-1.27172794514211	3.28701343937891	0.950127865927772	0.899777859036134	-2.45246890440557	-15.1814492960024	-13.8139044261086	-0.348679635324469	-10.9755752046157	1.15671272237706	3.09403756688655	-5.01397359951146	0.27192940951963	13.8166092201604	2.88719400462073	6.20535145166997	-13.024863879586	-8.54951312139881	15.0808658325283	6.17675786509464	-2.25640113803354	11.4536635953251	-6.60835621443158	-5.87600340010503
"g10"	9.6756788752257	2.11173057261686	1.34095726765716	-6.0116399917069	6.38849989466739	-5.31667059427109	3.30358173891225	14.8531681619468	-7.90706820679014	-15.6906102107181	1.78160468174303	3.97140591759713	-10.2362167072214	10.5410306275968	-16.8016538719091	-4.56360839965935	9.03040352948116	4.69792855554573	16.0119037658536	4.07415491718894	-1.05449951863576	0.172375811431366	-1.86122879855854	-6.13537567129637	4.24909400924413	-6.15277535241841	6.03312512741996	-0.0567715075805876	4.2646300978528	-11.1619112140922	-8.77426050509833	0.0397573316769269	5.55615650153625	9.18623717201429	6.67091877787631	-9.27292962487848	8.94872829552015	1.94655470076499	1.17309337302419	-11.6325717616059	-0.0209172708131411	3.66687358271467	-10.2403579515994	4.74882720415449	-2.92938723141228	0.181943981011887	-10.9829710901565	-3.58269252575929	0.326026450341871	-30.2289867632076	4.15594523551977	3.72955919258989	6.84969934755544	10.3181084237272	-22.4046004560224	5.87932625922457	1.85798744673578	-7.47504463162515	-13.5766324410153	4.94292049871159	-13.0937806435251	-0.515863982873901	-5.91161090659148	-6.47298635271493	11.2735275512955	-6.38987015849788	-8.89112096220815	-3.41618533717903	5.92438401675419	15.9833233162865	5.33897008765395	7.84635566690547	-10.4626549251667	1.16071414169565	-7.26882842843289	1.22583455295415	7.99762292453972	-4.07911387124485	1.99834187995272	3.44938337864048	6.33430899670403	0.017588257649728	14.6807625863302	23.3553680106275	-17.2261754751005	5.87983874102045	12.6236166983478	5.19374593526663
