"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"ctrl 41"	"ctrl 42"	"ctrl 43"	"ctrl 44"	"ctrl 45"	"ctrl 46"	"ctrl 47"	"ctrl 48"	"ctrl 49"	"ctrl 50"	"ctrl 51"	"ctrl 52"	"ctrl 53"	"ctrl 54"	"ctrl 55"	"ctrl 56"	"ctrl 57"	"ctrl 58"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"	"case 41"	"case 42"	"case 43"	"case 44"	"case 45"	"case 46"	"case 47"	"case 48"	"case 49"	"case 50"	"case 51"	"case 52"	"case 53"	"case 54"	"case 55"	"case 56"	"case 57"	"case 58"
"g1"	6.44909040047108	0.350033173036493	-0.361362036615447	7.90626865551923	0.370167901900877	-13.5522501877524	14.8664386449292	21.2617473751136	0.546017641157994	-16.9628475566552	-5.56682958945012	-7.22326543292888	-4.92234105395469	13.142567047198	-2.82691311391182	-10.1481283042764	-9.81672162483517	-10.5557256815961	4.20418314313075	13.9405620399633	-6.41249524982234	-13.8586473407047	-3.28550025472221	10.787506068919	-7.46855196023091	19.483847183625	-12.1476624506269	-6.94016506462183	26.8510771605305	9.57259836736831	2.38920697820931	17.9890250950489	1.56099244886206	-7.4917654190889	-16.6773400089265	10.1021283856137	-0.306689152964062	7.85969494944484	10.1387007933746	-8.54629846855992	-3.71760844108703	1.85420375264559	14.3472720109033	-15.078481717046	4.4525153572405	0.400098502603213	2.89518574494759	-8.20756190811463	4.30065826543859	3.6387903467964	-8.33408109586823	-1.39611966084249	9.95709943755116	7.15400109966347	1.57604756797419	3.1521941301991	9.73677927177397	-0.55379824868045	0.584789557739864	7.79709040039251	-5.01069697203829	-0.961213227949959	6.30728241747902	-5.35234214286206	15.1183059860028	-17.2833218245409	3.83809279463216	-6.63890906966335	3.49899872260725	2.1558740461256	7.47093741687117	-3.00479370050605	24.3823277210474	16.9588003365569	16.3569880353455	-1.6175905722711	4.84982181432565	9.6397086623069	-17.4273650319499	-1.24154861982968	3.66607157667868	-5.51951799534625	5.48557305140348	-15.4006958795432	-5.72941539124224	-16.3594746760845	6.93080349240616	10.3304887822603	-13.2181904496746	-1.4466353693677	-9.74743466802129	2.36517071609043	-13.4399260021895	3.80860920849841	-2.18404510288605	-3.74714639767696	1.47681167850673	4.82737734565286	-25.6783544348116	6.37633609651401	-13.4317825108513	9.42131165157951	-3.93575057175936	4.61991960200621	4.80056382571297	8.77671678745487	-4.33152173682034	16.6934108835006	-3.92734728329672	19.1397196219	9.71162500160116	16.7864733374861	-1.62295168841035	-10.4163042186747	-12.4567348230258	1.33589890700304
"g2"	11.0813270861293	15.8197639783859	12.3923975792882	-3.06934809352295	6.86265818593932	-22.885077784291	-1.08372188669862	2.11672296769715	-8.70223364113816	10.3789169283479	-5.02627783041903	-5.80552262436791	2.26308098213151	14.4159573950264	-12.6021325273985	-6.55082866231061	-1.9584361506366	9.29776935941725	2.73415364847081	2.3151579670507	13.2360239158653	7.12056261673778	1.21626595124017	21.2981331956167	8.93602891276005	-4.47440014335743	15.2420210265295	-1.35584959147951	-20.1770894082861	-15.3936848382154	7.7977699638249	2.42247382407867	-1.12034726923235	-13.0262006102489	8.58834040860581	-6.26535380900706	-10.4928779308442	-2.70897551790783	23.5262755480538	-5.4980241401333	-5.72058786891104	-7.10994901436718	1.20532632465069	-5.3010937163522	11.0241514910092	0.822887467247109	9.27713568384163	17.6027246238434	-19.2689884947931	-5.56859491425149	4.56317366996434	4.56650470296477	-9.52866099113017	-16.8311478088864	3.61544976132116	-18.4549543764002	2.76866496051873	-9.59763770466106	13.1750062444399	-8.90883063185374	-14.7679524749016	5.42383733854662	9.49063957322054	1.81549674643027	4.15351474995752	-4.54464203751932	1.39951233268601	7.2953680497056	-30.1146345971009	-1.9412660564651	1.80890119528342	9.37039434142359	5.37850739975557	-9.43094981877509	3.25115652764252	-7.02291163180991	6.72240642211555	-4.57821886665633	6.59404217102808	5.76017510134568	-3.29948213494342	0.353212207118475	-3.27962797701131	16.8789953594295	9.1110242703935	-9.89162124544337	2.56088579329662	-5.09350639722712	-2.30202592257943	-8.05366938622922	-12.0835121482968	-16.8798795446932	2.05958794810995	10.9229310645985	14.1559935871615	14.5802414874009	18.234744413493	8.82111708767839	-3.65525185361471	-0.137882870466318	12.1031111473628	5.38437593674381	4.5718877291634	-15.4942510380696	8.08214599134465	11.4510298063038	-13.544215797721	1.68731658271885	10.7497527410173	-6.34551438837219	-18.5579282935001	-12.0084634764666	-3.53035611674537	3.70187190295531	-21.1902420374618	6.80844102569219
"g3"	-0.585876146900743	5.63874349478307	-3.77104464092483	-0.928599401171948	17.3967587322794	-9.3660446876546	-12.2811266448321	-12.1488030976067	2.78432134098412	-4.79042471693672	-7.2076774897168	2.60940997309178	13.5390554136107	8.57440850412036	12.4831899610334	9.87634967550149	3.76259209260126	9.93322286140158	-8.43627458650197	2.51739006478305	-3.88442540479963	-5.83112708658817	0.743717120446615	0.158693806148353	11.0294899072629	6.41729084633803	-4.39000414981063	-3.15695784598803	-1.83917985189891	-3.36056268814215	7.188988886704	6.8345830589031	15.1448835120291	-2.9484217358583	-6.25702062883606	-2.55844468956291	4.84130407119166	-5.50113800763827	-8.03820997150755	21.0414564207975	7.76001976195708	17.0669410330206	-0.950707110522937	6.23186039124556	14.0906342493387	15.5153186174396	-2.6263382710662	4.04847599192229	8.69732668513301	-2.48727067303093	-11.0134433776361	14.9776327388044	-1.29140595759324	-5.63691807316107	-7.69141425704064	18.7767466608428	-3.14173630190462	-11.3106272216439	8.00310766118118	10.4618378877523	1.60871492692536	-11.291714246044	0.770939118972843	-2.04751799221415	9.00053998564214	17.940583204298	-7.55998665541791	-12.7244035073701	-2.91956609284257	1.12481038314697	1.6829251732821	10.6921872092541	1.61392249865488	-0.623931694823392	6.83305339878362	14.0561413193904	-6.45733021243722	-16.2126314723813	-9.63034054282538	5.2179466080368	-4.49616997339945	4.53148013194075	-4.96920862930714	-6.93138464913913	-13.8700686322532	9.65114162313841	-15.7582913812978	-6.29119429603576	2.0309977803718	7.6947631005153	-1.15436664111819	-8.72769710400908	-5.90252868228864	-7.51019181249788	9.52045671786117	-3.77142134164808	8.3331727699206	-3.73398538474476	10.7080988646097	-8.92796144385808	-10.0950709833189	2.32243594692503	3.33281702743696	-1.20024023350342	-5.39442897909041	0.63723685780441	-2.24223096757469	20.4720479520888	-17.7340112567686	-0.639885866794572	16.2105817359193	4.2171000409384	5.26155735335521	7.47261725616802	4.11756918118716	-1.69044527376287
"g4"	6.95526053548833	18.0567803936416	-9.58553558592517	-6.15726868816554	-9.3502348887434	21.6728555517937	-0.458071125269001	5.23881600953781	-5.53738456005518	-13.3818712533964	-1.20937868353006	7.622951443488	3.06632345007389	-8.34310255925483	-8.3673355060043	-1.20552199995402	-3.58363466896775	8.48660606036716	4.57347361081255	-0.519048722845443	-14.8279224891828	-0.520712732203834	6.861383684488	-5.79358175865326	1.01844939453013	-6.58537053236097	-7.95314877948524	-1.27071050870945	-6.72762119668713	-6.93162631228192	10.3003413028463	-14.1040784792794	-5.26646468433416	3.50878161045617	8.96585109367733	4.09788872388014	11.771746969004	-4.79691836139698	-8.13889344233237	21.0269052172348	6.15999183698547	-2.72203309982204	20.3089847396211	-0.631510675011613	-18.0924060658711	-1.48820574772387	-1.28079164199755	-2.94748035688078	-0.461871361786824	11.6224111969576	4.59925700830733	7.61480471876603	9.51045154126952	21.5910783892059	18.1250202865121	5.34206404704525	5.9134193389714	5.5354800115674	12.7153234700878	-2.13058824832237	9.80009922998335	8.0422198098503	-8.73632880474742	-20.3359960162457	4.79453791987683	0.0476327687434513	-1.86786073552877	3.47818313233695	11.6770833850666	-6.02692716028243	-3.51827980005923	9.33621799534296	-20.3385292904783	10.1767549356397	3.60823177028811	-9.01769925469063	15.9508762877183	-21.9239947623356	21.4686340044646	-2.58798171557984	3.83011863875575	-10.3807577562916	-7.46757909648951	0.372603950282822	-1.16710407317685	20.2653269970762	8.5711779264705	-12.2776791650607	-13.3570425169347	-3.60706262774275	-7.40694497270755	3.73019296652407	-7.95951514030408	-2.96061940361173	5.65161853749815	1.40603103975287	0.765624876713555	-12.5833871553458	-1.76980930256195	-3.09401013457036	21.6874473494552	18.2097077618479	1.88624349314359	-2.60128247603777	6.86786586790116	-1.85990135160802	-19.8430371486954	7.024984025709	12.7842224548205	1.0148148659393	-15.3327000505937	-11.4436849181517	-22.1907377271536	-2.02173717662606	-19.309607743527	17.5189864851124
"g5"	-15.4719593335109	3.18947847645444	-11.7882127095935	-2.97340051658659	-8.61208280201796	15.7434902180314	2.97245109565082	-0.377313501510685	-8.73431261936421	-13.6896897607091	10.3992112652662	-8.68412757458058	-1.79926264582883	11.0789524870113	1.9456565465248	-6.78287346979499	-13.5026377159534	4.68040074423674	4.71736680292695	-11.8378503071247	-9.09825395772145	-5.19817746156955	-7.06155163732007	-4.41803261671985	-13.6314800760537	8.60390808407615	5.64465442916021	1.53584521075252	-11.757236626495	5.15660468279525	6.09552018993214	-9.01913140801835	2.60287934481513	-9.41230015346803	-13.0488041972995	-2.85543367173345	-14.9386005064422	-3.24065957862617	3.54543607323124	20.066725423692	3.85967855944527	1.51396531316528	7.59117061810683	2.8790730056301	-8.08294260174972	-1.8315335970684	8.56197327003033	7.29423819357994	-25.6078593963762	8.96687986733372	-10.850074963222	-0.587609084720468	5.05010568033856	3.38157619960111	-8.67438087022368	-5.65400416245105	-4.10330001173102	2.62172210245988	23.3613145434107	-2.36333170950801	-7.64706926485398	5.62931823120554	-1.1611258746028	31.3796063293307	-2.78392431282164	2.01735821503309	5.08326631930633	3.59333944224531	7.13562869583975	-3.41309942670537	-14.3058547148834	1.73201197896989	-11.6403402149478	-5.28802123078436	-20.7300574021435	2.82905744019255	-1.65570888058522	11.329345339354	8.12251940412373	7.23977683838612	5.91726893615862	2.3505185398868	6.95535167862593	-11.1905208549075	0.0932369589020365	8.08390239347262	2.88095676531209	-1.90663923660375	5.73551775734112	13.0271961801808	23.3033292682709	18.1880427125426	4.32689112541619	3.67910353768215	-4.73079925764439	-9.94764256659836	8.33715801506702	5.10515147691502	6.73353628775148	10.4484515856229	11.1157216775289	12.3751175156898	6.4626578978086	1.57729038267549	9.07691936017349	-4.24295663912859	-6.43548074435637	18.9245535504412	-15.3503215478946	17.1282106095308	-9.93145510046056	-9.0882669314496	-13.6379192938683	-4.39651487450467	3.887449359971	19.6384846494647
"g6"	-3.36586858348145	-11.9090208822898	0.800993609483632	-7.15333128052755	3.56513413838366	-11.710544364718	-11.1528433127881	10.8590975326947	-18.8845998970655	-31.623129768296	-2.0016542902974	-12.6839394539658	16.3266135791368	-3.39404078360827	7.51889518955876	6.96682123994091	-9.62526882853036	1.20108863704304	11.6537897067011	11.985417109147	-0.289140452528472	12.0585100699587	16.9057487898121	-5.10159714716573	-3.18916313431236	-0.225596062523383	7.91507202639103	1.56583538682075	0.805241853389895	6.29696316714762	-1.60769646661021	-9.08346153133456	-5.38691197312267	7.51243806048613	-10.6883892239514	-8.42464752777263	19.8397669872221	-7.54649177569861	-0.410596844151737	-8.01030528435966	-4.48545100306567	-2.56853466818545	-16.773138288614	5.02816096689616	-5.03677795746933	4.53279821225103	-14.2576986934196	-8.59992085352727	5.86681289640843	2.06788000602283	-24.3490686859011	-5.33246192843689	-16.7668148619152	-7.56493914806508	-1.99619034051998	-6.4937422496437	-18.7163998791798	6.41409985637483	-1.07717215216969	6.69426200399869	4.54086906114917	-0.469221115771923	-9.39818322439493	13.0479075897625	10.9969468505371	8.3650863234452	-3.02727006405901	-3.60520950691419	-3.08827763487909	12.4823997518789	-1.59509059790441	-7.34872834291332	-13.647561661243	10.3555317936473	13.5574218697099	-22.0479837902739	17.388161093862	10.6975150377282	-10.2003425992041	1.29522857147019	7.36717699332192	3.04725708219202	9.4617617299418	16.1991172445962	-9.49452184199255	11.0232457706856	1.50132712826083	2.7039896836074	0.12135883433141	-0.0621390674748196	-6.96016092058079	2.06522398123098	-10.1789365604726	-0.726366221131772	1.71673671698994	6.42802625118218	-7.20986327390905	0.306391954096302	8.13646834908759	0.780107732423	2.61236647962576	-3.19251775508675	8.23486653966701	-20.8444256910852	-7.37065714253595	7.10042876767035	2.93135319855726	-2.96131978002038	-2.74663166376811	-2.45576300740613	9.52637245114896	13.7949824796105	7.58563506954037	-4.82215790389442	-1.17639527863254	8.05285347278712
"g7"	-11.333122046842	1.56949375603222	-7.66703468219027	-5.62504521063958	-8.86558222929847	-1.04440418881904	2.33204350325968	-8.59071802487114	4.48715093057622	-8.21640381314031	4.77351064095385	16.9193224855833	-14.9089788702373	-12.2507669565071	-7.16141098718639	-18.9768796653502	7.0183923796731	14.2470340508731	-2.83797750276459	0.157580511390865	9.72215107269318	1.45902129399555	-6.87407295822611	-7.19068508669409	-6.11688345804038	-5.9800825525739	18.7262285661765	2.84411488785803	1.47225079737397	4.97526501144878	-3.12203227170563	8.84018895410759	-11.3999223660121	18.6459620754379	-1.64963570041006	11.8826619502413	-4.63720603384796	9.64647600936661	13.1239965462793	13.3852938885608	-5.83081038243126	5.90453728916159	-10.7870217011486	-16.2248752562504	21.6009368265406	-3.81135469142185	7.40681687513814	-4.15573086884336	12.7332859051009	18.5105405090352	8.26545496213355	-4.11064312822395	2.15205774151603	-4.55122718452426	-5.4535741401635	7.57626420133947	2.12244248519965	-9.68207914403647	1.59449262898596	0.811903542568761	2.75275131182317	10.0074838799175	-17.1388953328127	7.22239113148314	-2.58999327715426	-12.0421703464991	-3.02910602428274	16.4929023763418	4.10853632427919	-20.4823555663107	-11.9511472081327	0.789288188690542	6.93377410638919	1.451029117558	-15.1902327894028	1.12995734974693	6.35009744318103	9.66057131469826	-6.42274658620895	-2.07405398690638	10.9703464893083	8.06239643758167	-15.9519659341905	3.20281845168841	-5.1010830976176	-3.62901622207269	7.68987244152915	9.26241973589238	-10.7192666176721	0.864356906122724	-1.13381413822411	9.53301598076475	-19.3150354919543	7.96405878024885	-1.44230304780932	-6.1110754993105	13.7905530205758	-1.56933764780691	-9.39782183072221	2.27312758846235	24.2294364344651	2.05810002207797	4.6772487480494	17.574820853306	-4.71259154314422	12.6692065647697	-5.14926182571854	-6.36212131662595	-17.2315228105838	-3.31235373111409	18.1592650122948	5.59741760312229	-6.79570828309761	2.18314656656036	-1.71247033583373	10.8941080912035
"g8"	-1.82481104786551	-5.32968176381992	-5.40361530760744	-1.5540717208529	9.12001562971642	8.92306409019771	-10.5017470242795	-10.8433787373425	4.3411469373919	-14.6176189864843	14.01397395746	10.8988170110266	-6.61366080850031	-2.70975330426992	2.47389951217179	-19.3355202156868	-4.40453707771476	-10.0091282184239	-1.29711305700142	16.6635858126931	2.08706124985423	-12.018440124546	-10.705667301066	-11.7364119989359	-22.2223021666268	10.2746712972611	-0.830696822114073	-0.453604947961079	-8.48806053844319	5.43373872563902	-15.6385743558137	-8.16572866174178	-6.99042001637495	-9.58277560931743	15.5141206425437	-18.9788546693721	5.13798633728747	-10.5294768009648	-2.83639743713285	-2.37288004352191	-14.1094361161019	-10.0177813292306	7.04150884826517	-3.34638299076414	6.27343321059358	4.09733689179131	0.344008549101712	-5.1478213499223	-0.187763589213685	-3.89603287852951	4.66750071369613	12.2116678478813	-1.22034477543164	18.8539428867687	16.6680769363181	11.5165776628987	23.1349750190427	4.76685431987707	0.817870919568621	7.77402084168403	-1.64569637476625	0.313437239665875	-2.45665517280066	16.7572618021086	8.92532409694238	4.02632321310152	-20.1213987798796	-10.858265990093	-0.0302914114030892	-15.8560480086206	7.67452156213	-4.59864954555321	9.4263970541228	3.78693431836713	4.27186497005205	12.4936340696857	-3.2020313931219	-12.245685852779	-14.3930574433188	7.84764691467326	-3.87078065121573	-4.08775215159739	2.08692954293019	1.80556076601095	1.03574631950389	15.2989160947893	-0.259237657606535	-12.3968601326073	-14.3986866377787	11.8694175817056	-11.2375200859387	-23.1926442019354	-24.2110332077272	7.51998600472749	3.55531013746359	11.4722959407677	2.07095606777933	5.13226104088673	-0.98499250880774	14.1759469831562	-1.83533585519367	-7.54750829825413	-14.463354924585	-13.7100079814429	-18.0825951246131	-11.5344544663983	-12.279687952881	-6.36035940977753	-4.60735475761888	-5.61560634761323	1.6458277303806	-11.6894986877473	5.15460954520948	-14.6491618526239	1.7508987500261	30.4012092497653
"g9"	-3.55311700405141	2.62797459898734	0.356971971738375	-12.1541702985911	9.54866335856641	-5.77587327673508	3.39096396352811	-2.19864306894523	-8.4813574516524	0.415402791548104	-14.4553930920778	-10.7126781037843	10.329475182132	6.00746827277435	-17.8383366689204	-2.17434071016891	-13.8107966154265	0.922799987753984	-7.97709437383599	-15.1589602402677	12.3159692144598	4.20129246733874	-18.4114104241681	9.57159255771771	5.61979499095329	15.4214587750131	0.615579814803235	-3.88936564747173	0.279313938051042	16.7439486193029	0.541933554622358	3.94483384087861	-2.9540148704245	-17.4828364338925	2.5903784066109	13.4099086648661	0.632746574601162	15.0429491781057	1.2349952614552	3.46265398823892	6.53014844239752	-13.917704817012	-11.9244450095656	-10.1770364993341	13.6117075892706	-0.486898692696221	-1.68487673516026	-6.42851613636768	-4.16687587733974	10.5644590013411	-6.55606796299325	-1.88561406237801	-6.93450404445117	13.2591717190102	-14.0594504281239	-14.3268014934366	-4.95663325471617	-3.94152601090504	-2.66955457249456	12.8820031989687	1.49343550321353	12.8073194794668	-10.0208715373427	4.59026847394035	5.30632201033215	5.33500549575357	7.76844995450396	3.14200308158153	-17.4837169608131	-7.55442921169041	-3.50043783190645	5.73958267533647	-1.82246058141417	-9.93901058031661	-0.76506075420732	-9.88064647547486	-13.6766164003449	14.0612703284327	8.11833860459733	3.4041932373704	0.489821091831087	7.95182277863265	-5.17945521342994	-8.4589911890719	-9.25725689641468	-12.4420563672345	-5.81250015386407	10.5421388908231	1.93241320328619	6.21449348119921	1.03276953434222	7.84370346709932	-5.36136547980667	7.98798379350913	-19.3671984169683	2.53837575878131	-11.1748578728719	4.51863718040538	-1.13444440701319	6.75185112601047	-5.52459904079366	-0.148263637562203	-4.05295698853651	2.59846786701493	-2.94788939809309	-15.4254193806819	7.03814182525817	-16.4010004392851	0.781030101971599	-17.1146878890819	-7.73311952652233	3.5165452636474	-7.67586443237908	-6.17279012125493	-18.5331280315248	5.21831336303716
"g10"	-1.51176768232229	-8.22903926307799	3.43826381780658	1.6449810456494	17.9893900866887	39.1448391164921	0.983578205856119	-14.5778155093053	8.52097091888902	2.07413830064445	-9.80227617776501	-3.94014902045853	11.9175058527085	5.11262559477433	-17.351221685272	-4.22018417582922	6.52768581538107	12.0334550686336	-20.7084760466067	2.90225523594238	8.50932819195533	-0.365882123867166	18.9682505844007	-4.52923206968608	16.9300518413168	-1.69303458272966	-7.83113055982074	-11.0769832778566	1.54321214577744	-20.8068687420136	-26.7772232992828	5.06879429965987	9.73364502552096	-8.41961223587302	-8.05052546361246	-23.5591060962747	10.5898831241902	7.792745713055	3.25888715804052	7.24566777311538	9.44500779078603	12.3521863042753	-13.6874917979324	15.064887771247	-12.63253734348	7.2452527020414	-7.32800047970201	-6.31379976003045	-0.514481729475524	-6.66160881171825	17.9764374640758	6.94103643894135	12.8583541348294	18.1295678377155	-6.13111054459281	8.38328628798345	-6.07295266584214	2.28769122887039	-2.93665907566882	-1.22996489258383	-0.384373275013874	5.80834870146389	12.458560997092	-5.79123667287582	5.19649853527792	-9.51469422295624	-11.6344571872027	-18.1961810402958	21.3784977684464	7.4148848869611	-3.16060237757142	0.591453817345024	9.72537583215533	-8.13331704447198	15.4299709540626	3.62201938946937	9.81628170675836	-16.8741622051107	-3.56255722206211	7.91783220445146	19.6904552394412	15.4416051599068	8.81354502884435	11.3772751685723	-2.73310764484257	-12.7120653232549	0.487411753590183	1.82669608729116	-6.78897215942462	-2.17235121481249	5.2265376319008	18.576329911232	-18.6489056695265	8.61472505768633	-6.36599428182859	4.10700295868935	5.06835496367647	-1.60259951975527	8.05834298965728	-12.2682029300377	27.514008777419	-3.94018120893756	4.99154210734202	13.368797002532	-4.93557645242481	-13.7485800063148	4.54186269523583	-0.228001969532321	-17.7008140533372	1.33156636820014	-19.7945148146414	9.7824671604893	3.15247674609686	-16.8313508725914	3.84048427322603	-15.549529376798
