"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"ctrl 41"	"ctrl 42"	"ctrl 43"	"ctrl 44"	"ctrl 45"	"ctrl 46"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"	"case 41"	"case 42"	"case 43"	"case 44"	"case 45"	"case 46"
"g1"	-1.20479417127529	-7.12925634082154	11.1093711622714	1.14785019535935	25.8780688213068	7.23276916314062	4.13120246724629	-10.4111935389894	-10.2967041974519	12.2759557154079	-10.0093803704052	-2.20542182880406	7.22623960643541	-9.28646209940377	4.1472247226843	-10.2038598685675	1.5109987815478	-0.271921173330386	0.809522759711292	8.92373936376366	11.7858213503431	-9.58852684241225	-3.70664912953863	-5.61945074626247	-2.6476860624618	-10.4661747196103	10.4306581950756	-4.13308383519899	-4.14257064349041	-7.56203334102473	1.81221527503734	3.80196041984626	-9.83593429927996	2.05914507859862	3.76414758622467	0.432222683735811	-13.6749080200799	-2.82549992113585	11.6216386274216	0.475764448012605	11.2138436426911	3.3305070993137	-4.3066334187149	-15.0567278495045	-8.0271394673538	15.6950676462297	9.9998970119642	6.54353929005411	14.7789923162121	1.44549759218189	-2.13409385690196	-26.2092441492209	-6.82922276059676	-5.70555733998253	-10.803224446094	-3.64925395663192	-4.1350040417731	-10.3562148883063	-11.5356276215253	14.4365176985165	10.4398974716542	-12.3060224168248	-4.4086117720162	-1.88581265602588	7.0958400820178	-5.72189129303428	8.34817220972428	-15.1372581892038	4.85048421816679	-15.5046893480934	17.6190136361347	17.4505595632245	-7.04142942902259	4.96465474083428	-7.93945974773982	2.69476984256271	6.28186548653256	-18.6133068607854	-6.55657381067809	-6.21368523784034	15.9852719849947	-14.6453447527213	-2.26402126635115	13.3502432978705	18.2091651858265	-5.37575521930641	-1.19047353110045	-3.26950303457701	-16.2355768519161	2.52422256164902	0.470930496857111	15.6463971769795
"g2"	7.15374964973077	-0.606468706869706	3.9064962194992	-8.11879882871467	-8.9908307923047	7.32500835314777	-0.331383633944352	-1.70259818408365	-9.53539305708605	-15.6853343552072	-1.92972396017624	-2.19310651257939	9.89350612905425	-9.262444661855	-6.05950779816761	-16.2507305455101	-13.7729829146879	4.72413732439593	-11.0356509150439	-7.9477060691162	4.93130219841836	-8.9458367608907	-14.2306545461536	9.92327138530434	12.3464420441219	-7.85318901935779	8.76259348586072	-5.67772191197174	-4.48859215885798	-20.7583500497847	-4.9230526470885	-4.27270576114403	4.9569845645042	-6.09046993417748	11.0400055788302	-8.57330474699239	-13.7105152689798	-8.59104607087956	-1.52279896226591	5.73367066470189	-6.858734930256	2.46740607414348	-5.01546036811652	-16.1218832450457	13.3203075701528	14.3802853426523	-20.6033273856608	5.55223106238595	11.6228753720963	15.2908862029668	1.06136147398678	10.9640176091346	5.177936152155	17.8581888476981	5.33509267835412	6.54644356941973	-6.29486893786469	11.6563909513298	5.90997779833837	0.414902656992628	-11.1875589037656	-1.77291617250877	-8.28254883878276	-22.7471308363662	18.3978798193071	8.8602170588368	-7.27589775022665	-1.09540469995267	-0.0494000078252571	7.55580283782187	31.0291703581394	1.71397575766738	10.5989204883676	-8.41840607292412	-6.22871693044731	1.47788391759627	2.61350494752437	14.1655960012032	10.8576440144157	9.02473494915931	3.39769121965115	-8.31702371820489	-6.93990904237048	-0.237041031214204	-22.9793225209869	10.4991248911923	8.87356873938243	7.28918225370217	-4.13643708224792	-7.94439451539691	8.6775185946275	1.98865244006715
"g3"	6.2697347181442	-1.13999781623793	-11.333024511836	7.81977212178635	-3.23517821920593	-1.0865224023657	6.22945794918228	6.82921595815027	-10.2891154695075	-5.61803303155917	-3.25817879064946	5.7841817355154	10.7346844355378	-6.29445052387678	-2.64492287169555	-2.89251384428034	5.8262860705989	19.0026808196179	13.6381543319158	18.1212583110643	7.68009491874842	-14.8813621603508	16.9150026702344	-4.82090650458228	9.55409094731422	4.27265605434372	-9.0925498539656	-11.2235750092103	-11.2770458708269	-2.23128179098348	8.8141275301909	3.72983778921914	-1.40188862428669	-16.2829994882436	13.3799517691106	-2.75320775193992	-7.51433700387302	-14.902131109212	0.81550778637454	3.78133349454259	2.58114518656877	-6.25968057138918	-10.5192481202677	-9.12285079684784	-2.85261800550776	-12.0365841377364	20.8127449340815	-15.2194236719011	-5.65316461087435	8.47535503837594	7.43515908215963	5.63411363496993	-0.42368237168688	-0.259320258741689	-9.58452349455136	-18.2806064465013	-1.50897739586136	-4.08853853588982	-5.25627474789822	-1.07822255932953	15.1237555604977	-4.29892221770741	1.6157571816061	-2.35748030117838	-2.04210708795736	3.47061783614714	3.16043041715089	3.46982514541521	-2.15319291401499	5.45319873066891	0.551593699596085	4.67986928787496	-4.84641766832648	2.90158537818283	-1.28238933700065	-2.73593831989806	8.83356920363478	9.47009329653991	10.4612227550716	26.8225609342263	-5.32418253840788	-15.1410921927186	-1.51567562284147	-1.07922405554493	2.78313888391736	3.41697756136161	15.1338151638039	9.60520258400718	6.84596886669823	4.30063213540579	-17.2527004169046	0.871328208566927
"g4"	-5.53256558197725	12.5397971949986	9.73050618285376	3.33250832714616	-2.03717815771831	-4.84035992704469	-15.7840413856593	2.09036106130856	9.84357902599211	10.3960541645172	7.04497340556522	5.34484225528754	-6.85042807895894	-10.2632028831657	-3.01878071491227	14.2744067079162	-11.7116993513616	-3.45355003363944	0.670439502629111	-7.08200839324477	8.27129000908187	-4.63388267210612	7.10609558631317	-2.31990569262797	-16.4686182595968	8.2704992121019	8.26879456644608	-8.54271232246144	0.966965685526644	4.68816008049224	6.43480832043892	-1.44208771648505	-4.05268452654796	-12.5014451716202	1.49997917014562	-7.59029833798428	4.36235972968152	-14.3478292357035	17.8625764426046	13.3948615127986	-6.61802039011028	-2.14967255979854	-11.2996309231044	0.661367884972061	11.3354087458622	-9.94120544439691	-11.7888410092838	-3.95879685698267	4.44928328219665	-10.2412738717979	11.1963216217233	4.85603814570124	-18.1129730803791	1.71327884315375	-10.1627250988698	3.47941825443488	5.74284200109297	6.71356963340784	-0.37901657958366	-3.4680061247615	-1.96228550837232	15.5350691999361	-8.29805368108328	-7.05510221675474	6.60381286617783	13.2375616507855	12.6903327228908	0.206290919853429	-6.47598654722787	6.39119061703185	28.6563507108956	-10.2318268761705	-11.749015160077	-4.55759347822457	-9.29402975271497	5.24405329659918	-9.22020239865456	-9.44872224157556	-6.91513571986086	-1.96247969490691	-2.13510305826032	5.18724982195315	0.719645159445459	13.0693682401266	-6.01807000335932	-3.99386746693644	23.4403321540032	7.41235688954612	-3.54079352850993	4.03796033736192	-14.9920439549596	7.06109306258236
"g5"	-4.29642841393983	-12.4852213407965	0.993498915893162	8.52123488179884	10.9157575520977	-16.0486497416405	5.83072623433263	1.5892812536042	-12.3528662196831	2.89765513013085	11.5652107208296	-15.474582455215	-1.37825187990701	23.769449389813	8.7067524930184	4.65341342308568	1.1649253791205	-5.72619524122696	-2.9190835290224	-9.95886077011483	-3.80882493056596	-5.97384290301378	9.9233591333946	-14.9887759484138	13.4419632419358	-0.117003445146839	27.5740884174359	-18.495672981992	2.72468287430528	21.0247306595601	-0.973851720096866	4.61779848573483	13.6355419780099	9.16075344909201	-6.94365488630677	2.09953090851114	14.3782624216567	6.58921472288952	10.2599572075616	0.108759189756297	-9.56662697660248	4.85590329051776	10.7682954661148	-6.66696137206748	11.0436015960148	11.8509517194031	11.9996268535334	-5.84865129755804	-8.40021473411719	7.24250798402809	-8.65944742550429	9.53209257842977	-7.35461442779588	-1.22955650480313	2.86207817514566	-7.23720762976049	-3.10464506428625	3.2557913647147	8.57214102557773	1.77880610446173	-11.1726058184206	-12.8734903526968	5.87642933762142	-4.56915212712658	-8.36340497380008	-0.485835484480529	-1.44657504926232	0.295654032840447	6.34054050644986	0.704861475831986	23.8547224491628	3.11180059629588	-0.126173996783599	1.33898936193257	-12.6315992098818	6.01802577011028	1.99385968604038	12.9570552819942	18.6777736313229	-9.77817431587742	6.41809607145518	3.31534448147611	19.1732108250932	5.26932133764726	10.1265582258428	-1.84581324802383	3.79989245748637	-14.8533515607188	1.17492421784202	-7.29257476846311	5.31039845380947	0.744897169727108
"g6"	-14.069778433558	0.915108840167033	-8.8676685938023	0.384101042395089	15.8672257139998	-9.27138416395156	-2.3460873125471	-8.56721334835609	2.60634857490789	-15.1254706981588	6.37692700824465	6.03117478367973	-6.56621258182313	-9.68753589484491	7.05536494639988	3.39268530225175	17.1072432214395	-6.74178447487717	-6.391958676683	-3.62973117860875	10.1726377809345	2.41876399113926	7.28226692270717	-16.0246472859066	-18.6501045810594	9.64575498922643	4.62473350572289	2.4236574713579	5.03519258755442	-23.3484022242875	2.02356263211878	1.89355152664634	-16.0763936340321	-6.18749334941787	-4.55992080832937	-3.45273873521654	-6.37744471760934	10.6094155155002	15.692572405666	4.2658714322723	-3.38864862694109	-11.7022660726151	-4.15623544512479	14.5958944433703	12.6138536124646	20.9975091713699	6.51035749711677	-14.3126023411703	-8.12645288338312	7.90882234794348	18.7624181769891	-3.30474381553718	8.44758220538632	-1.92788877013172	18.8066831219273	-11.49163976258	19.7624106379324	-14.1864533276339	1.72785732572997	14.6552832449357	2.88267452680886	-10.7165201563921	0.856300933305608	12.9931065584973	2.16231719782561	1.89795498975096	4.84419205622924	-5.90924853631762	12.4723785485897	-5.76972002671586	-5.41627948645549	4.99575434962445	-2.31651995452394	11.8319855100066	-5.16841577869288	2.99995488927737	-18.9690971104435	-16.6204044660635	-12.0915352566947	13.139167455455	-3.64162126106861	9.70377090775534	16.6018396189703	-0.115893204241856	-11.7123278644306	-19.1675300577186	1.22383903107077	-38.7279843390743	10.4345536775507	7.91535953988291	2.86993143850942	9.87074519775303
"g7"	12.1283727355464	1.16769397703703	-2.91146467758447	-10.3191661793423	3.50444902634495	13.5823113837725	-3.1177395033314	1.00741379796647	1.08291150419194	-3.3402767094015	10.0603427489619	0.15895132195386	-13.7157147576458	-9.18026499644588	-1.8422299599611	-2.11158703398854	9.77488753490942	3.27127881145329	-4.31996525969566	-5.62072157881725	4.39813105516181	-8.6355800541611	18.1707892987276	0.374505115004139	-1.68295043363262	-6.47447225756789	3.30664180676652	-11.9870470808461	8.9336388272313	1.65753552470601	1.29186076505966	0.00633002689396821	-0.0798113752714677	7.95865083536496	-2.09332036502908	6.83268325159331	1.51293677171581	4.23689114833236	10.9288361716095	-22.1197725945581	11.1613011510677	-4.51121231937932	8.98918368523302	6.44572997907517	-7.43232426756055	-10.3634452337238	-16.3940946295538	-0.452797079396648	-0.788032998772558	-27.6017415870898	-3.91978656644056	-4.88501906778029	-15.261879768418	-9.98592153273917	-11.3741250507686	-5.49908003175953	7.5443034088648	-22.5149983212533	-15.2769529083082	-9.18572038897461	-16.8572539369604	-7.81003220683541	-7.16894896487881	20.1686381382833	-5.60477192371575	-5.85811449354806	-3.23800642135583	-3.81886237289448	-5.35718627964037	8.97106604773728	-22.410006313584	0.572687387267711	-7.31798887539792	15.9642268946087	-18.7078624568885	-2.86037417952747	7.64249910953057	-6.28490305222304	6.57711251260529	10.655429060248	-15.2801571413867	6.37001104622505	12.3811850616263	-4.58316879298852	6.56200231541127	4.44063427644246	-4.3577816097063	11.8561597867957	-1.09190853577571	-14.0411646801437	-7.37502220538078	-6.18315546491766
"g8"	2.76031961829221	0.0231343689903264	-24.1342886051743	-9.39495011123349	8.77658136703795	9.24662185093808	-10.5835240398455	-4.27003146740658	-3.08635792123984	3.70489284508002	-9.00616899273326	-8.5366755540911	-16.5334751520735	7.7067543510211	-13.2289901412291	-2.51540703104974	-4.07370747703615	6.13272671764946	9.70927529696897	7.86450075753137	16.2514501909055	-9.21013298136043	17.1085706640903	-7.00196858896879	3.89312256982912	5.69775168403111	-0.671218276717924	12.2998000195484	6.619798128957	-2.84679541501461	-12.8891303584387	19.6765004136847	-4.56200155382779	-2.60959500787394	-4.14074934778467	-1.65731768512299	10.443792122855	-5.8159838013975	10.6875338060707	6.57392176958544	8.03982749546139	-1.87455025256286	-9.47549831720962	6.60461813815004	-14.7696598261413	-20.1955566959202	2.28988995738767	12.0754895625579	-0.192822234285106	10.2349663631142	17.2895608792919	11.9837684719058	0.581312674093963	-13.8515589284649	-8.78638215942859	-13.3530812389951	-11.6490569433891	-2.49810985305592	-5.02304993366591	20.4095768272303	-5.00222697336667	-6.6874532256116	-13.2178226063036	-11.1149651820365	-6.67684174504626	4.33323258257349	-7.89595187669475	5.83658677103503	-7.20491376306904	-14.5546086264686	24.2996739350808	8.97898047805911	4.02844772572858	3.5880492969879	4.46105159540659	-10.5684706193846	-4.57956094442674	-5.2965326870562	-1.5480168550936	-2.18337723839963	14.0258809939637	-22.9273809238133	14.2663587309832	-4.28091289516712	-6.35291997398359	-3.59607271783945	-6.17203983283638	-9.89067515964311	4.27563531466233	-8.76647663000437	5.13438853647172	-6.15738520906372
"g9"	-4.0213791776839	11.7008517118667	-15.6766902737732	11.6003413808432	5.19805389085697	-10.857055199598	10.7183116892491	2.45918342920941	-6.75586494891409	0.992469388426354	4.24636302111831	0.641144148018665	-5.74568831799862	11.0561634308811	4.03390331878709	-6.7098774045852	2.66771972896547	-2.64167314848965	-3.9714861034461	-20.1190607414205	-4.670675919739	-2.47710839063196	11.9578911294622	20.9418527608988	4.42320049049328	-2.26189380894638	13.4954377028067	16.7446686707459	-24.9640112235585	-4.75234798375104	4.950811601986	12.5615028267641	-15.7915783830051	5.73388336733072	-14.998698716229	1.44206081893764	-0.515708076550454	2.25859544922067	-0.453747257596077	-20.5082156287836	4.35147235375387	3.00084517248476	-8.0036986075296	9.33247488939125	-27.5858180335476	9.44123531379878	6.3057359254561	3.29451579903456	-20.4349927082901	2.09199556206232	-6.12994188823841	-8.66091961978011	-5.12969575159024	-0.555287756630576	-0.485043771080073	4.54351104413972	-0.307159769336865	16.8007680696499	-21.2767556606904	-11.0158117981652	16.4728263850862	-16.4784381743084	1.21804206823759	-2.32083227532884	0.751267279707409	15.5578597879336	3.9392754096365	-4.03797474166012	-7.51918438036209	9.64201346341085	-1.09294711039031	3.79137532474895	4.46377324440318	-3.59148238876648	-10.209815376283	9.16516398864639	4.92415216834741	-3.3681202301811	-1.52743773100154	-2.55592981699066	-5.30201903956372	-4.41974797685651	-9.78746329430586	-8.50359800578943	-2.61473191172672	-1.74274595561326	-15.2936775827623	-4.19544052782999	-12.77026836778	-3.85744522056292	6.07707775533696	6.01315549479395
"g10"	2.61469487098503	-11.8384745432604	-2.55851619202955	17.7006895903685	-2.48756323527244	-3.14127764328938	8.72284215261797	4.32509012538038	4.64001119416799	29.1396732754425	-2.20724256459948	6.43325493627913	-21.7556231617181	-19.9908399564076	12.1299366199273	-5.99688410371955	-12.1982693886993	2.8262594792991	-10.4038476128896	13.0289393193199	13.2366660424788	11.7073387713165	11.2669663298443	-1.93880549885171	-3.37589738150678	4.59548921149773	-6.57677044841668	10.02994886286	-2.12391519381712	-19.8908624360876	-20.8272938693627	5.81730918847383	5.43495411768425	1.27898655262577	-20.1944066552467	3.48490096813971	-4.92592878163753	14.5240496148904	16.6313207934246	-10.0465415930031	-3.5904186422629	2.08466529731188	4.44259681001319	-0.973950998813478	5.32438868567139	-4.12427629054019	-9.79331562431674	-6.62586701375496	-11.9605309776006	-11.8093955251636	5.55925275088017	-15.4504247311985	-16.5119838884778	-13.1666138661717	-0.777192658976	-8.28498618845837	-3.67474403982407	-25.4926134870454	-10.8596191752515	7.0745145802937	8.81818508795711	-3.46501140089684	7.90997924091785	-13.1650163917649	-1.42998528775918	-3.60311914056557	-2.20792628040302	-14.6170790199198	-5.82944076361337	15.6649559998367	2.16106438125267	-3.77385244496135	-5.99348744605744	-2.8431323500394	-3.46492354702446	-6.39351150356691	-2.87638521144368	-1.93596048834134	-2.45017421806144	14.8004040254395	-1.35991524049943	5.31222323349253	11.2749844104294	-3.41046506113309	5.04842125144004	0.547564333380795	-14.3936798202304	-4.50015683770983	-13.2073746628574	-0.878346336592223	3.82240463072119	17.053613764337
