"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"
"g1"	1.62404556416406	1.35297426041606	-5.41362089151161	-3.02183099893368	-7.55220307896158	-10.8115502297929	-7.01401989514866	4.66802269603095	15.8444298782392	6.17791579416293	-11.1142924316833	19.1273888809555	-2.05229125484009	12.8634939321567	-12.7941730924793	10.477549346548	4.71384719066533	2.93901669199961	-31.1846606737582	23.8376857213563	1.8914497375297	17.7457700976987	-3.95767354990197	5.22044706136663	-12.6251525631404	14.1643648676956	-11.8817403416012	-6.04001293201995	-7.17034762806734	-0.780251145180146	5.12131683814512	-6.59817126004691	-15.1080349847598	-6.76246445398223	12.3559653045546	13.0837379278201	-5.11698756505326	-0.244133876473866	0.893449700377231	5.94799740706182	11.6917140290532	12.2810002690754	-0.74665340844224	-6.41213309208546	12.9708370378452	-7.8295214819092	-13.9279400383379	-5.82510671051078	0.797776758413428	0.623238109710516	14.8545483419025	6.44890535450304	2.85581357106575	3.18084910475196	10.235093489229	23.513482952728	-6.19408863967146	-23.5600832980527	-9.30010686212969	-2.98271839684189	9.15872628290287	28.8587730037599	6.08225566631301	9.67927559021729	-4.47215377672495	11.9766715885899	-14.952407183443	-19.5517259244076
"g2"	-0.818981110571098	-7.62021129896227	13.7273745827513	-5.16565327559178	-11.1349252534431	4.52885045927067	11.4506227974067	-17.7346325175552	-1.07836209023105	3.21528441714156	0.461684785937763	-1.15293352084487	0.307214210711678	18.9911271509172	-11.9342011685845	7.76088337225929	3.05577569352526	17.4108426602299	-3.62000605933554	4.62378473742798	1.11616034600348	14.7760817277837	7.24048551463187	-17.471886560058	1.66370708195764	-17.1924013271296	-3.92341738703024	7.18555976307584	0.650069656864096	-12.0362479378874	-4.31259259987273	-25.1376876135027	-7.95177895024008	13.3663722149156	-8.89118311692654	-10.8131535994947	-1.90605889984651	-13.7570462453345	0.367584194929441	-11.7843294431749	-10.1657776391905	2.94309025392192	1.21980626368195	-12.5363207939121	-16.0954088575622	-11.0243079823288	-1.8449759245183	-8.97755264563344	-7.22641525442788	1.17576799340476	9.49025119660861	-5.04014014367734	-6.16403904847073	-5.10333524917283	-20.0309399913541	12.9145967833533	2.28836865990646	-3.3430945967627	1.83037696495913	-3.74182177902211	-0.433434287584857	-26.0941357660302	16.4446572561866	-5.73491951804952	2.21804580598813	-8.5700165504297	10.2509941946577	-7.96729227961064
"g3"	-5.03338653913721	14.0482025758437	13.5204380764253	0.995981098239457	3.52813931732407	-14.7860866480141	-17.4632002768327	-15.2396740194734	-12.2242779071867	9.376296784901	3.43029375736842	8.91562367268942	-24.7362264247941	-16.0573306314651	16.7360187650657	17.9640768603136	14.1203908882533	-13.2147262839517	-5.61618209043885	-0.847700281953949	5.2577193173838	12.2904731720261	3.48729628803446	-6.28085133364364	13.3998173023813	-1.09056680892174	4.02684230529021	-10.9246727600779	7.75464307333824	-16.5803615902306	-3.73407459834778	10.6902697526138	-0.843140640920784	-13.7079207614377	0.553630579460663	7.56983170858116	-6.87446767857897	-6.14232193977735	-20.1888121793374	11.6156117464453	19.477524919648	-9.72221497310924	12.3544765520486	-22.2713935535411	7.85884286136457	9.05604471802092	13.516016309967	-8.13309668427206	7.82955336225879	-13.3103494942621	-11.4219752364683	7.32988086034429	-3.1577623657182	-13.2235694486492	7.28255736931768	0.844760359679814	0.643014306825963	19.5351978714144	8.45252254274332	-11.1145612298953	4.00571825707994	7.82120848057022	-9.96330424887514	-5.68703552817152	18.7375171368574	3.25295071542765	3.14322203301249	-1.94488362217911
"g4"	2.42886690031299	-16.0589716956084	-7.42879502672549	-13.1590301521238	-21.9556394514949	-20.2722702043276	-1.14851525445386	-14.1421636221113	-14.7423228332138	-3.19046016992354	-10.1221270078198	3.5415877548474	10.2345700671007	-1.61142094890385	0.417248063492949	-8.92464718436066	2.99491269883182	-5.11206472477147	-4.83495936173686	-13.5601378811514	-1.60265499724932	2.39614913268516	1.03462438513375	-17.4150619878248	7.47507144000318	1.73511853017495	-7.96024155260888	6.50609220236959	2.54894033216516	13.6883633524093	7.93045591912929	-17.9024196337637	-9.55444272546692	-4.16804255234049	13.6608128727074	10.6044941428513	-1.5643600961575	-3.02909804138228	-9.30341692988595	-4.53632659455623	34.4840694251056	2.55297522014204	-6.41885347189379	-3.44854750422981	-9.61995915326931	5.87190262164327	12.6805757665364	8.71001212177513	0.293354426836538	-6.02508248704008	5.13303620950174	-8.1117333680644	-9.65358180062535	1.08459039796034	13.9821324962161	16.6509246197723	-15.0645304353589	-7.68200709580454	-3.65257570816979	16.4340935004897	19.6165553379012	5.6938850652709	-1.43599164801285	-5.67852852870024	-15.0967321593498	8.50307576943473	-2.93137101920477	3.82228378633548
"g5"	1.28294561073742	-7.45008421129473	10.7726057596902	5.4578615447338	11.2875458261329	2.75384743056255	5.19245038392603	4.16014370796203	-5.61934173128324	-3.71561820832609	0.974492942243229	-22.4222786026244	11.7078162063937	5.99442891277212	6.51333211736266	0.423964179211974	7.52191341581707	7.15839800331709	-2.1649156399747	2.0875400937498	8.5107731437027	-6.30062400351834	13.1397302307364	-4.08852925116549	6.92011478867216	-10.7053883945415	20.9048500806947	-9.61117854440644	1.34539937097227	6.02448957953666	3.49551315559388	-1.9365711174576	-9.50769883144486	-17.8265074157881	1.07501993842287	-10.6646057409212	-11.6141856907848	6.75210623289288	2.49427066685958	-2.33165376688489	0.132988442988005	-15.6242296752689	-4.90991005882272	9.29007675539484	-15.9191390863248	-1.13338205226707	8.36424417707194	-19.8422544205275	-15.2042893832672	-16.4805626031412	4.57816229065223	2.88824273859527	4.97511862872682	-1.37122271196736	-5.86771989233205	-0.377108923093579	7.20345799574707	-12.3354422377941	-10.4141187864534	-1.60815371588478	-7.09492063844441	-10.1044179442108	-8.21680961471498	-12.1437904965893	-11.6847635211093	-6.48476500503671	4.45218445204492	4.98189581180399
"g6"	-11.264560386295	0.654117665956256	17.744131014923	8.27059942408548	-8.47163468207156	0.409301524812629	-4.52648019601142	-13.7363112260539	-2.82800098157889	-16.7789377898087	3.55527915930103	-5.4790857520112	-3.47557816908241	-11.2815271481413	20.7013179195219	-8.10167241097655	18.2433718464403	-12.0068613795525	-9.54350662399966	-26.6225000424667	5.37294523697835	-0.967937566799223	1.69023503862292	16.5282105673256	15.4187517541027	3.89318130653895	-8.13756916152	-3.94593821627719	-10.4746307599308	9.61592562433172	-15.6733205334651	-11.7482710264695	9.970461800717	-4.55440800340423	0.587849724961119	-5.05917095142913	-7.13697419869426	5.47387188939662	2.7921677166579	6.60474754676717	7.93736120368327	-10.1241677396083	18.0016998699797	-2.87186839734787	14.4276825697981	-4.07448000138695	7.08146514446653	19.7843851510742	11.9748797857991	-6.72375159886964	-3.14020499863236	-28.7360763981811	0.50815079750445	-12.490263521918	-3.91721774993853	-7.43292217301862	2.38515064291386	-18.5525147290512	2.7894200111748	-4.59437101614315	-16.6220046466494	-2.33844018133238	1.96831248906355	3.69329687580241	-6.57909769064012	17.5653643017492	14.9186956895062	-6.17714630936919
"g7"	4.60506161963381	-5.28105373509943	11.0680881769333	-13.0720637331805	-10.7608491366289	-9.17643447894555	19.0200344973982	-1.93171712194419	6.36661495337298	13.8386110755427	1.29433271846815	-7.05752468410646	1.36911919786895	4.95089301214381	22.8699465904974	-5.00965087051536	-18.0474125401892	6.19037549346648	20.1642962277811	-13.3717122150146	1.14047357185831	2.3973702500248	-20.0432410610293	-0.496152971114151	14.0105440871762	-18.0464395888005	13.9714468182866	-0.464284458579355	-4.21042784109123	-18.6005898943218	-4.3367283048645	-15.7951645338256	-20.5498661931869	2.44206608453497	14.1882426650579	8.56875233210375	12.5124994375327	-25.381654765081	16.9332902264073	12.7952240103979	-3.51288617864307	4.80700106934771	0.866537087225154	6.0479655874076	-7.40465713619169	2.01669435395429	16.6620277222755	3.64461822907177	-2.81589232485885	-6.02686675059198	-3.7840631075617	12.1538425978817	4.91327956908604	-7.00687518584347	-4.1430172949572	-10.2272968305779	4.04755421483235	-4.09921526049742	2.88874593134276	2.42083014521299	-15.5675222952866	13.1451162853758	-13.8445465480552	-1.18033335047478	17.6964289927576	3.4889974441128	-11.909661226249	0.478536002290201
"g8"	0.780542913373543	0.468725983700783	21.6607307078541	8.35065454050201	7.6968181686955	3.56270591718997	0.925892189711322	-1.98581482564115	7.33569078090377	8.09612567833572	22.0248221585429	6.79526310113105	7.34436804022728	-3.66685884161103	-11.4092764683584	7.8202698164846	0.195460733890923	-3.78410228745761	0.473383402416421	-21.974648055517	-8.74509869273588	-8.77287749691447	2.48679723123604	1.38180301729159	0.0557781211148619	-7.23150830693375	2.3008930766516	-2.9520271511768	-2.09153268944165	-0.883270783609125	6.27932863702548	-12.9015030164842	7.15875061659057	-12.7778138660997	-4.07944746163209	21.0069181995194	-7.54839863714785	6.32607230146241	6.37082897092156	-1.61925906735091	-9.80884612096062	7.97133392458799	10.2933348108191	-10.5649656483675	-0.821640905809198	-4.31868302378397	-0.926398926316545	-9.27152801909614	-0.654129580043925	-24.1548367165677	23.3226222652835	9.06222504403647	-3.53293320604273	12.5484024657491	8.73629905369891	-9.48130498874251	2.32546415789249	4.81869800517909	-14.4248975848086	3.03060184763915	-15.1463066386742	-20.2039148768066	0.147109306852485	-2.03214832078423	9.09753069679447	2.76463017883332	-3.14472721186309	14.5492845043186
"g9"	21.8640722525788	-4.45834440701233	-6.2598676180446	5.34016011063073	18.1060287735246	-8.99451845921976	-7.04138466627267	-20.0084763932366	4.5848893091541	7.9120301249835	1.44173505443289	8.16267879454911	10.9854390915577	6.27199406070699	10.3769706641255	0.328572198234034	-3.63875343828093	6.58280916070488	-2.62507999464393	4.26996996686117	-1.75568506793871	-5.81094538678661	-6.69391778533409	9.77922877648525	3.03776573776947	-4.24782455458424	-16.0415188118879	-0.316886881969276	0.287654432893431	-1.34153802481175	6.83509406299679	7.48981221942126	-15.3841766349795	-11.737155892659	0.135730168928588	-4.21216298980373	-0.776221603634048	-9.81239050595802	3.93674376258337	-6.50016981115929	21.3739666969586	-3.26411332575914	12.6554312482622	1.75863924203675	9.72333278662458	-8.48980623313552	-0.321125298783762	3.44261013523903	5.05219100895865	6.7094963601347	-3.45657972337212	4.73496147737448	8.72601488000013	-10.052500869484	10.4030090708144	3.36402329360447	-2.36284562423119	-5.51707304512887	-6.55030527693089	-4.40501854452398	10.8341445637776	-1.02407372972054	-13.5213461362469	1.79211106996701	1.59137136092808	-25.3905157083369	5.4141370361252	-16.6099939434437
"g10"	12.9685742592473	7.99999536677073	-10.4248416676318	-5.55897355082903	5.85559412787661	-9.69972610259703	-3.20608256910547	3.41560752061389	-0.06664591336695	-16.7727273676322	2.97185008085827	-3.84433491485186	-8.12060346899944	1.68868772737467	-10.2053821402819	6.25125967909015	-16.991263536679	-16.614380418184	2.29051242665594	4.36856167964562	-6.20607400929924	-3.72440371825866	-8.54309620802971	10.8969981818531	0.277445495412956	1.34273478433555	7.77835774951372	4.35485997178651	-4.78083901698028	4.72925045371467	-2.49477152314824	0.48801592658727	2.21719312061414	12.3409751984695	5.05372683182556	-7.60554211023188	2.40951599497683	-4.13256982923205	0.403034167568867	-2.27134320358719	-10.5364443086576	-0.952404172123343	-15.2733398233896	4.63599325546449	-8.57624544424812	13.0900406879284	20.632169424382	-3.72281160515286	-12.4770339563767	22.6610628342113	8.86863733646095	-1.75991748801225	11.7249360157992	-1.80336155991803	2.81328927308559	4.98560223635176	-7.29221515783695	-6.97195367750952	-7.17560126475725	7.61765204238694	-4.03433151674532	-11.2522917074703	-4.23653809286955	-2.54322633339641	9.06607155963273	-11.1747450955462	-8.93924395676907	3.53312405771203
