"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"ctrl 41"	"ctrl 42"	"ctrl 43"	"ctrl 44"	"ctrl 45"	"ctrl 46"	"ctrl 47"	"ctrl 48"	"ctrl 49"	"ctrl 50"	"ctrl 51"	"ctrl 52"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"	"case 41"	"case 42"	"case 43"	"case 44"	"case 45"	"case 46"	"case 47"	"case 48"	"case 49"	"case 50"	"case 51"	"case 52"
"g1"	0.468217992118004	-11.9926949435029	-8.44080027843523	-19.4736651927415	-14.371848413119	-4.79117886526411	8.85127815844156	-19.7722587333033	6.69879513591582	2.75509595581511	17.2294560455377	14.121690941964	-5.87664091771952	-1.46064226170059	0.602421000021405	21.0955246286148	15.1641919420743	6.39156659056671	-6.4352196953916	-10.230983368463	-4.93010179955299	9.15463661708541	-9.11530119056464	-5.45872609277966	6.74680925196991	-2.00037738401604	9.88647190513829	-13.3777837967072	-5.10054831131376	-10.2573925881	4.88124996785461	-6.34403867165436	-7.94918648095904	8.33621673336506	0.801240758717743	-4.01670998195835	0.217705154564442	-10.9688187769482	9.04434022173067	-2.09720592239077	5.90303585516313	-9.58063893535709	-5.64066437235719	4.5810206930112	1.41647721575578	3.20121039536551	-1.949703021979	-8.33754940331024	19.5152876876024	-6.81878813538993	-4.21463690718789	12.3818986786879	-8.44654693725989	-28.7184048340484	1.99855236744542	-12.6050418013142	0.214179460249241	-8.27289096373873	-4.45380756247426	2.75574558388147	-5.95693948494077	6.85388248452231	7.44148833857958	-3.62701872818143	-4.12575597226622	2.92735298785028	-9.67443945101566	2.22431843435428	-2.67613463034075	15.8655842578662	-0.693033679940452	3.43786631729023	23.4037227940281	-17.7969281110188	-11.3879400724102	13.4778981702112	11.5967757372025	0.392757903826994	3.85844723315567	-12.1623165259409	-6.85433979795796	-10.9829312265078	11.8682540882452	-22.4209183168694	-6.72079201078878	-6.61620521833651	-7.21442641439968	10.6956551537677	-10.8824429453516	18.7160650280392	0.864787452467939	2.04937737912267	11.5344026671898	-4.08165201980157	-11.2196367743893	-7.34543786583151	-6.83488614517522	3.02665361372926	14.6383080174282	-11.4773818949676	3.09834297707831	-8.17904508577126	5.44473876675113	3.55218619989218
"g2"	14.9023730802254	-7.77736178320734	8.0793708872944	-1.55203200423357	15.506063453221	0.762733924523574	7.21646188579609	4.67620713482536	-7.31817564903931	-10.3672558631101	3.10978178782374	1.36029750706192	4.02290811472913	-2.12500293055519	5.73173504517673	25.4337800305791	7.29778871922859	6.19560048754106	14.1992941119819	-2.83544152405048	-8.88925989977213	-4.85918715933671	3.35778841137063	6.00398921484106	-1.64317733758142	15.3489390730385	12.8193015697753	-3.16154372049462	4.74619251359537	4.88809107699021	-6.6390930485755	-6.29967023012277	6.21297070162788	0.375879233804983	0.20540572468111	-6.08655009857525	4.69323234973952	-4.8182108740425	3.35841528672926	11.0905669402308	-3.1351227327366	-12.6730295125872	-9.83128063450064	-13.5785116564073	-4.93923000729334	-10.6723226088165	1.11870462231545	-14.0245490593137	-3.7760046369402	-1.46650452211864	-0.245574157959678	-2.33085561613589	-7.04630391958986	0.476569651668078	1.60569237192867	1.90083573599674	11.0320203300509	4.30720968071895	5.53744009472877	-20.859750238373	-13.0553028171326	-14.4328663501262	21.0032126417013	-5.86529404122768	-8.37093618032118	-4.01880797238407	-14.8561719436832	15.9733685809374	-7.39026466055541	26.1877846827817	3.19821322687791	9.96545900098478	25.3959801267978	-8.18980203466135	-4.31363223962117	17.8330618781971	-0.0609101327196097	0.250279892525068	5.62616369378464	-4.14368134988214	17.3258203005569	-3.6663244411795	22.7657551400131	15.2852330472289	4.24845305669408	12.386668785503	11.9714242828482	-6.67872230667603	12.940197888668	18.1105180245254	-3.41036430086399	11.4692039981417	-13.738012429293	-9.28050224696389	-6.28263886501355	-1.61657489213088	3.73408887121429	3.47033540559586	-3.92707492873536	1.84269821374855	-9.83987819498413	-3.63792868158844	-24.2746851766258	13.8729662661122
"g3"	9.16835180568217	2.48168723922841	-7.24550154754648	3.7342232669955	-12.1801025926693	-1.37071529933075	-1.56670610192098	8.72829458240315	19.6726275816349	14.5792441273163	4.08485854177218	3.4733560520552	-4.55468218499521	7.76964970056803	-21.5165366506846	-1.53589350376928	-3.1168331612351	-1.05649253479655	-4.27810785557582	-4.12285744585802	-20.4269275295146	0.571438067142748	7.43285550172545	6.0861883362404	-7.79322888489277	-25.023089933084	-8.57787759648323	3.15345329025824	-3.62008293983014	17.9373352539697	-6.40145820368248	0.579593396049674	-0.0320952364889472	8.55043664684341	15.5392355959387	-2.99276408335134	10.9538344939827	8.66053766539893	-4.93797717467077	11.3988581547008	3.03080516270805	-4.50987631823375	9.20162895024218	-7.01388319793937	-31.0182837546678	-2.30842219520507	0.471924244049126	7.31003537721047	-5.92409232484673	13.0191729151381	-17.1485424612717	9.65353462474943	-1.06269300644351	-20.2267333324106	-3.96166033026471	-15.6500964700224	2.07725020368301	-5.70924885940973	16.3817618977329	6.84170358350012	-5.09816038569984	-1.50473504600101	4.04941475190713	-8.59844369721044	-4.11724910276479	16.2732150106871	6.69953506670704	-14.3105649661756	-4.11003664589289	3.32610259021843	13.3529022420696	13.99584704406	-0.375367447757021	-3.68332302280692	-4.42766292113253	-14.4228238150896	-2.54687978261415	12.9881973190069	14.463521801305	2.01220137644792	-2.85549190907111	3.73010948972953	4.23532800955755	7.70980032489563	-0.491915354825401	-0.815051750797437	-23.3605921010649	-5.32500518834486	-7.63909565073053	-2.33120627397691	-11.4882290736846	-14.6817536066329	7.36899459558738	-8.66348849552534	-8.08837607315001	13.7363405440592	-15.2936891619094	11.406600921067	7.02243028900721	15.8710641111245	-5.86053053591554	16.1411478527759	8.93463121775562	-1.25370360380974
"g4"	-5.84563709362228	-15.5709858377327	-1.4605396601729	15.2162902121644	10.3825218346743	18.4692947989823	-2.83921540453813	3.77630965624118	1.48600478684152	-4.09775298855535	25.9688070198128	7.53570334338006	-8.3733092372734	19.0261368901809	4.38546694750259	-2.69152254727673	15.0134765939518	5.8424137158054	-4.50466827481469	4.73513467352035	-1.70991508784832	12.2778390079472	5.53641433440369	3.21613750827473	5.55444952242122	14.1873012613736	-3.99761022739234	-3.47720698882484	7.14911555853924	-12.685070466603	-2.3494016708801	-17.0999424255154	6.03029985640597	-3.21450313877826	5.8630885834889	-11.8500246186335	-5.18520341289202	11.2236989169101	-1.27946611208566	8.34448876690714	5.43215492830581	-6.3585933841704	-29.3766804021503	-17.0756333820543	6.10368173478199	-2.15377191973884	16.7351900345093	23.5968545685958	0.301601191643419	30.3408924774472	-9.09130738395183	0.94668621342414	-9.91262409261002	-0.939327325807189	-10.014897006385	3.75654132828206	-2.95497450877904	15.3970083635746	-2.26327533460592	10.573456495626	6.69543763870771	-0.669864350603631	-9.43273389199105	15.8036431450222	-8.41629150371498	-2.60264301248171	11.3284778697851	-0.618562638857478	-17.0307334145002	12.6998951288385	-13.5120077008531	-3.04638302614395	-1.8804445397556	8.13242098885208	-18.8084083633219	3.59426712658916	-8.51815826229047	9.52564721170545	2.55658757945757	3.21462930655549	9.33564278684777	-1.01936692899262	0.669525305576705	-2.76488696982749	11.7398839725357	-7.78977817130229	-3.57007462058162	6.0422677251717	-4.97809387473133	-10.2419679629616	3.48731807014151	-11.6842796906476	-2.1966174920091	24.4010901819653	4.4552356564546	-6.56316209251008	-14.6396644121781	3.00148082642805	-7.97969509483762	-6.45417110871432	-14.2959952260448	-1.99517524477617	-6.99836249712247	-4.88287842668331
"g5"	-7.7271303052432	4.2326457711555	-6.66957090501578	3.13639556616	-0.157333666224063	4.95359394748995	-3.06300467365521	5.28081128287045	13.6703372801273	-13.5116137513287	3.16756918395226	5.25732878914383	-13.3769535070467	-9.5033876769338	-8.46062079127642	-18.0503005609439	15.3275502175324	-7.23323965842379	-8.45021104615078	6.25018741308568	7.99937638215867	16.8496972374435	-7.85574310141966	-2.26449952941217	-5.60832604788442	-11.6088055959334	-13.0095467935705	6.33089418348365	5.89974442459855	-8.7566713524802	0.587110611990202	-31.2099480269764	8.81735768816198	-21.9462969711741	5.92350016948853	-8.32276047457912	5.9785672465835	-24.3956431167192	1.27131487250557	-14.0473885140572	-12.3002534631689	6.40659475031551	16.0760923041301	20.3986859582552	22.4757488230281	3.44154355090691	-1.62962438861909	-9.96825207100858	5.01208401954254	-5.64676044886399	-2.77044136308215	-16.3903949160827	-14.2299410465951	11.7300266946967	-4.94868275430699	6.15780432544144	-6.27939085718141	-1.63565422849528	6.51636025454864	-8.25341393359611	-11.8123025730697	12.1834476524602	3.93737175030095	7.46621526826934	3.66816488541367	-7.38752221666692	1.96417146112504	-3.57016854580141	-3.91167895162321	-10.9254176427787	10.6731488510384	6.77136916582279	-18.5065309143623	-1.21770562857242	4.53622420582866	3.12104320344048	16.6840913952201	-17.5934042374248	-4.90996085093322	-1.44590199019691	-5.73594768071669	23.1660722601624	-1.64096022155853	7.24971854595684	-10.795708756703	-16.4200594907367	-10.9721291082204	16.3569451614051	8.70832430810809	5.54252744384694	4.75339024612576	-7.65016702134132	-0.143756414995365	9.19990291164672	-9.37834162191704	-0.120486761995724	-3.30218521746043	-4.95990199296491	4.00618209638685	9.33545766693909	-16.1955149381733	-6.78932020339381	-1.06548707823541	3.74264894081577
"g6"	18.3194432714722	7.49846395379235	-11.4917952620681	2.41041565846379	1.63949413381198	15.552518870998	5.4625333369251	2.39860228122651	-3.59791427523736	-4.19640892919387	-3.98028439862692	2.80366394365473	-21.261982895535	9.47576274513669	12.039817771063	10.4806876642006	6.11625832406184	-26.6068113918267	-17.2352841717413	27.6824110445574	-1.41000440501931	0.334508621073554	-22.4237857995773	-7.64244396035458	-16.4589900309847	1.98668438680244	0.884089174374437	4.24886194378027	-4.5338507248937	-1.19312387867457	0.140822578602832	-10.3107845847681	9.59804020885246	5.05256512751064	-6.18869274152985	0.632446501904879	12.1190704723966	17.0130384694562	5.50845012721641	8.41031274257507	9.65076665877511	27.4647857070057	6.69065698788746	8.58040334947333	1.45719671402132	-6.74679389180921	6.06695721565	-6.7384898555861	-11.8529671782868	-7.71989603910492	20.5219733624527	0.657925530999123	-7.24812333769154	3.65738584978917	-6.0845382557738	-1.77977779964775	5.14025442936783	-9.60015150372619	-3.0688943212571	-9.25663911937999	1.97165690768708	12.2896303742424	-8.78556613946608	-0.5167204624386	-8.00032660796819	-2.02601465596362	6.4207969482638	1.16885893122244	6.05366432855316	0.744855378506456	4.0039122511566	-19.4168464015119	-1.43623294125958	-5.37968176504895	0.470965218447496	-8.8525604069368	-0.0564031182808685	6.00747658392206	-15.8309105235448	1.35722413833782	2.59098773555509	-7.44310027431809	6.11825487389345	4.30231579036872	5.81987929972808	2.47669909225357	-15.1529407365311	-17.1324251018145	-9.15261622508906	4.90805609525607	-6.18890749535843	-10.84846559464	-5.43519823877928	13.9045674281054	-4.34839229193303	15.9492799807335	-8.82253973737394	9.97731258503081	14.7229629264154	-9.99508454535005	9.20445079599604	9.08250113821808	8.44799576003103	3.59504847754699
"g7"	0.616304620170788	-7.6886316722244	-8.71463680711118	-16.0371498139314	-2.56064264406871	5.08577105760346	12.1856043798119	-1.71580489376293	-10.9002828526388	-7.97344265354761	1.16308600077602	8.68167634097568	20.9726352950596	-3.06792895732375	-9.12018503158578	11.8331582659233	-9.33626853251845	-1.43171252583914	-1.32982386225918	-0.447277491782933	1.11092756768395	-2.98063106723101	8.34792759412665	-5.38517996767767	-13.7240783028805	-7.93250922438358	4.67565941324638	13.2791499101232	-6.31658690657703	-2.37295230682908	2.46336900423057	3.11555951579424	14.2166204061421	-6.51537157864221	-12.793912156982	-12.8772565248757	2.8979136400131	-2.34543621923396	-10.8818395607985	-2.49679563278201	9.33834608853761	17.3596405975214	23.051847809255	1.5584262992815	7.50116191294249	-16.9387312444355	-17.0448198985511	2.06280383243341	10.6980822730146	2.02774487806144	-3.38392853286532	-9.72829508888325	-8.07228280628129	0.826703328684957	-3.3106244819303	-10.4682439361497	4.97895061689578	-10.7024002581716	-1.7430984618769	-15.4642355572421	1.17547682564484	11.8243435220117	10.7040058890759	-0.568281735456099	-11.1581219837207	-1.08980819533833	-13.2013448511981	0.777760585097304	9.78128892919321	9.11192180533269	-0.847147812958194	13.181440794709	14.7262521439357	10.8701983537617	1.934160511603	5.78038201611694	-6.46425331422493	12.1493469900601	-7.41509583000096	6.45544091784122	-2.34711606344514	4.43624195871886	-1.98163032353113	1.36081768049334	-4.53378814185367	-15.3728730538661	19.2255109346225	5.46243486967183	21.4259186958986	-20.2637485258553	21.2116864249878	0.597359925804919	2.77765451639437	-10.9500762092731	-3.98964060069934	0.708409267592701	-1.48645190855428	-14.9474500024918	-0.0487487082280128	-10.7255795422026	11.278737214928	-3.48398334965148	-8.69489629243664	-8.29558055747594
"g8"	-24.8257278316439	8.303325184406	-11.6240564077745	-10.6234209298519	-7.99905209551868	0.7207320802494	-10.8931425444843	6.74089922093772	7.6365583043769	3.48528299499779	-2.43617399263745	-3.99622299338816	-20.2777962169998	-2.31046154593519	-1.64227673146338	-1.17585496931167	-14.5090033100337	3.6666670408432	-3.74997218691228	6.76891748289189	0.89867547513158	-7.96634864471935	13.4947945891783	-15.1536245912544	10.6474322672234	-6.63974973688826	5.88584390078109	2.91258450028967	17.3452518660959	6.01307770051893	-9.99134228895003	-2.29158123099419	1.26283589896596	-0.785172260041605	9.14633094526275	-17.3585405056409	10.6946947594751	3.38829723544585	17.5586575744834	-16.1700978317331	-4.1371727692518	12.8387158860123	-9.93127683872911	-3.98993214134402	-2.37327246954318	-12.9144917053576	5.42007615132461	4.76910713369349	8.83434336921018	-11.1750249000732	-1.65117667241133	-0.832202052372259	-1.10739849401286	8.64082641835603	1.5841708089698	0.248572911391984	14.5448146164651	-13.3106802355898	-6.20734078303598	6.93199575609768	2.60925973209618	-0.197036493395269	4.81248170170603	-11.9550164023805	20.6306530283891	5.81940603362675	7.09905289189672	7.37101197039735	-6.41155036212111	-8.7353995389618	7.46458079884452	-3.64714131686098	1.25648325794688	3.6403909474216	-6.68052518170364	2.29049063219022	2.24084966577771	24.748486575449	7.34984156819949	-6.84649843266351	6.84590115469432	-6.6150027222208	-19.3122490555064	2.24912531037486	10.3770161857642	-2.52375332655991	-20.4484093967134	11.0743393933762	7.12587084879607	-1.316328793332	12.926074058004	1.05142435292254	-9.9121337296503	12.794350797951	-14.7360537354489	6.18363157519198	-5.0933270074534	17.0009053520659	-1.81343282840039	6.08016408769162	-4.20585081564519	-8.60570394004893	18.2792962691769	-10.2150569382592
"g9"	-5.10935384516419	13.7787377373437	-5.37512827269564	1.34989686624972	12.7541568482832	-1.7723797453409	6.15716351303427	14.3145236087343	11.0938442110575	-11.5568977755378	-0.568038790069466	-20.3403078118958	3.72818177460575	-11.8934378790003	-3.59185108336526	0.778369136917498	-1.88619845858065	-16.6042773723013	5.13088913993341	-0.127321774952673	7.19810248184988	-5.24504135551819	0.358028429388898	-0.215992453335634	6.61766246937986	-3.6431392305783	-14.6051633005133	-6.87339470782681	-14.7740386362189	-2.23830599111014	-3.37371251475847	-14.540681301303	6.79740905441275	5.33525966368799	-30.8653350660006	-14.8389368744077	-7.62202051308892	-2.8460920993536	22.1069210637373	-9.6677891746192	-10.1111686066907	-7.23809678896464	-9.82527460042353	-1.38210988694847	-15.5902414791922	-10.5120153932229	-6.28239320278449	7.86112391064225	13.318247909964	-16.5416678053491	-6.88205648340772	-11.6273081344804	5.52421136808856	-7.77857245857168	-1.00083551135823	-1.58404483250235	1.87098140367246	-4.15862534104674	-3.03086320318305	10.3184906418445	-3.06147952534756	-2.78336075617506	-14.0128238101413	25.3392917234991	-14.9015883439866	-4.08341496202832	-1.06593673204731	-16.9898611096912	9.45788813718674	0.722402022029814	-6.27944084928176	2.09960783241083	8.499566702892	1.27915085373351	-5.60561681824185	-2.13908356385114	3.70485529667891	-14.3465637940387	1.2608499076286	19.076085588192	-8.97590523720279	2.00774114576172	-2.70059083235463	-6.5437432630349	-3.4274655822224	3.24124309890945	2.11025346469402	-2.24098820471509	3.33714881807781	-11.8539461375231	7.35278204587172	-19.1315065878213	-0.246374114508596	10.2670266960743	-3.64756839532207	-3.14247815716988	1.11554518970776	19.5671349665064	2.71817151192334	-13.9342764700826	1.04689262682012	-9.10526033473164	4.22566880408128	-3.67383627533632
"g10"	8.18660010238727	19.1283225018809	-11.5701376619304	-6.36857391130131	-9.00775928573298	8.04835997022267	-2.65784817782198	-18.3372394593306	8.23587273205891	-3.344469488946	-22.9940545630138	-2.07301672795173	22.1039415897474	5.84380261600293	-0.823091991292512	-15.6027334336402	5.72091672724768	-12.3459802190083	10.815529531464	4.70168726862641	-10.7118455346531	13.1462316624766	-13.5928496768501	6.74164334412598	19.4274987446071	-16.6560927087425	-14.6255003308209	7.60251643982524	9.67085183146378	3.2147966860012	11.0535452648705	2.23724718519103	-20.7047327811255	13.9698249317361	38.9626491857104	2.08581549984821	-18.9322947604667	-11.58984549567	13.6382569683237	-5.68302937414281	-5.33109489569879	-11.8183297747203	-4.76747587377665	-11.0163126416221	-15.259728336028	14.9740451474281	10.7418042317032	-8.79840349872835	0.879307979829254	5.15167810412269	15.5762387212633	-15.4603020763743	8.86239932881866	15.7577884475244	21.5971704830226	12.042005591916	11.3818236262435	24.3061615561695	4.5324301943273	5.79075340915938	3.97784045441745	-1.92693636682158	11.3616835820688	0.0762757087365634	-7.1356888130983	-13.6522151649386	2.70041132153346	12.0744060012937	-10.8513232967451	11.5276655798663	12.1687936820956	7.68196765454019	9.34796571458765	0.402947820264188	2.00577089021129	-7.11631595600948	-10.0729613487349	4.82376015690713	-16.3089051244703	-18.3772911965636	-8.41650198243454	9.43303423391008	-12.7056771707658	20.5513176414607	2.20433614625136	-11.3499585674874	18.190428795175	-8.31307328658065	-13.1545401425637	-3.27002625922933	-6.17874638141049	-11.8439503081989	12.6262476434557	0.427426757150324	-18.2808877142635	6.38337030657131	-15.5681101757975	0.866488354030264	-5.60104553274863	-15.2360419905658	8.29463045719359	-1.92659580706836	7.18459601688643	9.27797341702194
