"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"
"g1"	-6.97689186080517	-9.91426518197837	6.96105925931726	-22.9237074578202	10.0882845640471	0.459357345667711	1.50662743409955	14.5719514742803	21.2564980773912	2.78681657883734	-14.5342036414453	6.0526012803186	-0.455776908127232	8.28967702766396	6.05657750222265	-13.1609117395159	15.2734287568674	-17.2386024084062	-19.7432401589136	0.840571072553078	8.70537616336198	4.77107659682871	-2.41198902503581	8.0600705845499	-8.66862656919438	-5.07250863657248	2.09631307554417	-9.68897724905841	-9.57408380046199	5.47996146542287	-20.8201214017596	-7.78506787372949	14.290309313066	-4.08069838607853	2.18960145294119	-7.00069941911553	1.05448690547903	-3.89603593924468	-1.50709020156636	6.26056963395757
"g2"	-7.25471980038802	-10.7856582257113	19.0298021756741	21.5825388096213	7.70647551108568	-9.90076586022731	0.135469670924557	-2.90037174113915	1.48889793199829	-12.9779085666216	3.45020741816986	-11.8527117202152	-1.01363936797134	2.22668737372395	-5.64919082014104	-7.39379891280632	2.702210728524	1.56404277698729	-2.64477171809766	22.3406684449665	1.36326564247167	-2.80719682934739	-4.8181445264346	-3.24020576797506	-10.7540287383567	0.929376873412184	-3.07364578457105	4.12438381205054	1.66939712780386	1.22925190406198	0.938498218463209	17.061774013298	-11.8332576903551	-13.3549115501828	-4.44356987193735	4.17063062200779	4.89428131845886	-3.73495057821846	-21.8121540742604	-7.54697721816782
"g3"	-6.11194995983212	-28.4689397493045	0.186560238930567	-12.8021603763957	14.0854446801846	2.1142906242086	2.53909031512534	7.01583276832442	5.59872465798239	4.77555942140269	-10.700543444633	-19.052775183105	9.90363194483129	10.3321351485316	1.78601708127364	-4.9858629881202	-7.46916696182459	8.08105491373059	-12.5848145075126	14.3455415825538	-6.49417430936476	-6.23316425349875	9.10160730600546	-17.158048358055	-19.1135930331662	-10.2591342367311	-3.91441387531362	-1.21178053816345	-9.88098657989791	-1.14794978026209	-8.17743373575455	-10.0912940586669	-4.40920799902139	0.249273750463358	5.51812176390416	-6.62279802899445	8.04910566265982	9.15301157518697	-7.92580302802921	-5.47047306731525
"g4"	9.04142077498615	2.15986437436176	0.0617714159558537	-14.4527917065775	-14.5532827606759	-18.8542660637319	-12.9311815896165	1.68730718506302	-9.19901173835314	10.2859286768684	18.1247188900333	-0.756874845083797	12.6290775108734	0.211901583709411	15.1109242087577	7.14325389047126	4.57483956450022	-6.56596877727173	2.57728937743637	-6.8506326800423	1.60437500730911	-9.52998099965748	-16.9358895358849	1.68907858107931	8.42535014693666	3.4919136800365	-10.645901990627	-9.69104154760907	1.49074437115731	-3.19482931778182	-0.617763972747242	18.2939609720337	-11.6211560309824	1.50343437161874	7.10092362487914	6.05182823593209	-8.23610401670427	-10.4846696969859	14.6690122577265	13.9719731050058
"g5"	-16.2504213339442	-8.60590729174029	2.05725221797827	-2.25370548675085	-11.5099694263546	4.48302391425439	-12.8795721176937	-0.468612915810577	14.7041133215436	-4.02048669577211	13.8386338590894	5.43323908064442	-19.2969861699427	13.2327785813319	12.3647312228597	-6.43281967575465	-1.54548822522171	-7.7047790710662	1.65084072143473	0.103213837408258	-8.6411910556984	-11.9312672237013	8.34950190243051	-21.9488748515714	6.14446341359524	-1.71281519860401	17.6964566539492	-14.0471517163472	9.0820550560945	7.63483481965023	-10.3205722174952	18.5303437338904	8.87006405074929	-0.231487432569661	-7.32680336297221	-9.95195207698306	-13.4609306975063	-0.790050484976552	9.57875354424225	-4.52530940328879
"g6"	-0.427642031762061	-9.54751148409754	0.788314190555784	8.87558501978592	3.76925281941967	-14.0623283149567	-6.96792908930315	-17.6600909425468	15.4932901355583	-2.20680943418253	0.485415567660401	7.83661626979763	-7.91894441136494	-13.2004125219687	-6.38135951251127	12.1736892727826	-3.42518492655165	1.10531557975255	11.2216417495153	19.8537384849292	-20.2760664505551	15.8669190441099	-10.1452119550052	3.7614836757294	13.3000810966313	-6.72302732762216	8.19800146661099	-8.15165836217218	1.70466501121829	-17.7611571793304	-7.77905269372848	-4.46875411958108	-1.39124622024685	13.1628174516564	20.3027487285866	6.35718201975603	3.0104246666211	-8.41489360395773	4.57354020947082	2.79896403313022
"g7"	4.81191560001671	4.0414665485557	7.80396795785323	12.6764373881074	-5.82542552660647	8.99316508572567	6.85407664074247	18.8264625762113	3.6494203584212	3.11885721133774	2.64968798115632	0.647383770543921	1.94959830069665	-8.59283674751482	-3.63223244588703	-9.01900815729737	2.15602802370753	-1.7040164847651	-24.2684468428865	20.4517262015627	-3.59083135841646	0.764060309784033	-3.35006986093477	-3.45648569663229	4.53881783455647	-3.20832811296061	-5.18296582589089	-7.70033870687173	20.8873244580352	5.72273229074906	-9.71652360340662	11.6787782571636	-6.93280193590821	1.52395753693097	4.11967875371404	-4.51757649123661	23.3496454059911	16.9882321588592	3.07845387174602	8.49535948873977
"g8"	16.7604521576622	13.7300544775052	-7.79557128341482	-3.3599783443805	-1.68291655688083	-0.117588010243589	0.256964888852998	5.06561535445592	0.746942954596324	-6.81175179727051	0.025574231663202	-8.97480084414738	2.577557126994	-17.0615887883217	-0.182197035055909	6.22704763999054	-12.9997250991047	-0.641391541730518	-6.27703767509059	-5.97547418515621	4.61256661931762	2.09101977920355	13.4274826878395	-13.7129768751612	12.5047035165745	-14.5949931640438	-3.87886365708124	2.41042358551846	3.57578154177144	17.4556322083298	-17.5787076923102	10.1080875923994	-14.626441337458	4.97620959615641	-6.24635312490469	7.12128788772463	1.85534636861089	1.66378607104054	-13.5938059730226	-18.116628891184
"g9"	1.39032075531094	-10.2362633167792	-4.68941317630902	-1.75694825829699	8.98606192556078	-10.354152065806	0.35165145610016	4.04151118248289	-10.3752446143761	-5.46060430289267	3.02615477927128	10.4850212062573	13.046563977671	1.01866462722284	-1.97329946622674	-4.53391079312397	-10.0860872058393	11.0922469199019	-5.57300663464257	-1.63467424641653	12.3876223828608	11.6898426254739	7.34851670331314	8.87228704327199	-17.2084303789458	12.2379280914657	-10.8417056892267	11.4019569070327	-18.3855287797905	-14.1863363035828	7.55425939558926	6.48905126859101	2.54690506222236	-2.60714105117018	3.97323398833111	-4.19106766530899	0.359701334770115	-9.06350572491032	-5.03024904361719	-7.9500172974764
"g10"	-3.24699162742959	1.44800473299037	24.8245591316049	-18.5989115478751	-10.231454044377	-12.9603610992373	9.15597751407297	5.11699799064038	-7.84520497065821	-12.3434048008272	7.05838348880413	-7.82182662868752	22.524273635603	0.389650364312182	1.3263789269405	-0.324419787414478	19.034733797414	0.350917402622635	12.5604900335209	-16.2115755089496	17.2243088736459	4.01815559916726	-8.25238195397277	2.57950453709021	-17.394156162842	-8.85782524265489	3.69378906367105	2.58234967033416	5.35293797005803	-0.509293001112586	5.3638995058163	8.74377431155902	-5.31737224282524	-10.0394599047075	-14.6981413688397	-9.02714321887562	9.89089718296764	5.07402118738292	2.22886627904919	12.4680080292347
