"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"ctrl 41"	"ctrl 42"	"ctrl 43"	"ctrl 44"	"ctrl 45"	"ctrl 46"	"ctrl 47"	"ctrl 48"	"ctrl 49"	"ctrl 50"	"ctrl 51"	"ctrl 52"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"	"case 41"	"case 42"	"case 43"	"case 44"	"case 45"	"case 46"	"case 47"	"case 48"	"case 49"	"case 50"	"case 51"	"case 52"
"g1"	23.7348678760981	4.14251445911528	16.0597246401015	12.2489415497867	-6.39554298291246	4.86382706692384	5.73718389372446	-2.37021562706648	7.65421203498812	0.388085813328545	-3.94788135511126	-0.864606376917399	-14.3781199124143	-2.28885217487141	6.0937422244031	15.1400426277647	-0.506581406264809	2.45843632747387	-0.00753097603288229	-3.93114152136128	2.31714628810891	-18.2160761956047	11.1413545315972	0.0548458119399239	10.6912998805663	-5.40407166956174	-9.87936544344753	-0.522029343576989	-8.50010903588951	-3.7618515409561	9.24129016299556	21.8024630004766	-7.56784312002371	0.594044721740206	11.9849080456281	24.5585120923956	1.04921402848644	4.62244420256394	-12.5105468223548	4.16736082135678	8.31863868650869	-1.60039934555009	7.21958164637676	3.15542396057981	2.72955299950228	-11.6297695968025	-5.10291674102769	-21.0917617252981	-12.6814347603914	-0.0543093040398319	-5.11944045824761	-23.8779952452775	-0.0313126442359372	-17.1550858467192	11.4693374842524	-11.7403826721154	6.04234743224956	8.75292001190522	1.65063885279291	-13.2218293404221	11.0692792034005	-0.87803513845662	-4.20717306056407	-19.2915009614985	-11.343617606363	-14.1222782412762	-11.4648222523229	-17.4402115025738	-2.43566046005797	8.25260307251652	10.9937745705482	-7.19064180131422	-7.43537497329684	-16.1510936171353	0.958865492459463	-10.2536980771991	-2.92681985713936	-2.79787935274301	-5.14601355022317	-18.6396935429358	-11.1187380094975	3.99410161593033	10.3117696038909	0.966210505527454	6.51598151410606	-11.0088854423944	-1.97160313381798	-2.35117352434817	4.79027200574153	-5.12925474506702	-2.17754810510656	1.67745437402534	11.488850702482	-9.07481000288799	-4.69119069739224	-6.68902804228641	-6.41703345138529	-6.26545568999452	10.2524972304586	-7.15605933971053	11.9716588198676	8.35203414245604	-9.99700882060641	0.0142593747752478
"g2"	-2.64760705939561	-14.1805569022217	2.84880429903457	13.9113301151038	-8.72802918044759	-6.30806428667126	5.58343057869548	-5.60586129993135	1.03479138270781	9.56762292047937	3.50422175813606	-1.36822481541094	9.13129610852767	9.83649952109329	-12.803437991001	-0.877847715448495	-23.7050685339934	-3.40777473967745	7.29727114147689	-1.32518727179619	-7.85590357248229	-7.75279491525615	12.1157102607601	-9.01701472541466	-8.36552336536611	-6.97459649566402	12.1051190903588	-10.9229585074365	14.4811329712085	-2.27060159261665	-4.42882972673634	-0.405034075595422	8.62367008388892	-5.63867481567316	6.57619989200669	4.94878250089348	-5.84558018064154	-17.42618894676	-12.9213004636653	13.3036587758123	1.08723698730683	-4.20564034867946	3.12148014991909	-4.22164179739492	10.9549364296247	5.06866808198044	-1.00273759344173	3.86980769170078	3.52331779971449	9.69363578774618	-9.2247569246736	-3.22334673161011	5.2250292511215	-12.325557447373	0.505460059991083	0.167988132056099	-1.60210748346028	1.97828458082572	-0.974195384966237	-8.26950676954539	-13.2284819233427	0.496398478977083	9.55212062643537	-1.57762993406599	-18.1020754199739	-7.82331486068837	-10.0952338629345	0.916019038090534	-18.9130694372643	22.1504946244055	2.88088681787665	13.7291041193668	-15.8035602533933	3.99321942313183	-0.407821304603714	-3.3291283993095	-17.7796946304306	-4.48640792686332	15.1234904600882	-5.21445643117779	-13.4731955187462	11.327996632052	8.80723959834868	-14.43393691436	10.2715281007909	-1.40312824016353	8.01300456228333	2.90995955216572	6.35728968345792	-22.1317103253735	5.65306117876207	8.24508604814712	-0.517150931419824	-4.85699115746825	-2.67086515971597	15.771425363504	9.67365627503506	-5.01233837749511	2.58731759543557	4.877120661813	1.3497853584737	2.12200339923947	7.36991123890432	18.708288150502
"g3"	16.2312056203712	16.0897925948269	18.1485338268324	-0.599012501321765	-2.56548425669722	-0.980714960952567	5.0516745921908	3.85551438124589	-10.0337297554525	-5.70502761808366	8.56834538854452	-4.97345206023171	-1.77245369111575	11.056990935327	-0.081114666246121	-5.04307594427647	-3.32351495822426	-8.75144313150406	-8.00987450638011	-13.0354998147055	3.13683385187066	-15.194055145359	1.19709770838398	-10.8162823370018	3.04994908391106	5.15773638098856	-5.7506861427202	-14.0586569144759	-3.78247074709939	6.64404517325877	-3.11262897686995	18.6142119408589	-7.81949169499112	-1.42361628891675	5.52079227839298	5.61761603578301	-0.971962912403998	-8.79630156247264	10.2350213846718	6.557558779632	19.0703851845745	12.5444046864379	4.58418022585812	5.47793208460348	13.2715440671492	-13.8452461030819	-1.55896652607689	2.68306715203009	0.427014014077383	-4.75386136296702	-10.8887600336649	-21.0156876851643	10.2648015258278	-0.770879209411934	-10.7186463891613	20.2136442041097	5.21219903179761	-0.411031922057327	-3.03415969413547	7.18952707934416	9.81085747961099	-20.8352035099532	-7.54087308224416	5.99222023166165	-4.16545712369513	0.509582351205974	-3.88756877699389	8.89673086491308	9.23490894092932	-13.5086488107437	20.6733784866935	9.76925953125073	7.74307461240946	-4.6500185292502	0.463274094394141	15.2422550904208	2.0960181221987	1.45847385583337	13.2308884087412	7.28024418686478	7.04131931446299	9.89981358970707	-14.3584340889512	11.6929505553146	-21.8387308793284	-6.39470112182957	-2.52697032780154	-12.548944365489	13.4923738638995	-13.2642520853272	-1.13620307671802	10.4808474097877	3.25352918657913	14.6290901706977	10.2336439977337	-4.65957051276207	-21.4488614177003	-5.88528696150144	-3.81244295400371	-14.6350432445206	1.59849104887882	-14.8553281598342	-0.868521952553195	0.452915994503431
"g4"	-20.0275558708055	2.52952699589775	-15.4865861710586	-19.9401065975816	7.08583513345353	12.0853147992588	-17.7399003416314	-1.1916501695749	6.50359693900879	-8.99664773205562	-9.31002777759456	9.30186114907469	0.782192542010818	-7.70153049039631	-11.6002244431557	-2.15107339726959	-3.18918954327679	-8.39238480575485	1.7126908525922	-0.0808581876210863	9.59678004868823	-8.83126635270917	9.19076618533903	-8.48717685090017	-6.25658301294136	-4.15578281501922	1.52836401655854	-15.3818031684491	2.39623390519043	-4.11694062954472	5.37082760980229	-25.3676697506298	-8.23924963921453	-2.19953263057825	-20.1121316682896	2.84132612725616	11.5228486197629	-10.103979499072	-11.1126455433376	9.81951022345494	-1.63956980329846	3.81429970092067	-7.27204806703451	13.7494602645892	-7.59901738770941	9.14196700818011	6.77953560508459	-3.50104382834038	-11.1118768686621	-5.805457187413	23.0430079383093	-3.96071324881593	-2.23517289081143	4.50655281089099	-3.51948035273628	-2.86132107256548	0.456492525874063	2.9941088832123	-15.3935485605557	8.59009380760257	-4.98163342216394	-0.358009807480714	-2.2420852341018	7.09956288947007	-6.28704641989943	-1.33631570188494	-12.1491497521658	14.2151412446976	4.31378209787243	-15.3107059993383	-5.89536506462699	-0.648764850280234	8.96089326209915	-7.56987068252622	-17.3036787780316	-3.18960596701654	2.11546910472976	-6.87734059176609	-5.50674218329446	-6.93081246130185	-2.65629019669122	-4.51348668606919	3.14256158394881	7.61797147510643	13.1832106779054	-12.916859995696	-3.19664385777905	-5.84741286557301	7.77155916927398	-7.17414226211408	5.58622760955584	0.446313017876835	12.6959628163753	-16.8172434492236	2.38682522815446	-7.89609390541742	4.26884724288594	-9.76671940492098	4.59928768597594	16.4541800598494	-6.7745799826771	-12.3801899448891	3.65128147534652	12.1837680631063
"g5"	-4.33746858560368	-9.81659737798452	-0.813539305306917	0.571556857105116	15.279838357788	-14.7932367906455	-5.90489488147202	3.70570763062613	-10.686931363998	2.70409138990633	9.87588406740192	-5.13810302052092	-16.3823093359605	-9.21431977819464	-2.94339832553784	7.43913919595162	-3.75044762439174	1.90885933355289	6.10684843502102	-11.0304492597088	-0.984682640533059	8.20495736552621	2.39438044110502	-8.19967665589773	1.80907473766551	3.24902416982179	3.52463155172808	-4.62634445038343	-2.01094377076291	0.621013093461646	-11.2540966356143	3.15252856590666	16.8440381814338	-3.50255684368722	7.48316753074756	-4.41342532537847	-2.55431584841776	-4.70460759728131	-8.4494027531261	12.4591301987239	5.55162585377154	5.04636543347528	-3.88809653181599	8.73160887229963	20.9507118178658	8.94019517502627	20.2216238527333	1.08327843243412	8.96793997146961	-3.22420494768342	12.9640502675503	12.4424210050058	0.200982682374393	-0.0223867787784646	-6.33896903406748	10.9492790042929	11.110032643253	-13.8073822585644	13.7022527531083	-19.5774441153657	11.5290694215995	-11.8632201691309	-5.78249043968563	15.8363329479932	-7.68897869168786	2.11110377592718	-15.5407448617713	3.65451598511063	-0.834003435942296	-12.6802337400144	3.48625495485643	4.25804973489337	-10.604917156168	7.82149136751912	0.643895278994994	4.64527957416374	-3.79360735582143	15.1133408458559	-14.7969962633892	-0.00240158838622293	-9.2129644240151	-9.1424954481624	11.0000141070165	-1.17967193491244	-3.46162047621679	-18.8114651157913	-7.61679617203224	-25.2690815500857	11.8737326242988	13.0218697548966	13.9392805050113	11.9311815133532	6.42826999868637	3.95645264212579	-12.5949366389015	-10.2451667134407	1.6759433892074	10.2776290089178	-4.88678402173893	1.20940422172344	10.3652382913853	-7.87588498847653	-5.43140115036437	-2.27085213607271
"g6"	0.0637210477079005	-24.5516553570841	-4.87802198087037	-1.67631871960374	4.14040783045813	-10.6988965295138	-11.1235608684707	-18.3703266100036	19.8943814171666	-3.01905928959828	-17.3965015194263	7.7584549983706	2.55541715148164	11.1651730320441	-13.1738987906449	0.755539593234112	-8.53749524826999	18.7770565339044	8.22270706666119	-9.38655803873667	-8.14913295524684	-1.17903248953236	25.7651710886408	-8.19008457409111	12.1105778459802	4.10021447472019	-1.11599043957425	-1.11569700078172	1.94090189473997	-1.60287467817015	-5.49176660124678	3.28202734969265	-29.3225326811769	-2.19772484630553	-11.2096681184983	-15.5693764034276	5.27352302542653	-7.94205287297108	2.14398838682408	-6.16537634546872	-20.2699239611024	20.2316836044406	10.5096035169668	5.97961380670394	-0.0570266597110984	-3.97413627248448	-3.59980834762042	-13.7778381647155	-0.462997778722322	-1.48213447550604	2.42179524043138	-3.89116441474004	-8.21184761605827	15.0839300784991	10.7764721469042	-5.94045936537126	5.26662579851699	-4.74645165475098	-5.46180878761325	11.7344048044931	2.99771380659941	3.92696258796565	-3.99441587146731	11.6455986923913	2.68889576968761	-8.46440044724399	11.1886251612331	-13.6662056072949	-0.578388767819513	25.8955823677908	-11.2404168248273	16.0367689041625	-5.3949140317545	-0.324738241560209	-0.857629438519134	0.816408482517648	6.26956747342236	11.8955702264722	2.95460308838666	0.210669409043818	-13.7077347866948	2.5171901744224	3.74555054964417	-5.03728321119601	4.19346062145143	-3.54643702480081	-2.53382872608034	-6.66364041845936	-4.07253112984774	33.0341949319713	9.09685691303072	-13.7645836482678	-6.92476008189335	4.47779590372909	-0.313015383172414	10.6738488789389	5.88390078656796	-9.94444663416848	4.28584147976722	-3.87126297619408	-3.13681525656378	-5.28769551748402	-4.15273800065206	15.2235632645218
"g7"	6.65382425289511	19.670914144759	17.4555178853294	-7.05050571892155	4.51332593799378	0.730942940683665	5.58439485174952	3.2259630696001	-13.9897893506064	-8.64327256048267	-0.857134730099246	-6.33174173556082	3.44250611773588	12.2627159570208	2.91246586878703	-5.48304914266139	-6.87776681379681	-8.53005561654146	-17.8383113558221	1.53117649366608	-10.2422708662744	13.4156574305522	-1.67643135518386	-0.112037679220662	-8.91316107926086	-6.70431936629043	16.2202179663779	-0.765681461699113	3.03471753929947	-3.38021965874637	4.1383192484071	10.7774070291364	18.1312313992486	9.93936112526687	7.11763139080228	13.8813089949978	7.09259180915564	-2.45203087959266	0.509455644836207	11.70530291002	9.4321704271556	12.2029149892486	-8.58356412756075	-2.45462810927473	15.1760261285999	4.16740943595842	-6.14207716789784	12.5525921014347	-4.9401933334652	8.25706655187518	-15.0706442793678	-6.55009540144147	8.9243304119018	-0.0597394556483688	3.92292327406773	9.41811891214323	-10.2732576154523	-3.53116830857985	-0.54189533555623	8.16829697747573	-32.9348083013049	1.31329261538305	-2.19697032080079	-12.8288477546736	-2.21041881443014	-3.02584827900898	11.6547894100772	-2.61496138725986	0.450563234943409	6.48188411211875	0.16416495083934	3.47410575334394	2.11741077863231	-14.3208480219143	19.7392956808824	8.02246210523689	-0.755016395394577	0.747046598309829	4.50871149452387	4.7434763442036	6.32175707784794	-0.0459945719183979	-5.87066061667462	6.48554779235133	-9.04242461702943	9.9958294867243	-11.3405787525966	8.38980150640563	-13.2253042637674	2.80708908461924	0.14917497498317	4.7235526719958	5.17529919106433	12.9930447728815	7.77272308454442	-22.0974155416694	-14.1687084896957	1.62842263535044	10.4581303984862	-6.57493529263012	-4.61884127950926	-11.0861626023405	-1.04886560697285	4.39181425486914
"g8"	-10.5830923306271	1.47152153085412	13.3830892970974	-15.5420512450959	4.98658939552257	9.32635659237315	-12.5620409641081	12.0472793947654	13.7213072917487	-3.98873955602156	9.82753914110684	-0.466511322218263	3.63259885066239	9.42628572708374	-0.0806617086595698	-9.36291197112401	22.2188174670145	-4.1443263446252	3.00913073024651	15.0554589153598	15.3624827956913	4.941947248996	17.9775792368661	-1.2958066297744	-14.8920437804854	5.48486312906616	16.6187576507229	5.02371248020536	-5.80320231175893	-1.57338677583726	-7.13414158603581	10.7327365724427	9.90713271059297	-2.34109787604293	0.695924898228486	-7.11736833036743	-4.22619289223055	2.12391015292908	8.87048009639442	-18.4731550828619	-7.99022919446136	-4.3428635330206	-6.30483175239119	-10.4122430452963	2.83586898398948	0.300432849538247	-5.77629395303966	14.6864901220285	10.2839124731787	1.80005291544677	8.20791500483442	-4.48320716933067	-8.05930166728446	-17.3048185379833	11.8832773693321	8.42276926796155	24.35044109809	-3.21526286037872	3.54244683521711	-5.10901800495175	-0.27972984399785	-5.26916920315003	9.51088112331641	3.59245350604786	4.92141455906613	0.977069532276738	18.6000392496014	9.30788673158782	18.671286286076	0.332664601677428	-3.69980489841701	4.00250514662497	-8.31179099820346	-1.43661180392346	-10.4445681967375	5.23951373915532	-4.36263363386543	-8.99575094211797	7.82553736068014	-0.679384641569634	14.8172135596577	4.1575009999065	2.84625599606436	7.68848404307419	14.8604706254714	2.8833950815903	14.7458923193648	4.15875401823014	2.48220198264283	-9.80543105643289	6.75923151006366	12.662782085367	-15.1715321645597	-8.27291217884307	1.42200620860755	5.53486639867468	3.02523109683339	-8.0692892487196	-0.740479793410852	10.1199810352886	-2.79948340613644	12.8259506497707	-5.86263783624277	1.0832907405083
"g9"	-0.0950730087203592	9.26959653086811	-3.0084111085538	6.09653237413929	0.946103946685015	-15.166580055982	-0.0782979896671792	10.7524845621547	-17.5973861946065	10.606912056978	0.155684716255254	3.62510425175732	0.837882324633929	-12.3648867558767	7.97011843358192	-8.63394479991161	3.40506066552064	1.32652758489531	2.37279360488141	-10.5061935661371	0.0333764877603162	7.39201705754424	0.186606035888109	6.19863258169485	1.53948066910446	-2.19800843186842	3.87889806893244	-8.05558350230968	8.32925652110823	5.42559810960635	-8.07734698544703	4.12398756308087	16.7321208708636	8.08048851492193	-10.4361854127535	5.77789543472807	-13.863261757617	-8.73244507680669	-7.80616741839598	4.40199476086502	-5.37895655710805	4.09808441325942	-9.14525982577331	-6.39064467772237	10.677568388019	9.351946623069	-5.24181455351313	14.5615940691516	-6.03775632389659	-14.4438947357842	14.3973451711405	-10.4035285493297	-5.93080022022341	6.77662102764175	9.29562586760515	11.8599174941543	-19.4824729017832	-22.9675483504787	-4.26941655354786	-8.2475014431187	-6.72291446341325	6.21942071819477	-18.1057891530593	17.7425068839976	8.90783244821905	1.32226447132173	6.68976712397295	-0.642840173181725	-9.73795399198046	16.9556242333005	-11.8149977469193	2.63374702465515	-5.47731232205393	6.3337248289559	-2.54543404772894	-6.89393920164973	2.13370653910846	-4.85154034135767	-15.7947059107401	-0.894343972140816	-2.79042965534493	3.70215283578832	2.57173514588046	-4.34240501651383	-2.56420951914288	-9.00919427747636	-14.9431734966769	6.07025800425264	19.9072201470445	10.3826385325712	-5.89474408535051	-3.85733938183624	-7.57887692609753	-9.38865714173248	-3.36328018084907	-0.617301116958193	-11.20814384631	11.0817818885292	1.37577426914598	16.3978943607938	5.21519924153064	6.25683907321093	-14.1032086149314	5.16850141657306
"g10"	12.9716784125075	1.17865509772039	12.3073536102279	2.93635816100375	-1.05063013986765	-8.09293741952014	-5.19207634873378	-12.9374805684437	32.1011527862748	13.6838125995077	-14.7375573573583	-8.49786223909338	23.702593443504	-1.28727116767541	7.91171452246804	25.4475201522109	9.76774861672929	-8.69220560975064	5.5959675083952	-14.1310480955383	7.44727251319221	7.11867027682319	-9.10710564683715	-0.589844671599774	-14.3650658353488	30.1372637413207	-12.7694721792894	-12.7282275202675	-16.0234785912439	-4.39991425515171	-11.1230030507124	-2.87860361702444	-0.42089810210097	-5.32062360007893	2.03484595988733	-11.555692850908	4.10750103503352	-7.58832255081951	-4.03888855055524	3.01779417883829	-12.3297646709141	17.2923094748359	-19.4869537597696	-6.10330476906847	-17.3252067891927	7.7865303112661	12.8014950315411	14.4817145210542	3.06037006662758	-6.63779962122252	8.42702506287908	0.835631562283583	-3.11525495721296	-0.879146481329402	4.29407313977103	2.0587272934805	1.46772237130976	-10.8838404017112	-16.4926060492707	-4.34496249075058	-5.9828953231765	-28.8160729193217	-2.34434529625761	-13.2553477818068	1.25403442046304	3.31846669924207	-1.02579121527792	-17.3237008851851	-9.22193738119032	-5.29565113122107	-16.2225935503446	-3.2108458529973	7.38534555722432	20.9937377529691	1.57442745148435	-5.01011963454883	-2.53960689869064	22.3349942274804	-23.7041245174841	-11.1959668860627	4.42229611081448	0.930351171954404	-2.56387311386204	-9.20709003651332	-8.57172263104359	-1.77984314561766	0.209735398756291	27.2059446611036	-10.6595702950881	-3.63103557929	-16.4538859083576	4.93606417553181	13.8559852328753	-7.33186383112806	7.64086619057902	-9.75313153879848	-8.98021549547687	-6.1204703953789	-3.13452171908723	10.2193496264055	-8.82750199567534	13.8426831378001	-4.76536405657942	-5.21604880672739
