"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"
"g1"	4.6213614197066	-22.0286931478178	9.2024570547432	-8.20402696332883	-1.56907382793707	-5.94825823797317	1.04421460334275	-4.60367250535486	1.48991965190747	1.53068371068304	-8.553532672327	-12.1684883717724	-11.3828003760879	1.95144042186848	22.2617239672988	-9.99298462946684	10.7258099177819	8.10300205924099	-0.812155659827667	-17.8130862831882	9.13835872937025	-7.7320900566745	9.95877449593767	-7.65002964327164	-4.80479237749034	1.71321651334677	-6.28837398774994	3.63266952236462	-6.21489058002082	-4.93591358670555	4.63169044190657	19.9791279364394	-5.38246356684455	3.36417718493967	11.4210204386481	-9.59777272429749	25.2188596533239	-3.3996174324883	6.84179225503785	3.64780989417184	-10.4435002353295	3.53565862710443	10.4002783591185	16.5052280357808	8.15397656456134	-10.4509400367946	-1.84918286311566	8.61402407170957	11.3551731213777	7.32886522586965	14.4473985503047	-0.844674211939437	3.68161630480907	6.46970825599628	23.2230244225099	-0.516878807450464	-0.764265468237942	6.12994662100632	-2.50551298972509	-9.24609653554405	-8.677205436564	1.4044400629492	-3.2367851359412	-1.30210128072918	2.00749569201292	5.15257641302095	-10.7584733058551	3.49117833085103	5.93117728433085	-1.64201159736694	-4.36105450730687	-8.25076327190974	-5.66304568259783	3.02887089497718	5.54344141483148	-1.05070337801467	2.04099562429527	9.81916095401124
"g2"	-6.12797552888972	9.94179900603203	-9.42417659435868	-5.37501130562806	19.4784968606947	-8.11859448855517	7.03270934315403	9.73141078385359	-1.89869797274426	6.36645887714022	3.74068192964805	5.14867150770879	-5.62624541226889	-9.40158613036047	-12.2738999878032	-3.3383690773123	-9.07543816451208	7.12686722132863	6.57546928646494	-0.555840317573464	-4.74255207433351	14.5976816791752	-1.08202990288115	2.18855658433439	-9.51643854126706	9.03242765321146	10.9152237680913	-5.43563158403852	-14.2676594073219	-3.96907878888012	-9.99992641970307	4.64284499701087	2.54837991593413	-16.2006763728387	7.56450901084454	-6.71850726162835	-8.98031933185886	34.2683601920311	2.99637480744305	1.20914454367229	4.73233949493461	0.549580187988683	1.96643561922944	1.57308509781353	-4.21313585597213	-15.7142836792047	-14.2398535748269	-3.64477994351958	12.5383320144355	-7.36336069407532	-7.56790484295743	17.0103817333612	21.55212921888	9.53018145115986	-8.54172342259862	2.49779346265895	-12.1964708634784	-15.1963999384117	7.45960029872439	8.99439335528255	5.20050946624897	-24.400711070864	1.51792857638228	-0.524047172968594	2.01860881874326	12.0815392727654	7.42405325728017	4.52137562449756	-4.90261623053301	-4.20834275653891	-2.9880495896182	2.98690731403271	12.2695505934968	-12.5429053863619	0.0791339478660508	-10.9249382678091	5.33617437321487	-9.09510770083516
"g3"	18.6775944389457	12.6209835155804	5.11994750566184	-2.90065935500524	6.43416587744976	8.62223256447955	-8.03415533081556	10.0763961674228	-12.52032606507	-17.6841931062203	5.80075890962888	-4.38814523053106	28.9586020121147	1.55660124659626	5.09341980061924	-16.0610500480962	0.597532718492299	-2.63599048545743	5.96208859624344	3.62672725836764	-2.44560650590043	4.99969931457984	13.5451976971502	11.7272341517277	-4.76447311961619	5.35153413002493	1.41452606414231	4.05294165950561	0.649326555947519	-3.312426325833	-14.1377864274646	2.18163573089363	1.33360270031135	-5.74787421366201	3.78494802565104	-11.8792418635799	10.2492969915474	-5.1269092990997	-14.8339183059084	-2.57459627254822	-3.09223347189294	4.14206634023885	9.42442770437033	1.03736695587618	-8.98521423427772	-6.79227648116635	15.59686442126	-0.307061101005144	9.33975151697734	-10.3536429729251	4.60432746015118	7.21006568080125	3.13626994801871	-17.8952627519228	12.6020880211308	4.89727586203952	1.92045876852153	-4.02926183121855	-21.0695940805816	-2.05160216381029	16.022566440599	-0.312687547970726	3.13262680623933	-8.84748392647755	-3.59781135137064	11.0202893324274	0.908928834305634	-6.2499352014905	-0.950190967952654	-9.63025485982985	20.2913455457444	1.68087640240381	11.6800668991246	-2.34603690026616	-7.86017070157876	-3.27192237164566	14.7041177020262	-14.4389433791795
"g4"	12.6782279189198	3.02954483490066	-3.20509183055746	0.228084181784015	-5.87904099770768	-2.49885922150797	3.85581153112097	6.96965205244093	-4.85219861690904	-8.10665245171372	1.32020992513225	9.62710416862908	-18.0920990722551	0.676532411246645	11.2124096174393	20.0086469409237	6.42126964081823	-17.815535097694	-1.82128502337211	-0.890918074891032	12.8184804013248	-14.1599978875977	-1.83211528036727	-2.63390866186087	-0.709414054866038	-0.348188236466541	3.43173816256487	-23.816416553039	10.8550994007795	11.4440673803544	-14.8928487108993	-6.51626941300638	-14.1052760594256	17.0746065416301	3.81645688319014	-0.46617933474982	7.61870067088252	-7.48233166623315	-10.6596945422471	3.29298880197788	-14.478609734792	14.1824284137796	6.62297644407533	0.725303272218377	-3.70952095921537	-3.40479920900344	16.8062817238819	-3.59090295801893	-21.0668607043369	3.20052150910623	-2.5193441958653	-26.8608963967923	-7.52740494996916	-12.8243507575247	11.7814890133387	-2.00676018263412	4.04068977103838	-4.96292049959788	17.4436605300788	10.48015811146	-4.83900732075658	-2.62140976375698	-6.23755488722247	2.67512048418106	-17.0591299822265	-11.6552990756969	-3.00998358462984	-3.65780298296738	19.3962787582431	-11.4707780567575	8.9546423857506	2.10745204198569	-0.315293545831396	20.6873224971994	-13.8033289739891	0.0889059788238859	2.50653714216638	8.96095921015355
"g5"	2.29427357839912	15.8236859865202	8.74317935968258	-6.65525073158972	-3.36361037444962	-19.2877749073635	27.2499101582	-3.57713247713699	-0.23663021910269	-6.39398240042747	-8.83084465120847	9.53713002426714	7.02610059081107	-9.51558654987645	-8.58980164965673	8.90987324125538	-10.567454978948	7.82950720736126	-3.87296985760528	11.1249701267115	2.36343486301141	-5.96781954735607	14.0800260121806	9.83017989871902	1.65490740203574	15.4067188792117	-0.697351806089564	6.51498778084535	5.72435412676368	3.12169370154641	-3.36139531118238	4.47505955596706	-9.53314713975811	-0.255592112706452	6.39242616917897	-0.039078034602065	-1.18653535407477	-1.61004009906342	24.0811990958708	9.11777566059597	-6.32263986838445	6.58954652694423	-19.5491678487843	12.1467997837806	-3.44534915290087	17.5551635090226	-10.6046489378107	12.7960162070031	-3.02398257530336	-3.55118441575046	10.8939585270113	-15.2480431787349	-1.8498578924039	8.05220581669941	-24.6162211629824	-8.88932932881502	2.07576296695702	7.65436218065835	-4.83049757032329	-2.04758157758012	5.73568616593647	-14.5974093072028	5.65640994344977	-8.51042681392518	0.53797279416774	9.49398419899907	5.23632535447076	-2.13175323781323	4.08290303606024	13.0870568657795	-5.40604628197483	10.2631467865158	15.5687557586217	-10.0317911932975	-3.04609883262774	-18.3657609646193	6.63512008610542	19.8143397487466
"g6"	-5.88899273258539	12.2784566989886	15.1128000643666	11.8554206688786	16.0579035287728	3.31751910672158	2.33466658971063	-0.296620546315821	1.52283785013498	-25.442078128369	2.20278054915509	2.41544218097254	-6.36813207102619	7.04970428583932	-5.83415202841127	-5.01315007675953	1.16259028511901	3.64371366957807	-0.0938137956073422	7.54619660208898	12.9414644270694	-12.4205812174913	-10.027235148315	7.47409746565091	-1.94754379911214	-15.3599561323147	19.368934636002	4.37691953506041	-1.13251606708917	-12.1894393074222	1.23535798371381	-6.58840581918867	1.05640443981225	18.1716847060124	-4.49842859090151	0.395094977418652	-16.5727737387685	-6.92728850026878	-5.42419127202044	-7.40077240904054	-4.1050125453327	1.86980486713371	4.94257157082887	-4.40028486754296	-4.31592182483322	-5.49859952472192	-4.03595257484596	4.0348657174707	-4.50553358886158	-8.25593236732465	-5.03818075524594	4.75047936539555	8.26888538211187	-10.4381788315901	9.53047505386366	-6.06900741843313	4.03161444607584	-10.1640559155027	11.8179586618118	8.20098560981612	-9.73765747362221	-0.2751395957895	-5.30898391454627	-0.313358052720924	-9.39603157467979	-15.4300068294469	8.10482821537916	14.0223386953404	-18.7499361566907	7.45912481479813	-0.322323398285498	-2.59113461505341	-1.83238342174024	6.03476387654678	8.8535092168316	-15.9883218887611	-12.5912241412827	7.21137099279221
"g7"	-6.944517040112	4.24134970438489	1.81568494859509	11.6842922558241	0.853797020971559	0.612603158530098	8.38824104110861	-0.42330658382538	-17.5075741802817	14.2699674424805	-5.74503447770014	1.54233813342234	-2.3534606775346	-12.2948251073074	4.37162241921881	-8.13881371217649	-5.5694690075333	7.22960741462287	7.46546601959732	-7.15386547790727	6.71018610216699	-5.75340045754999	6.66977063748321	10.53400924525	12.7589709355215	9.27497342354904	-6.87645363795563	-3.19408399814616	8.83497819115933	-12.5477763197362	-5.07221447101625	-8.31162152585171	10.9896009209872	-1.44228666483377	-10.5418125826549	8.93180237109844	3.04739622098009	3.14811834693139	4.30220294408806	-4.4673119412826	-7.24963488894816	8.14421588830936	10.2692023666822	13.8830145143937	-8.55163317254632	6.98175895807337	3.44575077307343	-5.27480238676974	3.95470269198499	5.94334190479383	-7.08541145655238	6.04639112363201	-3.95731927402754	7.08364038002036	-1.98698250017589	14.7807473003372	-10.9650695962124	0.312064764925841	-3.9461965827165	9.33031095073055	-3.56654930551754	-5.52434558867292	-13.0404653420381	11.0851302224674	3.67311402934979	-18.0911610460645	0.501927447809734	0.580350395231326	-10.4544933342145	13.0991135902294	-0.618574010696197	-2.94853520988228	-5.23698116089077	7.33354410851428	0.680757513066673	0.00947471323093294	4.35251663009918	-2.93615902967108
"g8"	-12.8326524230344	-4.42726946948004	0.230357090272106	-3.80106492472127	0.388274612217852	0.85647185563751	8.26276368254035	-1.61707457465894	-3.33124726722258	-7.1619098061197	10.2897412779449	-4.19759396122744	-14.8800205967319	-6.64185156629972	9.11349582293335	-17.5132523840634	4.45361337411947	4.26197945582534	-10.4051200816162	-21.1556636881561	0.382069101966606	-13.7173649784776	-11.9055838677372	-6.77577569306275	-5.0242677704342	5.85387559362969	10.7164752692684	-5.56675110703989	5.59216715899703	-3.08912007226975	-6.3309078983534	-17.3208580774761	5.42193530728293	10.9993868028311	10.3512985925013	5.45297858900102	2.16080067972551	6.93189889582087	-20.7475256057262	8.0460024267489	-12.5896060139092	-7.08357980708991	-4.0725957215611	-0.158442084637659	-0.433174854882047	-4.76793295874328	2.76490589470724	1.64953878210925	8.17186897068475	6.75029022191246	19.1263289506368	-13.3972055323154	28.3145506317842	16.6159767360581	-6.33503616642917	0.0906658301698482	-10.5012083246387	3.28040509325496	-0.997433669830778	-15.629886117283	11.4884275167131	-4.90231871633483	-12.3563589146033	-3.07891240001337	15.7890434479645	-2.14462918788221	12.8656257695313	1.51943945521013	-5.36836958218856	8.12108271484083	-4.83652885676035	-4.98024943699247	9.77339320446289	2.83517472722338	-1.03722844104671	-9.20273973598308	-21.2556213682224	-9.43666790537841
"g9"	-9.06831421812816	-10.6831589290447	0.692977316692751	-12.8378781646368	7.41307857431485	-12.6911322060684	6.51944289966806	13.0380457849971	4.5211353748276	12.7314962336621	8.45212235676564	4.26811150347353	-5.54402833248689	-10.2975158380262	-2.52480092489626	3.35452990274917	-6.53946042743551	3.87908397107984	30.5425202429	-18.5974791160302	0.0248357279664933	-12.9770195561282	-4.7899122443754	-4.12502122960539	16.4511445237245	-2.34801041486907	-3.57003372302973	6.19494441656329	3.19270548721057	-2.62527114545343	13.7356954875722	-1.46038613505023	-6.67883862061038	6.96067152606328	-9.64043230816642	-4.01692793683006	1.70644739137787	23.228640885312	10.0198578497301	11.9116103043703	-1.75180499317393	1.97778365008183	19.4788636191276	0.24904748147154	-12.216119555912	-11.5483873916451	10.018400173088	-8.4210053023128	1.2191340043827	-13.5554611733656	4.76113101457531	2.06820257680476	-5.01177582221423	22.4607489220536	-8.62665564659623	11.9050280115662	-0.440279662383756	3.08398664548932	-0.533083287884873	-1.41232029761103	6.14663006033441	-4.52142740345963	-12.7383961333227	-1.35594904494882	2.50576044997045	-15.4077290434412	-11.2615400370004	-3.687513921339	2.19536062923419	5.51635089463748	-3.93461670692667	27.5009194798843	2.03888163308225	9.57731040473247	-12.6042448820863	10.656215360808	13.6631561429478	4.78245065325553
"g10"	-13.9090068635924	-13.0257799616892	3.20270757629749	12.9138754053706	-1.98578402014869	6.14645334460295	-19.7112455853386	31.1010043527627	3.66525807470211	16.4917909819156	-20.448363350911	3.56605316066578	3.89098710387258	-13.8340040928414	-18.1812705396364	13.6852695357598	1.63243343935727	9.49844316495776	-9.72566917989292	1.40605632788507	13.1329746339691	-1.60251579169294	0.70625971886156	8.69837287220719	14.5560235717893	15.7155031628852	-9.81452855907495	-15.2224778453535	-13.9559887444111	11.1382061764875	-5.41586353924815	11.8519223456936	-0.0438464633938048	-19.4042207868722	-2.68507885129445	-3.87678935984819	-13.0428507180537	10.8377995525941	14.251573451295	-1.79105538317832	-22.16945410471	-1.97642220199424	-1.7069382041995	7.82466804002701	-3.64621291736521	7.32686301938421	9.89840299333776	-3.98554895653624	-5.66953650468966	-7.86650718562658	-11.9031269117208	6.29210344782081	-4.21927189692072	-4.97333097922643	4.184007419431	3.09884976278504	-22.0029808188652	-17.2477139174745	1.18197943564106	12.382500048126	10.1052382083135	6.70116742295371	-0.361578841921434	17.3708974143336	7.85268141252881	2.0671985831553	3.08365644908797	18.0760384402783	-9.37500504915321	-11.4074386946699	0.232858215875892	-5.29197768764141	-7.20175951919946	4.53224786397437	-14.5527395531462	-18.1777202038587	-14.953630037516	-21.8617186604169
