"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"ctrl 41"	"ctrl 42"	"ctrl 43"	"ctrl 44"	"ctrl 45"	"ctrl 46"	"ctrl 47"	"ctrl 48"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"	"case 41"	"case 42"	"case 43"	"case 44"	"case 45"	"case 46"	"case 47"	"case 48"
"g1"	3.12268553204688	-4.24780472698553	3.84203168495352	3.30103890814945	-15.516684087581	2.77806360577375	-4.64919820781203	-8.78104248090304	-5.16805774255903	0.568563893279804	0.0694316016560758	-4.17006826971656	-7.71042949926711	-13.5092875633752	1.77647427762784	10.2280413849586	17.7161536007314	10.4048392444883	8.24186765411472	-6.1582850221294	9.9155433587101	5.03542629622893	-2.54079516384295	6.33313897418877	17.3110167297481	15.564405224539	-4.30757190873533	-19.1922777900627	-5.63667679964907	15.8051989749435	6.32690312120118	12.464021196084	3.14885006653521	-14.6106710078188	6.92819735200266	-19.271800396786	-2.42165272141019	22.3032875928975	-0.954117145864591	0.236012530051637	-8.42042550850688	6.11190968611034	-0.957507593217218	3.78963364298039	4.03140052712351	19.2421760628778	-1.29547625315881	-8.89467017807475	-9.46437421238867	-4.34964987316673	-9.67633285414758	1.58293346802745	-18.1453171470819	-0.0170215543300385	-10.2543842076128	13.3459648202796	11.4770721633536	1.99412485233871	-1.02305426870824	-5.24325417594572	4.20840090245889	-22.8870044923376	-7.25917162037163	6.18812974861694	-1.13146988031389	18.4347562452603	11.9918441286704	11.5374599044947	12.218765225137	-18.5568094427122	0.265679693417568	0.805321187153634	8.67094693648564	1.89460313250118	-18.9195935421407	2.32635328050335	8.17782715849271	6.40190501201526	16.73804690306	-1.73009497650251	-1.61502502029681	-8.94957381327465	-3.54830249940267	9.62249747973211	8.45653310604285	-4.53072408035512	-10.5091204722305	-5.945887829763	-8.76002324195163	-1.28448239098082	-13.1945897050641	-15.9579469240909	-4.60176298470812	0.37188635511381	-22.0946685612356	-10.8798571667866
"g2"	8.55441420425167	8.89420574891725	19.0572948222448	-7.19021016488679	1.25452874160659	4.21967017009546	-4.04077048868144	6.99710965761624	-12.5026410363131	6.76826415174058	-20.5531428963072	-2.85390984424576	-10.2368539153477	-7.67329138779518	4.90611142612338	-4.97917761811068	-5.37494486121911	-5.56364344712261	-3.62098140991421	-18.2225830583268	18.2343667458462	-6.44643254463281	1.93419285072311	4.10596388997581	-2.94303985228607	1.87090586758914	-0.656273970232	6.67780401842853	-15.7159877426305	1.37102017191061	-8.6058594933921	0.464627407259503	-8.54903911666527	13.1639268307777	9.41840254748262	-17.1148524740673	2.14782471136389	15.3962488102753	-13.8891564916306	17.3710969626371	-2.07829846980863	4.46245498555854	-1.71758278715469	5.71334682553608	-8.76489626653898	-15.1750580661308	0.152967138177173	15.9560047728332	6.95830527925184	-4.30738919539289	14.6295572596661	-6.57749384568195	3.80106773241871	-30.1842024737345	-11.7360508726643	-14.5487431645841	6.86393206335296	5.5033294502797	4.2298067215022	2.23107385513251	12.4185031369392	-1.27151034358246	0.342223861632928	8.81344330168667	-8.34780005112891	-11.6031821392093	-17.1498415515772	-12.1241387958303	9.31477526722748	-10.1719957631335	16.9246867669285	-3.01092310863703	-5.59948739229504	9.7346459699536	-0.538636790807208	30.3973301711259	0.163871202226858	12.6425528582481	-11.4942051024781	-3.26341860183656	-4.42635514690379	-0.357629752942625	-2.9438985606303	-15.9148119222863	6.4175125610699	1.31899023710692	12.9980230677353	-14.485387360631	3.92501387982466	4.07403846360545	-2.71071135265806	-4.21764661891038	0.535601476290706	10.4716239524857	-18.9465108460534	-7.67598623043354
"g3"	18.9079159660403	3.26058696155061	-3.8050746493351	19.5622383226024	11.6500688789257	3.89575289656529	1.98317577567329	5.24371922592596	-22.8450821125668	1.78311005270716	-1.26161259403724	12.7180743289653	4.43083387244639	1.48852063270109	14.3852528249155	-8.26616980748805	-3.45009057203374	-19.4627868368372	-11.0084699920938	8.57493962624994	-8.85542898915243	3.71464292744157	7.71673832912148	-10.2734168503498	0.355573189212679	9.29516498552731	-4.75844980449824	-6.4287731666862	-0.621607368841511	14.2717375944105	3.06102455042922	0.197961132999705	3.14250994263202	6.27404424961057	11.3716420811929	-2.14681168565845	-17.1253130516793	1.98079677012403	1.00964983320177	-6.04826713892088	-9.54319699381704	4.52158151671343	-1.41668644115629	-14.2618636298482	-3.06275378134562	-15.9995220092652	-3.76960314436151	5.76769531491074	9.53253185754418	-3.6490177511912	3.19437066059707	-1.18960359674169	1.20957433748645	-1.89189247240163	-6.14255094609972	-23.2666986482091	3.42499461738463	-9.96055113715103	9.70606951215337	1.83373711907025	-7.17508724813786	7.05991415399277	-11.6897772852304	-0.468640871662583	-10.6019886829084	-5.12726871377555	-17.7625545223602	-7.65411299243201	-13.5003690131315	25.1760780119531	-9.82285537693693	-1.25717008351723	-11.3175952201183	17.7065726509893	-5.59817944613353	-13.1851773499477	-1.89696605190901	7.46215764236855	14.5324807142679	-7.52953042795712	-0.653252200163371	16.1746157461957	4.79208476593037	-7.02221470428084	-13.9833070237819	3.77690924565913	-10.0639454246084	4.39808015839265	-4.61101645487937	0.57469584687126	-8.61736931296685	6.63872436134225	2.69904660000268	11.2439930960054	-3.38816900084209	9.65941825513242
"g4"	-16.1573956381756	0.933959163694432	-11.8495395680638	-4.31279623483606	-0.711783540946627	3.32789749085579	5.66704649888186	0.351651114170358	-10.5288127869027	5.89311946791732	-1.21495389781119	-3.91441061474008	0.20635306299734	17.6667719996539	-1.8961188469247	13.0672760358526	5.33553427424245	-2.58128407212565	-2.13783379344199	11.9177628953421	-3.48103759702168	-11.3539674461645	-7.51189421146546	-2.10449134648314	0.53212160496838	2.39233333438314	-1.49694557361905	20.2591856093307	7.87917343330025	-3.34719752503914	9.41479809759407	-0.623688816501096	9.05874901781872	2.60144503792686	8.86195440880205	1.79352760489987	-14.857562406519	5.25618141417037	12.2354520395459	-5.82452304589461	-10.8649410770234	-9.56004872895126	8.84477262899	4.58414109082902	-1.17904401858825	0.393732402228627	-7.47664030948111	-20.3046619367279	30.5663172989881	-6.95758877211728	10.6804354905525	-20.5740200888036	-12.2272823075753	8.92611765701836	-0.931233526467229	-2.1228063404661	1.13683123993369	-6.43681530015089	1.08338707991293	19.3870544161258	-3.38950127566845	-4.58038801413999	-0.819168964166714	24.2534149824198	17.5446152555581	-18.0353881575323	29.3718073263796	4.23870410097995	-2.29971198042102	7.6662890661964	-12.6037665835726	-16.2936773787912	-19.7544561620633	-4.61490740348151	-4.45228279443749	-1.16796515543508	3.21218153827204	-1.97118800407941	-22.7286916517203	-4.67890822297317	3.48701946542047	-14.8828125564258	16.6486387292072	6.17035326411722	-7.23692006539063	-4.39026868111649	24.2014360994732	2.49190112125483	-5.3049262627755	-4.04377926885713	-16.0863822881737	15.269654781835	-8.67519517026221	11.4100709928011	9.55115107140651	17.1196850023929
"g5"	-12.980989283618	9.96550436374094	0.52522479616747	-0.764659493195926	-12.4170286375002	-0.138734992544133	9.44765788417976	2.73110966507791	0.0229380832840981	-9.49244476589394	-11.4324050912009	-3.04679955230239	15.8617572377817	-5.42752756299468	-6.48386988253585	3.53509414516376	-4.58225690183869	-6.09268476639246	9.67454399278903	0.967330718364665	4.4417787258165	-16.4993268279408	11.0090438086531	1.57935391994968	-3.82741627735143	18.2713408375476	7.17944323778351	7.16253928130986	-0.354707509770093	7.70314530122858	-10.2509534461926	-13.7194688341228	10.2531320334451	1.47848589961012	-4.37595141085657	2.11875080404012	2.72940209904919	-1.22246357118796	9.42998649505559	0.962742021353993	7.50255764071215	-11.7489653202918	-5.54294249595684	-0.574317567305143	-3.68101375323909	12.7006902214407	0.0167763068786898	-6.86178554602978	-7.71330566547508	-7.74547578554373	6.75252619676186	-3.23443476834201	6.16452458864596	2.52308385421838	-16.4653162082124	-9.30111702787525	-20.5365766350574	-3.45730258623978	6.32431534754848	-1.50345841438606	-6.54962187622392	-11.1941814882399	5.84869431090261	2.67735769676152	11.3255412465874	-5.48966680254876	10.8261895901161	2.16750006497827	-17.0005623997074	-0.172321074833741	-6.06685567686673	-2.3791727837278	-22.0685427224975	-9.50193206423465	5.91670580560421	1.23696452677758	-18.1910469743287	-1.84471709559646	-6.10250524808805	-0.748501118777935	-9.68543221694705	-18.6716954329152	-4.41973441630993	4.57827489234928	-1.2314562133745	-14.4595768652979	-2.81436827565815	5.19657262932327	-2.72141245217235	0.376802221281958	-4.22783109438957	1.89045289533457	5.66102619008867	-2.25761613546529	-7.01261808741584	12.6937458323444
"g6"	-15.2329155112356	12.7944824665843	-12.624202619724	5.03715274301323	10.9418690671196	-3.94033640420792	13.0472298838224	-2.23821461456528	-2.68268474165075	8.18960891722203	-1.3689400363348	-6.22307853945356	-11.5322413842966	3.34546904389917	22.8833999006955	9.98873163082005	-10.8687976575873	11.4173139434616	-3.29805054848354	-11.7233233397159	-3.55286196839749	6.55370831269713	-14.8704793913141	2.55051707382218	6.0757985113251	10.5141618572951	-7.54872764989467	-0.538598801741146	-0.979132399485299	-0.0651503709355838	-8.63134416709436	2.2349945285956	4.07608443529277	-15.2234348708815	-5.17748227172994	7.22358246956504	-6.70094802073464	-5.22934345648491	-15.7053317231405	-11.5816014318431	-6.73889771134407	8.78997373928746	5.36894264504848	11.0300737840461	-18.7269936709766	3.12255222057005	1.31643847182524	18.2301455333354	-10.2216596754847	4.48028192523633	2.28818681459598	5.87505533014801	-2.43105595389452	1.16196991754104	4.81858910661557	-6.72650344718914	0.996468463367585	11.0564912854895	-8.54944196325376	-1.26973875643567	-8.53986169509232	6.81659491847743	13.2307803335638	-15.2346450480395	-5.27302636444426	9.01469542316568	-14.4480862535795	-3.24515733439846	-6.01388215723994	-11.3446283532196	-14.5110898903977	-6.87953106256563	-14.9058050784284	-12.8713279319604	3.20613536975212	1.12035765163227	0.0418634901099881	1.71192385974447	11.1712135504578	0.409103934282904	6.45118068593294	-1.53869982058035	11.3223511892203	7.43664182811429	3.4307377503275	-6.89696235247043	-2.13379507577404	-13.855179349961	-5.27380712014005	15.759467453067	-3.59427207624163	-11.6604579680942	-7.21999212921792	9.43808489672961	-13.8980373925723	-13.3930983863608
"g7"	-1.3122273185912	7.94578572995537	1.76650862263098	-15.1104105824761	6.48990546798521	-14.2628971561997	4.56090677022681	-4.52050824145208	14.6742867455091	-3.68053528834545	10.1337507082037	-0.167933276946124	-4.26875153153898	-10.2424033168921	12.3642274287064	-3.57738778412733	13.1194700564847	-8.7721127066443	10.0221967253965	-18.4433398965896	-13.9341960006334	7.82418655495415	7.32007658672615	-3.02925378941802	-12.4352454585146	-13.4687309785687	-5.40956487608273	2.43573960815521	4.70889887957516	4.89770918547236	-0.683438495536948	26.6806250813942	-0.160266728555528	0.922614332012207	-9.18675990000452	-4.68988626665457	1.29331108493874	-8.11437036658955	5.27054885613394	-0.975875512667781	0.329858991408894	7.92056514661513	1.84004592700126	-3.78284670695196	-7.70341328824587	2.83164137209153	-6.62805062670399	-6.79616870150124	-9.58492682031859	-15.2964818041127	-6.01461879398759	5.57955935653897	9.43224830633722	-0.944853779642927	2.45923690119455	-0.644417980000717	4.70184999470982	8.74672000746563	-7.2998093213723	10.6993470591007	-7.23722729788637	-10.9555755984657	2.65883169264694	-3.51575457529741	12.1288971562527	-8.90973000450187	0.266633716813645	24.0364800237052	9.28905291164734	20.5587971138222	-1.91520846678884	6.95801461402756	-14.5846516187451	9.82078130496552	-4.58969185704465	2.7946869035673	-2.4211025243638	-6.97452645528893	4.39848751462962	8.3485531522895	4.24805301082714	-2.92642820504394	5.12909706011173	-7.96527337028754	-3.14368720494752	-3.68209829094845	2.50515639802864	-10.5126865075946	2.09721356362616	7.37922461595444	3.12462246922925	2.76218081308814	15.5381616562814	9.99783647215724	-2.58966683681694	17.0987513973252
"g8"	1.95968461096923	2.65174540310807	-6.08021247722032	-5.60937124273498	14.0226227812038	0.940176112959516	4.37807161632335	5.34466404824251	-4.29132285573861	-16.8177880270856	16.6755265164302	3.76636623842271	-2.38698256580843	5.37048904173635	12.5633817910485	18.5443722356837	6.97799379744046	0.715386411982771	-5.52014689184517	-4.37843922693105	14.0487405051304	-3.94284048727026	-1.08809217890988	-19.9860683292036	18.2874114894183	4.41267815923758	2.40857438877049	-1.31643240397425	2.45384165966118	-19.7044347239737	-20.8995457350549	19.8030823965943	-1.0462414769921	6.96213429262313	-2.79548291535078	0.627055215685596	-7.63181398363734	-8.23160296184636	-4.26757548098555	6.61894970160767	3.68970090968802	5.12362397013149	5.76161257977425	-6.68021723558545	0.321274822513685	5.01572105898351	5.54674434014823	-11.1578144378786	10.7638427428519	6.07435344085431	15.7778151520621	-5.33085295844281	10.6062504577526	-0.127837793625057	-2.65248237659733	18.6183535784811	-3.19564410767247	2.25990060076875	0.83560918705499	-3.21171482797425	3.71847144930258	10.2126103867855	-11.5841675427993	-2.37496258248774	4.49966717770485	4.68687387256286	12.8425199328288	10.2400483668987	-7.61136407102429	-0.572215109047506	13.9108439814117	20.6042043544791	6.92423302148707	19.0996764811809	11.2891428114088	-2.51469954538818	4.19945065817124	-1.20901397189611	14.6334332691583	-5.65606563441169	-6.10042490217746	9.60270973580864	-5.00790094362363	-11.4154770608224	-3.84694161722631	2.0764758897531	-7.28859383816747	21.9351448398001	3.31054527921866	20.8210018028694	-19.9657052140672	1.92089300872987	-11.5367321902427	-15.4086582997868	14.8060410650154	12.3788106681399
"g9"	-1.10651038496389	13.5211528241729	6.45476217521817	15.3930117923426	3.32674622807972	-6.9612100803477	-6.6507909956398	17.3958662117745	18.4188621819889	14.4564804692005	4.10105965132492	8.04201536543845	-7.11488326678489	-0.0367282981823868	6.84404298585056	-13.0906048225803	-4.73791454095624	-9.06720018670491	19.5115846899896	3.22659122730117	-16.9202065985823	2.89308378195282	-8.56935809329759	13.9290577114256	-9.75599797821527	12.2426836952297	-0.835755426273709	18.7618651387333	1.7548251834345	-2.43278356166504	1.65266748999067	-12.2715933801428	9.5377116901395	3.19452135183536	-17.4354155123027	4.00978448132705	-8.38139026612157	3.73918990037273	9.70327143473457	-5.97113629020456	2.91628132857628	20.7039308358042	11.1805149372782	-4.11378397104976	2.79711814897901	-1.35789372472685	8.82207593705201	-15.8629879963981	-7.91691436148262	12.6633845246703	-24.4287876907705	-5.99882881915697	-6.40126373899939	6.19982590518062	3.39815078746125	-13.8850106823097	6.02028211313992	3.29203261424342	10.3559909473077	20.4433506552116	-14.2206268669121	-2.44096584478716	7.95482718015094	-5.1127616378476	-2.8992044207028	21.8338441676014	17.2844802229064	10.9732528259132	7.60648524005138	11.986733535179	10.0878640755731	5.73834330293415	11.8852086373318	11.7061138736696	1.6154303976742	-10.4913496026164	0.555833013547526	-9.12415362934239	2.56539797280037	1.01518363135806	8.54075807157285	-9.41840389267223	20.757639102541	-0.201709124572987	-13.6924584544264	5.33820392887073	7.18075995930369	4.47207686255373	2.45424558199536	4.46839497123056	-11.4854648165798	-3.17993342140201	13.3826420569087	1.56455724296498	-6.887606783765	-4.54231232786438
"g10"	-3.8618072448094	-13.3950024979133	-8.39937334055706	3.17517005506998	3.8982575789703	-3.99724573077241	21.9726235701803	13.3377500367309	-1.59052507095975	17.1658292087351	4.45880402747472	1.92905048265966	-2.83752645226559	3.70235471485646	15.9309326385606	27.9198714468904	-11.4271144903057	14.7042537289209	2.52594449834	-2.31476421724235	3.6399147340666	-7.02053872918798	-11.6498020529255	3.48676666695785	-6.96142605391334	25.1644046722449	9.25041600941033	-9.19014055102233	-5.99902442124433	-4.71201262377055	8.11115389694525	-7.14195699189377	-19.109693178319	-6.66150799398707	-6.5493274633583	-4.30923850004211	-8.84333156775776	10.8708676819673	22.3513036567867	-6.57141816895348	5.91433309226462	-5.10888318662175	10.946495401376	-2.41682412291244	-13.5426930234583	-4.67834189230634	-13.8480198031255	-6.00419350299632	-1.11765257046189	13.0276541182338	-8.56785648963821	-26.9083813294284	2.03315366268444	-6.57270209545047	14.7394756363372	-0.39213822359713	-8.66705395489104	26.9526497531012	0.366755287207883	-6.51464862538135	-2.63970878886747	8.68642671327037	-1.78570087278902	-14.2435155397645	-7.16383557565071	-3.47509606801927	-20.2034526783983	-8.37824939336035	-3.95031321048183	-11.1459131254822	8.922765598154	6.33591293807946	6.68689541357887	11.8707012012378	1.73398215206044	-1.17568589425028	16.1181873759702	16.8430300187756	-3.06964020410251	10.1820521690164	15.141242153189	15.7633175893584	-7.52735226563599	-0.7104807057236	-14.8277353949829	-10.7822851108098	2.62571976051759	1.84456047597259	-4.72673145796424	-3.95892275410777	-14.3538683166798	-8.58591627975761	3.37627014701995	-5.58467421124204	-13.3749430084274	5.4994194785128
