"ctrl 1"	"ctrl 2"	"ctrl 3"	"case 1"	"case 2"	"case 3"
"g1"	11.1173622699523	3.01436369919669	-6.29605957523209	-8.21021522747306	-10.94029868285	0.942466996809689
"g2"	7.15907321026295	3.22700629684398	-9.82123659448622	-12.0165187907492	-12.9646952616335	1.8829274357237
"g3"	28.2279528012074	-17.0419607148983	5.06169421062131	1.96682528385157	11.8498594907728	-11.054144183062
"g4"	3.67271641866399	-7.56839296109769	22.8475389177914	-18.8789501899538	-1.57811696623294	4.54977334061102
"g5"	23.2063769374223	-2.85743733701021	-9.69925175470739	5.32072287392967	-10.1242454834326	3.00248806554126
"g6"	1.19361694023944	1.93023723127012	1.35362362961085	-13.2792416924446	-2.64259459340033	-10.7197279550466
"g7"	-12.4559255462591	-5.34232639045788	4.50984262147393	-23.6672165574269	-21.0929449263925	3.53635219951438
"g8"	-11.5598904497648	23.505608126165	6.21197428253126	-13.9425799312554	-3.40732774426248	-3.86797107053111
"g9"	21.0209368278918	4.88432883166531	-12.9537933597534	2.70439126820722	23.9041866687052	-5.54676760167534
"g10"	17.1803107390441	1.96101430057196	6.26772711509617	-13.6654141389364	18.2771628005705	-2.13684134954854
"g11"	-11.334575246246	3.03484910453225	-7.71029484710518	5.91784969110746	-4.73800508782679	12.6871581790057
"g12"	2.63291967713388	-14.3533185093213	-7.47512944291168	-2.77390424037963	1.21218448868457	21.2443319475661
"g13"	23.2870568263406	8.62408915146029	-15.3623527411583	9.74262526803442	11.9777043839545	-9.18317354012331
"g14"	-4.95954198219101	-1.98922554164463	-8.7459979115939	6.534702932016	-5.78124411477966	6.70930311489351
"g15"	8.6514274384913	-7.55124616919434	-9.05409143479338	-7.02044804775109	-9.76375619032743	13.2309719335528
"g16"	0.22244944911999	3.81094401525034	7.77196651034722	3.10873410891409	-15.8000516834321	3.11061359214777
"g17"	1.78739621072575	17.9769539279842	12.5575922700824	2.33773163758726	-8.85290919844794	-4.81561671149087
"g18"	17.1407824569888	-0.740821308835893	0.489361671367013	-2.37942169468307	-0.987890004118963	12.4459563488489
"g19"	1.50215389786641	8.51323250221701	10.0578409530236	-1.23676843508696	-9.87905309449937	12.1543241961583
"g20"	-7.26600851056377	-12.9216995046599	7.96326965575148	-12.1131141316063	25.7730968752171	-0.738258620014975
"g21"	-3.98662822778046	2.22832095693507	-10.3880555415237	1.41134167001691	23.406176046926	-8.80354889144562
"g22"	9.67827474903592	11.1586079593245	-6.11610613610408	3.68290934679723	6.71072074126663	0.226388154985585
"g23"	0.718319501800551	9.60540868881789	-4.49075220741984	6.41955666395808	-6.48885696527198	-1.59968866338527
"g24"	-3.84899064188863	10.4269761562431	0.821863402409092	0.468209939034494	-10.676860714598	-3.88471558898941
"g25"	4.87778399674951	2.37281122723729	1.24635799922972	4.78198162749926	-2.56623263886763	6.33984393345689
"g26"	8.36952927114782	-3.30059013106853	1.35981180880371	6.70392201149468	-1.58848660126848	12.5738492760129
"g27"	5.89744600932935	21.851632385277	-7.95630738313509	-1.59869726084587	12.6841188493299	18.8915601909592
"g28"	-13.1047477038778	-6.50739351122192	-10.1793844356239	2.25578722670472	13.9666873353488	8.11205384266661
"g29"	7.31955267535391	-26.2470890210449	17.1176609868645	-9.70004215002159	0.537535200754755	-19.3391290731103
"g30"	-15.9789271806674	-8.86875935073003	12.1746923715002	-14.4556261965956	0.833400451449887	0.419870965147245
"g31"	-0.362467934670711	9.4541863242529	-16.9304203286786	4.29426465817076	-11.1850633137225	9.31071808240635
"g32"	-21.919351987477	-19.9141250053608	-6.17519623081803	-3.00246256310554	5.13087384067335	-3.58460814253165
"g33"	-5.63820594317824	-17.1653688930337	-27.3846965366294	4.94931945822926	9.63926452924265	-8.35546617967112
"g34"	16.1144722827132	6.63190798655124	-4.78466406627754	4.05184058803616	-10.2706990203638	4.20620683362016
"g35"	-7.70724615881735	-4.143067053921	-2.97105722515404	-1.47992451735715	-8.69966605565612	3.66281949322375
"g36"	-12.7548788383964	2.42935883707329	-0.706018661209575	12.2833458829153	1.05899541133749	-5.70209186348343
"g37"	2.33776266492605	4.6171478256663	-2.46727194644388	-7.4480964786367	10.0158118679644	-15.2801907894021
"g38"	8.59804153417291	-17.968363997584	-7.50666716474509	-7.05447496463109	4.96760447514823	-2.01145091678563
"g39"	-5.090166003249	6.65886887541419	10.2205212097201	4.3290790502369	15.3098035560368	-1.45645534889367
"g40"	22.6007029955708	15.4024189974905	-4.22787315611928	-4.33753553827365	-14.1826622331184	11.1157024598538
"g41"	0.0404400999736548	2.9877722073642	24.9984375086877	2.54233482109641	13.9918591022897	5.86295430450209
"g42"	9.44124093335034	6.88609220370675	7.66532767805348	-1.21039135835914	-9.47574617575019	5.28820752956654
"g43"	-0.798807856191499	-13.4169953738107	-1.87441889076322	8.113971390152	-11.9004693648678	2.20231099127055
"g44"	3.60810155739411	-7.46675015512344	-7.5496702414471	11.9728580765501	-1.50421079871958	11.8984956650503
"g45"	-0.511374865649592	-5.11014138876584	3.8009950512368	1.77298394064301	-13.2741120361265	0.071924536498083
"g46"	3.04658812380749	11.6670788213006	15.8188344337751	6.71040605363	14.7248102227535	9.49537718526277
"g47"	7.19742161510987	-0.983891054294749	7.94788884682642	17.2125198502666	11.1849537356637	-6.80530244555261
"g48"	-7.55051872801873	-26.8816049970198	-10.9944479270652	2.47979623059401	9.502361493571	-4.47903318848772
"g49"	28.5861231461599	-0.863578788181946	-1.13107932307145	6.0577069553342	8.44816510275786	-3.63231854377103
"g50"	7.20967697783774	-7.35195152717966	8.11553200119438	-2.38238363842265	3.1213427066146	-3.95248983179922
"g51"	5.0373921473488	2.29437051604453	-6.25621311969788	0.409308661142361	-13.7338051933119	-11.7021504979792
"g52"	0.638547924937877	-7.20309251648474	9.98391838162856	3.85217526615226	-0.324001808341229	-6.92008631491115
"g53"	-14.5051061879422	-14.0800915656507	10.4435034015525	-10.1531399050261	2.09980785196695	-1.62882848491035
"g54"	-12.5090597703005	-8.58993897771933	26.3179961020927	-22.5125796522827	5.91287603412515	0.205705445649626
"g55"	-1.18438203065472	25.9304351773405	-3.05983497303051	-3.1338760148876	-0.585944847676547	12.1422340559942
"g56"	0.925381949372008	10.4377762085154	0.914629603949785	18.8749718378361	22.5641171584661	9.80307640899409
"g57"	2.88262136639514	4.06404188394766	-0.688164768442845	-1.43711324526439	-0.794578238412547	-1.08570938121698
"g58"	11.4677998486303	12.78608799596	-5.60358395578843	-1.97493914418345	-16.1282958114633	15.7047160508187
"g59"	-4.60874887742094	14.680466578728	4.76960426516938	-9.77215139622055	20.1171685070173	0.133484276585465
"g60"	-16.7556138831666	8.57531329539075	-8.46959200560011	4.63896556387955	-2.91251783452992	3.56544896095168
"g61"	-6.46306805284375	-6.27583902586659	8.50768772296501	0.191373479314671	-8.67868563430124	-11.0986852285471
"g62"	-3.61498446427944	-0.78872526750484	8.0960217236919	4.09328159624269	-0.105079769879672	-6.7540825754121
"g63"	4.20308306746619	1.9381307896921	8.16550109812017	5.90726923657289	4.34955263648409	6.36288319499356
"g64"	4.11020021317481	8.05290483597888	11.458931614591	7.05392253989695	-8.71747434198085	15.8079734933697
"g65"	-0.00119707058647401	-1.66597914956066	33.3348883418221	8.53880372785718	16.8952117508227	9.34580148154876
"g66"	-13.3490663364088	-20.6381601010793	-1.77163691926893	-13.4261194756154	-13.9540436179199	-14.7044256699282
"g67"	-3.14017026768121	-3.21006627853623	-1.91391047374478	-1.58082360706598	-7.04103848273678	16.5761807543643
"g68"	-9.43866233153843	-29.0579825877543	-2.89780986714291	-3.66722155519717	12.6354522174606	-1.29422505800009
"g69"	6.74191120699775	9.98568936063624	3.2531506063787	2.10167334558626	-2.40852925875068	-10.0978869410271
"g70"	8.79897013913749	5.84401696707246	6.44273589557492	6.37883468073525	-2.4579422359793	-0.836876173099469
"g71"	10.0595331666772	3.98331916347148	4.64100759359052	-4.12214881530799	-4.54839940298218	11.4329623268207
"g72"	15.7425122692984	17.7431874093333	-13.3872508835153	-7.10940758521594	-2.78211456348515	-13.7264232154378
"g73"	-1.1402487792429	15.9775436906089	-14.5140614789168	-3.14176118537259	22.4427183327546	0.419364309124759
"g74"	15.9976808510227	-3.4749486609287	-13.0981883177872	-2.23314640917487	22.3140890925433	-9.88355345308256
"g75"	0.326318200281092	12.2054533803921	-8.74269556761026	3.73793808010166	9.14842566088557	-4.96957110590774
"g76"	-0.0719290102794942	14.2056550209546	0.943869438682576	2.88471697053717	7.16220754244296	-1.97072808690799
"g77"	-4.04000472110263	-0.40035602247809	15.8642234456195	4.79485852183753	-0.817253305223128	8.06310577338656
"g78"	-1.46621676835181	12.8330656846945	-1.91753126383417	2.01961883911575	3.22699798778744	9.16063090251007
"g79"	4.66093030756532	-5.13499512762851	6.93155448591389	9.66389988221252	2.97343294455068	18.6697489225317
"g80"	8.6809851153666	5.58041111855532	-8.77225663574947	-1.0393043383519	7.30953180401849	-14.6392233073556
"g81"	-4.62718986290553	12.6348991513256	-1.30132294739561	2.57127357648186	1.02700488542277	2.38264357510828
"g82"	6.76020124079933	-7.22237880425913	15.4100822824046	7.29280277286391	8.14119814278378	-10.0179039493208
"g83"	15.4005146418711	-5.33283953437211	-17.9230596184991	3.52957630693425	-22.7615166845732	-9.63675354348547
"g84"	-11.910437121565	-1.23049997965204	-7.1507855220631	6.01579446342542	-12.4558972592744	4.22162294444443
"g85"	14.713586337404	-4.67940882902609	-14.8703766580544	-3.06951430021181	3.74049645212551	0.291379271244369
"g86"	5.41784396781968	2.97521520483253	-2.04085836756287	-3.10378327794977	3.95653493164101	1.66986053217835
"g87"	-3.37978498373811	-13.927409803297	-5.79657637494201	5.10216579373771	4.38504926628302	0.852079404690281
"g88"	7.0070428076279	6.25460143592776	-0.866493285723333	2.76048602795771	1.2142459969067	-6.09143115803692
"g89"	-20.0084922545313	-8.78820226292125	1.059061024601	-7.5527813212977	8.14216800044833	-7.50204239143432
"g90"	8.00180433818447	12.8148509237473	13.1609997880187	1.06080594816312	7.01378573130125	5.5547304382416
"g91"	-6.43552596263762	-3.52468770062459	-9.07692134712826	7.09910490488719	-6.50813508927756	13.0586860235409
"g92"	-0.529135431252859	-18.9091931107034	7.39469866740973	-8.46410030000442	3.11990642200842	12.4357581466641
"g93"	-10.610475485649	2.98710924046697	21.70466342569	-0.160500178477263	8.69947648558266	9.75585296164568
"g94"	2.06625456803957	-5.93142492176881	16.6033831161973	-8.74441260402106	-3.46012794692428	10.0086715873644
"g95"	-2.8663515352669	-1.49933108848569	2.11563097449283	9.39661547712237	3.73063040518557	3.25490901665433
"g96"	-9.67340783841573	-12.2825122782822	10.0588860506875	-3.83302727905203	8.43250560447078	5.87971801704612
"g97"	-1.84455729037476	-0.666932364974639	5.65761540362615	3.84140432522051	3.23367666540609	-0.266583751222499
"g98"	17.5240083343616	1.33372164727552	8.65345285250376	2.30573982527375	1.26083944610597	-2.71715877790708
"g99"	-25.7105459103179	-10.5376780160358	4.32648224047156	9.48559938555561	0.0115208607003601	0.295685800615363
"g100"	-3.74470056238801	-22.8346589682843	9.09098310698938	7.10363747597789	-10.8495512708943	3.24000550935389
"g101"	-11.808397166586	-4.22286365534813	7.33103186199449	11.2282844951946	1.83985049677739	-8.80537984884016
"g102"	1.74194604081793	-9.14155598976785	-6.26815976841524	1.24550175947144	5.91776342456588	3.91455051004689
"g103"	-14.3337636063527	-1.14326613972381	7.09195271784032	7.90437125792385	8.99730841873449	-5.12615243084454
"g104"	-6.15488083588749	28.6524593257065	-1.89361550387681	0.169236341126987	-15.9688978715043	-6.73221101369821
"g105"	5.77762403501211	6.87363980863454	9.61428701429258	0.964819245960515	17.4704289315478	0.474951593153975
"g106"	-9.00973396215631	3.32695306029285	12.2829426597099	7.26224841661574	-13.6167954000951	-6.96159140052409
"g107"	-13.6838954465263	-1.28206485639695	4.91969440623174	8.43064218801528	7.4684759975648	11.5063078979619
"g108"	-3.84937361325807	-4.3378780002838	-12.0298200151418	-3.69035405125627	4.96335888702021	-4.18895093517972
"g109"	13.4422710039195	9.01394045889604	1.68277805954652	-1.9182452900759	11.5774521860736	-9.95382679436397
"g110"	28.9566430272608	8.39044134807723	17.6721717955618	5.84040283079283	-7.48762711723424	-0.998650594132857
"g111"	14.1543153435644	-13.9743031173797	17.1133982294167	10.8570537248038	-8.66343022787862	3.6259894734792
