"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"
"g1"	-2.97023359152283	0.530250136997483	8.13781849782739	2.22446631003912	17.1858664134897	-9.42971383777633	2.24437125869226	22.2259634888604	-5.77303315817033	1.30266713493221	-22.0027910288263	-5.27206876252201	-11.9635885220138	5.8137056611709	-13.067329551401	-8.37273190979098	13.1845707848451	-18.8845815660183	-6.57514956925452	7.94722109390123	-8.67266777599694	-6.7145511321461	-2.41993632807819	9.60640162133584	8.68762486819987	-8.80808530187201	-23.813929781673	14.3772192283702	11.922404170913	-21.1777567619365	0.650369161848384	-1.90444225142365	-0.55175224597803	8.93479655947007	-22.1398140312631	2.77791859342379	-12.2380877035725	-16.1701844036459	13.3739940383317	-18.8539462166089	0.291154218064857	1.46548161110304	1.04643298535722	16.2460861304512	-11.5662209439872	-22.1823633211481	1.73874369173804	-7.63482148076223	2.50054968523945	9.52687506579091	-4.36068615968295	17.608594825869	2.03859853063309	-1.3286625066176
"g2"	2.811264117919	-17.9164639242426	6.30367400447263	12.775619338014	-6.2863935012159	2.3476158997967	-14.9995619787948	-11.7745604045841	-10.2107343879016	-11.3756818498879	3.63058014943541	-10.6894516041998	8.54744145093225	-6.5674052478564	-0.627666093404899	-7.74391298610071	5.8370337626231	1.25454813445921	-6.27177613493497	-13.5632010393413	-17.9704185516085	1.41006380620384	6.94910400865236	-6.65412893022928	10.6100258570601	-8.6248053361587	7.19907590704249	4.27156359561141	6.8482721286654	-5.47076437672409	-3.68758626673005	-0.842729110674405	-1.25244421016759	-5.81458184871153	-5.54523830604026	4.89229729702454	24.8920996787072	-4.70740730823156	4.58966615799467	6.35326729022483	-13.6259733777972	-20.829949608264	-15.1249253930431	0.585599175621867	-3.34293634826229	-14.6074703433767	2.51257029909649	6.11005685335353	-6.42208882506568	12.9612265868623	14.1810421818679	-0.964417349940827	-13.7755339008088	-1.64677909895711
"g3"	-12.319925179297	4.45864413434928	10.8703464236611	-13.8180838983491	-2.08089144421799	-7.3059726878058	19.7616802372593	-8.24401757067571	-1.77036834624859	-2.37452195696811	-1.31267086131345	9.53105145954425	-9.32596834051345	-2.48540107268286	29.8764050020443	2.94458509497467	8.66414548233247	7.59463096550865	14.0087878367774	-1.80270090875759	-12.4805613689393	13.5318649728563	0.35023224335861	9.94800197725233	1.32879901518414	9.94775985744408	0.90368463825258	0.0309344238189319	-8.20358436720461	32.2669913110956	0.270985540051391	7.52029604483718	-16.0916086716583	11.2577336958205	3.94343462282526	4.05153988210001	14.7826639439081	-4.69539223481724	-10.1224978034995	2.96777652964015	5.02701680267277	17.7453313127991	-5.88085196486227	-20.0987888979462	-4.88455547138026	-5.45543119816456	2.89462180695387	12.0124732698766	16.2555491978089	9.13303482966555	16.3628889351239	3.36301569575915	7.71231894769092	-23.5266186856797
"g4"	7.78795004008762	-0.0709138167340145	-25.8679381043559	14.2741152253409	-27.3364780050291	14.6759097136906	6.34209984145764	13.3147670443309	0.958725764925636	-12.3686271624865	3.58926331206871	2.2768104098685	0.426116323121854	9.84142131497398	7.99032207636556	1.66746508952891	-14.8861450699231	-5.46204765169761	0.573917641390576	4.07631976377339	3.8508308672877	-11.2335646308807	10.0451973619349	10.0386962362507	-11.0611773604485	5.58107144945042	18.4481080654421	11.6431371127276	8.79048040860842	-7.95332202034096	-10.9340287801234	3.92098988146401	-2.29587781813748	-13.929797296861	-12.1693239768196	-2.8537806154578	-8.27133421502184	-1.85759226466821	-7.28874606170278	9.99057514857069	-0.991054066499516	11.4977120286058	-10.3589252070587	2.78787778736418	1.76148840759632	-15.9403340337822	10.4492711390691	-3.92739579841946	14.7321214621577	3.84571749246536	-11.2325003469352	-7.25771050882524	-1.27531024624155	-1.68363446811991
"g5"	11.1228337180541	-7.50328829481112	10.1519990184588	-9.76167907626877	1.41668816709472	-17.6129684654951	9.52870419174227	3.90524737817582	-2.33848059741568	-13.9975850850644	1.69726216734299	0.977271557890863	-5.86233444493167	19.3167366332925	-7.38796093168636	3.12769207225484	13.047113791966	-2.49499009182711	5.35614070043733	5.58246955732527	-8.90089400586575	-1.27351879327018	2.89702924190658	-6.22348664629586	4.81602914441062	9.21625012001971	-0.353957556738944	-5.8308563717205	-1.69501664202697	-2.50348151025928	-7.47861147565625	3.5257885598522	4.8274667269795	2.14120836824926	0.605414463512003	11.3390689838977	-3.14731076059955	11.5465436966783	-7.4299003399381	5.78347383858764	-6.20311040451605	11.47118089901	-1.0869262613678	13.2158509876524	-5.36381852466669	4.03432773730033	13.1647860893861	5.38439574682707	-0.757843059206998	-20.4812957983373	1.72280876024267	3.89145395440534	0.503572678317051	-5.84164954854823
"g6"	-5.21789625520903	-0.430991425218702	-6.0738873053838	12.0929561669585	-10.2252316859307	10.3761948751574	-4.53781199923316	9.38763443769955	-1.25579605354416	-0.68398246063327	-8.41983286050654	-7.86843795378701	-9.51684329957843	4.46917185247236	4.33372461499078	-6.0663584564259	0.616692866344892	1.07245953823542	10.2962991069623	0.672020477492103	-11.9452124898021	1.53127294298911	-3.20398576055281	-5.47780750484621	-21.50339166471	15.9343259255306	13.9527262901885	-0.25892801956538	4.15145029655824	-4.23379373195654	5.1773308471908	6.45195411271534	-1.01911211823123	1.22142443339215	17.454165619302	-19.58264022399	4.13727354861331	-3.84237371254138	-1.45314109617171	-1.47712874694928	-24.1744858647319	-4.22250083730777	1.52271650600052	-1.49098858389222	3.81287372833859	15.8929233817908	-7.28275610347205	2.12676272191193	14.0892122256827	18.7271930505728	6.73971481804761	-11.1569665617821	2.86669118309491	-15.6956004826913
"g7"	1.88769058412843	1.03390297770034	2.46990988907085	12.23622288501	2.30940699697004	-12.1440872187478	-5.62277805904156	7.71214581222825	5.7271193328913	4.55841150637893	-5.34360254666575	-7.58247712775903	6.25741178264185	4.02438255368233	-5.18211854890778	-16.13321908319	-5.55927289578957	2.58715261498866	-5.41897831512199	-4.92943350059727	13.7532615316504	3.00001874864623	-0.561912782769316	-1.60641133820465	-2.00198089273734	1.24198486552318	-3.69207006623044	3.39975486989329	-5.12188287099468	-9.63305991783027	-5.14468788738293	10.0731455641124	6.42304711025756	9.77876594654549	-8.0420251169596	-4.63536811650588	-1.10801288090275	4.82565559085606	13.8059120893778	-3.5393790389046	-4.29402912737135	1.11188895183852	-0.419115426393476	-6.83068452133056	2.65898591921005	13.7921198734573	1.85656370869832	-1.11560147843842	-1.09859037056365	2.8375100805379	2.58418136565726	0.310578086165	-14.3541337789135	-1.83008786653161
"g8"	12.2539463156395	2.40347067148248	2.15643600945958	0.927923230214212	-0.197795857419359	0.472870241971589	-19.8250980670313	-3.72273362954703	-13.9767770806706	1.06218472563182	-5.82885889155478	-3.40444837649291	-2.23184857485223	8.12183289355287	-3.08502742222129	-3.74142906105094	-3.0684251226056	0.880333987169968	-17.7959088927198	-0.104740571451076	6.18456485072153	-15.3474700319282	19.3510509215365	10.5276089569309	0.755053189200548	-15.8166711445402	-12.284729545031	-3.66652226033213	-3.3515423840485	18.0781727611347	3.17941728617158	8.26727144440136	-6.9258357481531	3.80286888470879	-0.532346747743468	-0.0157932517848013	2.39338133719937	0.794479039028198	-3.10418650049715	-8.11635142740801	2.76840294777253	-8.6079797942207	-7.83659924524265	13.9783649769178	11.936537526497	-3.02540662661467	-0.542433805476942	7.5872588837465	-7.69453836685667	-3.12541508738107	6.693376461444	0.169723717241309	-7.53996074653173	-9.62025226387322
"g9"	5.48474719045471	-1.31912020518466	8.58217563340405	-4.13819826029928	-11.0958826689987	29.2163756364398	-0.743501371884765	-1.96560060222086	-9.18656686775528	7.38451755066821	5.17189480676573	-6.59374110178092	6.43061619263506	-4.61148649314637	-11.0577404436293	2.00731703699634	4.62651102049357	-16.7546208834471	17.7422889303628	-7.35432140036532	9.2391670447641	5.46048903125582	11.0420343094689	-1.18021946180368	-15.2275335506309	1.34256142486112	10.2148521077219	2.24064293402301	-5.87001971891083	5.8430836293451	0.549564135915669	-4.99300347306453	4.81420923599826	5.85436996754988	-2.77011148376161	4.31925217288539	-5.06512315393238	11.3080268649471	13.2213385014389	1.95863426451148	3.70112609965722	1.78312666375335	-5.81001480334812	15.6828929648454	-10.468314650094	-12.1701210890494	2.24592581471662	-6.17847870800236	1.79350249140676	2.92819131176071	-15.3845839885218	-1.25580295572958	3.43332046206452	-1.66941368528739
"g10"	-0.427780578269519	9.54974098456587	-13.1177695592349	-1.91218476967398	9.16984380569402	1.3638288189073	18.8870096962517	11.1139226625054	-11.3674932239239	-16.2617757010131	4.11573243834979	2.69684225942727	-6.93678117481254	-2.987565609104	-4.42915099991577	-0.94355415480018	-14.6766125830726	-13.1796840702727	-0.770272595400113	-13.7424065707841	2.58353053578485	3.47316204772986	-18.3127813693228	0.0458751314759249	-15.9339666662427	-3.52522893345087	-2.39748575917106	-4.7121668305482	10.6081671858134	5.98621120620313	-0.982839549684794	-4.10315436823963	7.77420497675659	8.03483740879916	12.2284670081879	14.9449595679674	1.10430650727659	0.165437362547738	-18.7334382701934	-16.9099845233602	3.35081874092305	-15.080714180773	-18.3029941329924	3.05809101892311	-6.14140278859863	-5.17448587444273	13.4634313903048	1.138634378903	25.4982294570897	-19.8782453805862	-1.8654089069762	0.334839109095403	10.7172510536398	-2.31341803606434
