"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"
"g1"	10.0833742487468	-9.10177271750833	-17.9125379130197	-21.1012246691171	3.17236570512973	12.7695164180688	14.714310070991	-11.9615732908825	-15.8568191059519	7.76557547654106	9.73996385974723	4.32153388472635	-2.18392741701139	9.34469041231226	-2.80147457316723	17.0841065238695	-19.4424323107014	7.15646770441979	13.7227495886563	3.02810654439515	-6.2606626974413	1.08390630808156	3.77635900859147	7.15184061978501	8.24427509029608	0.0234397396907202	17.0584975147293	-6.16995583880835	9.85111731649892	10.6893185666222
"g2"	-10.5642265540754	8.67737988320335	-11.4629727771752	-9.01108239305858	-8.35278503348439	3.14807236335338	-5.44841612213582	-7.80469491525269	16.3822006354118	4.58364616046573	-12.0514716511437	-16.0045225947208	2.81114631793932	5.2681235090796	-8.44716944309113	-1.23229947235798	5.60898545634742	4.49907417077525	4.22180152460818	-21.2667377208586	17.357937805592	-12.0561736464956	-10.0315383899708	9.17183521782355	-2.73033846401028	-7.31920252756938	-5.1966549608439	-1.77185463406128	13.0939371607956	-23.4282215730151
"g3"	18.1607199518482	11.4643561617658	8.2126904592755	0.943051428611352	-5.2305668897302	11.1943781841222	-0.368685732223466	-10.0216627451181	3.69870237373527	-12.5652742008252	4.60424138509419	1.72386490656725	13.1900589558648	2.63903376706728	2.13785756081915	-11.9948472024211	-4.72960055922607	4.64304285067184	-11.6624887087142	-9.44072379522378	1.42481256782971	-4.05077056873069	0.746107351057607	-0.801484175462533	1.63014719794878	-12.5454209099018	18.6748005263174	9.60591639194419	-7.92541579837902	-15.677902573846
"g4"	-11.1323878964773	-18.5548245824388	-3.32658777100135	-6.16860139304998	-7.8420508094488	3.92851844987555	-2.01231102946829	3.48958774600828	3.71050799454496	22.3565944496434	5.24278804931958	1.97474783020353	5.97626871985489	-5.83385147108291	-17.3311436296582	15.4266597488911	4.38889097056682	-13.6052590641134	10.3720094015235	12.8997618816741	17.5751003101257	-1.56923744638478	-0.313442399695778	4.44267041664098	19.5757180457621	14.4491790142442	-8.9526972506615	14.3217275936292	-7.60235510953838	7.53108082891667
"g5"	2.91240482230897	-3.40628620552356	-2.40033083479868	9.88511115708366	-6.52726627400935	-4.74494835679724	10.0829285324911	-11.8929770055938	7.98731758857923	9.62236761557333	13.1431642832565	-24.1532358441794	4.45755574597675	-8.53305231153529	3.22698931000993	5.12172079770214	11.7827652353738	-9.23178451849832	9.94765731843392	10.8891858955252	2.89474014065864	-1.76536095573865	-9.90801968041129	6.10133947524004	8.82562304533605	-27.070613054055	-24.9206182545473	11.0760155649285	-13.2383700798475	1.77567160631343
"g6"	-8.51002188645232	-6.03556953400694	-18.3969499488566	-11.6067764726678	-10.6293253848404	-0.716674219233407	-11.7623899085538	-19.0875939504635	-9.76281621740025	-9.71224737470684	5.85774159975692	1.94547664090322	-1.2306635092982	-0.706836981878743	1.02612954918653	3.12174450333048	4.66520526236599	-5.71669591889667	3.46844490278365	-0.626548804512139	5.32666294024628	-12.3992945855326	-10.3808556872028	3.62674427006423	-1.6546436108257	-13.5617157650904	-3.51481060145766	-0.0552219858876345	-11.5011647854668	2.43549590561169
"g7"	10.7941052342993	-4.26887708795692	4.92552382036017	-1.65431936457236	-4.75547454708421	-0.829934006151419	7.64382911374686	-24.3585775344113	19.0030226830601	5.44331438513592	7.66049279941659	-1.27593714568899	5.12110634707719	-17.4976763512427	-5.53750327725937	0.942759403581433	-2.96343603060688	1.55208393316753	15.7576350351949	23.1029133659627	-7.05467102668417	0.50507495083981	-10.1069912236891	20.3664244863621	1.99301965055063	-5.41508003141381	-13.0552388395458	1.53806869911624	-16.1790322160674	15.8860064244147
"g8"	-8.51805068650754	-2.64584673224775	-20.087140122874	-9.7460742222153	-3.05749237163548	5.46793586607419	-2.23614408270975	-4.99415104965783	2.06190351079291	8.57393783221525	13.1379647356501	-6.22664883383848	-16.4706845767678	0.510531849377453	-1.13969761801306	-14.3555442169353	-15.99897537106	-4.74738169938606	-6.7341010202047	-1.60403408062502	-4.46227864808627	6.31971346538487	0.537607863469697	-11.0730421756529	6.22350505745275	2.44929413125912	-17.9754054276032	-11.8082800570673	18.0187747551639	3.65474321415014
"g9"	4.50776617559876	10.5457994623152	5.65962687622514	-5.46564832995223	-13.0085688426885	20.1631025652188	-7.91417889849139	-6.69415038417667	7.18460534651314	9.91034274235893	8.85355829091743	5.34004314993199	-5.90979846371607	3.46690410374717	1.71214577043977	-6.44631414811986	4.62756614533102	7.61640382078512	8.1587305074664	-14.7306255893712	6.13855483629175	4.1622129130502	0.979467075490431	13.521753382043	3.77011005465488	-4.42973950834429	3.82428963784246	1.3230251912305	18.5060845666937	-18.4930275313485
"g10"	-12.5317938448013	13.9482670065106	-7.55863581500889	11.8039194138327	0.783790011421008	-6.32508162236449	-15.8176638317578	7.68284973877877	14.9299611257183	5.79794454853766	-2.92431333931466	3.32938848702688	3.81325853818797	12.69455718872	0.777057078508298	-5.57171164069146	6.26730700516696	23.7350985483451	-1.44155989331133	-1.38006434301689	0.475789362861326	7.64826260594017	4.17647846136665	10.2515210311425	18.9575857862707	5.31187394114784	-17.7055663770696	-6.99444043682679	0.149179144614242	-7.92350870060261
