"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"
"g1"	-9.28856915829798	-11.3615018444637	-7.02345313258441	-1.36966658468754	6.56222108583302	-0.281919456781637	7.38857702690188	10.4188903104104	-17.2451777382014	-3.39256315079782	-8.68282071611948	-5.48384163312339	2.39534360953544	1.18022507091962	5.79062000741395	2.76567656366399	3.44478725066577	2.52364024006826	0.359238857600026	-14.0444710526273	-0.677761015284676	-6.28944231869063	-20.1144494215177	10.2829698076483	-5.20870550098029	-4.93082655813268	2.55864812334137	8.69869936614034	1.63658171436017	-9.10231222051756	11.3157123261284	-1.16335914161665	-9.40316840215937	13.0563743442946	14.6111718797337	8.6496402173228	-0.44262044790606	-0.312289833030502	5.63900276848106	12.0346437832017	-0.500219566032092	-2.72241166189959	-13.2347057392373	22.887242611276	9.63654209721603	0.557825153849043	-7.57960861114009	-5.01548104035523	12.1979616348432	11.94182861375
"g2"	-3.2959314610918	9.03912788673307	0.129182874257628	2.99018271868262	-12.0788956933582	-19.8666455251025	1.16127509363195	2.14583635408268	-10.5505156522266	15.6842801316002	-0.0590269430929101	6.08219424626909	12.9212686868917	-8.25501341734207	-15.6804796244544	1.22809038625274	-25.1046339906036	14.9648660228934	-15.2025038866524	-11.1278162987524	-20.6501969675755	-18.9525080958861	-4.08384590928259	-5.60161230235436	-0.519031841399987	3.15062097921903	1.23653884667656	-9.38238870067375	-0.539957720272492	-0.892678670562236	-4.83292527939395	6.90256579073721	12.2887941167301	-7.64050116378697	-4.01523054641512	-5.70376167989724	-2.09464791864472	-2.32972104593373	1.85531108622493	16.0371206581032	-10.580099931282	-7.2667080621825	-14.3918774455928	6.05335676674658	-10.6819541813203	-10.5211292858298	1.20469652009691	-3.03161854220306	12.4371189017605	-3.56757706272648
"g3"	6.27228897129542	-6.53622089539624	6.62624924196043	4.23747364344032	13.2584535538881	-0.0479073852383688	-17.5372056079107	10.3239903409954	-10.4709475173728	0.149575836745165	1.61405094518239	16.3362653939788	0.272719293948224	-10.0617813952388	18.1635679361629	-3.13937439694378	-13.8453178849195	0.243090493384442	-9.12864568376519	3.80759233256496	19.5196854205109	15.3276244447382	6.12757078403923	-2.39142550851357	-7.15083855637203	0.0767276893527993	-15.7592671921771	21.6428165712043	17.9030882286935	7.72028826449278	14.0184638157873	-9.30426045042405	-7.15110667102364	-6.90859338539015	-13.1536437668808	-7.59570152284389	-17.0828480979901	5.51174375127112	13.6225187437251	-12.2668224708637	8.511366404669	11.899210323658	-6.37152779366357	-6.12419751719668	2.44970874174716	-1.93292638162747	-6.95576048928013	-6.93830549956917	17.9707642261901	5.56365016353852
"g4"	0.384730319401426	2.56070862259406	-0.876808344171492	0.476836784781649	-6.4231603138905	15.930460928785	-3.0183499418449	9.61193246988547	-15.1035594884398	20.9829220334273	-15.272157008973	-24.6487444539415	-4.2397536489407	12.1027416968587	1.30540231725254	-8.64553033363978	2.53598209476031	4.95513497974285	-3.77775857328348	10.242600685472	-5.76266988477106	-0.0504387780147656	0.492198152402482	-3.94727772466793	-9.30056163212198	11.7685369330373	1.9729853977972	17.8347095226947	2.54710112935621	10.997578620311	7.16954157909748	-18.3496043364683	-9.7800860106599	-4.38235617194578	-7.12946643902581	14.8964322863442	-12.4832001579414	-20.9526299308883	3.10319136701601	4.69696768099204	-9.01067307310236	-5.24380595462482	5.08414838680811	-6.25649122810663	14.1921188590363	-5.5100056922237	-0.34865206800333	0.905964442249494	-13.2839984780761	10.4202613643528
"g5"	7.34199734995193	-8.50838309966901	1.31067879922065	7.8716355914272	-10.3434943821998	-9.38142178819509	2.27046336736459	1.71598324757619	-10.6412600508009	6.3086564245381	8.67040787452475	8.06090935477538	-3.77761749473891	-3.95889139793991	0.498968522883839	3.61487087549738	23.2657525695191	3.85932704608251	-6.48836296551306	-4.77041900813973	8.28595150862241	-7.34802861595	-20.9157967153389	1.89712969969862	-8.25096124392751	1.95948536987881	-4.75974068781263	-5.07915373046247	6.44253965494219	-1.12864639209267	7.53979608420959	9.04812191137679	-15.7252229740599	-10.0184576938851	10.7920873229077	-6.07090533181023	3.04289667411176	0.434957145687188	-3.13419496104848	0.662094557534457	-1.77804380161528	3.94677257738048	-5.17866257985944	13.2102351307932	13.9769722482161	-6.94629689930083	8.62111786568967	0.814287361113367	4.4159929431718	-15.2115558618052
"g6"	-5.03066116566717	-8.29949476847125	-7.55793769023024	23.4920328663026	0.212210565579996	-11.4576005225165	4.85770619059791	-4.61576867359922	1.28097654950758	12.3911279519573	4.5429482969813	-15.3890455849908	12.7723090525323	-3.43725585714066	-21.3307274846093	1.91041659704262	7.27986134164072	10.9737030806535	2.72572309753764	-3.83277918945766	1.74468067414889	-15.7068058723019	-14.9768729972763	-6.98899188522268	-0.0640715570460669	8.25596607958714	-7.11761169704954	10.3714108746593	21.8239801158571	5.12942297091946	-9.68283310485487	-2.5618882062368	11.8104627098164	-7.45342402960496	-8.92983977218752	-5.15618786532615	21.3777477441563	-1.07458190815491	-4.53058630741332	-8.47715410911572	5.07726215460102	-8.22009351650998	-6.53157301325708	-5.95684812087938	-7.11921256493338	-2.1713267251396	9.20068343815208	-19.7504926054409	10.7667608061673	-2.92927659431554
"g7"	-5.71583701629631	13.3517130128279	-1.64548141175611	7.81295663885573	1.05355032664383	27.4498710240258	6.9904527704328	-10.2808658501975	2.5385808798166	-1.46017863565077	-1.58185303581737	-10.5241651569391	-10.3491004925826	-9.02842944882748	18.1269577823206	-8.5670697331194	-1.2833631680688	-11.5883288544041	-1.04713823631257	-11.4565625684797	10.2733299480736	6.01442777536655	-8.82391330671661	6.5336975569975	-13.8674449175384	-3.72139168302674	1.97671989517114	12.4703129921389	1.51604459801893	-14.0882168342698	22.9304484167658	-11.4636387763171	13.0894030467372	-2.08480227770819	27.1911068052342	8.98617569675077	-14.9214033596017	-0.71788818001559	16.5794828508428	1.40179838159153	-10.7267293769144	-10.7611912903758	3.50870271554661	7.98655134423398	5.80989327666493	17.4939357655854	-4.77213421149861	-0.755722878182566	20.2364220057938	-0.11010498757284
"g8"	8.22079356838566	5.02655890167166	-10.984345314811	-9.6727078460249	13.0895545322342	-0.464294644793555	-3.15970230547859	12.2323842094189	1.97213590206271	0.154136886669082	-4.88298594282442	-10.9411515814895	3.0358740315801	10.7477664818547	13.7108221792451	-13.6001792962969	8.43841463003829	1.76311845933675	16.7244908030154	5.14962198737181	5.94421811655184	12.1536107730771	-26.4926193949385	4.93415867783614	-8.78252067853369	9.27957777881447	-9.16093348428733	-2.43808658551961	-8.15222226720772	1.40356747240745	-0.143103339321247	-6.70601384901043	15.7292615552624	-3.67987990214877	5.90789484922697	-0.413299366275024	1.63738631128106	9.52089810719721	-5.59449914210336	-14.186831313428	-7.62986231466086	12.5390486136941	12.7458610979359	-11.139580570797	-3.4668049587516	3.84242576652893	20.6553439056265	1.1202805021432	-7.42304352976098	-2.48689745965033
"g9"	6.07795711693202	-5.17003158567483	7.52684113253971	4.07441111622599	-6.54391050799228	7.49604423863332	-6.41073762961317	4.76505401754606	0.613403604309552	8.61097431263851	4.16599121353602	-1.23972168017943	-10.6702030082176	10.8796060475545	3.84008261835707	-3.46025311715899	20.077953407973	-11.9496581862795	8.95983294629731	6.35989327502435	0.999942004174895	2.87797899809515	-8.03776554270229	6.85169507243411	1.4130361682648	-4.73504711418859	-12.1236347391894	6.8201812841781	14.3281351657605	13.8946868429555	-12.8179924458387	-6.72333943321107	0.656253218019473	-2.45906073530778	2.60765623427137	-9.34491209624056	5.08293730937289	-2.21340131240651	3.33657303119993	3.26973349302382	11.3920288823638	-18.2421219874814	-6.15892647055525	-10.8725036146927	5.88685576938079	-13.4724688898192	-14.5280842557333	1.92045013214605	10.3374780579351	16.0054548474202
"g10"	7.09672104076733	-8.91090634863302	2.25506263609406	-0.803875073979432	-0.480142446139227	-4.12166270790751	-4.90725740305323	-5.58762249796584	-1.44297654328293	-7.64060539871587	3.81088225558577	6.3010228528874	7.76457635291247	-4.68412618118618	7.839541417024	-1.50748371596938	-5.98826587556198	-0.880193986124541	-5.7108959621579	-8.75739039400272	0.377299124053997	4.76182376082873	-0.566970905285359	-1.65975511629145	19.0918411079696	-1.80094288478352	-4.19814919763467	8.6741057779551	-4.52511017267768	9.84472687394863	-22.8522070983057	-19.3908432686755	-1.90594502721445	0.612711404033596	-10.7066402026595	-4.99993379402193	-7.35991327540768	19.6940969537559	-7.76650905833573	4.79288260232098	0.543643481391253	-3.72856910903196	3.4117229483936	-9.87882772476657	-21.4417435665815	-5.28142667991874	2.0032824598655	6.11216235912812	-1.59902687984532	17.6757282842712
