"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"ctrl 41"	"ctrl 42"	"ctrl 43"	"ctrl 44"	"ctrl 45"	"ctrl 46"	"ctrl 47"	"ctrl 48"	"ctrl 49"	"ctrl 50"	"ctrl 51"	"ctrl 52"	"ctrl 53"	"ctrl 54"	"ctrl 55"	"ctrl 56"	"ctrl 57"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"	"case 41"	"case 42"	"case 43"	"case 44"	"case 45"	"case 46"	"case 47"	"case 48"	"case 49"	"case 50"	"case 51"	"case 52"	"case 53"	"case 54"	"case 55"	"case 56"	"case 57"
"g1"	-8.47556147338208	20.4324703558754	4.50966010635574	-16.1636127727772	13.205772969162	7.40471813667943	-4.65528740827614	-7.13088992507792	-7.04319508960175	15.3649773539136	-4.86918528345134	-8.53821821392921	-1.9987418474036	-4.85539098881742	17.2666952557565	-10.0250950027996	4.87398666850365	14.9117116505344	-0.382497800047721	-2.5750557699795	3.42164418003958	-0.572912884810586	4.08045581146391	13.9666063537717	16.7127101032901	10.9519852525196	-7.9793150767648	0.00406022808787686	19.1760553043216	1.36848094645911	-7.05639046772143	-1.84247574802428	2.60071248225958	8.36979334974165	-4.68612978250489	3.48423048547108	4.40283971356747	-11.5097869862263	-27.160795485039	13.1898395207484	6.60025095480875	-6.56670134227964	8.6081854423338	-1.13798987752959	-12.8328091010341	-6.12353850253379	11.9166815515264	9.86631995595296	-11.2355977741931	12.3451376622315	-5.68075084991037	12.4518082055615	3.39284164654771	4.13205817161967	-6.92877097118022	-17.1866111667093	14.8270761448482	2.54809659931061	-4.61433672633981	6.03718648580906	-4.75867248481704	8.42013296560686	-15.7170308567268	-6.41225738064959	-5.89271412864935	-0.0171941762485482	-21.3722817702764	7.3090907998286	2.86091387346978	-6.80726225930218	13.8702728201569	-20.8192237393248	-12.2841954368192	-2.57591065379651	4.92789668024564	-3.01435335501515	-14.0294138402078	-1.40744520952568	16.2855014258398	-7.73858838676707	4.10339779419565	-15.3338237414973	18.1527224369025	-6.92096403181938	19.5894636574235	0.222191922945273	-16.4211867170346	7.78695859522064	25.156675046775	-16.7996173093049	-1.58069407785214	-8.94850433514859	-0.538076137258143	-0.572705541687888	1.68864718619662	-35.0397648758426	-10.4616695213923	-9.38269292717933	13.0370703949675	27.1696324242927	-0.211926264943904	-5.52113668432844	-9.65282002098211	-10.9909852181743	-32.1990896194075	-3.2756556433437	3.95763867243035	8.3363875384079	-5.4391788994649	-7.08150376792991	-15.391409649758	-7.34909831087904	-0.157294779762242	0.0814648746821473
"g2"	10.440553010097	4.65530415038697	-4.59576305675371	-2.2276855450638	-9.46516585738711	0.670897419123663	13.7366133480004	4.24959264800825	-2.16272083690696	-12.3447313044633	-4.32993647884114	6.1387988208059	-2.77004032178956	5.67276630061622	0.760489185818089	-7.26894108247593	-17.1201535232913	-1.07228535934353	13.2979362326709	12.7765762855894	1.24036677543636	5.99982137796503	6.94850408441869	-15.0726095369437	11.8592787677237	11.108642805129	5.23033217333411	-10.358728613492	-10.9730772245254	12.4044331997132	3.68477238557685	2.19506237638971	-11.7090491639379	2.7204371516373	3.41828361437971	-10.1067941191985	-5.55976285478945	5.34651545501195	-10.8875834698485	-0.213087337517578	13.2340890695438	-2.8701498779102	5.24528919634139	-7.82455672113008	-10.6714884100792	1.70154779036833	4.11493490845325	-0.301125111121879	-9.88996767969114	-6.35359890957031	-13.144666838282	9.55961445448894	26.9618245065255	-12.8708069956423	-14.3555758525506	-6.58364790724183	-6.04992161427255	1.53540850024705	4.63604014614885	19.8001914156371	5.99381868918869	-0.609111588357814	-1.30710017933371	-9.02129996717328	-16.0236709267505	4.01649287755787	15.2665294377042	-6.32043789767298	8.3238348400513	7.82823956151855	-6.33300944322251	6.2970676610998	-0.180031739462663	-1.83922808752891	2.91098450594745	20.8935771330422	12.8681448268227	4.27820004456124	-18.0916333266315	7.31787520358659	-3.37673389696931	-0.128739181065237	-4.40262147477343	-15.5447288892984	1.43252709636602	10.3280867124282	-9.62584997029782	-9.60729369900835	-0.704977645796253	0.149551613145395	-4.04311614059015	2.95321644128762	-1.29626894916267	7.38083303020749	-10.0811157948756	4.96188892363547	11.0823223946529	7.82137831429295	-1.98779774881124	0.338137548785816	-4.81695852142996	26.05105507741	7.11917493827912	2.78365484563829	-7.4877399256932	-4.96765122611626	-6.46336460489219	5.49833753491323	-5.67258244293376	-5.99149280896011	-12.0024364591754	6.14643710905966	-11.6451318505371	10.3042036737377
"g3"	-5.08038155050886	0.595548149567489	-5.06253659428837	-0.200477858156435	-6.22089955991401	21.0083341887163	17.0779838897184	3.02468491236295	-17.4006697659839	-4.24841034930229	12.3205391288239	9.87426915429453	2.57675815675466	-6.89151765324074	-13.1533620787225	-12.6321496354946	-12.5048106310942	5.8213839109843	-5.18949024625569	10.4243859760267	5.16991560623858	4.12035786061538	-1.23077880915848	-8.50903814287356	5.67937962896369	0.321814114580015	-11.3575984004667	7.66339730038272	-14.8049816309648	2.80176540520455	-22.517521965405	-18.4293378355214	3.46064148300688	8.14294862346542	-5.98270829710659	6.50847733521623	-2.95406586571166	-14.1282747019526	-4.78300110340301	8.11216707855852	6.8265428663808	-17.7142412748681	11.3185248628487	-2.70705848187732	-8.8352961108126	-16.7890053296745	-1.67011220176798	-11.8506890212021	9.65339404599219	3.69783795223497	-7.36631034734354	-13.1448980206979	-13.6090027958197	11.2477968990172	22.9560357154899	-1.91328622296822	7.94820522648948	-21.8131755204601	-8.08445638241892	5.37361486202802	3.25537495112046	4.51195192364572	-2.97839249293485	-6.05590388433742	-4.73642949291528	13.0240661169312	5.84783517836108	11.3093537656309	-1.99631697184656	10.1133758290238	-14.3141032865854	-0.800858259565014	-0.240318765481684	-8.00486807492643	2.77787085433785	-17.1746550529443	5.2074198957737	-0.529433883427565	-18.8820506122247	-0.128939189375284	4.78673257575533	-18.0335003871713	6.49268410664566	7.63548452657033	19.7728657035569	-5.97269034022531	3.89480799153493	9.04688705519712	-0.932956742613461	9.61794578543039	0.976130529736588	-4.09832103878187	7.18989139856421	-8.18474475007484	11.6168207507399	2.22707230747572	-4.26494846944909	0.112491643918587	-12.3122793157901	12.5981183644071	23.491704778791	1.03144253679835	-24.9334197457673	11.5812227464697	-19.4121004955342	-19.1856499205711	11.7164302997808	8.0040171681393	7.56533129613938	6.78047222456058	6.33696556535535	15.3343817737994	4.42749361446763	-6.96716048288475
"g4"	18.362399840853	3.03771345452736	0.499198273281165	-1.93572407449195	0.628980718463783	-10.676233194201	-8.50577159360139	-5.9364221379691	1.73219043640397	8.64722213185719	-5.67809672555021	-10.4647881490725	3.93648403533647	-7.6695227812821	-16.1381670433199	-2.45421369452746	-12.8502216564164	-4.63337087995859	-1.04866223033239	2.84703479978048	-14.1739228909217	-0.332883068742373	1.67095050580713	0.910103507980111	-1.86031018005861	18.7032746054297	13.7461627333771	-7.38162867619333	-9.99554734082771	6.53366204496156	-17.4787313578224	11.7315814254363	10.4573891442861	0.0136772533347731	-7.02056790432642	5.81814542501641	-15.4963254046643	-7.76879641669404	-11.5050124197276	6.37619320473822	-7.66603880430503	6.24320866410633	6.77747176286047	-7.32329531021278	3.61938409760029	-3.85526631345555	-9.16757648922142	1.92567792462529	-2.68762699254426	-8.20133690083791	-16.2767570948734	1.99988851835678	-21.1333584154576	-15.7276362687984	7.24933586788363	5.65077559230056	-9.26436508751111	-3.90436850493047	0.38256031921765	-13.7988471273103	3.64367374755611	-15.5870109179406	-2.77789668038072	1.68206619875709	-13.822517488745	18.6156703005935	1.22714944424537	-7.62764244990817	-4.19266531106446	-1.23598799936842	2.61960533479669	-1.77856352222319	8.36929425091797	-9.94868925022547	-22.300657632376	18.5998772585061	-2.75362959296874	12.3305223207986	-20.1759402786629	-17.2190769248567	-10.5010645938103	-7.81349784159511	-7.60229706066979	13.8354358410895	7.81259564452566	13.8178020512168	-7.25722938256518	1.93291378496325	-0.211732922684424	-22.3115835620207	17.7397032504915	-15.4389952176143	6.46388893436814	-12.1096537069472	7.96159038308964	-2.21935686012673	-5.68454882103031	4.88901241870218	11.5446959447837	-0.0391486366505095	-4.41699159170043	-3.41561731612501	4.2367102228496	12.1541850476157	6.34309879445787	3.44021652376607	4.76396511057428	-0.609925879646134	-17.2432101326226	-0.227211215368426	8.59866182600935	5.13180485670771	-4.44816108048724	-3.84499782228757
"g5"	2.87200643397049	-15.326459559558	12.02464481452	6.50194883312658	17.9046416584905	2.41443107452916	-5.91560087369056	7.20101531822818	7.04648124789617	5.71299743056188	-4.20102295673375	-10.2073671617102	-11.2423642759346	19.6114109730925	17.6757724913535	-12.2872490980457	-4.82085180740833	-20.0277525414745	-14.1678361742024	-4.43258350931577	18.3799915044475	14.374983068513	-1.25386701446406	-7.68171012490305	-10.6084183800719	5.03370819314428	-7.43247173845004	4.83232173509804	4.15697875533713	-1.22900651059338	-7.17486931380724	-9.52556430063008	8.94426644517316	-10.4814268550554	7.25722347700172	-4.43238432687091	3.47131216586987	-1.19947580507854	-23.8244706151532	-2.38816278118007	8.00611802306186	-1.16811899424062	-1.37669535621301	-2.58442374105368	-2.98085538558718	0.0152407048345123	3.93505125925317	-0.277217906519549	17.5609406529212	1.30328434878791	6.73950065428062	7.71106395436727	-13.4751208262816	0.722996205176164	-12.0500906722254	8.49013444897298	-11.4300446761191	8.77329553077444	-24.1002075749801	8.96094385901124	-2.64401090355382	-9.79680805890059	-11.8793527001041	1.9758788714007	9.53323958006174	4.21618710427272	-7.01115742048952	-0.914792907604145	25.7656231850151	-2.01311698309559	2.61632989885242	-2.2437828652891	-21.7760861180976	5.37970399389573	-0.759789048044021	-5.15560372474117	3.15605905883901	5.16668054333059	-1.5819727045154	6.96330163412308	5.32653738729201	-0.737743277987512	11.0916082138339	-17.1497810567039	-13.7914423188132	-5.6302444997515	8.89177062864314	6.97647939641499	3.28537200248163	-4.84418570218964	-2.30559941021713	0.0192612934698947	-11.6261229827067	11.408643775773	0.985940778345468	-13.0829215912379	14.8693198246181	-10.6611131688445	-19.4396846003334	-18.2294706567268	-8.98442058106917	-9.08306636258103	-9.75352563349053	0.638473059213635	-0.310696710552382	-11.2669473724619	13.942973566862	-0.828991732748144	9.90003834730642	4.8952166923502	6.40051725179553	-9.04845109688189	8.41970257915783	-4.09701663406227
"g6"	-8.4842279107162	5.35078857037947	-1.68401795314947	-11.1905262239574	14.3817454165721	-5.11294985994906	21.5127422551731	-1.48002814372311	1.54652373846695	7.5393521255246	7.22916544214059	3.83047195288009	0.625743621381125	8.47865614179371	-6.82572231032602	-6.00473171994123	-1.694802183597	8.02942743309617	-8.20634088860364	-12.1066874002477	21.9529802096664	22.5994631358487	4.191810233233	-6.1166119481457	0.235504521480714	4.83005494987839	4.22841324758927	10.1635309674437	21.5886312845041	-0.279115430615394	6.08450173526599	-7.68509299236009	7.66658584389086	9.7650402902152	1.36041219070978	9.21003825632312	5.90143556824485	-10.1763121321503	10.7052267087278	0.693988211865001	-2.31465178518747	14.0036313720564	2.52963082253526	7.13245619714838	8.88666572369027	-0.727856969018685	0.363416615648813	-17.3340114338638	15.27318280213	-8.25935041016728	13.5435661767301	-23.9510242557174	-13.1211200529225	-1.96100132409486	-15.264848350023	-17.8529619778723	-9.27921939544003	-4.61362507861367	2.97078897609867	2.03390700485959	12.7595235300478	6.22597616847468	-4.97808416455843	-21.7796005971921	0.379163294809143	-13.7518552167935	-12.4915846211846	-6.4146547031885	-12.4281795795597	37.818592770947	-1.53483764661611	-7.60564212965968	-4.47710327078725	9.26177450596067	-4.49540165556411	2.43911808805034	-6.3576403507344	3.16362786298696	-5.66172235487999	-1.49845337682876	-4.66984068588871	2.35241405874933	4.88742260000807	0.926737979379406	5.75615785502055	-5.17071913738315	-0.545164887646083	-12.6417472470682	-5.64399910224364	16.0180360363944	6.40783322363087	-0.199503762267745	-11.1794399609546	7.99467209812308	-5.14273968668751	-2.8197720047135	-4.75280297333014	11.9792244158398	-13.9268409011279	0.9909080983753	5.76071860981353	10.4468222590547	-3.4572116703031	-12.7715439104902	5.82583309907636	2.16818691257475	8.00124937151716	4.4794411710743	-3.87558754002325	11.1812012041279	3.50693173370822	6.06689598366459	-24.6373602452664	7.92882939988697
"g7"	-5.95643773916313	-0.672530981047638	1.87078295912171	-1.67073807775109	11.9549400659243	-15.0302971204048	2.83247479160513	-8.63307510910027	5.50825072288311	-7.25435885264572	0.420818375419777	-6.38183205807608	-23.6855299064436	-10.5519752007031	2.03129682138673	2.63378756143625	-2.12820154570297	8.38095336962804	6.08636012201119	2.56235765307929	12.5595824298603	-0.341066141434227	-6.17000654648518	2.10285641572972	-3.33909169503311	13.0656100949948	20.5925043614911	-10.7077352439782	1.55570674976424	-2.67475878346824	-0.866399933653549	-14.1983694756073	-0.933371064471921	-4.87833705495192	21.677965421454	-1.00737470082273	8.82718856953265	9.88627136292624	10.4376867112591	4.67389568129965	-8.47951466662616	-11.9973713866065	-7.5710921449605	7.90386682005544	11.0455585807918	19.2185384969432	1.33578751953659	15.6809306128132	-7.36795316302642	-16.4916581756229	-8.35325362463525	22.2378190963342	8.22063048927663	1.88695161795464	-4.16492461030587	0.51453157701637	-4.45224636032789	-9.71439897373466	-5.41136395681137	-12.9862188810033	7.03546226107429	7.85096604720666	-0.988131243814432	1.01222177611608	7.75035219528848	-2.46332817867442	0.971781128604008	23.6023194437687	6.711637790501	-0.531304902942607	-17.7039796554598	11.0143550702226	6.3498857808754	3.80899848146172	-12.8581522912261	-3.27504149551344	4.38364384661274	18.6262109808906	-1.58193415541927	1.73552274411515	9.90863467164862	-5.3738500156922	16.9065362360234	-1.60850423133416	-14.9274234451157	1.88480544267166	4.3495744336307	1.46932969946024	4.36810329562852	-2.42079863529634	4.03276215938053	9.42161487434645	-15.3538663277664	-4.47186877499353	18.368968980557	-7.56020664319346	10.1292823507205	12.437158549962	-24.787983208549	2.47794264422411	-3.33261565533781	7.62158165967222	-8.69146138136358	-5.54409299460645	12.5866178111864	16.5869486363057	-5.10421966020837	-13.9240920322541	4.88782666463957	0.950906662645094	3.86024949522023	-7.79301628426213	-0.431761759903844	-3.67083167711632
"g8"	-11.7375056309746	-8.15235196580216	13.5330121893969	16.0277953625797	-13.3945360264221	-8.62246503915551	9.85576776924148	-16.781812422068	-9.88246329355646	4.95230954436966	13.9597503206634	12.7513400511069	-1.40915704491865	-15.531130546644	-8.28203139200954	2.86510354145727	0.837666148677237	-17.4777051464432	0.531537928854119	16.0261908042822	-10.6351457935014	9.95417337213181	-0.0703563491677074	-0.90822000485195	2.1538786700372	-6.54827599566614	0.321899541211534	2.5037251825715	10.3690166628914	-8.15690401721021	-18.8328798837593	9.60298913907359	0.799773291017589	16.2078556156994	-0.807091743988553	-0.549216629554663	14.9603250176351	-0.853940091138477	5.1731816009252	12.2871495022728	-10.977962551915	14.0089147941768	-2.68309550571996	-8.06924881381306	1.99255558032957	-2.07099375137715	12.888982953923	-4.54820722958241	5.83154296582598	-16.5125724063537	7.65193169749941	-0.987793354206056	-8.6195256517498	-14.2243969973806	4.60245305225783	19.9712977047758	6.51345978349116	3.68813358966412	-5.52083548158934	-2.53458606807627	-6.37506178566976	-12.2988783381068	20.3161805317161	-20.0222471621763	-2.92511818217728	2.07927918845278	12.1747366861554	16.1183470890709	-27.0180856770451	2.46952730706526	1.68389797750641	-3.79473933014334	-0.0152202989838822	6.04566367506776	11.0292765828962	4.82263940917711	-10.2673134828013	3.44532598289643	10.031712362444	-12.3936871709178	-3.93087086552162	9.83610318418795	-1.72535752899111	-13.1620623459331	0.323828162943921	-11.2945675548724	-12.2342504867879	13.2125540098716	-6.25349549535583	17.1747231089029	22.7712357586164	3.86646700648268	12.1729194724316	4.47754705490056	-12.6958543869097	-3.03644847178926	-1.33896488181879	-11.5717648661294	6.05313942487537	0.136163307030346	15.2518586557125	-1.08547509876216	-2.42745665754064	3.16869604862603	0.841766222348376	-3.13605158332332	7.01173522396768	8.01416264674553	12.8452185608214	8.30405354845699	8.73578823769823	-1.85675285107806	14.7391091097899	-4.48006224690588
"g9"	-9.24422963312435	-13.7606511096675	4.42950841263006	-12.0853462835283	-3.94587080116549	-11.7570045845329	0.724707045772719	9.69167310262083	-8.9795102167151	8.79374092264983	-8.72849918113742	-10.5797219705183	-0.542407117599471	-11.5298611560543	0.0388747691559065	-11.6219896912375	-14.2431377658212	-2.85815038641316	-9.72755686188436	15.0249707348102	-2.81357167467521	-8.26000116772041	-10.6941950871157	9.57156548363684	8.45962829316551	9.41295600821257	18.1254313526077	1.61700616012809	16.7483896789495	8.92485092483722	1.34343262922196	-1.10585353363995	-4.01619613413315	3.62516148882595	-7.43183971762718	1.55177230409386	-11.3168705929462	14.0699200243577	-15.5186999606321	-14.1631057707333	-6.65156621750908	1.26786520173471	2.70285713188659	-16.8667577679908	4.2241470047147	8.66768023471501	-4.26069074697609	-10.6048146227	-10.0427995204702	3.6629408881779	-1.29763859787419	16.2329434363421	15.0520533341816	-3.53971848697679	8.2312808111277	-20.919858142155	6.70407950501739	-15.9810866242167	-2.72676708700173	16.0960609123821	13.5346978109912	-15.9931651872643	-2.37735848594598	8.08472605629115	1.93345336365831	-2.76843158103039	2.88799892652642	-8.38865563144781	4.20915008019576	-3.43575316515572	-7.72921026088379	-0.261733720994011	-5.16728614230281	5.25732524507144	18.6826345816127	8.81386150897757	11.1487986959378	2.63286304886593	0.289216334453362	-3.0012234143252	6.10347708033394	-7.22466500572982	-10.1556119807086	-8.39872696171109	15.0464345165791	2.49935971299348	4.28153244447442	-14.7677956471645	2.15733600305358	-3.1571203004342	14.1965397590208	7.09503345436114	-9.26070576841321	17.8226095532075	-1.53497948519578	8.17534373199821	-7.02708354171246	-3.8378314971387	12.3245454039908	9.87212979123572	8.20615053773092	19.0499086030418	-12.1391165493004	-23.481488556307	6.17270270017772	10.3699074574963	0.54549362408802	0.675573088860062	2.29744503508451	4.09908430436782	-4.64276180317344	-10.3544233164616	7.41537581812856	-10.4694068170668
"g10"	3.82926233430536	-8.5844477327552	-4.07915456665266	-0.67726165467185	2.97537114775833	-0.229376724109472	8.9545696012686	12.199421473085	7.19051712067819	12.4536605477722	5.21206836057019	-10.484110404014	-7.58371573815209	-14.6774204913874	0.236747484212717	14.1895127784497	0.657486517894345	-5.06612623950955	-7.19485994564024	9.80087076467748	10.8384484968154	-2.00311602279719	1.04952482804403	4.12606912910516	7.54005815990859	6.81727811906654	4.47246061266313	-4.65298480299093	-11.2869478222167	13.7515218341838	-15.971558988512	2.37351619922375	-0.679787716638523	-8.36604855755335	-1.4955685808715	-17.5986574283134	3.96146576010497	-14.7263880572742	7.78235664762809	12.8888332867864	-7.99060527794849	8.56337261024854	-2.83514643250117	-4.24446882209329	-2.09513060583408	14.7353287758459	13.4540029079777	-6.43730447123166	10.0448618475433	3.67066511600988	14.2302534323812	8.17983568205048	3.38223833331169	-12.3059188813062	0.0214237188287355	-1.90386145055996	5.54387125990434	4.36691926643853	-3.22890317419014	3.42350872806753	5.28565139480964	-2.47387411785633	-11.4258422445677	-13.000489979309	13.2746690021022	-14.224320752133	3.9166822221374	9.78452044752586	0.243777520863027	0.252881935478247	4.67923917234248	-14.8441027074861	-0.0173497188538742	13.7218363532769	4.79044545998826	-9.55806220356014	-13.0299989725543	-11.7158247044418	-10.0666671721373	18.7733914393094	7.61833701995947	-21.9578691760513	-3.1639492386626	-1.84807173396597	-0.822904884328606	-5.46434873177931	19.4957622059999	0.406297965225549	3.76332494841554	23.1900607131652	6.75114048579103	2.14668971193021	-22.1045926464695	-0.283859252708272	1.20564683373233	-2.09260822527404	-21.0502216315622	9.21076666374896	-4.6789572378726	-7.10738398801069	-3.67333515931283	-6.54895450802494	15.8666378199056	15.5839915026824	-5.29101170472163	11.2064950677566	9.76553678133977	-2.33077142830251	-2.11154057811108	32.7400932782918	-11.8439236848022	5.23157398046467	-27.5968763060553	-4.14220901446294
