"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"
"g1"	-9.10729709416857	-14.9301274751928	5.39222932623433	-2.96252000157033	9.00598489197745	2.02061543088871	20.4345958316495	-0.450258009331222	11.6929207439229	21.210798607733
"g2"	-7.09381947590515	4.53295228412273	2.46659880260844	14.2703066448929	-16.865006991431	5.90925918315716	-30.8865318410528	12.6528531781568	24.8772345361704	5.00314211864695
"g3"	-6.12040811436678	-10.9046696765679	-21.2548611369068	12.0437104259915	-5.69544155221366	-8.51973703703995	-9.66780972037909	-15.1839907617719	-3.15336951724198	4.7314032500347
"g4"	-2.08954797739434	1.62342039257731	4.17117128745156	-14.6502474483682	-7.23989321469313	3.37339755588466	-7.30587387410163	7.99316633582367	12.2787264754799	-12.2135373284737
"g5"	-1.38967052952935	-4.31410656188819	-7.76417088839119	11.068427137273	8.7079803376646	-6.58724238917922	2.07504151851337	13.4188737742408	8.70267288882699	-30.5547535664953
"g6"	-13.2502466979795	-2.08311482023602	2.69929363071044	-7.76310107147979	-11.723679422639	-8.10287210616952	8.98712192468589	10.5599530752207	1.0357912144087	-11.6734640109422
"g7"	-4.92763773433675	7.44462823466722	-5.19067579119806	1.01463920493734	-6.10181617153518	6.88063168555613	-7.37852472221303	-4.68528382170923	-13.8293161739616	9.69947718539686
"g8"	-3.48187990459464	5.58994083415174	10.1885422566551	-0.731195219160342	-4.06157059970918	-0.387358387129473	3.18355871827828	5.91462001581388	-4.33431813068975	21.1770242332626
"g9"	0.632166310432076	-3.19615210781147	0.155428172577277	13.5760962989619	10.6430028987306	-3.82044733870767	5.61325169817545	5.14963502490741	-3.35093561525508	6.87244908819198
"g10"	0.405577512825867	4.66745517358839	-1.78082018007033	1.64322143533412	-6.02616628580639	-10.8481649685168	-5.06098636643222	-10.765202487786	1.51392682098724	14.6344010298704
"g11"	-4.96761275891938	4.32603708033727	3.37452302940557	-6.43884679133858	-4.55327272271764	-0.154050933573317	-0.372302616836443	10.0566056185145	10.4504566195461	-8.94175758396626
"g12"	-0.161390447755405	-1.57415751044037	21.429604732962	-3.04337355188752	1.7493141480461	-14.4984964113372	-4.71800552108559	13.9560344559188	-14.8241848055818	4.00138302353551
"g13"	-6.94880822146209	1.11450167308165	-18.0983413087721	1.76265993402517	7.4309477680422	-4.09735700460036	7.09810005539617	4.69118900656274	-0.372175162539701	10.479228002378
"g14"	-3.57977485859815	-6.97127809340231	9.55576218267744	7.23241483397373	-18.0482301549557	-3.45847271979357	-6.84519952704727	-14.1993260719072	-3.29661828350525	3.43703071329149
