"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"ctrl 41"	"ctrl 42"	"ctrl 43"	"ctrl 44"	"ctrl 45"	"ctrl 46"	"ctrl 47"	"ctrl 48"	"ctrl 49"	"ctrl 50"	"ctrl 51"	"ctrl 52"	"ctrl 53"	"ctrl 54"	"ctrl 55"	"ctrl 56"	"ctrl 57"	"ctrl 58"	"ctrl 59"	"ctrl 60"	"ctrl 61"	"ctrl 62"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"	"case 41"	"case 42"	"case 43"	"case 44"	"case 45"	"case 46"	"case 47"	"case 48"	"case 49"	"case 50"	"case 51"	"case 52"	"case 53"	"case 54"	"case 55"	"case 56"	"case 57"	"case 58"	"case 59"	"case 60"	"case 61"	"case 62"
"g1"	1.19837944017095	3.76272066168711	-0.493718203196735	0.831412303331238	-5.60176383694348	-4.77291010744813	2.45018209644271	-29.6722273686489	12.4985314549765	0.368551563011944	6.61368477683021	6.23460476802619	7.19352649257875	-16.6087268674614	-0.409337227810004	0.484935760036606	18.7947705802163	-32.6101863737021	9.11223961031692	3.97176756150774	5.40817425975657	-1.12569930849539	-0.0471461910522433	12.7020819538491	3.39401323874024	16.4781003902829	0.86486393532013	-6.50257916577097	5.11169341936065	6.08140558645525	-4.63377497046726	7.22093348676669	0.793110619116835	-0.950754701760037	-6.01383340241112	-0.135097628539744	10.9750167328945	-7.97059363178171	-1.94687850135582	-10.657131944908	-4.37142926315999	-11.036677816091	4.39292062705374	3.81043442106156	-3.54045620616311	5.73241797582145	11.2181417145159	-23.3123158312566	-14.6815333012862	-7.32456732757724	-14.4828087235563	-19.9877939780245	-11.2052725299369	0.578334698258239	-6.55865297511753	9.02547317990408	10.0713827599373	0.485633041511226	-13.031549586376	-17.4317251963182	0.384739972300914	-18.0983216789004	-5.43387907175337	-10.7946177212222	15.4642487237592	-5.37767549472039	-2.72344659121756	-0.397856237239675	13.9067291467343	5.57381124659429	7.72006929893356	20.586931207899	8.81483300534048	11.1785895108099	-13.5503434079985	2.34255371631116	-5.15355408489723	-15.8898084562195	1.18140636858566	-14.5703026709902	11.434329640054	7.39646028343059	-3.72883845504315	4.31901412445508	-4.47607973498992	9.32760893373508	-0.612180237457523	-4.6663222917611	-8.11612205739242	-4.9885816249098	-5.9635739963984	-4.50650691424849	-11.5800487407106	22.9659679920925	22.6385327045306	-5.11809295632165	-15.0091801058678	8.57833368440683	-9.39801610632917	-4.36075247865777	4.22857687436356	-8.4567789034188	8.36826927726557	-5.26512063891665	2.85002203424016	-5.67092653990722	-0.0913263430852106	-6.23392493610909	-8.29349363900547	5.29360150139804	-3.79974541587749	1.64054628619683	9.59106431144271	0.868248677962306	23.4599962810104	10.6564125541392	15.9025498712724	6.6926253424114	-11.9213165429294	-5.49594667188526	-3.49595594464623	-6.24229126149472	-10.1373159941172	7.57946047185066
"g2"	12.0410134279285	-4.92407405414533	-0.329994793398791	-7.49769766951709	-1.60217605695547	1.01921684793331	8.25666746119674	10.75493303516	3.7071308472404	-5.30316107512336	-11.9308877525968	-8.55391769242845	14.1844505096307	2.33637860577659	-5.91824990124374	0.246939374687804	-7.07175054050718	-8.55218611823381	12.528437021176	13.2417998322943	2.14875460357394	-1.68002675424456	-2.74667900505785	6.21779229841946	-17.6891117206249	7.56892310417653	15.1752402462617	1.38863272281913	-5.90818956838377	-10.3984265940443	9.27407604606094	11.2760948098682	17.3346909547919	-19.0108578426532	2.20823416491359	7.27970423687811	-9.32405435018163	12.7048752327621	8.76259478351944	9.62935591349804	-7.18720478322005	12.660565155513	15.7352052952852	-0.196618825476201	1.25184217415807	10.4812648577441	3.43180806433701	11.6087494137103	-4.94362536479128	12.3135085471437	-13.9017668299053	-0.609693199066432	-13.1496945242856	-10.0001311704159	0.597115208058801	-0.430647401504647	1.04142890924088	6.16307230917731	-2.53617637369949	22.9586385648547	-4.97471928762172	7.1622037241561	8.30401726715068	5.36837090465735	11.0447640201999	10.6020214447369	8.73559816146821	-5.5824392627319	8.60168174756627	2.79379169809701	3.88904822770299	-11.8451159038569	-14.3262201548267	-8.36691998337314	-5.96280676362916	9.59248668539547	-19.7218170260129	-24.3185552723189	16.2125397017508	6.93477739019593	5.71694541668072	15.8073154783199	-0.180504077888546	4.32127254397287	-8.82368278279239	17.219664134977	1.11096250485351	8.27772128326941	11.3862664060283	-2.46479491272315	4.1140529326864	-0.745385607642404	7.64044832947388	16.5632429211698	-0.0277416908109261	10.4833032827996	-6.02130425918574	-7.25938984483602	-2.67288028302632	5.04067647793025	-4.58458494063227	-8.6365573083417	-1.79974704731651	-2.16378949411951	4.3609510700118	0.888599423077088	8.00720961022302	-13.4388809826382	-14.05592331029	15.1772983063216	-13.2329443667323	0.792772939381268	-8.13802636678044	8.86483545175361	-7.79178905446085	-5.00685689199066	-9.61285726670252	-10.0297910488034	-3.13571236603279	-9.42949743387307	-1.75242372079938	-21.8009223066795	-0.113285097590935	-3.79028148622525
"g3"	-5.05131231860737	4.40907610336203	-12.632510856205	-11.5628040283053	6.55527486793691	-0.356618714368224	1.44728111108253	22.0828853988238	7.20360684826266	0.00524891643376698	2.1335487921388	6.52283322936524	4.8631108459621	3.0587239338147	8.15544167055221	3.93234724118334	3.29395731195441	5.10187543717161	8.58366519719785	-16.4346030932354	-12.0859161352935	-1.36865860596661	2.04948973588893	0.0932167151820235	3.34725135360416	0.12577625587075	-12.6636167919777	18.4502652628122	6.3063215126851	10.7050030652205	0.225858273063813	8.90863615179046	-3.01642135006539	10.2063939043416	9.4075167926962	-1.74090883854323	-1.85313229114465	7.62787401207614	-3.16847582081257	3.54663354721002	-6.52272899585515	-28.7747023294442	-4.01084181447382	12.3133638296627	4.37164951176124	-14.3512164804235	9.83486431843199	-4.44981616852174	-14.4261202675747	18.8932408258124	5.63398990108405	-6.73858150666445	6.7003526811011	18.4868382504584	-0.202177829099926	-0.781891781369864	-24.8233570961161	-10.8632505981844	-11.7564162207221	3.53164950750528	-10.2290497498471	-1.36995914766914	-0.804816959732949	15.540412196797	6.69784419725774	15.9650666978543	-3.04071448058271	-10.0198698595519	-4.99980219251185	-5.10709995945635	9.9124681253577	11.5989773681397	-0.475025168463376	-2.72798832275052	-20.8287739776152	-2.78578090114593	-3.47156519486779	0.773331257360328	4.33810981384079	10.991997696579	-16.8766430794311	17.9816570531307	4.30969562984992	-6.84852385254856	12.3726347357216	-25.0442942856188	-12.2243186592129	24.7591434561131	7.78096144487494	2.62265341139747	-14.2379527383081	5.99274869150555	-10.6198362142955	-11.4258953754966	24.888612760744	-8.09488695364824	-5.17358261349423	17.128855983925	2.76652680483865	7.33366132893109	-8.99285454377297	6.15349326072424	6.05105583585022	6.33409576562059	-5.80503351750989	-13.3973538924049	-1.84145960779601	-15.5753028269856	-4.53652081684437	-2.21308775856844	3.30512549694778	0.152925897539256	1.83513718154079	10.82024959658	5.14860187123478	2.47597586330376	4.17639111055283	3.90537569081157	5.69906366537394	1.89504210048648	-10.7666760663939	0.0869810271921709	-1.23942644811434	3.76808639878232
"g4"	-7.28799268583388	-3.12689578031841	0.481299622107681	6.70343933888549	19.8599897222386	-2.11761655197407	1.97265294355152	3.42654787858423	8.69493651462359	-16.1553120547136	3.57051889710767	-13.0798114826083	-5.70148677160249	6.47729579321833	-5.44585007823674	1.31862458479464	-1.63849347697229	-3.8443616976878	7.90590357243279	14.2091623697764	8.64960947011556	2.88444554374694	21.6243661817797	-8.05647889202461	7.87881946956988	-18.9974228057025	10.8972063382936	9.23086231862838	-1.41378329120769	-6.39946527311233	0.48467189223322	6.44378604680757	12.5239919090227	-4.8602050775076	11.1041111422015	-15.5267891091724	7.61226640871565	0.707504780140605	2.62619527169061	7.61518513401366	14.0506392135203	-12.973989144674	10.021378293256	5.1697963290207	-3.89927781962073	-14.1276218202844	0.801404602951045	0.294597900632558	5.92715904676759	-18.6427969847055	-0.583812989408094	-5.49704195880624	-23.2747430363654	0.904250560476251	-1.57952066452351	-13.6759567376913	0.454113798611475	7.54264042574776	7.00812339251045	-1.78882402061822	1.47491950057716	12.9200163160836	2.58174544342872	0.707226682538234	2.11837359998899	2.95074307654355	12.7099658874023	-0.329150221508824	4.31804166749464	-8.06741995490369	-2.86779824443203	-13.4623629529794	-5.19988574869223	7.28791181869139	-11.5754475859554	-6.70175650231194	8.39621689056442	10.3833185503155	0.702638414271209	7.167741534682	14.5425589557554	5.07958831560428	-7.22573772127324	21.7068087370983	5.73446323663155	-7.63205496696835	13.4930085157007	-7.92011333401009	-11.5165961650639	-2.47944188707584	-2.92345647948896	-1.38553892667933	-0.613046504232993	-0.669814849907489	7.47696599116971	3.84576141892232	-0.699465567022045	3.8424004647116	-0.782948164770617	6.65218918056423	21.0397856276808	10.5660275496094	-3.66288943217565	-2.28808199169325	-5.15929026231679	-10.4265582876427	6.72560980145839	-1.3712206609295	2.81676038429743	12.7944834267772	-2.65293148737121	-13.3312376341142	12.1651521025061	4.81817095669769	6.9853612043842	7.67881536836384	19.8564598012022	15.3078723861016	-31.3535855624901	-3.4074949159137	15.8254268986141	13.4724810593118	11.1431474436511	2.93780021265167
"g5"	-7.09751538044617	-6.44483005207931	7.45056321866641	2.66354268692941	-21.8689453587388	6.95720460040487	-4.65793115749017	2.47200467293264	3.98274594684326	-8.14804109021389	-24.0313372100972	4.69653398542017	3.33479924199843	9.16370350864899	-2.4420055002622	2.88373908591431	-4.85350481830464	3.82633005477598	-17.5083528661722	-11.7659255266687	-18.0152493088546	-13.2419954152757	7.96934969267464	-21.2008802445803	-0.633941496158369	-11.2074067133866	5.23894789389817	16.8536793924904	-7.83257242395334	10.3168273328068	0.925558963728025	-6.40047380715072	-0.869772048494023	-7.31503954160399	8.00925299734543	22.6946600176352	16.7761120696927	-6.84007212775735	15.006240431747	-13.1045599563682	5.15305619214296	1.10319309345682	11.5802817133363	7.99157745756866	13.9932251492868	23.8840029625353	15.2141911168927	-6.35501835551152	14.6401707716466	-19.345082129162	-1.32890177229146	9.61687513938725	3.51114226726398	0.827997741931321	15.2980743163073	27.1685666119874	18.0626473857778	-6.8011919953908	12.3109791109128	2.68044212366482	-10.360500582631	3.18896237041107	3.24257958846031	4.17654717366966	4.12477403494977	-23.3772155336439	0.13764761196016	-5.34561870480123	13.7604558951944	11.698843783592	-0.380330195751171	-11.5256599891725	-20.5261804096459	-10.6794179493655	19.0586267050858	-8.05648008488352	41.2869953493892	-0.209139922740176	8.84199498603515	-0.36356746185801	-10.5882131782544	-4.81031249647451	3.11139809255489	-12.1798477527885	-13.8057086144074	-10.4239147330032	-9.29800451330824	15.758086550652	5.07742103669501	0.828087218205888	5.75862519601412	1.40208767872912	-15.6757687570473	-0.781975017670831	7.67436150062658	-2.40432781950032	-4.49510448889946	-1.49832191982217	1.50710410000353	-14.3909018180018	5.57879688369658	7.24191743916462	-0.50546657833079	-7.19049950817906	-0.800452202767776	-15.5081033177789	-11.4874742479506	-0.412665343632691	5.61099661990656	-6.82790902864269	-8.84191843026388	7.28283357853553	-3.42897898494804	-14.4398263517509	-7.50134372009484	3.16526378883128	-6.46164430157251	7.12939406491259	3.66445072938272	-10.2141928696506	1.62997019800303	32.9508684627041	-8.29860401200453	-5.76346006730924
"g6"	-8.89726687595655	7.23377720491403	-10.6770518611447	17.7513317278282	-7.04267136610487	-2.93548093051639	3.99930632201226	-2.8287705885357	1.76263701412774	4.9497372410076	-4.34767803589814	4.24475448007608	-1.34731899649587	12.8863237959656	2.78860213032189	3.03827630996377	3.76528540808397	-7.87803449953184	-13.4730402397554	-1.25696152023179	0.757246822126424	-3.48676652513977	3.536242893391	14.9429641860889	-2.33565401443864	11.9659466591948	-8.23154711296591	-9.18695539186849	-14.0012500468927	-1.81477328820049	16.7158528247008	-4.31514935599026	-15.4190477635828	-11.2795686588403	-4.7300832369284	4.81682102943265	-8.15109668354567	0.739415130580001	-9.5055494760758	-0.601983351285197	8.58882977206904	6.98157444288805	2.53713044475348	-2.94367435967947	16.0996385312831	-10.8909885872134	8.41401051439861	-15.7032432726939	-2.0259282362602	-8.98440247326378	3.12351440036379	16.9775035634772	-15.2957258455182	-11.678064418777	-2.46781373717791	-10.8655702825634	11.4172370885189	4.27114700733452	-9.82934005351671	1.91071212579017	20.6908715305879	6.30586295362385	0.626929780270027	2.50076367044734	5.64152670974055	6.22389753201249	3.65284068965354	8.82999871193032	-16.1503893086414	-4.91057373901548	6.41235481603488	-15.3700430712853	-6.47734009606867	4.81669065050285	6.34883074880417	-4.06453190096452	-4.05762304513513	10.1283441451383	7.34140981000202	3.782785511024	-19.5926749570362	4.78966751431082	11.5125880532278	6.47035793213166	-18.4619233080749	-1.6596667584285	7.777452763379	21.7150351319092	1.11282085341099	-10.3885763303158	3.2173675404556	-1.32597708060062	-18.1418168823431	-2.89414652401475	-12.4338279848226	-14.7091017524622	8.38490912070493	-3.70639779986842	5.73231464130422	6.62750782678888	6.57334672876126	5.72420190018196	5.9497973603941	10.4563358577622	-0.71916585295473	-0.0422284565612551	-10.004683267408	15.9398697406817	2.12210494749759	-1.618858182091	-16.6828614756391	-6.13341455935501	-9.64587044133888	-1.63962762139416	-1.64237005511621	-4.00715400999352	-0.560553054051461	5.13536912017049	-0.495980462170192	-2.27502247448106	-4.28648193867894	10.4748479587298	29.2971118504843	15.7892390785151
"g7"	-6.02089030494862	-3.33370742944901	1.14038714595886	0.355861739262694	-5.58583834057657	-0.0464020346303663	4.60242249827183	8.30317962690211	-0.655473086388778	21.9386048004967	10.9399241972853	-0.261038406429118	3.28863406790468	1.81117502926359	5.69912599754968	3.76159169152581	-4.30446453144793	-1.45439968935746	-13.7421349472214	-6.31248034201018	10.1208597922491	-18.4502273884176	9.8426174238365	-7.12603379533474	-5.98843789805069	5.59757265118475	21.0219371617108	10.2964220972398	-10.91037938134	-6.67657997028714	26.8090503533327	-2.70842245135071	3.07330863490957	7.73625376899521	11.680913533993	-4.75349867407628	-8.11774304221536	-4.07557901676573	-19.1678734525003	-5.38513501775309	7.79172451180929	12.6693574553931	2.55547035616703	-11.3027923739592	-15.0855925625764	-6.82717834105378	7.35410207120915	8.32494202504885	-2.45086962571003	0.868214787987547	0.455981776422642	-5.94888383417217	-6.38786457605193	-10.904300908133	-23.5155976544158	3.59419247595677	-3.89791829897205	16.8890171542041	4.44200979526078	2.00790060997801	0.963157289110858	-2.25927923922714	12.5093695200095	5.15084976403853	-1.68653970625726	-5.79427446124384	-17.5804627606792	7.82742302509345	15.0949965621833	-3.02196407123504	-12.7597281036291	3.6882013251729	2.78391747500958	-12.844253041087	7.72473278683	2.84232583278614	2.29466156938161	18.8916124220888	-15.0984572630061	-0.0431592996955838	-2.82599066024255	-4.38905536892035	-8.68491079304213	7.01796744329434	1.04532208850383	-9.06075499372344	0.397096499704958	3.92381142282307	2.77821859296349	12.3015822079284	19.0364064779756	6.47415492046943	0.175146723249799	8.49573095907088	1.52917455395646	-6.35933218874341	-1.87106291082763	-4.69949020907077	-1.35331802748591	-3.29991229075234	-2.35713070227986	-11.9142214185855	-14.4958035164287	-4.34378938671801	-2.51536982397167	-6.5234697896892	3.82583396220778	5.96168426882651	6.65172545267446	-2.07018147233472	16.5859207757604	3.02927940851977	4.98721222090172	-7.16267733007091	12.6130441276563	-7.56992729706066	10.5037910323764	14.5452607221128	1.23362248308103	-5.03640270059076	-8.64509724534946	-8.26932214421456	-5.2618831209501	5.11157941135194
"g8"	-15.0517430181475	0.150058973026099	-3.14221292465683	-4.63379540369458	3.52947347507293	-1.39082742875577	-3.10503968141422	2.26497891688491	14.3029012641668	-2.22605227141671	20.5323875625197	-22.4433719491708	-10.3266258505315	-11.6007178997808	5.88147978948924	3.58890684556699	9.78440049059402	10.929670774341	-9.80753431925038	-17.1851074108779	-0.523987306130222	-7.0144274675603	-23.141479144585	5.6303316115565	-11.2563611033085	4.53309683250764	14.6672100795074	-15.5697354918496	6.60129117396885	-8.68365595072886	24.2644218520466	11.9701341223935	-3.81894426273086	-17.2855361514835	7.39797780195938	-2.83201993340076	-0.486492352433507	17.0459925594485	-12.1154991721723	19.1675504832725	7.34761115892523	-1.19998632314993	11.7044757458094	0.816143661235189	5.5086427196549	0.905556901567644	-7.73141611457304	8.01503834146975	-1.23761220399696	2.66802884128675	12.7332148745965	-11.4546523087615	11.1242213545417	-12.6621655072111	-15.1564117394633	21.9598915803438	-17.4670775644024	-6.58047809049271	9.61664141108828	-5.07219647567887	-15.1102176243739	11.5364146178862	9.72758311324385	-14.3322591337751	5.14109312022512	8.03076821155224	-0.803021935102219	-9.44228174416486	-9.16427369093927	-7.09017249962307	12.8342957102665	-18.5923994360421	1.83650920016566	15.5848767111779	0.651000155485359	-9.46980372461601	-9.02817356822587	-8.09532848109486	0.34172897148254	-0.761535018058489	-20.8426422061816	17.3787102488588	5.26034089624411	3.29819803310445	-0.874594015287941	3.21020865444561	1.60474654923122	-11.3727477431364	11.543615979793	8.30904255296524	-11.9100830162274	-8.55103665155222	0.885093352960447	8.67505416806634	-16.7572492142147	4.60598376594143	9.12117819815159	11.9009169594144	-1.65055134134203	8.2078177823842	-0.65094649551241	-0.0443272891806138	0.397181075214714	8.59766328725141	-3.41179754010896	-9.47880821197854	0.30361999730036	-30.9516264265335	6.1906545109776	-0.764115387478242	-13.0256362183411	-17.7824273567207	-26.2865489018029	8.03650436933618	-8.82036314623869	0.0444917517509134	-5.41258313509599	10.8077739872149	-4.28583902576265	5.7664458825974	-0.915368209229683	-16.6329206948594	-6.24340514595964	7.71213623709155
"g9"	-11.5011001360528	-9.12168448807414	-5.38250963571008	2.05565467738632	-10.3426239200375	6.85827544900451	-3.80093827352563	4.83775171227072	8.37667039386076	16.8529473116066	18.3826679788615	-7.4209942529369	3.17619172063986	4.76792663878607	-9.27459774016693	6.38201105532834	-2.59024332812151	-5.47508883231521	-17.9047345438981	-9.41630144322696	0.61259943299427	13.8680772231609	15.4280355698005	13.7313353834923	6.01596133972324	-0.608170326746813	8.2097332330207	-2.61150308865277	1.57506248883237	-8.74316775716464	21.0928855782804	-12.0544412104593	-8.56173841166826	11.4397928055633	0.707363157213127	-4.37143058219297	4.13494997655716	3.34307199208068	14.5583821231445	3.19243805870635	3.34610415857644	-3.30318567121175	-17.9270663721714	-7.76885384913105	8.72377772856643	12.6975032060907	-8.10166096786759	-3.10402377852154	-18.1762556165475	-7.18429620777746	4.40272486233123	4.38443151519076	5.88226630928666	20.1447763673934	-0.233842301300679	-7.82860399881845	-14.4474960988294	7.1507124771744	-4.35810702960147	0.658487169437832	3.4080528448438	14.7678545468822	-12.9717525244806	-5.93957538726097	-13.3039311532921	-21.6983237519566	3.9882999263522	1.75305731214922	-10.8732621485626	-2.3381055216699	-21.3414398392475	31.2602070943281	-13.7727531631587	0.166894875866861	9.63996348165839	6.89897356171913	5.96857865540126	-11.8833132677529	-0.00364311328357899	14.5019416219474	-17.9466007707307	-1.23838658163035	-9.37678905923403	10.5862072878953	-9.34644921102414	-15.5135565913983	-0.140251987505516	11.6505665423569	-1.10641969528645	10.7861195257668	-2.36348124630542	-4.59376782092098	7.42607908882103	25.0263154239075	9.04585209061865	-6.92256683872195	-12.6183482217224	-6.85616965583973	-4.44247223232872	16.2349876631488	16.7963308616526	-3.87638550817037	10.0186234446583	0.235609865601688	-15.259024380765	7.23330524307593	-6.01545038760865	-5.66665076347108	10.641970099139	4.21614267707776	18.796776679115	8.3043448413898	-7.62926045706243	-8.72908390002151	1.42090375538647	4.60803948859612	-2.75540403884449	6.70470881804216	-34.9511283029355	11.1496464545894	-13.4139134052394	27.120916018452	-1.35913139439469	-17.6375657656576
"g10"	4.33006213191967	1.50464579150562	-1.68240501481791	-4.11623847691543	-5.20375693280783	13.8682544566518	1.33978882018903	-15.7100052255432	-15.4694282485922	-8.08007221235667	18.0870561292074	-5.13564312135658	-15.4674468343806	0.789558820420841	-1.82986933772765	-7.01019796488733	-0.923100436309637	-17.7382208927232	-7.57086020726417	-8.18387425439621	-4.76154966473016	2.70957253539649	18.0095301237674	-10.955615778468	-1.44865582155468	13.2527503797657	8.02444588787319	5.40926330459461	-13.316937403129	-2.43455347299142	-8.91418429183615	1.88890168758103	-4.45549706164687	0.910156577797374	-8.74493768643748	2.92829453598636	10.8015988086199	-1.5641219403758	-16.9562356930292	7.89695103540393	2.35639447908771	1.28673740904352	4.66034954615724	-6.9873542221682	18.1952323885359	20.5565927456959	1.91958747104531	-1.31257077302828	4.20238399425184	-11.32322652277	5.10096017770305	-3.76918108945541	1.16536521331446	3.63926202616879	5.53767907955403	3.86002209318425	-17.1932103142768	7.96068815168193	3.91062719983423	-7.69927999535502	-6.14935106530311	7.32361924134776	-1.4139826879677	-7.74553751954423	13.5959795289672	19.4772608077985	3.48364491607393	-13.2755711801747	-10.0767445367378	8.20796552115057	18.1972368776278	3.50168219274394	-12.0116195740836	-1.13617286020586	-2.0864608278108	-6.43738788018409	-4.68988483372804	-2.3243670995371	-2.18982545696369	-10.3799091144725	-4.15935883151802	12.1225743791708	-5.69398264141687	-8.03918135217434	-0.0480224818399551	-0.518044020225886	-0.141306290674086	25.5641975758184	-9.89401910056259	-10.9762868373686	19.9068000112308	-14.1355455944963	4.27847535882122	1.67044424593919	-5.79967788019006	-4.83894468369199	-2.53958630412808	7.16167033753854	14.8927652504217	5.96082283230244	1.02257581244392	4.64035290421912	0.0261674143887589	-0.910010356704132	-13.1885728288201	-19.6314141128867	1.47509136016326	0.904043946597948	-2.95839595685084	-9.55351464918099	2.42120019779169	20.2274551911937	-3.91369854097661	5.74000745607383	0.28660908222556	-3.73037347790333	-1.2611801399272	11.3367697054128	-0.699517838816657	30.4684509017651	12.0153135630587	0.392835205283645	5.64165145582562	16.2536785241341
