"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"ctrl 41"	"ctrl 42"	"ctrl 43"	"ctrl 44"	"ctrl 45"	"ctrl 46"	"ctrl 47"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"	"case 41"	"case 42"	"case 43"	"case 44"	"case 45"	"case 46"	"case 47"
"g1"	29.6221325402559	-2.19877776743747	-0.497166806227351	-6.5097632517678	-0.0810616513422264	1.72272051449029	-10.1668738327	1.88221670017709	14.8344317088977	9.2204371972958	23.7516336987154	-11.8013261501769	-19.8103957113971	8.0734017844724	-19.0761799849331	11.0251345907713	-5.48703425269161	14.0660138398412	-12.9263596439539	-7.92650669231463	13.7660437278101	-4.16988894213895	5.21067649135477	3.72778615889459	-9.00746526137892	-24.9056065422534	-5.31123968012897	1.80386075170627	3.92276282749806	-11.0086962135778	-8.96787299765645	5.58421649428773	-6.2710727117385	9.0514510711324	2.03154558210995	-4.32680311603728	-4.72000215751829	20.0816736241065	-20.5695834300063	3.12778516613476	-9.74031105335609	9.24498226972237	-8.21332290074807	-12.3878635568495	-0.552165402307373	-8.81938707820504	-3.74599575354235	-1.82075277420839	-10.4376499521708	-19.0064374421514	-1.46134020614552	-10.51611776137	-16.356061931854	8.45073299038299	-0.404002347237978	11.4983889269247	-22.9342351551577	11.5513951103486	6.59363142713388	-9.06068578696643	3.58205339224866	12.5013014644438	-6.62040076804278	17.7798974608225	-15.9139953523669	-16.923779507983	-3.72108164453425	-9.24251551251791	8.77325349424747	5.28615306954065	1.98634239904903	28.114436976698	15.8334182831555	-13.4705396492448	-9.59069342254326	7.73951448153267	0.818940922102677	3.62249549930043	-1.15757596934138	0.151962291382967	-1.27624950783568	4.47180883440216	-12.3689963556993	1.63912262779128	-1.95673347341345	-0.225224520291994	-0.254582316954672	1.03069164463757	-11.530797368156	-7.30695531510939	-8.1278825869849	1.866635618221	16.7649145800997	3.58017789370823
"g2"	-8.2584167318131	-5.40380492218609	17.2807553842024	19.1387264102855	17.4575418381616	-15.7926071339689	-14.2583209674235	7.99240121383273	0.010683453483839	8.35165131465011	10.4312622761329	-3.85123237513792	4.0487613903184	12.4472571269306	-8.83529881816967	-6.38611555720756	17.6857189585427	13.319554725458	16.0816813942952	-3.97149336623962	13.9079238970278	-5.23199923938053	12.6045000240009	13.8354403485537	17.1585523363178	-5.36602240842678	-3.92366481329857	6.92080441158894	-5.41886228002558	16.9223184689782	10.9259058887739	3.21380811675178	-6.42179255028217	-5.52566308730176	-5.96058740921818	2.30099256736996	-2.28767787525253	-6.17432127088196	10.6536657218598	0.911868040510824	-16.3715547174975	10.9093118603898	2.76235701484426	-6.83542775565664	-14.6708278003628	16.0775919285936	-3.13460171276291	8.00412038218442	-2.82389256288474	-7.02327308965788	4.90603849200896	9.08376708413493	-21.4689409502617	-11.0493903501113	5.32674776704342	-17.6961385369089	4.48237176740191	-7.40709877478526	-4.78274700259117	-14.7510439933929	-2.57490120012795	-1.21432327693936	8.59827904928405	6.1187507998847	-3.07905818887161	14.7593948998833	18.2971859646787	3.0430850808827	2.5766262325439	-12.0340176085151	-11.4657793830776	-5.94136485966735	-7.00027204316912	-3.99787105728201	0.296788278796326	-2.73879828957684	-8.32955496163673	-17.9481208923745	-10.6371704610943	-5.48104548514908	-10.6660914468914	2.37053436363108	10.8859245521628	-0.134843133905812	-3.59980120439687	4.30925953422281	4.95081298061313	4.32106891816191	11.9104741818452	-0.421116963804174	-8.89974625297369	-1.58092384345901	1.59796496355349	1.53948304587937
"g3"	16.0521019907267	0.516151445241008	5.08406695578794	-1.85124853073329	0.404620810199421	-7.24189829512702	-4.57678091585272	5.47259645621384	8.12032722834801	1.16257575343122	-2.70858213255987	-5.79751552713607	-2.08138770106972	-4.06319637590326	1.90067653860637	-5.89924646331428	7.00142045522612	14.0081411391144	-11.3155411411261	-4.46420517011766	-3.04118155609415	-3.14060470726881	-9.66171860607661	-7.67819538219777	8.14674750717685	-11.7189416199444	-17.7431212527318	5.69959492925176	-19.1744994836108	-9.07073640941783	6.81027462164358	-15.2485612770758	-15.8922332895323	18.1095039744246	-6.32081817559054	5.14827682644479	-4.36445006047129	14.0550529846986	-16.823020021545	24.7224551922291	-4.53998046846266	-7.74366253116529	25.9026559618731	-13.804446123115	-17.5166919938278	6.3081520884393	-11.9939493563471	-2.61484166727388	1.15733582529355	-17.7989244592632	-14.3334448448462	11.0440092237704	7.53618996295846	-3.08051093097774	7.12776758681532	-26.323228988406	8.00800229382999	-10.6941430325272	-18.7571799554915	13.0122406032379	-0.528103001978372	-0.444582070359742	-3.44465663356669	-14.2156474597435	5.17823677085263	-14.0042031225317	3.98575043693628	-14.4748989007439	-12.3526727199168	-11.4559258570806	-8.14441609277874	19.5741955205508	8.91518987052117	-6.483841852177	-7.14875054251141	-10.2506387458768	-8.18602433585124	-28.0030296983522	-12.6744340553652	10.6910043417037	2.18802978274191	-4.4582676925511	8.30413860177748	21.1812694147539	3.84305212945529	-11.9469940264995	5.23693018006172	-16.4106213278557	2.10376795261998	6.54802793872915	4.72431019227446	1.24302812638808	-7.07457116295241	7.95312998301562
"g4"	7.80003345156774	-16.0065275010715	13.3244086648842	-13.0049146282872	5.8231128423152	-11.0231844624641	11.2817401909888	-2.2828812245991	-8.36834604769828	19.2655540216878	-9.05224876468794	-2.15903932626527	4.93712522430465	-24.9440169395118	17.8034762168579	-1.07352860963735	6.91373695413585	-8.90241118074279	-1.18264330232075	10.6034550854803	1.76019994837885	-2.97718050704883	1.47195786665424	6.67183237528435	-2.44434136133486	14.3299645848503	8.3039143203046	1.39270415547216	7.44222609932003	-8.88370893137193	8.43597767419789	9.95992784083317	4.08606644010202	-19.117547765332	0.287382961778567	6.84831085062551	6.85237250889448	4.03081079262076	-1.91089848789002	-17.8950583988841	1.01353969067929	-6.23712680867751	5.62537329783367	0.43571828506298	-2.14380950834498	4.91608670299407	-10.8609478875125	-1.22528521499528	0.844601374457817	20.6073540071244	2.54129852116468	-2.93950288461612	3.03615554275225	10.3277982027438	-4.8966886018681	15.1373753864994	4.00741804546938	9.73486899568454	11.7660757816831	-2.14617224817355	-4.79831926255629	-5.56643813972221	-4.08716959473576	3.95823310847775	-10.1167417401753	-12.4567933572103	-7.58812175264573	-1.04758825040244	12.9790109484095	12.7353397054967	1.68774556572919	-10.3712251661702	-12.226149949594	6.77120939219374	0.0508379677466303	-22.4038427588951	3.27740606236504	-4.51638959273403	4.47473556023614	-5.56925566007293	-5.01814075043268	1.0279240015013	-7.41913426128394	15.4936671881241	-8.86125563811824	14.64685494236	8.32668123541804	-0.956120795907456	-2.84369399597559	9.8669241768011	-16.3273413601196	-10.1908506908128	7.09266669927249	7.13294709553872
"g5"	13.8577561359856	8.26319330171831	4.45378193726424	-5.6872079045399	-1.52824777635236	15.1821563571397	-1.77144430848983	-9.79038943383631	1.7322473843593	-0.159384162311807	3.69371692106257	18.0690041185884	-8.62888687922791	23.175422532055	-14.8715474634439	-20.6333277443424	0.548782094377277	10.3392912456439	-16.9533099611692	-3.06429428477941	-6.73971238137641	-5.50562354766692	2.45526044089639	-1.44629247588233	11.3593147064001	13.5095857385812	-3.14197092685941	-6.70786937620514	6.44392624747254	14.0731085918699	22.0711714948895	-0.860571525972888	-1.43271924847968	-8.81634729357857	-0.00876624604459075	5.96143985461633	4.39753218606589	11.6170764398232	25.7431185411455	-2.98133457200553	18.793299481362	5.40156059809631	-9.55718137552647	3.277036893862	-14.9616808948204	-0.538436873269656	-6.14215408579825	-3.48111358910436	-8.81096392126443	-16.3031216965974	-14.8125409089134	8.05807933472436	-4.97635259106667	-3.85412967526246	-6.7165290700111	0.777586974996552	7.63383959186108	15.4400134961437	-16.5116852349954	1.31468225555121	-12.7444040211383	2.63251559106759	-3.65944223434833	0.612567843501669	8.61600611868859	-6.29235620227983	-2.73334062460537	4.35479659197924	-6.57559194987886	6.50020171083256	-10.2944443465277	-14.0505692613427	-3.59820158690112	12.3448015374821	1.27438913517768	1.89436332341003	3.24427896580608	-11.7640916745174	-9.28370693672627	-7.577043711922	-8.01643973588367	1.2548614596254	-11.9010270223497	-8.34150576247546	-5.09999906295834	10.4795229207096	-1.9843465214674	-1.1314260382841	23.6109125142644	-2.53892253606983	4.92206005198547	-10.3003905076059	5.44415768557021	-17.0781071345602
"g6"	5.42283113482072	4.69073329125967	-25.3348973924233	12.4447079798669	-3.25746130949433	-6.48225433194594	10.5336064649749	5.78807616317941	3.67387906200568	2.35339728387294	2.52897004450839	-15.2314679161956	-6.5101267663747	-7.30856498904774	-1.85234849267043	-3.71493780852266	0.259591941320019	17.9783157070384	0.414151997472642	-9.83319470296444	-7.50322511997146	-15.5088911906234	-2.84536360560305	-5.80310778813551	-4.66847150352864	18.4718890459104	13.6473945151143	15.131079340255	15.0048195998513	-19.5241143096368	-0.137736740257392	-3.71636204647113	-2.24870904960641	-3.69868474030323	-15.1190811842529	-0.353225923968716	13.9448184352267	1.8268527931627	6.56265289610181	-6.15510119185256	-19.0632969384658	8.92959416754579	-4.00217112267952	8.8654397717969	-0.650713071703719	14.7147471388448	-0.756197163317468	6.5012496180336	11.2968167450342	-6.51975407797844	-1.92817699910477	-1.80540794601295	15.5461979110823	1.26127283527072	-16.5927455337193	6.76618513085519	-3.27153921368773	-4.07593104288854	8.01796265408268	10.9679397759423	-4.87063714397075	6.32524734756933	13.3903128923122	9.99857689050952	-5.14693804315779	-2.34740329832756	21.592036153763	-14.5036812711571	-1.50026876904168	13.3031494481173	2.7289654052763	4.57693793990632	-12.8400775012414	9.23816846627261	-12.4661569392558	-25.4771762917473	0.298852312458279	4.11453829566902	-11.66131337996	-10.454580544548	-4.13654727738268	-0.324007689186665	-3.29393303414976	1.6416249362175	8.94288999680008	12.847144052312	11.0993724306943	-14.7696802332957	-0.982457597945404	5.02668063233686	14.4822487788864	14.2790269487064	9.21289690527134	-11.4043629222052
"g7"	0.966563887624733	-11.822329353289	-23.9121284456592	-0.548099099046689	0.878680482736409	-2.03948608887201	-9.67249434545149	-6.29226990125073	14.7472755720744	-7.58760959806469	-3.06028644864215	-12.3400553331333	-7.84014901976736	-0.830789522920366	3.75258892127948	2.88564408533923	-18.7219202503802	4.27916437374292	6.99795163796708	2.32066260116907	-12.8361590598157	5.1318302231552	-4.5518196568554	-6.55938798218487	-19.4580013040912	-22.191085198043	10.6247068198797	-13.8420922734283	11.3787907816648	7.1770449495855	-20.0246935426302	-11.2854839388742	8.6150438753204	-3.77997973346972	-5.14331868490934	5.89147004004046	4.75342512296951	-7.15941010471795	2.20871499912136	4.99937618025944	12.9113009785702	1.39192462793028	3.74579975319482	-3.22715032039544	-8.97607950886762	5.36210885216277	-2.1523235026865	-21.7564837865369	-3.3568649829452	-7.27709850618951	-3.31586747003157	-3.20666220142499	-0.139549775797009	-9.22760347713185	4.82555068219202	9.88617774239977	-9.08040497339062	6.85356725936207	1.23889654466619	-0.958014728597702	-2.50499548706299	-4.44706948974905	-1.09882597493985	-14.1342388701473	2.35018514073218	-1.18930497233735	-2.88620278574752	12.2225318948104	2.37258887778011	-1.72036886267035	-6.85674935452474	-1.14997133600283	-9.0830572337059	-9.15440183516832	-9.72468893417956	-1.39787773934459	8.73189744594641	-1.86893551777369	10.6993172026901	-1.5104751483737	9.0845559599204	5.83957867748388	-10.924986360946	-2.49368334565872	12.8929625748905	-7.31163815954802	-2.39877555192851	5.27642361194934	-10.9225775878824	7.33358112091942	-6.46180712204998	-8.61588022858651	-14.3903209011524	-0.148773616615802
"g8"	-8.80917221692376	12.1352019426576	10.0205324499716	-0.28072240434456	-25.0998121381774	4.97232504565884	-18.8202124030051	5.93278703271217	3.5041224353796	-5.02273296106636	-11.4371866343944	7.4791293590589	-6.61645032173308	-5.39914497258394	-7.12880845158527	-22.0892560662548	-5.68715311248087	-1.20502656311819	-13.9677793105604	23.8219708271168	4.89929427317365	-15.1883974324403	2.06043754026444	12.3202947173655	-13.1122810915583	-11.9832746858638	7.79341470424644	-3.99935112618243	-10.1642918045878	-10.087813488503	-0.3819439406736	8.40167334407526	10.250888204549	-16.6454147627446	24.698707668398	-1.93058886402627	16.4079726893735	7.09887159460164	23.9529686061508	0.465743140725287	-1.0022748513296	-0.509301948889177	0.00141516848794298	-0.746716906119051	7.97618203390448	-8.79726187427691	-3.23509040852425	15.9731851168249	8.04691968143363	1.97164909561182	9.97038376409844	-0.398618196818797	5.22730084827192	-3.91019898211341	-2.14135772900776	3.43008689944649	4.9043549361083	0.351658026403078	-13.8284669195682	-0.00240023568372773	-8.98416028938193	-3.75136058922985	-16.3460067437443	-3.71422956899419	-7.21107260350473	-10.2113444788877	7.31666080043582	-1.64087430745758	-6.69013179790068	4.24731861131054	-8.23827033312692	-5.17158349452517	-10.9162018533043	-5.23380593952575	1.61749209565159	-5.14028075259118	6.25102070705665	-6.39792064462483	-0.190146659799431	5.16152638737338	6.42731113823643	2.96099475344778	8.31948124015708	-10.2635825193939	-6.12393472345017	-0.163806200498595	5.05007222205087	-2.99758188344478	3.5537326219222	6.13385473543509	7.56043380024426	0.253742262890177	-8.59443530228116	-2.19344333601804
"g9"	6.83913094352871	-9.32760169441632	7.04859346079038	5.1812775084563	6.89891202896545	0.211611152651356	-11.0120403550964	0.4641537458287	-1.11454038240636	-13.53518073074	-11.164997842172	11.848036260026	0.531132976847156	-7.94844754367073	16.4881541152618	4.96224704819663	8.3477167149897	2.61919203081532	-19.1870089090617	-12.8659329736842	1.05263316934234	11.1946495125054	11.3640897621137	-12.0254707571118	3.68401260530544	2.95143823680461	-2.41673474806311	1.1366991812953	13.0618187496283	1.85867213390557	-0.196506096844881	-12.0158308674829	2.78738315821477	12.9442125328076	-0.630259036119362	-16.2922244849621	-3.49716428829423	22.7406460509817	-17.2466597053811	6.67014236765995	3.87394061319953	12.0261040577357	8.43436503132572	0.885902211638535	-24.9123470411037	-10.2181732816696	0.449547566864941	1.91075618743443	18.4715677299685	2.75272426654778	-10.8034506948547	4.14070121172932	-4.20766529627772	-10.1220635492549	15.7042285422108	29.7173921377224	-4.70332782081275	-18.1132986442923	-8.02239143979622	-2.07096447852318	-13.8953224468822	13.3830642873659	-14.0378270678157	-4.08857835260987	-11.2021353231684	2.9341177208267	-0.151959932168086	-11.8998749585144	2.5059863818576	9.71872583318003	-8.65833527939866	8.54437541580038	-9.11825351750728	5.35190700239074	12.1167084477675	5.30212116776915	7.17273016865504	-10.9591733020858	4.59228467693864	-4.16228560738155	-1.6687195497825	-8.45538655786753	-10.6133897033139	-8.93985681554894	-13.7521928175794	8.14812511295986	2.2051254628445	7.39416772929399	16.5760217361435	-2.4253286149413	-5.08099478938888	-6.82114395471698	4.42657090110184	2.19812358541813
"g10"	5.25959790217259	-18.2738928282881	-4.36594849190256	20.7243988165476	-4.02660855312728	-7.2903170597677	-10.5608394746354	7.81885866944952	3.15450604031635	4.34942444134242	3.76747685881677	-8.77548902259808	-2.60842219340407	10.5206725747973	-5.49828208225376	20.8279781637703	18.7516759203611	-13.6036546212698	-8.13622253926727	-1.14141703756134	12.3109088181277	3.68944332177256	-8.0955056260232	-2.84250577147995	-10.3386248038904	-1.85880229298619	-1.58494931808072	1.55073230429512	7.42590652342852	3.89834570524191	7.69046305042473	-15.2312638073637	15.7594269049875	4.76579976969092	3.90518215414229	9.80960137283062	-4.85113396139595	-13.3810848737507	-2.81835372432783	6.80868107549813	-3.28362207816447	9.34312246744754	-8.60357702887138	2.59060940086255	2.41686445043778	-11.3585771704093	1.47698420406433	3.81763132922954	-11.203326738022	3.30144671953574	-9.70765035989849	21.1844315452462	5.87007758463625	5.14823777448576	2.34647632140858	-3.85650717523435	19.9254213289162	-4.85435499445528	-4.44546446478669	18.3650623326532	3.50019167428904	-13.7810813537184	-3.37256403103872	-7.9820658974828	-2.18490549396261	-9.31728696800653	-6.11479268892936	13.2259874671639	13.4034935369669	9.13275970963505	-8.41957326202474	-4.2934585786012	-10.7361944946251	-5.02835521443416	-1.53076902653856	12.3252185608426	2.06896347461029	-14.5876430214952	1.31284176412044	-2.60976894174969	-21.2472441642661	3.16614410856529	-8.80531451967145	-8.9016740027984	0.417526524709186	-0.83504518983199	4.53537486675766	-0.301989454058715	3.09469305901755	2.19142640310572	7.47163383165744	-7.03757854023727	-5.05824824983627	2.43772966605278
