"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"
"g1"	-1.01055351779139	-5.37240842438111	1.57164744933601	10.2062432595531	4.16644376012863	5.0279103397523	17.9230925630563	-5.18203196015875	1.73708279032591	4.12100760808926	5.35192941564857	0.891264497067641	4.91328671075539	15.6312180398332	6.83534302705248	-1.85577377252653
"g2"	9.1665049529864	-16.1485926977118	9.12193235922295	2.81987667962314	-10.7088705490657	-5.89236676975333	-17.9734998520536	-0.928363928158894	12.3847049011476	-18.7511800365276	13.4991074542955	7.49506677396906	3.89697668673611	2.43232541881537	-3.12300764211203	-6.0460821810703
"g3"	3.2192459707486	-17.9208721974861	-4.7938446210015	-0.532120255834457	11.9042725888824	-16.9839596170847	12.8225076023241	-14.9643859882712	3.57012508408429	1.16793737142544	-10.9338826217287	0.0291904441580115	3.64260366385592	8.16495292509825	-5.70150237528403	24.6257756193107
"g4"	14.1227271601014	-4.48151062408958	-1.20349622300353	2.63068263369459	-12.7438811057245	0.293648035615071	-4.73169148461793	6.28199872478186	8.49637417244911	-7.51181226911774	6.03366503393322	12.0312298533537	6.26307118461482	-20.9454666953439	-12.9462035251992	15.7789796584342
"g5"	1.13100648496159	-1.71696708679523	7.29570805791528	1.43933195837004	7.35831338851172	1.14226138974425	2.28081192245918	4.66336994760884	-17.1347815670701	12.9148547220598	-5.94137696456679	1.66181433034293	-10.3071706794151	-4.45218513276804	-6.39726762700248	18.7718480952061
"g6"	-5.83330708655234	-0.0920612082662531	-3.46494393334912	4.61116833858893	-5.24273605336496	12.159404804811	4.73513638417193	-13.4686202790581	-3.27601716614045	-5.00173396612651	-3.10863938718284	6.2568758482751	-7.20637781248686	17.5740342716467	-12.489572265306	3.9897224524313
"g7"	-4.22509842967096	4.62927686473806	-22.8466920062153	-4.04907985018983	-10.9069715761186	5.07068078495424	-6.58714934957236	-13.7944497364128	10.9957520055533	10.6113608873775	-4.19696788879084	-2.87954609935261	-12.9523248151372	-2.38209577713603	6.04487571817652	-5.70895316452532
"g8"	0.997728513470505	0.471078136774038	-5.23262684270837	-17.3369276183963	-15.2806230403297	-6.4501274776508	-31.4482307820214	-0.950431308792551	13.1263775216982	2.65158509850432	-0.000844151635710496	-2.2173772391757	-8.86979750108003	2.95525654206728	-5.5597132147792	-1.45129394327033
"g9"	-1.4712421455552	10.5635389591265	6.54550091683592	-1.49547594453929	-0.656121603211682	-5.28800663637665	1.33913949465014	11.1932607659074	-2.18492998842149	-8.00871218578629	-6.03204697736248	-4.29142274811048	-5.80523980888865	9.40740860712518	-15.6658809468953	-3.37166474012072
"g10"	-9.55400843525736	0.0892346009725467	5.49375262869388	11.4991148231264	-1.00235966842033	3.47108168206722	-27.2767625089738	3.0325375312336	-10.3913640540733	18.4945480084961	-1.97794677650469	-6.74972297674237	-3.03819707669897	-15.1660734800713	3.57883766025377	-1.37793560052976
"g11"	9.46410024355204	11.2722305408886	-2.52762945642231	7.83887597142641	-2.11410183941769	-8.50775232195015	-3.39777740523874	-0.04840913933215	3.3389270166479	-11.5797612169652	-6.06415500027369	-7.8822979371567	-21.3556440959244	23.6750364215232	-22.5785296661319	-7.77567603400955
"g12"	1.5327849565675	20.2051009694015	-8.09235087001028	7.19302967517485	-4.96394500667953	3.24475601906147	14.6945464653483	15.0886135723287	8.82304809913591	7.60989568471677	1.04174049106761	9.61884742675128	-2.38475653884517	8.70704266517332	-2.43595940999417	4.40124418183931
"g13"	6.88371103055609	5.31798231947686	0.616054162693326	6.03627109378385	1.66237445446756	6.36375840760054	3.72705161969988	-0.710864635169558	4.70674928002083	-7.93293421161243	-12.1287886454127	8.39421406042388	4.04083807475105	6.00456979325061	8.71038509022052	-5.95062175331827
"g14"	-6.64631334912245	-11.6149999876317	-6.8710295388482	1.25528998337554	-10.1594702321519	5.37905768491492	-3.5089099703264	-9.05508711772959	-16.0249411449303	15.8723115138222	24.9397123726984	9.54749816632687	-5.16171847645098	2.96029208843439	-12.3652270574523	-11.3727466983576
"g15"	-5.74045999977543	2.28686641946813	5.00127836926093	15.1584721155995	-0.0351048512319473	1.76073533628451	-5.63640458561756	2.03224259505999	5.91464993377932	-2.17373222408857	-22.5995321133828	0.0640835819058321	-18.9612602516999	10.4649963910023	20.621021247628	8.44226495989904
"g16"	-13.6121505555287	-10.5371861543689	-0.816035389841766	-0.152226868677671	-6.47897170831329	3.37949928320855	12.5331429870817	2.71306908430487	-9.63965341412469	-18.4540136201447	14.378114788863	-1.23806756174108	0.203715362310089	-1.49185211270159	-4.67126484587584	-3.79185320105321
"g17"	-12.5207046824178	-11.4923536810675	-0.699410841990101	12.5248002094149	-3.96315658179239	2.37533174478914	-1.5328809492148	-10.1516444019303	-0.518632299783504	-18.2719266300614	-4.38729736332105	-22.4798430558291	8.74942623147607	-6.50243441071934	-13.4695257710747	-5.92459838485381
