"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"ctrl 41"	"ctrl 42"	"ctrl 43"	"ctrl 44"	"ctrl 45"	"ctrl 46"	"ctrl 47"	"ctrl 48"	"ctrl 49"	"ctrl 50"	"ctrl 51"	"ctrl 52"	"ctrl 53"	"ctrl 54"	"ctrl 55"	"ctrl 56"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"	"case 41"	"case 42"	"case 43"	"case 44"	"case 45"	"case 46"	"case 47"	"case 48"	"case 49"	"case 50"	"case 51"	"case 52"	"case 53"	"case 54"	"case 55"	"case 56"
"g1"	2.02966272601614	2.5443614313005	-7.83815861102961	13.8682629185515	-2.10596754108956	14.7471670537873	-4.6929516222329	-21.9188370582591	-15.080534495094	-3.56659225026239	-7.06473718738459	1.7230053320248	0.840183069105657	-20.7005348980105	7.72476928369083	14.0118554401298	-11.5929250183684	7.39682758999714	0.215480541023341	-6.38483081314296	8.61444605365347	2.21113738097577	-3.66179400336768	-13.4841351857133	10.7159821380615	-16.2051821471509	-16.7613375362146	22.5079968617969	-0.839813468273863	-4.77757045087883	3.2103068373254	13.36839037773	2.74480718244442	-7.30178750810569	-1.51082244020586	-13.3709687548725	-0.37892368920741	3.08501844693259	5.26677883016746	-3.52216813938379	-0.0252321626253673	-3.15108388334497	7.97287554987949	15.2242127840833	-2.64226376856221	9.5615927989151	-1.44134399956889	14.9074361540492	6.87638871511331	1.28172454844202	20.9906745461099	-5.99017649714638	2.85167333000269	12.7081712529763	-8.64875500061106	-9.90485096870941	-22.9269996729917	6.14786208028722	6.30605472586898	11.10437376245	-11.2116998568211	3.09551140180077	-9.60019577850334	7.80342625585655	-14.5036990957922	4.37560356756923	-0.380957957319635	-6.45320957764861	2.31469339506979	-10.7219341657445	-10.5954667451074	0.205670919424116	10.6861722580381	-1.27943640383557	-18.3820739072826	-17.3796657292914	-4.29109622939107	20.9884838002699	-2.82415461125559	-2.05670543688133	-16.6117834357969	-15.0206746259821	1.71099202754619	9.81793103906891	-7.90344019065374	-3.26174322753785	24.7786469027466	-1.13736215611438	-11.3531727255155	5.95286823851152	10.2609763162797	-12.2201267591846	-1.59991179306196	-11.3283243573274	-0.297847477834899	-19.4548061150044	-1.30283933458837	3.58531374244617	3.39204276520307	1.06162883126846	-14.1484837689098	-21.8303019290332	8.79950097878633	6.49676834450589	-10.9731149191477	9.56202875534501	-2.09052374770533	2.87512217187873	-11.7175641443286	-36.1902497656481	-3.85768344528618	11.535870076633
"g2"	-23.8253379641597	-11.73066786695	16.171042516818	10.8575970994116	10.412249793131	4.11163937780021	11.5638093592013	-2.03902135509948	-16.5109962477415	0.894181320836984	11.772185921778	15.787279708935	2.51772009840533	-7.72041059644815	-5.09822185218505	6.72909839517823	0.0471413662665851	1.37829461615707	-14.9628158745376	6.44540465622131	-14.5125035259567	5.75616391481196	9.47063490314937	-3.40878092315851	-9.80421908138524	8.40197762249405	16.6733499932483	-23.3278173610468	12.159435302771	-2.42562106270135	-1.20551750647056	12.189688873752	3.09570869824554	6.06719051295225	13.3690685612482	4.57853440353831	5.96543975836812	-9.02015757112304	-3.71199486608238	-0.467964819891751	-5.25814534418941	-0.408924507271769	7.88907236302643	1.47769205166261	1.97252411905414	-2.26274160338039	1.35811680102665	-5.35248129731738	-1.79143701197716	-6.40268312487315	15.9691581555335	-3.97082457445384	-0.689081636186928	2.67066366930364	-10.2284604271767	18.2185542234286	-14.5854903181385	0.296240577019986	3.71599490460077	-10.3095130810061	-0.257831850568804	9.71500704051124	2.93563942396252	-5.50434244978731	28.8902983261877	-18.1151518274326	-6.38771367368153	20.7232703949503	-3.27882549235562	18.195446692281	1.98416604737287	2.82847329810538	0.65253010081043	8.03391116740554	3.50001574894917	-3.6546036491093	6.34793695350631	-6.3767627607978	-13.8531302502448	1.55673576937004	-8.14312690274251	-13.0771245623108	-25.3275883606199	1.5485634261475	9.98476913718444	-7.23039692506013	10.4875335163169	8.16163760319241	-7.37891391484427	8.09918520606783	-7.72382447364078	-11.631001905619	-8.39258045475047	4.58785017670617	-0.247517207717584	-21.5550123799037	-7.28706168644646	-1.26320143683489	4.00178136043546	-3.38330452070499	10.3157974885647	7.20895427372372	-5.43106711245803	0.723810506206878	-9.21124956722714	6.82017495208708	0.490626523928296	0.238799080414351	-12.0230841267018	-3.01034812565575	-3.8849931312873	-0.882569726254522
"g3"	13.0436107570779	-5.88704932871884	-8.22092058782061	-4.89749637057007	2.86024022548802	4.06525840564433	11.8281540518789	-7.83237011748732	19.6807634009308	0.675234354107515	-8.41543750693214	-0.388467602587288	11.4596122075738	-0.371241724793431	-4.92098229740596	22.699405348895	-13.3584978569862	-0.032418021963146	7.78159153388602	-1.9032984605299	-10.5990397020678	7.09786228630258	7.21584051188582	11.9197292914035	1.16048448179935	11.3151908520664	-12.3012578060564	6.38390860088764	2.29023271339487	3.92557618178222	0.891679878986072	-11.6572471539875	-21.6441275858325	-16.2564924949154	-2.13527404704516	3.22402158612472	6.59874844302711	-13.451748734877	10.7751805342266	-13.5896489155294	-9.92787428184256	1.39283121831206	6.41333200729336	-11.9669030086555	1.74198911281554	1.31645775142318	3.84510825332697	7.97295393875789	4.25206709072959	-7.77791366746181	4.49963604054042	17.475750333834	-6.26422243137465	7.82318537370808	-1.84087558064687	-10.6209163065938	2.05127817627984	17.474637173232	-13.9149743502685	-0.903905125092038	-4.05397174016855	3.25918571259614	0.630261445191962	5.1830763563222	-9.24150278553003	10.8335792402498	-6.10087242514783	1.43100784251762	-24.8947214753221	1.84262321591549	10.1653267946486	-13.160518112927	-5.80414026200538	2.96298944556011	-4.67479000960833	-17.5417017580609	2.4541090697503	2.70638207461406	-16.1692273396947	-0.846604856682425	3.85718263091497	1.85322609204265	7.8554607989577	4.16755073383213	-7.61421705705069	1.78741689924535	10.3858204004175	10.0737421009197	-3.0526189407081	8.24773601639254	-7.28353371516762	6.94808189111591	-17.1607202265976	-10.4795157630438	-8.11738899794423	-22.3446193923125	-5.6865697283826	-3.66843514734733	1.13151238909449	21.0878788523015	-0.22888349695302	2.43011395214275	1.51224195850673	-3.64741131795434	7.49240991259694	-3.35837316264833	-11.1103026944741	23.1514919709191	4.53019301317465	-7.46716512122556	-0.219123332772471	-3.94140864800998
"g4"	1.07539681624595	-9.10125308893936	19.6837278127747	11.5813501760667	21.2981423827503	-7.82471909793485	-1.161319030802	-9.8136218795244	26.698507944447	-4.60635174179284	20.1518177948496	9.74636307800647	-13.1122702324501	2.45256819542238	-1.61624488345197	2.80109016396509	15.7794945692313	14.1357368107883	5.90412976906246	20.9606169480487	-0.419012131223907	9.22013051245729	-24.3092697415272	-3.15550729722375	2.74724647825422	4.49384892070648	-8.38427011026471	-5.55655289113608	11.3679353250567	-3.51207359849682	-5.38418257959346	-8.51949390331787	-17.2815283774857	3.34875072307227	7.00649597623023	3.12169152956515	2.36079568813405	8.32361406727061	13.0521450233334	11.4867907831542	1.02238371992158	-1.66094210539811	11.7348258894674	11.9107602554322	-12.8488162856884	19.2577208781175	-14.2700799140768	-1.29180990892184	0.505242628103402	-6.42985167314464	6.03977206532704	6.17515033515632	-1.78608262955152	2.60759552424044	11.5361892359889	-12.2929654691462	-12.7366203750589	-8.83248704332353	8.32074885407664	-2.36924353547882	-2.24367287875199	0.0767802770316391	-20.2057223990269	9.9355176371121	-3.00489561296744	-7.40620846625749	-1.6708149855655	7.8802736861743	-6.55054548853451	-1.32016869000905	-10.8876204882931	16.6415754468005	-2.9190878032858	-3.15654562051919	7.56415398583037	4.71381574546965	4.74007326179177	-5.85755790820437	-2.10550611209399	6.81103963468728	12.1926576368657	-14.1249259864793	-13.7258038109581	-4.10233493831411	12.5421538854289	-12.2636550487418	9.53781316625291	-6.37151120815823	16.2329758338585	-14.1712972068343	-10.636991301528	11.2467203457976	3.04289268835027	1.99093679823382	-10.5751964911514	16.2330495743062	17.846433694569	-1.65273790583558	-6.64482156733989	-0.372047822766632	2.56044755861501	11.1445094568602	4.02685232693758	-14.2230846018224	-5.3482544319428	1.69334884841246	-14.9092630924108	-3.93287884191361	5.52227669478166	7.24689042309607	7.67886709330291	15.5596942572088
"g5"	-8.13983562954718	-8.61173789570258	3.96420442355238	-4.6261199198919	-5.80665317159503	3.88162418041186	-2.71223525705457	-13.7899407273582	-4.20702435257002	5.5032198040148	-10.1808212567201	-19.7349576110387	-1.85652945312614	4.76751202910325	1.4902038835887	-0.991203650578466	15.9201968071988	0.74167085435688	-9.41939677241145	1.22537353996899	0.343610509725387	-0.36373305532718	18.0793657654949	-9.87822998980923	11.3533928073757	-2.22658304052364	13.7276529041157	-0.530862288124607	5.40660940813212	9.69271017850347	3.92213045508531	6.43394636669611	-4.17919240593551	9.41680838399288	-0.915058211931333	4.33880597943531	-5.91689356896565	-13.4350301848757	-23.2407095745074	-8.14370028948216	-12.3811832534436	-11.4829713395805	8.26194486808184	-3.25232058417041	9.44274741629809	-2.49128787175201	3.53413545292707	-9.57034949125586	-4.08678546423986	-10.1757315058091	-6.18912465757973	18.6095209616084	-6.40132581017105	0.387008408973094	-9.0107023071521	-1.26048215037656	-9.7385530637413	0.494369518836832	-3.90167817696948	-2.76271579599572	-2.16509890215876	-3.77652967528724	-8.9583964818848	-3.52637199416414	-10.9794315180722	22.3250240786866	10.2236836317743	-8.89254357101585	-1.59020490243432	-5.00020801130641	-9.24158067226377	-0.901929351714596	10.304615418736	-10.3557140140509	0.745492474183636	-5.06133505084697	-20.5717870938438	10.384086817528	-12.2037983258311	8.38484294271524	1.52637546211066	13.6744045684218	10.1391670690085	-0.288534290803268	10.6849452043003	1.48333045699791	-10.4678275928357	-2.43735072943856	-14.5253777026478	-0.210374033740904	-1.62443632569904	-11.1672664699954	-1.29494388344696	-3.0358261963654	-10.2484092722158	-9.34528063461348	-9.56805956388999	2.83797875643312	-18.102089282431	-2.9348660793783	5.56327215696386	2.35591352916052	-3.56590994869136	-14.633757374734	-8.79743777341678	-15.4567500845687	-4.96506201076456	-9.52984165555426	-0.440891324649177	19.7850033060872	-15.5798921576423	-11.2952036972203
"g6"	-20.6919525672245	1.8677795612965	-2.00126119855821	12.6475888502287	2.01177651914723	-15.9662263775411	-12.8417987942349	17.3985574837848	0.567338819591225	16.1312714227986	4.65622055389478	5.76246721802032	7.86371387270651	-1.61508361784601	-9.92973755856409	8.36802102550948	-18.2864479873054	-15.1782546848764	1.7207765182073	8.13286369821348	-4.71431248184834	-4.99875053143159	-7.50769488785998	1.88945472415796	-3.24903842133875	7.11117653881878	0.712585256346529	20.7239355836868	-12.144752392979	-1.98364529451761	-1.46018592343091	0.650057021194739	-2.87932708781053	-5.0456733667136	2.50655627274513	-0.854021042761364	0.986380050403516	-1.63132219328756	-2.1181344954235	-2.34157846354192	25.6794457814889	5.96044256064458	-5.42367909779818	-19.5429194245867	-0.586408968097929	2.40228502349124	12.3273178216699	-8.44488529231658	5.71854240553429	12.6685227417631	-14.1788858966047	8.92278593117513	-3.57138096761265	10.036304584611	-4.8419229453694	-7.75651524627469	-5.74411365325359	20.7162580586741	12.0081187313977	9.91736753357886	12.8567620480083	10.999872616754	-9.67067779356359	2.76483757493496	11.2161830324556	-16.2760188575957	-0.0432639810009495	7.86511696880287	0.511615103577448	-3.26431633213403	-17.9112825577958	-1.12747301792216	1.31505881209088	7.23000961841178	1.74548635142677	12.1996714821521	-3.79987424455084	-12.2575137345504	15.0201578921073	1.68733428281775	0.132720129125365	-13.8281255309125	2.17703624628922	3.70882605837005	2.89168476542614	-9.28476102714261	-3.51598753682053	-8.90439273937877	-8.00668110906538	-9.4590185867191	1.29589895457626	-18.3187920914942	10.5057875060946	-7.13871500737063	-2.36745134734249	-13.9236791563861	-4.48966908816947	10.4710058259244	4.55385164672681	-8.49783143860375	-8.69194726867253	11.3226288242568	-15.5897470224017	1.56595648230283	-17.3354951710279	0.221042621327415	7.70104898824161	-2.9289385819869	-5.81267576731199	-8.4296189497557	-1.36950939254941	1.94116680683053
"g7"	3.62326254538828	5.74690122065913	-16.8299405067708	9.39718705029769	8.19027046634864	-6.53663355964609	0.561860360045075	25.4741497698715	-7.4271268771903	-15.2946954787922	-6.80043211404059	-12.5281297737287	5.17065129208814	17.063307325182	-6.23820096195945	-2.82503984082809	1.15787784293928	2.12086248780551	10.2291052138747	0.229492227447371	6.78329407615689	-5.21082277834305	7.6620399717344	2.57345983739262	1.53784426932468	18.2742340415472	11.312736804825	5.48731676838182	-13.0177120706587	-6.37754491339762	3.21520626608242	2.6348145185169	0.18252615631832	3.68859315644483	-25.6314539357753	10.5016669621871	12.3848084640403	12.2549446979114	-1.63142758563037	3.26746065883998	-3.67720922532306	-11.0772501735979	15.1789129938353	-15.3008014845417	1.44019442358907	-2.84106651094713	-1.2895511584571	17.8513982728975	11.3330321376467	5.99969697396621	-6.15868963059222	14.7143103041423	-8.82889753713101	4.70029023588307	4.5207059856865	-7.8378345463363	-4.06232716480291	-14.8285077489071	-11.0330822747286	8.33785846358428	14.1565250922556	-6.00490438969062	6.43092224767167	-9.6428853081742	13.8752606719624	-5.82093776764517	8.76540789549517	0.22280715041073	21.6703560900421	1.80086080496927	-1.52954101864736	7.71391420502892	-0.405199530190282	0.960827373558445	-10.0827435977474	10.6531763200979	-4.06142697797565	-16.869027721752	9.74715923589534	-14.3487701383947	-8.88131427186537	-1.38079794513133	-22.1319254430789	-9.95777888012498	1.88936028577034	5.22397217363748	9.70053971038924	10.0442173487868	-5.89738750655375	10.5342954595547	23.5436926684103	16.2700023390649	3.27884206595395	1.81116792830656	-9.56098392965234	-16.4215972185822	24.6791696207989	-0.220267796831111	6.13795026875609	24.3698836386092	12.9369440058606	-5.16588532221442	9.48468316850742	3.2283091135422	-4.0790929961401	-8.0633674950944	7.55579055499253	7.68028938240482	-1.62376114217189	0.654305024074722	-19.5527713658836	1.30938736163962
"g8"	3.0647712758231	23.3113707773124	9.85351790284675	5.38077986205949	11.3423706867784	-6.50824926767765	-12.0045546244553	1.98481920393033	0.0410812944469644	17.7559086203704	-11.1491694965156	-13.825614272056	5.69133940448497	-1.08000723742819	18.7558310269915	-12.5489494313961	8.35139410801386	6.60739994358592	1.1745275718291	-12.9465194571173	12.4462218191996	-20.6379524603942	-0.49803499697384	0.0759206057130561	-10.2608906580496	14.8968112553453	-3.57573447388091	-9.78533432508418	11.219746958617	3.87025251069326	9.33598723630371	-2.69308532212459	-12.2016511491371	6.32203892760755	-10.6259046333698	0.150639765314855	3.59729711705112	10.8256139505467	-9.53063844104785	6.1400042554017	5.46478196122324	-0.478742571335797	10.8261383823582	6.20267334229867	4.87257887233731	10.0732653133631	-8.78130043650462	-13.7819309867542	10.3368689852591	-19.3732760215425	7.56890674467802	-2.09293078800873	-9.57803368796047	2.440435166442	-13.4557973023003	-8.83941669928536	3.4414640712462	4.85498645447652	15.3386568069251	-7.71785979873949	-16.1803690816134	18.5654466799681	4.39137557396365	7.17371227003444	1.61136000431701	-12.1740335647607	3.361193613375	-0.76502660054938	-3.26853625155969	8.13158557671844	11.7324011295107	6.34884716155502	6.25971959066543	-21.129663145954	-15.4210086132353	-3.72679237576449	-2.85913357032326	-2.3324797186271	5.00053674589009	-1.09625657406689	2.55245040712721	22.6381615884285	-2.06434694593516	0.452845206847355	4.66727723581064	11.4898207881276	-3.94278280647436	-11.6097664484254	-4.85354699622477	11.6074842187674	13.9662333327095	6.60733285933887	4.15642344179118	-6.04650226803917	-1.99972220435022	-1.5919675820199	10.3581282865295	2.04468775134084	1.14403886082244	-17.0112595815285	-11.7807324860154	-1.59239572342587	-3.29545152459473	20.6590543184409	-2.69404044349999	-0.28231094369217	-6.94263584751308	5.48388392869571	13.0708250984669	3.94986832619076	6.75293895001187	14.0762660200523
"g9"	-1.29084975677787	2.86518589598961	-0.960417585226575	6.57698164319517	-14.7229354079948	4.97172908791663	-2.56714578172048	3.03924795655076	-17.6271283770839	13.3629972240221	13.8198826496753	-11.6226295090888	6.34001302016472	6.66274923427545	15.6554573378303	10.6951783001947	-16.9807253420248	-4.73945825797807	2.40248920203527	5.5449659201398	18.4155794359429	11.8226887459845	-12.4373508607664	3.84902930589818	3.97311150846534	-8.20139246173338	1.92169036581291	6.79677469417417	-5.20490709341293	-6.97366246904933	-6.32678648564237	-1.43627439448341	-10.818438256362	-4.68871890954768	14.2079716915423	-7.65947870979043	0.901994601463398	5.21387106156428	6.33063530579141	-21.3665614422436	18.1987329577902	-1.04752255753079	-11.722256617864	7.2318535774777	-20.3017314987054	2.03381549324379	0.506948058897674	-4.38481273193321	-6.53745724504424	-13.3206292887893	0.131645171859949	8.94229964253283	-10.0664315729144	-0.122372937852745	-9.7605768920367	1.01738309551087	-3.20805828575764	1.31337820480654	-2.01493065168129	17.3473426350623	-2.74606085513509	-4.0847659993379	0.203836593492728	2.74298397754059	-4.02930154500682	0.709218673554396	3.7513181538653	-13.3249569668061	13.2993111875992	9.81822400401366	-9.93925257796019	-5.78004028388515	-6.33186663613714	-1.07627156268228	3.63645584823287	-8.03292812738576	7.21978278434284	1.88097882082565	4.81899951546328	6.94718043468754	0.616262070726737	-14.1977564224872	-7.8761867049658	1.23289364315836	-2.2028862090772	17.0934838288528	-14.0428793769109	6.12554418700645	-12.8418846156409	-11.6415187557076	-6.27935709552893	-1.74814104300398	2.18549716598694	7.45058249013468	-8.18970165919758	4.14256046767402	-10.0965186924132	6.96541788520619	-2.54519661331943	-12.5323901731889	3.53977618892743	4.20700162459088	5.86395212586186	-4.12686337413663	-24.9678239199332	-2.4160953582377	-13.1778615371395	-10.0134501230685	-1.06962100584852	2.68902107752505	0.573720810969278	-8.39781781770269
"g10"	-12.9032885234694	12.4774117818823	-8.22892541289299	-20.1284182039506	-7.71629335915713	16.4689448864232	15.0242350777602	5.89897113322936	-8.45467452730229	-1.2613663548896	3.50568959643305	-5.80880598265374	3.95748357636942	0.0657540484423312	10.0582891282152	10.1901057536815	3.02230625118148	10.2530901545252	9.06254021160739	-6.32305465570156	-15.3115396713609	-7.90602673648658	3.48653242986529	-3.96544763029792	-16.7356190819924	-19.3462349030604	-1.14072354947345	-14.6820244093481	-15.3919451618726	-4.59592175818114	-0.0970416977205565	4.23446504329355	-12.9679837840221	9.430889068595	-5.42005719856909	4.72769931025268	3.99036445783742	10.934435059992	-3.86368807306079	1.69858399551336	1.5853520619733	0.0796044489369098	-3.40187177730949	4.40495123537144	11.6602059905114	-11.049412161747	6.26455237744958	-3.19905615789464	3.61126868539494	2.04489240956455	-14.7456295091479	-0.699970067008246	-12.0381864015212	14.8097449205713	-6.47839932963316	8.67411118620987	4.22807189068621	2.59959482393244	-11.8146121351702	-13.3619775993007	4.80216690562733	0.954927759237393	3.86808835836268	-11.4212371116773	-6.96863897287034	3.28267793870146	8.21566203488717	17.6767923420472	17.3976303217679	2.66967970196017	5.36611937533394	12.7225359101404	-10.9011518940204	-8.02817816568341	-17.1208230451176	15.1341215425221	-9.55959485011453	20.1111306582994	-2.02333725119167	12.0269576915076	6.69366606745216	10.737734425975	10.1586185826797	-14.4992031073391	-11.8357757899528	-12.1214162377621	-16.5810363778179	-5.08489583382472	-18.9512568686175	-11.346191929712	-1.53251716951215	9.59614452572145	12.1505333061185	-17.0045153048049	11.7599782350777	11.0341429577344	-15.4949729521773	-15.3027602850159	-13.7821529609465	-15.9256528253511	5.8575124634578	14.7489649894557	-11.5439985946785	-1.37372188631871	0.773526209125001	2.30775737739287	-10.1020886549582	4.00878291690417	17.7912603413127	4.2975513730142	-6.3237547823528	-8.38294475115574
