"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"ctrl 41"	"ctrl 42"	"ctrl 43"	"ctrl 44"	"ctrl 45"	"ctrl 46"	"ctrl 47"	"ctrl 48"	"ctrl 49"	"ctrl 50"	"ctrl 51"	"ctrl 52"	"ctrl 53"	"ctrl 54"	"ctrl 55"	"ctrl 56"	"ctrl 57"	"ctrl 58"	"ctrl 59"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"	"case 41"	"case 42"	"case 43"	"case 44"	"case 45"	"case 46"	"case 47"	"case 48"	"case 49"	"case 50"	"case 51"	"case 52"	"case 53"	"case 54"	"case 55"	"case 56"	"case 57"	"case 58"	"case 59"
"g1"	30.322028954316	8.4353068855196	9.92282653467058	-5.58259014382417	-10.5068193526226	-11.0980508378413	7.58027948736745	-7.76529931757508	-2.9227029377184	-8.19530510371812	-7.35329004561029	9.00313310293787	-10.6970135395505	0.355741479093779	-10.3505041314556	16.6356878459132	2.86537087390872	-0.281918991181234	5.37694739529853	5.64695092049051	0.20172696451862	-14.9684808638106	-16.598284021507	-12.3964603810127	5.10845574072484	12.0553135591386	-1.62243076450907	4.82212807359519	6.88630698005194	3.09409219353833	-6.83603253259171	5.4997110628666	3.1440439885434	-7.82287884781622	-0.975841364124222	0.951138236169354	-5.55441320799719	11.2742893968511	0.640605911839224	8.59729987522318	-4.48598327944721	-4.11576915781589	9.34536362174253	8.99456198113665	4.97316489034697	-2.67928542739464	-11.6686027199255	-5.75883296037004	-1.72552542443772	-4.35727713490105	0.277254150543269	-12.4740802091851	5.40431538125412	23.8217149362849	1.71689799165403	-1.16267203130152	-19.8054307636326	-2.42076786671231	3.51204006965658	-18.3689258128667	-6.95345815696742	0.0261471937144379	17.6602833018954	17.7793509709884	5.84972546744067	0.970635343073676	-3.14080681306405	7.48340866136311	12.585861143906	-10.7412959243039	-3.10186202450144	-4.91535280770845	-18.9351728448029	-0.927826235776385	3.80883903515037	-1.69443471618044	2.46529963178578	8.71963514581688	3.97043714362451	5.80682452268803	-12.0240325007957	4.19683544523613	9.38809244970785	-4.72695903501158	9.785376449766	11.4840650120852	13.350808158193	11.7459688896401	4.84365218300724	3.27641111264548	-15.1043176223058	-4.05840830958242	7.49632744487618	-1.95914324862787	2.53118824654102	-18.1748128898385	-4.46469576540094	6.86070419811141	-5.59215852994268	7.86005280451764	-9.88830877611434	-7.67615743653324	-11.6076893780506	16.3037741913802	9.66356450553224	7.58570009067303	5.64255360500662	16.6774100353613	10.4593024042371	14.9895404745057	-8.82375594924401	-6.2860878824045	16.5439281658195	1.14480489193346	-5.55159226077861	-1.4433372374956	5.21292834609223	1.04567116434489
"g2"	7.19050609200384	2.58682643589377	4.13639571224358	-2.50555349809793	-11.9271531983502	-23.0263601024873	-5.64672885912085	-3.7704478485042	-11.7178419839665	-1.35268131272478	-0.303306994787735	8.15555945368582	8.90592490466324	5.65847891017663	-3.91107520538755	-14.2446563160782	1.91174476812	4.43159747485468	2.50617127321873	-5.48803514160241	13.6961531050571	-10.3342038269793	5.93790556277858	-4.07556047004284	-12.5597864946639	6.92338315153568	18.2791296976717	1.31362077026947	2.09257063469886	5.2507171398143	-8.92252977178586	-1.07300023873241	17.3692982018237	2.01600272576665	4.3047175611603	-7.62676222336439	-4.93200450351986	10.11785895136	16.6103471702908	-7.34975947841641	5.02519738146192	9.16323622399133	-11.6888588690511	-11.3113662885022	-6.96636414114964	-5.29012622485674	-7.69017622837541	11.1700693000535	8.50219622527203	5.51504029128605	-6.85040253909612	5.55197663288846	18.1129498507022	0.889508077429977	7.27269491844859	-20.2098917154936	0.0513424993320696	2.15667442575964	-15.1881798845751	2.418228995083	-5.86182811524884	6.24755246521905	10.9338888926566	2.25299893919461	-2.9192141766402	9.12147031033223	2.75947501378769	-4.67919552455392	-6.38098292951653	9.22759933222024	6.46781967189749	10.0263126776511	-4.9285565757253	10.8628043920027	7.0500418301777	2.54152729834081	2.46215020042545	-14.3372023738338	-0.549653328484566	-0.0471656286831658	-14.8387812059374	10.0748599380261	-11.1596790236641	-0.14278865013419	1.21166477014079	12.8970700518689	1.99586419959614	22.9150226188068	-10.3925824591431	-5.98506940431256	11.1043342000851	9.91589665504033	19.8931355398417	-8.41132009586696	-10.2842650512254	-5.84718973885378	-12.1251495436701	-11.1405456862624	0.441400644621832	-1.96831532070395	-16.5953749697142	-10.9287487276527	-3.22566592597464	11.2720712674677	12.3611833247505	6.65111295909677	12.1104472480656	14.9601032750157	21.3616027705439	2.67500036474683	0.0476333721711914	-4.64193406208038	-3.93462519761798	-6.1669738821297	-0.995718101939974	4.28529943716492	-15.008213071679	-0.0338067118796029
"g3"	-9.77136867575412	5.52022953400505	-13.8996544824955	-7.71368045533098	-12.722582975418	-12.1714977383989	8.32561790282844	-17.297337309146	-3.52029309268427	5.28662642179635	-13.6241516456083	24.1237158489239	8.79566391463695	-11.9260544456261	8.63945811475855	-3.5237963006184	7.31198395071888	-0.0177707865500678	-4.84423143042996	-1.83443000691262	8.54164052229378	-5.81889546118545	17.7426320165195	-26.6899014914484	-3.93405071010779	-1.14263522726963	7.37680963560539	-30.6785670068807	-6.52973019260335	-6.86413166665083	7.73294167614105	-7.37723057294203	24.4069590200919	-4.3097659496044	9.7136843127748	-4.40157475616255	3.37816030658995	-0.293058584648359	-7.62040619552803	-3.21809429402113	-4.06745478512719	11.0994317641553	-5.57892979412457	-3.48745078422317	-2.32831921976327	-2.71956378519336	1.6501237711814	-8.43889160718748	4.9805077374005	7.06668883459045	11.7817654977814	-23.3612904456208	-0.718166690332287	-24.646327889662	19.1435761228667	10.7329849819992	12.3355260378272	-6.09587134266025	6.86583708991483	-0.103897273339485	-20.7670697219453	25.2056608408029	-5.49888581699873	6.91369789522719	7.5285148628539	-10.6143690175062	-21.107240856158	3.10962845024879	3.59017348999854	1.52954809765044	0.829036985992159	4.82939758072823	-20.3437687031313	2.39965185371978	-21.4887325830854	-0.523599966846687	-6.45970614046273	-14.281944778545	-0.0964440455933308	5.96306529587339	-0.537782529178838	-1.39536568576266	-8.17605869601712	1.96528535872346	6.33266068193645	-7.68342734409804	8.38756729208327	5.42174475303934	-10.9550583405297	6.91384879824408	6.19572538098179	9.1004303292113	-5.26445086722158	0.341176927089118	-20.3715004219524	-1.21785229848183	12.2871864494722	-1.70560693510958	0.261874427641723	-5.12139594251371	1.70576634791814	2.43626125260157	-3.85018656285448	2.70144599981008	-12.1736395531866	-13.7337214047488	-3.6494687699131	4.68583984982541	9.86773141950676	-0.250668059260769	7.58989598302677	5.30618563911171	-9.59599605168443	11.5313571612888	22.9605184167749	3.90783661072155	-11.0145641606132	14.0089141429703
"g4"	16.1544090226408	-3.31748982082835	1.35862016616892	-3.98983636094429	-28.607310077531	0.296778707964195	-1.63017497679871	1.72120704731008	15.8511407566251	4.32472507755764	9.22407886319886	-3.00235119861704	8.52734829512381	6.73476346464765	0.921614652580414	0.760891603075847	-1.11817359207156	5.96055412247034	3.96950503184986	-14.2371489757482	6.86641961555872	2.87162897202781	11.8065878799368	11.267134093785	-10.1814111039072	-8.53124513821069	3.78477708850807	-8.44100744852722	5.39890861192113	3.4329352223948	-7.07821412406735	1.75815863170787	-16.4287532680205	-6.26078346572691	-4.50165302291339	0.0317757251516871	-5.55886991166631	-3.63616099207795	8.75030230310187	-1.26732603852933	-14.6499881610341	2.99295597197063	7.48095146028094	0.606391264616729	11.4070479006715	3.31198380950658	6.37916750585419	-7.3217523582176	-22.9310350568234	0.55504356389887	-6.64159559873614	-6.37090815505938	-5.34754538396038	-4.16366103301232	-4.27866818633552	7.64388138223709	-1.24188206152122	-5.46272049227197	-3.21397334069093	12.2722701779209	0.665857704967819	-19.6746911968893	6.0144891811564	-6.58447079078845	-3.42992620034261	-5.98084628513713	-1.76186605291916	-11.0559114035022	-9.0098251531692	-8.59585866550386	-1.74830805434469	11.063759500215	16.0265180220557	2.16316576896179	-10.2905121735855	-0.0951796941512711	28.2722313056283	-8.41162878586386	15.7230248239841	0.084380800841775	-9.84025062703176	6.18880588157841	-10.6214682421655	1.5111759455023	-0.673891853749977	-9.51713411611689	4.0126863287497	-6.93644494540731	-14.7080235541779	-0.74163236808919	3.77615090916499	-19.8421381426955	-12.4593706076699	-4.11282063287574	-9.39949052713018	-8.83584771952185	-1.70066324295211	0.994969154091679	-22.2003285265489	-5.33157081980558	-3.47957842697275	0.187893566838093	-10.3364731211071	11.208027790602	9.62884550455575	12.3134771567377	-5.81602356419753	-25.5420259092847	25.0721983360585	12.4139806265756	7.7210220883901	-10.4210193737521	18.4324499473747	-6.93648923730538	0.680238940687073	23.4274226275982	-8.38073691987892	-10.5228034951578
"g5"	14.4235613223174	8.7895656052943	-6.93423431848386	0.221886648044997	-14.5168206507468	-3.14065012414713	11.8584202702747	4.58394589388727	-5.88515094391995	-16.4618080345401	16.3683024986236	1.44946561076477	4.3715106708869	9.49085523689958	-5.98748933364643	8.09916382745843	5.32081194892529	-2.17560464521108	-10.311386839117	5.9881872393803	5.71950547717526	-2.41673327037979	2.9088661994286	12.0803928327717	12.6912547536041	10.1844091955448	-11.0577215651951	-9.73695860239445	-5.96811590707777	3.80844079586288	18.2064199939402	-2.71869419323303	-5.26427060634231	5.14845479595173	-13.9833851927095	-6.44341590661769	-6.80178379591135	-3.05917860017763	-0.206588492393413	-0.852462534536544	12.4991927381756	-0.940465838213875	-5.49939455758299	6.03314183205784	0.679145909418377	-7.2943254829255	-16.1051136105476	11.4164823299547	22.0705551727699	-10.2281319884355	4.85522390365223	-2.09712457369073	13.6640943060362	8.04646105255736	-2.12684764055174	14.3820784849721	-13.5137809653925	-6.10716186262288	9.88149592950841	-6.38454964589669	-6.60189531129959	-1.00775960851697	-9.85985910643506	-14.7433679631182	-0.0638649364885716	-3.02249794580552	-1.9120386356821	5.27005689264338	0.691161689880678	0.729718980767857	-8.21562530782588	3.49836891142885	-5.82134460405834	-15.0665224839296	6.78746926806796	19.8876631790769	-0.420033198932043	-9.48044013268226	-7.66095413034365	-4.78595582290808	2.80861176311525	3.88925521022617	-17.0675543554862	-10.6876185895095	-3.79952786677517	-7.68234993512732	1.61096844797479	14.361769558626	-1.72671013225244	-0.0766823054557201	13.5613623247316	-10.539058920106	0.160106335956504	1.87266430355563	-4.14229449400988	11.7968179441896	5.82325036091277	-6.75487912742191	-7.30804288245738	1.71791927682152	-11.427615647715	6.15548994395467	-10.0861860797513	-6.38821225956093	-5.49148818090552	-5.33274372102285	-9.90220741164418	-2.87113905018537	16.6832872922332	12.2549821353003	4.40948432207625	7.08061807983429	13.7106748630877	3.29085373629969	-25.4071934247234	0.221402482089797	-16.1805341039503	-18.0756475731145
"g6"	-1.33317658190275	-3.36270156263454	-11.0367212536258	-6.65277254443137	-3.44448289817247	21.1105816873342	-2.80908326023106	6.71829094225772	0.107574175285271	14.0566578763894	9.34648831281462	-0.175761388254996	5.34857181508552	1.43541937955906	12.5891763267986	8.88377496554249	-8.84835678045719	5.13606290691599	-2.81640776820758	3.53787854233869	4.38079733230762	2.39534607697726	-0.62889207285379	-9.15252178527359	-1.07548125958757	2.26910842371	-22.7690632919679	-14.5630139158809	11.1025167354997	-12.1037390462147	-3.34492592732829	-5.01009462992	7.69957654423453	3.58794718580667	-6.39937694279032	0.280676469135867	20.9195656518577	8.13544900704951	-5.95686908724376	-6.91354713392421	-3.9980526784606	-9.63672846595916	-19.3065711090092	8.11151987349386	-14.6659082474099	-1.29990703336361	5.66070296997398	-10.4956045463819	-6.86218324930701	12.7542593860779	12.4121932200969	-7.34575282816215	-9.3587095545905	7.25738046978494	-6.3835099369203	-15.720998288899	11.2625591320787	10.4274189673383	2.9035640649224	8.07481653718495	-2.72017648702271	8.03465186469857	-7.75325343209488	-2.50261454630635	-5.14393879751569	14.5291488704642	8.57130518237487	5.01119429601917	-24.2503233996829	-7.94738711951088	9.49070208742667	3.86833666525356	-3.12407155036662	6.19591059694567	-1.13040648712643	4.3727833765109	-4.48383007626499	-1.6827413426063	-1.74584212202868	1.51560531781373	5.98023937052516	4.90357640351012	4.5247068564756	0.127598392994309	-16.1919837738243	2.90097520299781	2.12541804396521	17.449459284817	20.4348565533581	7.66357137289938	13.6994902045778	9.20087818150451	-1.73841157086838	-6.53200433823369	-8.31213915099272	3.70976487993444	-0.65594376121224	5.83558074214902	1.43774584066019	-6.51709979272441	21.0261940436354	1.56137338498562	4.38985074621259	-12.1072868117334	1.86652508252257	-2.68789420873046	-2.68824252735262	3.25176238986906	7.09608346759106	1.41115835829445	5.95937069812954	9.059800905937	-0.863888430945001	-7.15950280733737	-3.03910964582188	-13.8182508224827	-0.627726738389499	0.244064387725365
"g7"	0.399467303280708	0.399946647244369	13.0954468967891	-23.3464582953808	9.86351055929492	16.4296690173639	3.21744940938915	-9.08332560778124	6.34643050386261	16.1450030400168	-11.2701766298423	-1.11023576829375	8.15185973430329	-17.3417201044547	4.00324779053452	-11.9751422931339	-26.1106088062116	-20.7383842215448	12.3652283222348	-2.5314432593051	-5.62521368492596	4.78662124785519	-9.4757824353902	5.54578564304698	-3.22359154660973	6.70719117756957	-10.90114965772	0.305025242455398	18.3576121141203	-7.64174651096419	-8.37491467437127	-12.337791194107	-22.5906239457648	-1.03796571989649	1.70041263910696	5.36260434720522	-22.4154296040579	12.1496770244037	10.7475502855309	13.8746331957618	0.357094263605238	-2.98782368849723	11.497001539696	0.916479789925443	-12.9687942268354	-4.41924030306113	-5.70553360577649	5.606083098067	-6.01682958066257	7.1116528072021	12.7984303947834	-18.7744644340368	3.90363823034917	9.14063134623323	0.840770135673702	-3.49760052434856	6.99269922092703	-11.9797871324095	1.3926534848668	19.5975687342499	0.388356011566799	12.9285044171038	-3.45246637595175	10.7321408075853	7.5921302108798	-5.27271500157745	-17.3647558560517	4.8804667284084	-11.1937426946768	-0.467814458178566	-6.27176591325977	-11.2087394914628	-6.40232683540475	-8.95861684737712	10.4254578836813	11.3207459840225	-4.20723796536485	10.7061624116435	19.4371419099623	-0.402089015017216	-5.36477125688854	-5.19289877583529	5.68466833096039	-10.2537630109985	-1.59351319053371	10.9221516117254	25.7744686727533	6.20963464608264	6.53669104950653	-6.43420459632302	10.7269962019029	6.5748095665766	4.99404739235019	12.1498569095054	10.7002419725072	15.1337656412593	11.210566966438	-1.20472945936156	-20.641413433709	-18.7679608018765	-5.99091626411496	9.93254611978748	-3.2239376642714	-6.76495417178446	-9.8961039752204	10.2707402399304	-9.86646303803195	-12.9212390709337	-0.781925592618185	-16.8248303024968	-12.5859327490366	-27.3641167098968	2.87883892383547	2.36861873296909	2.51082894054709	-0.040386472973778	-9.0625261958463	-4.85447371871991
"g8"	-4.91624042837116	-5.81970985937628	-2.54098786088361	3.47173332318904	-1.97206664643562	3.77264544536922	10.7101324275252	-6.26053273315652	0.890660544973806	-3.56998503697551	4.43433230502212	-1.28184380978343	7.91103948074633	1.53070891633811	-11.4692674998781	-17.2645702324689	5.4761447845838	-3.79185198563195	19.07663395847	3.25366927870998	4.78198806885608	-9.47470438183763	-4.76714478955483	-5.71729857292004	-6.3902087268519	1.08131128365416	2.84184035108339	-8.75902711916298	-5.29872156582202	-12.0894127826316	-4.43974802951898	-9.39693687535518	-6.34920956033254	-7.97122445456142	-9.90307543999193	-10.0529270270491	-5.20157881804924	-5.0129367311016	-3.75691519424154	-10.1064563167776	5.87481912064154	0.98734020088771	23.206971029837	-1.02227677609373	-6.85650683794464	2.05365072106861	-5.81529745609319	15.1200385023353	-9.17929748278859	11.4995573580489	-4.15376926847443	5.05030927912146	3.1860929020485	8.97057086458965	19.8358142908033	4.19967653178459	-3.9820744575081	4.74096836873641	-6.88213476779242	8.64433825628386	-6.27537256574392	0.61851315353742	6.36375562229226	9.90167314177951	-1.20268909640471	-2.76270802768177	20.6496553792488	15.0824194783689	1.31771775783408	1.03093833296809	13.2848425344611	-21.7964955140662	-9.79998736647332	-5.39138715269131	11.8805212384419	-14.5594458462729	-8.82891604009886	-3.44884277689128	7.74236641932419	8.50737746488631	-3.85782630126977	9.23860797634241	-1.12448204958238	-5.07182231798325	-1.99756946852619	-12.3077286293512	15.0164906256548	1.3993354017517	11.4729649862291	9.13758563117469	-3.44076812121688	-4.20290301519606	4.6746161064562	-10.8838701040952	1.13924386220459	6.09475009635074	-1.11795106472489	15.8181509539769	5.44204174854685	-3.23417908448003	-0.955950871603462	-14.4537568015471	5.13290617357584	4.6339792433661	-3.75937135970731	13.3759911263017	16.9056581974264	-11.0330052610294	-4.35091584102042	5.21521897060944	20.9552305162803	4.36773682493774	15.1915586106119	8.31293343340839	-15.4186742696764	-11.5504533772868	18.25870270864	5.41528099021962
"g9"	15.4453877919317	6.04037463069052	-13.0934789653128	4.99264889791185	-5.01507102431881	8.51951103108306	-18.3410937086155	-1.97325727480797	-12.2561126815055	18.9520331121616	14.7286175251839	-1.19653459931457	2.84527937653355	-7.9868316875671	3.79959661359084	13.5930482259591	8.08715113198582	-2.10702098829204	-16.2787825053962	19.0275509245124	2.8499742201472	-3.19875446302649	6.43090163065231	-21.1031657806805	-13.4211978115573	16.623118831599	3.76695306186774	-10.7126786279721	-0.18092470476814	-11.7265239674031	14.8786834599404	-18.9768846191443	-0.0789282229405069	-8.80533433736123	17.1543001050404	2.55612326960851	-1.07034005097314	-1.34718275893285	1.00544450761944	7.92775551559557	8.85339322338928	-10.0720736100926	-0.633915711664684	16.3906085420149	-19.5694782336554	6.40854725949796	-5.18478282525217	-7.25344624649829	-5.98444049978147	-5.30837293276794	-8.29847082247032	-8.54365818447954	15.4545571553291	-9.39398118940083	-0.445013346088405	7.86445468006192	-5.12065486256642	21.3110895436876	11.2768925440595	-6.10941165864722	-10.1474950980515	-1.47492137966063	10.194114849097	-0.280349259080116	4.85269793471869	2.87537246885925	8.82470414981631	2.86367105758292	1.40355505040564	6.06129168400712	-4.69933411475005	4.61863709967943	10.668187589464	1.85482853173263	2.76931868812015	3.38398410740323	-12.7367470631022	3.49080091978402	5.06514959571197	-11.8919693242489	-4.78151396239444	-5.42797033593461	-10.1531779142709	-33.9047568613151	5.39622413975619	3.17310930205939	7.25784500769553	-2.24430483954166	3.93673032189525	-6.96318023487372	5.61157918562337	-18.4006862283655	-0.138219939358748	-17.6095857959853	-3.9557794164688	-7.27363795844757	0.981309003148742	4.19282880833599	21.5813210867357	-7.83039799030333	18.8436674722132	14.9733820950074	2.4109278198131	4.72136107068054	8.39974570802057	-17.7814710980476	23.8960633154931	-6.73857464667417	-11.8099443899775	1.11471714363655	-23.2204452978054	18.9576351276407	16.2735125196175	-10.0457965369782	-12.2880844157844	24.1983289182113	13.2743371490601	-10.39352109863
"g10"	-16.584879874739	-1.61382563940194	0.237674862828299	3.27895291933165	-3.13382005601013	1.55437621967694	11.0559476744345	5.41471150716731	-25.3709324621972	-3.58228727603631	6.0199631320539	7.76903063177186	-0.857345535858864	-10.9204294782429	1.06795175577834	-2.90111285747931	-16.7234415922013	2.79705907121435	-14.8291551913158	-11.5568638488476	-21.478169064069	-11.692323648404	-2.44310584605439	9.61814321418707	3.86138561170087	-4.4604344449933	-18.7199685231172	-1.09805888980529	1.0887655148507	-22.0114530544568	6.97192644409412	3.009112001289	3.06212659420616	-5.96712725921113	15.5991811557838	-6.52361892841514	-8.10467065646496	6.73441192802682	-6.96943848448316	3.26713812546708	1.02959480295343	9.16819619671954	1.12599240145111	-0.431351328569762	-6.1073886969328	-1.86161004139434	9.76038284598843	-15.3546366311826	-10.042862111041	5.09646835123145	16.2547872146478	-5.93284246523789	3.3487689597993	19.2760148555711	4.01643566093435	14.6691675995142	-0.193854787876035	5.20804021693935	-25.508774979004	-17.4059792625637	1.64946131754417	2.65024990029341	1.02816606664941	8.0980546291675	-5.81679915392412	-7.75545645394264	4.23835089594401	-0.793634889283733	1.8299135474946	2.18157460995616	6.72726023465697	2.78923373211235	6.57096175181994	-6.52229914570394	14.3814767140625	5.20469504888151	-7.70987219688513	-2.08064040395083	-2.90956813803631	10.6204946378508	15.7293239140781	5.00381007489106	-3.61153272673756	0.669039904452357	-11.0360846458933	-15.9081246308832	-1.46974545806903	7.59485294834544	24.4850986908104	-8.32761776115801	8.58484734232309	-4.74991346023616	-11.4652780874048	-7.75702244346254	-5.5836940680254	7.21711026526274	-11.013824626502	-14.1613750751958	10.3851717565203	-10.8106212198249	-11.3601909928037	-12.6599140346348	10.2084109362938	-0.63580424982513	-2.71031927427843	-4.70385890730046	8.39282968106266	-4.93550504403041	-11.6828710026186	-12.6671237686817	-5.33114700529508	6.73432876128911	-6.79783529873981	-7.21568620802668	4.27545395436493	6.67277534643836	6.89420690105876	17.2792606020647
