"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"ctrl 41"	"ctrl 42"	"ctrl 43"	"ctrl 44"	"ctrl 45"	"ctrl 46"	"ctrl 47"	"ctrl 48"	"ctrl 49"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"	"case 41"	"case 42"	"case 43"	"case 44"	"case 45"	"case 46"	"case 47"	"case 48"	"case 49"
"g1"	-3.93278600560874	-12.8355338671316	10.0121042513026	2.32989674315001	0.883824641294621	2.27662453361299	0.79445029399534	-5.3295657816733	-3.67857928109168	-6.07661468444034	10.530414721287	-9.84624441355896	-1.33792557541071	15.4096686185215	-1.99204202922394	5.43656178119016	-0.337376560785649	-11.0137949916967	-13.483892786163	-9.87177843054879	-11.0687954135507	-5.62801241469003	-7.24391253257989	-0.155721577342843	-4.79436841195089	-1.55369806382002	3.05609534038646	-2.57017686501469	-4.13189211083747	2.65646155188292	10.9266698157003	-6.59881444461484	-10.9855905580884	-2.4785123505075	3.56089291791636	-14.3047190071933	-6.79595241144553	10.2052472260575	-5.55924184147677	-5.00008423973701	5.59961731315531	1.04040989423173	-17.191524596078	-8.85478304158726	-5.44800645056098	12.3229827701182	1.80945959551789	-7.52784195121685	-3.92500868046199	-0.466490587341157	4.18045130539785	5.21622220608139	-11.3365849636797	-13.7293947651719	-5.90686155889642	23.0999577578378	-8.58358876734744	-15.7091754151552	27.7269816224018	16.7811500743638	16.3998561345496	-14.7584573876101	-4.71247290228939	-7.53374486887629	-17.8327343547513	14.804132665718	9.80978801456844	0.179928361070302	1.09470837336821	17.7502126717453	0.0540243243653286	13.0563598524805	-4.35795182763629	0.593294813523742	-3.319702977552	-4.02536095195993	-5.7282537340955	-5.76836489474449	-3.51174431645001	6.29544087525651	3.06576513845466	1.96839551000541	-9.46981513390214	-7.37260283070656	28.6040459579186	-4.2435697456925	-0.699703510973815	-4.49407941862699	-4.53897459046349	-4.96771317576384	-7.78622897295535	-5.46281238552561	-6.13883145083652	6.55339772345476	31.9612893664838	-4.18572017543537	3.61530229901398	1.02383316815373
"g2"	-1.29257697683763	-10.6628294058788	-7.43259929761477	1.80861097430076	-20.3163509254575	2.21289889032907	4.92967357093207	1.39856076987324	10.701887044162	-3.65252765695709	-10.6474753573279	9.99219511747501	0.528577201438736	6.12108737789052	5.63100536465156	-4.37885968757092	0.261369024741634	9.38997720906805	11.7321327592756	8.48547872992742	5.37208996934512	10.3077294086211	11.8354629775243	6.89995553882674	-5.3106553412226	4.10938012332177	-4.37935347252473	-5.66667578710355	11.0093317795845	25.8925543142978	2.78581598376533	4.2995581074731	-4.08131896132634	-3.04532253473754	11.6527923504589	27.579777134766	-15.0497863924415	7.86521263343166	3.84114131982451	15.9365928235029	10.3070521764798	11.1836816184258	-13.7304901464762	4.9301804713659	-7.12908232042406	0.808049082750994	1.1463443400376	-3.81355996533725	-1.40571405539008	-4.95709832673332	-1.87863031640706	-10.5553620529757	-10.8504054505356	-10.2455677705188	-3.13774646909593	13.1372355851097	0.441043324986044	4.54936298965325	7.14823773116911	3.6055379848487	-0.409943832246477	14.4070225279782	-1.45273111638759	-11.0915236122064	-0.0415377396572569	3.36556242795869	1.89860936649143	0.132500658429636	-2.8900543178927	-13.3433734731796	15.0731060644215	-2.88050829430046	-1.53829791890477	-6.34466106936871	6.03635190138568	-8.72718455765503	7.07911168165166	15.3013881205704	-21.3007796718708	1.63463247417615	6.33902149274439	-8.48720328296707	-8.38429174258376	-0.188409760708843	-23.5336000547027	17.5765202202697	2.30798938774115	3.23508645759569	15.7979029259852	3.4165127215391	4.71494877138433	2.39700672834655	-0.712288185877419	-4.86264194081259	-5.8873967310484	-2.09310021036972	7.53754461596929	5.6472616068048
"g3"	-12.3597730938053	9.52895906110291	-18.3259864781547	9.08328678790655	-3.55838300705314	-6.45045881327325	-7.69895698243131	-9.67166373757231	22.7766038080293	-16.6833771296477	-6.26899869906082	-12.4153564204005	-7.03038420256147	-7.95871031046437	-13.7280058152064	5.1962446333573	-23.3747146060957	-7.20028509101341	4.1088985596665	7.77684844107701	-0.657295041247426	8.47712469586281	-21.2924420496782	-6.62977286258538	5.37949516469267	-3.37558834180082	5.27383820548101	-8.37836807986661	3.26427707680485	-13.7631079602889	0.484210541293965	-12.387996242595	6.00927008255209	2.41361307940578	8.46808635041465	-21.2505395218407	-6.95723872644771	0.414478510068841	11.5737997654489	23.6740582164816	7.21269058264046	-11.2616631850941	15.2648214077721	-9.8492502887135	0.964048719759259	11.3918363796348	-10.6332293302162	22.6434790382056	-17.7107009360721	-0.95346652021437	9.98341147077345	-16.4586236566113	-5.21984428004922	-8.3961655402092	14.5689582473673	0.395538703102475	11.2002911504658	-14.8309041826412	11.7415885227374	-3.0699470357542	-5.24461171473651	-6.20907280075674	-1.62959842888316	-0.949566067436446	0.0557868512849617	16.6978072887345	-11.1683971285937	6.09579924193611	4.54258135845103	5.29493802033505	1.5064117962834	13.2835719847316	3.95641883934746	-1.21084482082016	-7.55599112473111	7.8701781826942	0.785284311593258	-7.68291257389879	-9.25750127611392	8.85309247635864	4.2793941360256	12.3662318826097	-6.002415871761	1.2956822547711	-11.6633555846097	3.53690457846489	8.5704509593011	-5.44333722696453	-0.560847613611335	-4.01900271224992	-9.63110910420448	19.6685394816597	-3.59902271225306	18.1406043955451	0.592807894723166	-0.829666685236037	4.09553336694996	1.97186806408603
"g4"	1.64243949989264	-3.66806054905397	4.39213561230562	-4.65109644590941	-2.81816509780018	15.6576759019977	-15.3726163578155	-15.3334384642039	5.06275819062529	-5.23116213333282	-7.18145687648535	6.46665613471208	3.51049866459859	10.9765077568038	14.5762191442951	-5.64624882919358	-30.259079196402	-9.08380483281555	-14.033512565472	4.25406789209129	-7.9716269115668	-11.9918982891066	-11.6453113569517	-4.65069500895872	-12.784228457294	2.62292755971022	11.9288398825055	-7.06280785152115	-5.62736365877733	-1.89632927942909	-4.14406245017988	-10.6336570094425	-3.56381724665342	-27.4100043953924	0.234113915795237	-1.28802439955152	8.7130697069765	-10.2532308117616	-4.44309245053343	-6.64096185862903	-22.2335515294682	-0.398587908173966	-23.6450146059231	21.8392923758519	-10.3681079031951	3.24030841536002	11.8833860578282	-22.6481924234058	-5.76527053736671	-4.95128173420366	5.95838586412877	3.81429040764096	15.6031731602455	3.6569000500192	-15.1041144369348	11.2628752924281	-6.63697074820552	-7.58225978050949	-9.72359537097099	5.78457981694753	-7.75090743640049	3.4920950033668	-12.4612160352858	-0.576686941017896	4.70054846718447	17.6722346321411	13.6410452948547	-0.950923263018487	2.51438296776864	-13.0381747810431	2.7614381005539	-3.86823599998764	6.15444657694832	14.4581798055792	-5.9026628328852	-1.77901424499638	-9.04523336584609	12.9992951754575	-2.8724794278625	5.6933644843281	-16.472752601235	-19.9308149861393	2.21550376557894	6.06739448193514	3.78581121163998	13.9553681633834	26.891240656143	4.67843324941904	7.70247015028756	6.53327849007449	-3.46318561015186	-8.58114726335056	16.7035738285994	6.19194928734825	9.14750050407228	-3.23601707090109	-19.5629362962126	-8.69208773216518
"g5"	1.15099816349918	13.8997821690864	10.6574485193181	10.3503182402359	-3.48391402385442	-1.71137540185613	17.0692726796836	14.919754927015	3.81567089210356	8.11082538120739	-33.0185362366538	-10.1554292896504	6.70159509990392	2.3071622293968	2.87847437245302	1.55027494973704	3.66413435701201	0.135303391711896	-18.4090580533362	-17.7423708019826	-0.799750599468969	-4.70687289136646	12.6475244342785	-7.46275626387681	6.67537675880033	2.90227804271599	-20.019406783656	3.29169473878997	0.805616384172126	1.55300689505004	-8.94217688391707	-16.1472826544339	3.6889007002634	-1.537868914285	-7.59023529775676	-11.9950857914816	23.519930660819	3.15730728385214	-12.3037235216795	-0.00710842402993298	-10.0735843216487	-6.28157345982997	-7.15343526958421	23.4244887532101	5.59297048070427	12.0860126856052	5.57991810531716	1.05864750242019	-17.8818730710175	-1.47255111653664	3.22661695397333	-1.72747998657532	4.33391006836818	7.25544203293293	2.46128017967438	12.4240268916712	-16.2790022101195	-5.64032323895213	3.79005532526206	4.25805662228206	-1.6650629866301	-9.01399512014577	-14.3473556144758	-10.9417394083608	1.22082077411386	0.181539307162242	-14.757371438344	9.96149979170244	-1.98190371833497	6.01814604540168	-5.01568195234008	12.775947289457	-11.4859210755952	5.16245835404735	7.71028039772317	-6.26199005272252	-12.6838918867272	4.58153810776132	4.57850397068416	-20.4923752249103	-4.2258828823386	11.0860067328834	-22.1747493132214	-1.88456190280364	-3.91651828457226	2.76438898918568	-1.99237364964857	-1.74713664747131	11.1105591138002	-12.2089722679322	5.26060414888397	-17.7931226552045	1.10345597058721	1.95935338872529	-0.877105592656121	9.22090534923698	6.89192981204186	1.14334429461134
"g6"	13.7494435986951	2.83250159054806	11.8747339214943	-0.932947576083349	17.7344843140833	14.945714542207	-11.0184791715616	5.02825966518553	6.91750518853621	-7.60646987559702	0.363597970851511	2.96838400106474	16.2022631096002	-4.28001541308663	-13.5908632040954	-27.1750904284343	-0.566844106768045	-11.0067548936979	-22.317122791438	0.950173407520754	-8.80119219738113	1.18660365033701	1.06599404313622	-15.2946453122635	3.53474372316563	0.838220896988796	3.83389937128213	-0.120144565904645	-4.36696043808976	-1.76875789655053	-8.51484333684163	0.291439124995575	8.57802771610939	-1.8419920914675	6.35008102005054	0.0554198521789056	-3.32009167369025	-4.06635937557204	6.06326277061003	-5.53366319689846	2.67003018656269	-21.7614252692326	-12.3025694740595	13.3255566348297	2.75388652054558	-3.51985492587564	4.33663605884548	-6.41000073124578	6.10917093095021	20.4818973998588	-11.922910117296	11.1311631364774	14.515615206212	6.25295744147958	-1.80526957071805	-2.15965969151645	-8.49146807712037	-3.11557287860557	-5.8426436520178	-2.08650482035426	1.81094561195468	-15.816691477644	4.27867693679469	-5.56350227116456	4.79959460096882	-5.00397806548591	2.8993406086488	-7.14299023925093	1.6547589643053	18.8430215303586	-12.1618627943553	18.8156265705809	-2.76156252987578	-13.4184771112945	-21.1846482115523	1.42587188939004	-9.66033056453905	9.95683321382612	-14.1632878799047	-8.45186641088503	7.07977901614896	-1.61370382635797	23.4295335470247	4.79366173664006	-0.920947692326606	-13.2275499886094	4.25334549663528	11.1070820267051	-1.50448000716302	0.047105044511493	6.03126827411612	-15.8683626695244	7.38137330788835	23.167479741853	-6.74865690516067	0.185347066198224	5.39987256732499	-17.5045493337038
"g7"	13.4276762510606	-11.9788334620046	1.40185971485298	7.38454188961429	7.91001098496698	24.7669669151575	5.47732410185674	-2.20455911455634	-8.27824278153509	-0.208239630491247	7.40439084666862	-0.896060030440793	8.26206005701925	0.541951128025842	-4.11840915863668	-12.785466237394	9.95937889311133	-2.57992086753852	8.78785127259069	4.37277315385553	3.80753616283929	2.18987437503223	9.20517448611003	2.65854849445915	-22.8941513554545	-4.45040483096369	-8.64793501544955	9.23015158652717	2.03865883749919	1.10128293775846	-6.46964977778257	12.2223746817504	19.4840489434844	-3.67961921467039	15.2459891154864	-19.8315773442671	-0.0823082049411292	-1.19709335245854	13.8696928411175	7.75924116528586	3.84856797049483	-2.87771655484788	2.46661387744979	-5.67152892488877	-8.09400580562478	-0.701301370403145	-3.4553265634843	14.0941173414094	16.4494608453948	-12.8731918922234	-11.9092695081389	-6.49603777715879	-5.89821050941392	-8.99965191536664	-23.1572923016478	-18.0902153035371	-19.5165540804241	3.95330078727455	0.822562898122005	6.32787202696082	-15.6754618682006	-5.80533589664939	9.08682129462514	-6.58833698146082	-7.75760921469745	-1.08822053986807	-10.3426236037581	-3.31430887698173	3.34220945436413	9.84913689631844	-9.73090025377932	2.7461374395773	3.22538065585835	16.7288881855461	9.29531043632857	-3.44887663029484	30.6352601692862	-7.56691844158356	-5.12635746140469	0.15933447776495	0.452699547372551	-6.935769230832	5.3989724365199	0.747327281027312	13.3188608211841	-6.81731681486158	-13.8576918640374	-2.61520131313288	-5.58442364954813	17.8686273152996	2.84431876038657	8.83789758971657	9.9140455683994	5.92174073161824	-16.0169939196025	9.02410799227055	14.5773474404021	-17.8834226019303
"g8"	-0.724020823023802	4.09625411122389	-5.67864503844198	-1.15753846540595	6.92999052245007	8.30755181211322	-22.6649711409627	-2.39698604013987	-9.48978860913059	-4.53301459510308	-5.67225298765734	-17.9555523780305	7.38044864112879	-6.59809973713004	-4.00677236991196	13.0053452928453	-1.1020470383965	0.25802372383102	-20.92134836667	-18.0017549555389	1.62994589840415	11.0101847900434	4.22931715400333	-10.0594238270972	4.66753577319593	0.254376468923256	4.34921572450247	-6.47324318504852	12.0899001096314	-11.3647967521267	-7.5196974329993	15.8778403910226	-4.26896405742629	-11.6264310469206	-4.97263955907046	8.96099583551773	-24.3441906565548	-3.36896469582482	5.07089462961331	-9.92054890352082	-5.93798082377235	-21.4875898131338	1.83652151578514	0.659040136755126	9.89046389436817	0.714020618009743	-14.7355366984831	3.16618781607922	4.20354697956293	2.48471501071318	7.84178459467299	-1.58579788547295	10.6559104310532	10.881208225742	-9.85145651471093	7.34101703226107	-5.99960016977601	8.62014487541844	0.255946887503516	2.16431625891759	13.0450432169291	-25.0760762631722	5.33394624232586	5.65193399633311	-7.7771688723599	9.99225933426735	-12.9427969266928	0.368036608103029	9.80574032270776	-11.0802440334741	-0.827963289297599	7.69349857759738	24.5760141457936	15.0491352568416	-1.09526558743473	-5.76574340388939	8.08597101989902	-5.71151760319093	0.932840385889548	-11.8311180083594	-8.85983847670687	-1.09282928719821	-3.37564684767783	-13.2803714194959	-6.6589996500888	4.2879571079329	-8.21016825420619	-9.90728902232545	11.414465681225	7.98919889452702	22.4695388382029	14.9474251815599	-0.93404424101	2.11038232016338	1.43138468865032	13.2700869116557	3.00635880847762	-9.24193744294348
"g9"	3.24473385804778	0.722813133167766	-9.79160431439007	-16.6550085119419	-1.92706728656704	2.94974872784685	5.87134629667698	1.99112521190724	8.2194558956833	3.81388186196875	-1.92967461732513	-3.75142442630914	-3.37434007221093	12.3541890014797	0.640031033100392	11.241573087154	-4.49422726166508	3.72774370402819	0.216707289218231	-9.78828266673621	-9.41337586789768	-8.65654141314101	-5.07488373154349	11.9958872827308	11.056736274884	-3.82726177328971	10.8866208371342	9.97339502300925	7.275715151969	-5.8255940527661	1.95203439350541	-0.265391910681301	-18.3494481916043	0.867868218760638	-12.5884536129097	4.55943072391102	-2.97953812301177	-5.36371272924739	-4.50317720224478	2.77909256106366	23.4283424293559	12.3201439570783	-0.36395109175366	-13.739295066767	-10.7361649803031	9.68338810341579	-3.26796073316868	-1.04840998876063	-10.0330885950914	-4.25268633817567	-8.58331548917838	-8.19763881919274	7.60180521865751	9.2666700751593	6.84638340195616	11.4568089850033	-2.70552550155847	0.0495494235610357	2.20069315330987	-1.78829545410378	-9.86143704344771	-11.6943843977414	-8.26895934193927	14.899442798394	1.27228017674588	-7.80968443711582	-16.2197669395398	-7.85813894996736	-13.2401837639832	4.59960024436535	1.53469481688574	5.90585163343927	-1.37374695104223	0.30607721765801	3.90605299427928	2.01147372298979	2.16766581264373	2.04444431737715	3.1622690983949	7.95312880885113	6.02219792961634	2.42465949761127	-8.8290140292188	-8.07344351391033	6.23460119126274	3.35716682343986	-4.49498028631239	-17.7562669149688	-17.1032249687515	0.109390101913046	-16.7275363910706	14.5138060674175	3.55734071766076	15.0771617886631	6.3401307091572	3.67835596991328	3.65250461833759	6.09788937131929
"g10"	6.37590628400186	2.68742643711478	-14.3170875316468	-5.11870142634606	-1.85438082553206	-7.8492179475126	-22.339036838595	7.04501834252991	-15.5555175966482	-5.06347469879639	-7.63867341943413	-12.2720723228988	-6.92958556681355	15.8578972065215	4.84461566225782	-15.9829081786366	1.61224004247047	-8.27804676145924	8.13634800907384	9.26087961772389	-10.921606246183	1.74014496600208	-20.3321118891451	-9.08283938140966	-15.6259078553158	-16.392077790821	-4.98091480249204	-3.58382689276517	-14.098576165796	-1.70157381631243	1.41121666939035	11.2553247019188	-6.18994586244108	-9.30033615463977	-0.210461032397671	5.45683536745118	11.4275956558682	4.65630390412106	3.92429497538021	-6.27231808408744	-4.66695823715053	12.2350984851593	2.76667252939299	-8.51320912611925	4.05082732860562	0.0527776859096778	-2.25353911005211	26.0253264414299	-1.54101114169105	12.3569375286813	11.8495053524817	5.12830789443052	14.4370005945035	-6.83254424868348	-6.31437269624596	-11.9432287102338	22.839056407276	-9.8471140649408	-15.2910049403367	5.57917647531592	1.08122024522273	-1.20896603649525	6.87610573190814	28.6052275240838	17.2930259058363	-2.51119020533707	-9.92163382551535	0.0291244531759991	-15.7924462389962	1.50149828657628	-4.68884360665912	-21.5037387608173	10.4709735312952	14.0889147853164	3.87771929838169	-0.438269461233552	12.7879316728644	4.70514109086932	0.151918738541804	20.3883348027651	5.92941550375873	-5.58099805849944	3.97861245839741	-3.46955499718718	17.3230373176845	-18.3683615211896	10.804440634682	10.1795751403152	-11.5627209746889	0.141795885837513	2.77055506905891	-4.57585829705982	9.81016284115454	0.886389815160549	-4.43305720371951	6.68336378469164	-10.7066371895056	20.0523532540224
