"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"
"g1"	-6.92915004772743	9.13975671812863	9.27975078509199	6.3218112553141	5.76354833562956	-8.20600155632496	-7.94898395981733	2.0399551023512	6.54492591220625	17.9398927015822	-8.00909869259344	-14.9106451938939	-6.91427896176572	5.67118617996255	-31.8134209492367	9.290319482722	-0.59252422853926	-4.86214340345949	2.15076934885526	-7.87074130439045	5.77147145785086	-5.43718956421892	8.30431397736304	3.12821502736653	4.40833307793186	-6.60945687122602	-1.18338288255766	7.47811676931371
"g2"	0.914760074024001	15.2916396221297	-10.1413616666418	-8.82126298940742	-3.6722335774628	-12.0376792724455	8.38641459365498	-8.34387925667242	-2.29910077002883	-10.1438458947708	-10.5293965851663	9.0480826296868	-17.5862839273574	-11.762986226271	-12.3817064438287	6.38996677067051	-5.93031120672402	2.96055218954973	10.7904000276994	-4.0572514803111	-2.90738403753884	-11.90161219667	-3.62192188191074	-2.94404362321215	16.3246600581087	3.92677819866775	-7.46795562736746	-7.59782356268773
"g3"	-11.7455907675335	2.20286096826996	-9.99138286782028	2.86391320361817	19.8575759752077	0.502118328955195	4.93242622204402	-2.28889276395803	-6.29837563666915	6.43471504295081	-12.2870325635012	9.08676526487221	-6.88886516169732	17.9994978343551	-9.52299896203045	13.5233657755333	-6.49214573675895	-13.459365002258	-5.91543878914528	-4.01128244898231	4.80540485055238	6.65865396438986	-1.92346619254104	17.3480811410526	2.72364841092597	2.76055550754341	10.0635543875397	1.20218097790282
"g4"	5.658654808865	0.88246391060356	-10.0082979627208	-8.1713195651026	-2.2367927559295	-24.6670870843581	3.26129524015474	-8.66452851084775	-7.83561458268746	-2.3513869953967	-0.995983327260231	8.44287404537335	4.1994760980101	-15.0460640858303	4.38797955594194	-10.9667103186086	-2.70172115420037	-0.313617396396549	-2.72537607177685	-9.22239566400646	12.7126499715169	9.75365985911065	-4.85634516365135	4.66806394663614	17.7926254465528	-1.40998655312257	-4.95784095923684	7.88971518052203
"g5"	-6.35346275685194	-4.46206471428248	-10.1807700319756	-1.75899830864818	-2.632733524581	-19.0532864537733	8.38404506389204	2.08489449784184	-9.12325588305804	-4.03333110552852	6.66603601897048	0.469567867062472	15.510983942142	-8.40622699930954	-0.507566130919192	8.53472362263743	-14.0615334920162	-1.56880930116799	-6.51126572020984	1.46970022016526	18.6320543803455	6.2860747603151	-9.35378777544974	7.72554504803358	-0.936549905382935	-5.35500750424896	10.9140560393447	6.72446034408989
"g6"	-21.3589641881145	-4.53098938200345	14.137592594484	-12.118494644759	-6.45027936170632	-11.2321611637403	13.3782720253538	-3.48959632436689	-0.438724236354102	-12.0604981141791	-12.6758988324041	8.66145101043739	-10.9438615098355	7.37065639015154	-1.62319964727637	8.43476004361521	11.7502134169413	4.45459968852147	-9.63539024550424	9.11692829402082	2.27384881888683	-11.7047896707045	-15.6813659134902	-9.84414910531275	-1.85907311293894	5.26681528853086	-2.05598610272221	15.0663623211973
"g7"	1.35516385733889	-4.30944214691267	5.65929639533461	14.7844246230481	-1.70457381954977	-9.42150299867672	-20.4558708066913	7.06234464471306	0.043102046155809	8.33251799878637	-9.48038211174832	-5.02530944039913	-4.12920466816128	-16.4927598241367	-8.65248273912438	7.90970077562063	0.419075037728324	-13.3733509329116	10.0914994450213	-7.1354068210736	13.4754964813454	-3.14268917411983	-2.47614398246488	7.29208478652194	2.27475615210398	5.8278587387636	11.9431670920284	2.40218980174184
"g8"	-2.11620195347616	-2.83799251371634	-3.23392212458303	10.792577426758	10.8978539227814	4.97544670278424	-2.02927315983389	11.567357221244	9.53068126205113	0.813798535772484	-20.1573665946969	3.67087018260109	-12.4271618267774	-4.55832713534819	8.46619229325388	-1.653812120684	3.12467588974895	-2.83316492645264	0.633277585011062	20.1197023675756	3.80215306788418	-15.0770278028881	21.90640095941	1.3057634750933	15.7899498805125	-11.0101340095049	12.5526585551027	-3.73944840550562
"g9"	-7.08118360375177	-2.63899416474693	9.90230345259901	2.0990645202384	5.79851931011167	-16.6831343946022	3.20957971922578	-10.7737316508372	-4.44136901683338	5.62846083140324	-15.1181870850422	3.78382232356627	3.5945887780249	-8.00890291287681	3.39347900960653	-5.59503717601039	1.15304571494387	4.86353300052241	2.84598886275952	-4.44640119557327	-3.34460254347898	-5.13407996490691	-9.50559918424448	-1.80155122902689	-24.2178179737019	7.11235365012973	-0.277074759688344	16.3220093927614
"g10"	-5.08340040695247	-2.98194361141212	-0.605993000673226	3.13647183844689	-0.879186796573883	5.66912673050028	-9.22279652397319	8.84473941653604	19.4110073627989	-3.53818521941202	15.1046666817956	-6.76493622273149	7.80988312230032	-7.53064009250385	2.32360202311488	-8.94174779250707	-1.70014638111705	7.17282789385794	8.51762021292221	-3.52023485440411	9.55944010321691	-18.9831604467381	10.4325258061691	22.359419807712	1.31926641870286	6.96828109013346	-7.13995955256939	4.34647111540907
