"ctrl 1"	"ctrl 2"	"ctrl 3"	"ctrl 4"	"ctrl 5"	"ctrl 6"	"ctrl 7"	"ctrl 8"	"ctrl 9"	"ctrl 10"	"ctrl 11"	"ctrl 12"	"ctrl 13"	"ctrl 14"	"ctrl 15"	"ctrl 16"	"ctrl 17"	"ctrl 18"	"ctrl 19"	"ctrl 20"	"ctrl 21"	"ctrl 22"	"ctrl 23"	"ctrl 24"	"ctrl 25"	"ctrl 26"	"ctrl 27"	"ctrl 28"	"ctrl 29"	"ctrl 30"	"ctrl 31"	"ctrl 32"	"ctrl 33"	"ctrl 34"	"ctrl 35"	"ctrl 36"	"ctrl 37"	"ctrl 38"	"ctrl 39"	"ctrl 40"	"case 1"	"case 2"	"case 3"	"case 4"	"case 5"	"case 6"	"case 7"	"case 8"	"case 9"	"case 10"	"case 11"	"case 12"	"case 13"	"case 14"	"case 15"	"case 16"	"case 17"	"case 18"	"case 19"	"case 20"	"case 21"	"case 22"	"case 23"	"case 24"	"case 25"	"case 26"	"case 27"	"case 28"	"case 29"	"case 30"	"case 31"	"case 32"	"case 33"	"case 34"	"case 35"	"case 36"	"case 37"	"case 38"	"case 39"	"case 40"
"g1"	-6.78535162598241	-13.3281576301281	-2.29889257489261	9.82378570089339	0.53848549338573	8.39909926891752	21.7396512269746	-2.52823866987047	6.77496619959862	0.628334077947624	0.805646249619133	8.95136291254645	-3.68080562927031	27.9277165388442	-2.07261451732912	-24.3460025022732	-7.72685347790433	-3.13043933308843	-9.94993496377037	-8.72813924116841	6.51127886546549	-9.45265957968812	-6.24201088745856	1.65674865794448	4.31003798942966	6.52576822004846	-12.3980000521237	-19.8191058968337	-1.78902045447467	-21.751479618854	7.09705736750576	-10.4903823928747	15.4287855555137	-0.915712997138788	-9.62462416556452	15.1044303395673	2.12351259876656	-7.03796633994075	5.56022691795846	7.64648492772453	1.15410957482914	-5.91232561056904	7.1491431837665	22.0323933354127	-2.99594032383619	-1.91585014411932	0.20634844548866	5.56961926883381	-5.6721552818193	11.260718220982	-4.23197928061666	-0.830184794658168	-20.0396585970476	10.8138773612437	-2.36015253067314	6.65720097122857	1.21385741123725	2.70072744507332	4.04773062606856	-10.2047723673932	9.96713165032618	4.10503817898698	-5.41895345418437	13.6690623593503	-7.04328161569898	4.48085255303544	6.68000865434719	7.02463074366311	19.6386791655789	6.91598308581944	27.2595570494137	-13.9154297738211	-7.04717569819091	21.0482116536371	1.79779837386852	11.3873398989254	-20.3479195487861	0.328071269669886	13.0356929398183	16.314216533019
"g2"	-11.8948070922978	4.82312630662113	7.33325761161482	-2.01671317803301	-9.08188482485197	-0.607110341410168	-11.6349345654709	1.35500660827338	-2.47419365466485	-5.5921057756482	-5.4851357822939	12.8502116050307	-4.46411746332445	-7.33922529050204	3.3043739406005	9.20846515149425	-1.04570379605942	11.7758979961163	9.39204901581352	26.08248009335	-6.20959230279349	14.4479341384395	-11.751680347559	6.11590469908781	-11.0218287231327	-2.06593484860051	15.3675130477186	-6.62453948873554	3.25891988773385	0.192378819643183	-19.6248312660764	15.5231544821326	13.7086537780154	6.88806490910333	-11.2869675015574	-21.4511247690688	3.5464711982267	-7.33307359791765	15.010381278841	-4.1845523480041	-10.2617146352858	-23.1488143435518	0.616820256955084	-1.34985468912503	-5.42801875898272	-4.46070207255933	-3.08771933059136	-1.5364039009455	12.2832228836703	6.47024302561633	7.98659043356623	-3.58440325188462	14.4808956003599	0.273005613692204	-18.5979118892383	-5.36284175643701	0.9530385533576	5.84762582036169	8.26364140482725	6.45821125692157	7.60071197542183	-12.4886677020559	23.3206288102485	10.9216176421257	7.31851398214481	0.22911785288311	-1.21343340174637	1.03806812827705	8.31534242758216	5.10442938899633	-4.75495503902525	-18.6666224843265	2.96013682939397	5.37793727668589	-0.884353798966741	5.50183820264531	4.51010596315121	1.31831199468203	-5.49629631282099	-0.568965095026453
"g3"	-11.6681176901571	10.6569884323706	-0.428886472169437	-5.76074815720907	-14.9410858339697	-6.28507413706488	2.94082859770317	-3.56236236149498	-0.577907507886105	-8.5132390985062	-1.57236654057082	-2.46401709286968	2.77461948913788	4.55179202658799	14.8916707556763	-7.67026030650974	19.8540215547732	-7.48553759895244	3.57644887024892	-2.56752745748877	2.92686188133038	-2.73376485163191	-1.79592366605602	-11.8713220634158	12.7733892872573	-6.50491104099801	13.7150158116743	-6.67819295648778	-0.760359967659188	10.5702739393481	0.352889709655532	-10.1577128472754	-9.20220554275427	5.33413738751253	-0.613337199591988	-7.9430554221727	1.58381789061446	1.4354106414646	8.99422129508466	-10.5814675314799	-2.49377614868732	12.4196724295675	0.307585614379773	-5.3036334736652	-0.488693501664221	10.1105534551704	5.43186850170774	4.30611918922403	24.0844876588178	-1.12712491907774	-9.06062011614105	-15.3539290931358	-16.7499641181907	0.319917289360897	2.02943087600935	4.2263823789438	2.00881444455073	7.82297335026365	15.0079024293295	-1.89511651882352	-9.89805026782908	-18.129992627908	2.21769183815719	-9.17427246028454	-9.58967015881413	7.30510553565622	4.38640246181289	6.28442415281063	5.82283619952925	7.45443070497653	-0.594779671432705	-3.96805427489383	0.329977929896541	3.70076959104861	10.0740201754097	-16.4068445176428	-11.8981908035467	-9.07180309765501	5.68029729251602	-7.65937766473583
"g4"	-5.99021574510105	-2.48055094967257	-0.0815157915403296	10.8834956513713	7.35382872176056	-8.15933885539275	20.0175644727897	4.98209936781461	-4.42156883651296	-5.99145697097972	9.57178728685123	-18.2430485909237	2.03663687214028	-4.4579215882805	-8.10477324103877	11.3971349598837	-16.3856442675538	4.43464586672076	10.8650692388576	1.07138034302628	-2.48664848984093	7.26267636682385	20.1805635270348	-2.797500834531	-5.01487131481553	7.04049168240928	-1.34389512160834	14.1912451984219	6.08765509532383	-2.00188836417406	-8.26307426526752	4.66323756130957	3.75948523466625	12.9706586968039	2.64350216858361	5.77607904878546	-8.76032502598081	-6.48876445662818	-13.0384540354359	0.732222293583559	-1.04287189505474	-12.0176748339138	12.7561499364295	11.5491478195882	-3.06783109136269	-2.7101227382002	-0.28609718363269	16.2459996979802	9.40174770582426	23.6603698156006	30.7566309000181	-0.78418707179783	-3.24930352536189	-7.10157007216106	-8.46732901926089	-0.765763275062573	2.29974214973823	-6.982849495806	-7.65493853777026	-0.728406747761268	-5.99900171260592	15.6020478809923	-5.40477982927395	-0.28689247123292	-13.667649983731	-9.59545147067399	7.73474636522104	-20.4718249150079	13.1486556878051	-2.5820185731699	3.59316899541444	-2.0055555545709	9.56816540807059	-4.95672535194822	4.6841469261025	-3.83127305110811	-13.7856088571718	-7.05986086297023	-4.36401710305557	-25.1092292604887
"g5"	-6.59760847929102	-7.74416011431523	11.8133200146169	11.4497252697751	-13.4096621119053	5.83465042461883	-2.61618984949285	11.5683018462258	-4.94679776986953	-14.1293975587662	20.9608830719253	-1.25205007754828	2.29981538829762	-14.2677392667714	9.44681783731921	-5.0617336592218	0.657984719514771	2.30798846003023	-12.938204012272	6.84069182014191	8.13134923599627	8.43295761838292	-16.3101991624621	12.0828916575127	-11.8037495650291	-11.2920013189488	0.348909450662596	8.48491999096796	13.061773780234	-13.1328185793801	5.98217699868933	-21.3395828227398	-11.9531200430999	6.76901308288101	-14.7587374320764	3.37484380667866	-13.7862228648786	0.838273720008453	-10.6777371987278	8.0825986886982	-5.77435546555615	2.33656628567465	3.37502434959833	-6.64136953090542	-8.74527589278643	-10.2897294669351	11.7459052555992	7.25447638227196	14.2307457348717	5.07448104673014	-16.3483213600854	6.40669197992793	-0.146077092697064	6.47970192872284	14.1099417904789	-11.095634580846	11.4457455103442	-3.11254844837061	-7.25957395672217	-2.17917028727423	17.2826537299954	1.92126491833866	4.04101123405879	-26.1163463043115	9.56986554661107	-6.46298648935826	-20.7716525968634	13.0824773267826	-1.47305672405362	21.4981715256046	6.80850127905791	-4.07084063310491	-2.87018868571902	14.0043719619494	5.45593764346552	9.60658064466393	12.7527797576606	-17.9649048370867	10.219584857106	0.307743329326923
"g6"	-16.3832194656386	2.60985001219039	-1.39777978885869	-10.672360490367	-1.69357043627062	-10.0524363416432	2.56801632625403	1.15406652162707	1.48814608454519	18.346931102963	-5.75748801790132	-10.08300051173	-4.49750437998693	2.02329572360978	-12.9752509178276	-2.41267503017435	-6.03406121447255	2.27813728521478	6.82666020029771	-25.4709713772067	-3.52313748273523	3.78742828361343	4.39811397307308	-14.1012435384886	-11.8618221544267	10.8494846212954	-3.51310236283628	-0.806741804099079	-1.43924098895719	-1.29949580016312	7.30892381569744	4.72038869997214	-4.39752573070138	22.8639471987012	-7.12511684741204	9.13213235345941	11.7459038380881	1.11524552810947	-16.8274697621534	-12.1435333382334	3.47220302518415	-25.6497225883759	-5.18827332541489	-1.41672629209523	-4.89405424503699	3.44213660689454	-5.21173364841802	-5.56978016482404	-28.4074586016144	-7.994078774284	-1.89621168091585	-3.19326677358579	-1.78452650748724	2.04603693767166	-16.2646244979885	-14.4976681896746	-6.47923348568058	-3.83241020104993	-4.57283861690625	1.82552971633815	-4.78806709926651	3.92436267436504	4.50312915457039	-2.19284926296938	2.47760755811499	-7.08599848284087	-0.701021379557583	-5.49480799030624	10.6575263900109	6.11796313208587	-6.68677053420601	4.63879622699986	-15.572464206886	-8.94986235682926	-17.5049891792318	12.8145983244941	-4.48096971597807	-12.334017900767	6.107436715085	5.11813731932585
"g7"	6.58353297824147	0.29419119316892	-9.62086492506556	-23.6703474160663	16.3087317732353	7.31397258135199	6.04029488663356	-7.41745410921484	7.54815929045503	-18.9598028592054	10.6889973032132	-10.0866660477679	-8.3469936327521	-3.86906878246633	9.72553754337991	9.89707897802374	9.84566423549023	-10.3189467368702	15.0816533526586	4.04359439862636	-4.10857557373239	11.2202524045629	1.9784824916875	-6.97447087036536	-9.82664098033805	-4.2945245838403	1.34934351844259	-3.92536616813858	-6.67009590541058	7.36438179860211	0.838502102768204	-0.0215519142008155	15.1317180627799	-16.555186801329	3.30666770938263	-3.21448792834065	-19.7397446440537	4.34388292918176	2.88835449700959	29.4523207303392	-0.614439746110291	-14.57831067309	-4.22433017086409	-11.0264177410858	16.3583407813178	-16.0450932442303	4.45563619098729	3.33691406601453	0.0810745525514828	8.81240638838856	8.61672364300922	-5.11957911829062	5.43815710589578	-38.265419654136	2.90533690931338	9.4884668206591	14.2589601031018	-7.87024912516878	-1.98207750839015	-12.2367573862627	0.312870689501831	-4.78258021891025	26.168401495127	-7.74721993007163	-3.01196477604123	-6.65286287447018	19.8421581662223	4.69590691084648	10.9339123889088	11.9077193607452	-7.94868538895189	-1.57353698706165	11.1576760988234	13.8700676541696	17.0932015768477	15.3352004688567	23.1059787855802	8.95633345550782	-7.59876195516453	-10.7093397524796
"g8"	-7.84749973955496	14.946221955047	6.38703951042119	9.5075680779416	10.4469192371374	-11.8908713599075	-9.80727326747021	10.255373680884	-18.0229352760506	-6.10019941831138	7.31644305885403	-4.11459874393053	-7.74192633192041	5.07701221713058	3.28661970444583	0.31573597263343	8.98720493243038	-12.0508604318012	6.12614092953842	7.97665874136148	-4.70361210427296	3.49162045925345	3.82710470878132	-7.22734326087202	-25.2520326544036	2.6072020621844	-5.42940907837453	-12.1391289833858	-0.575311910901843	1.96252396733275	2.50550351910455	-7.1810903864444	-26.6426297396155	-1.52764927787634	2.89088843111575	-1.80562402395414	6.48458070687116	-1.29849074570047	1.9589953151881	-6.17015777236181	16.2166364480898	-3.64403320184242	3.11911171606823	8.85378566401893	0.74522155664876	10.5171936758078	4.19231975636919	-10.1967821908479	-4.25419641926255	12.4095545057243	-13.3492010623633	-18.0823367182735	19.3605529843029	5.66658229696295	-7.26015280343511	-12.8046431328277	-12.108187064189	-16.6091703062527	14.7708506832558	-5.21413163068559	-3.66681839964939	3.7573150462191	-5.94208133210216	-18.4419396386841	13.2621807172044	10.1522931228403	7.77559501595409	6.29588596026369	-7.79338045393994	-5.04476664372169	-7.42897421958882	-2.89292483513558	2.05826417173853	13.6520819059655	-1.54541874227002	3.48160930251809	3.27954600803545	11.4947671016887	7.12582542415798	-19.420790264057
"g9"	-6.71468210341186	-1.15892004152449	8.54360789831469	-9.66078081886819	12.0996191976448	-4.1506511512927	-9.20413950329755	-7.68108056589127	1.90879348082071	0.552816583779506	-1.96968666971488	3.0447153553786	7.40840410898276	12.9683045447779	-8.20240707066015	-11.1188115972436	1.75458579223739	-4.42771969597269	-1.78727079349263	-0.787231533344014	6.97200219032208	12.7539357101776	15.101887430966	-8.23491864491577	-2.01076022620025	-2.9765084870864	1.51573345884233	10.2002754363107	-2.76945135239742	-3.25311927984238	-3.59386529532797	2.88139972473917	-11.3150536317302	8.48093930667948	-10.4826092226493	-9.93913690073814	5.20872767616262	-14.1965935585732	-25.4362583939589	23.1611517731253	7.41061351852177	-5.72896048388247	9.08014413172237	6.0737508411284	-6.79989820487656	5.9884900770943	2.44472422783255	-8.47913507020506	-7.34082690438536	-1.41708285291377	1.7353869702709	5.22311176403076	-22.1499763611523	-15.4417020749183	-0.532423212900306	16.811794206182	12.8685132032333	6.9034622861225	2.70196705319218	-3.96793206230239	-13.1247770571144	14.7309417778329	1.13584656968297	16.518331891018	-21.3379148261735	-5.4117858841448	14.9450492602331	17.5232109085743	6.70762554794032	-4.36366933506362	-0.341110050746169	-0.260864428659483	1.65029824084572	-14.5199395363019	15.6821559032139	5.67503850190355	-3.9353554447189	10.4054497761285	-4.33438753305432	-8.10070997160203
"g10"	5.38811336341032	-16.6555523511014	-10.7561937459716	-1.79589841459133	20.3801073150757	12.1273200987609	12.8132184363674	5.59558052094782	4.47354344524083	16.9799394189994	9.55415965109415	8.40717468609192	-0.68948662283389	6.04116554038572	10.372473372016	2.10669485560028	-9.38677516924401	-13.1861777544907	6.49796221972034	6.36849356854989	-10.8472905445655	13.4014565254922	-27.0835653080681	14.3949775426747	8.95936170984104	7.14522281859672	-7.52406279901858	-0.0562289039215549	-0.249520014752068	9.63926790578846	1.72882853668482	5.16469046560703	5.12340305322275	9.70651906979884	-6.70874757254079	-4.98381865408007	1.26555853770201	-3.51091384839292	-16.3156723890722	3.92465074052052	-10.2731831866588	-1.25222769521709	-11.9380544837515	20.9995014650898	10.578910197009	2.61679747881895	8.87635955358196	0.107391976267726	3.55342050016665	15.9618793866962	-9.20240744224427	10.1710061783786	12.1830766569178	17.3121585420237	14.3622302831253	-16.9817068325656	-16.9911462923172	-8.10440274670479	9.16112692194827	7.66508306162168	5.27937105067777	-9.14221962465472	13.4468426813565	-10.8499607701078	2.30141289017178	-1.24152358701486	11.9979834977642	3.01514466224412	-0.732583201844729	1.45547954119011	-6.03061366148758	0.476768854821592	-5.72056017400837	-8.1486065634268	-9.36498632328015	-4.3921541326736	-4.62332880921342	-6.02401507498304	4.36983877236324	-6.11032415558963
